,It 0,It 1,It 2,It 3,It 4
0,-118.5258,-35.06406,-107.9479,-124.6538,-29.002068
1,-112.22466,-131.15889,-107.7562,-112.14439,-120.26853
2,-112.88146,-119.51668,-110.306564,-121.407875,-108.40511
3,-116.11738,-117.612755,-110.10519,-114.40114,-119.60769
4,-22.825932,-124.39429,-117.42654,-117.34562,-116.05363
5,-110.652664,-35.94566,-117.10954,-114.881134,-115.74301
6,-101.81494,-28.864109,-118.863846,-116.92339,-24.03506
7,-110.39438,-33.008152,-110.41888,-115.503525,-25.532164
8,-103.59083,-26.051365,-102.41847,-115.26611,-21.470894
9,-103.176994,-32.61208,-105.72582,-116.198364,-109.18899
10,-104.29644,-20.10449,-113.05496,-28.003798,-110.53476
11,-30.228659,-17.168873,-104.68083,-25.47886,-16.114994
12,-99.93602,-19.482506,-103.5769,-26.186817,-20.844038
13,-97.280266,-114.622246,-109.897865,-111.18668,-16.409954
14,-23.007107,-111.52091,-34.74737,-26.260157,-105.9444
15,-103.35798,-105.18543,-32.549206,-104.612206,-20.621334
16,-105.44603,-112.74107,-31.971388,-18.427122,-22.600304
17,-109.949715,-35.2122,-30.861015,-21.986818,-15.714421
18,-109.536415,-125.62051,-104.979126,-26.489944,-114.647415
19,-101.52212,-101.44185,-31.46035,-102.88856,-104.52055
20,-26.099554,-30.806356,-119.6246,-24.673763,-111.12195
21,-32.913887,-13.718013,-20.287336,-24.540005,-17.916256
22,-24.542297,-108.652504,-20.460138,-116.28861,-19.01419
23,-98.29635,-16.262283,-19.291178,-22.047047,-120.56438
24,-114.89099,-108.768524,-20.932766,-100.39228,-16.599901
25,-104.45991,-19.031319,-18.297785,-18.645391,-102.144905
26,-101.07219,-108.68639,-19.611567,-33.78819,-20.985064
27,-22.943256,-20.232029,-116.71878,-114.04456,-20.00542
28,-103.150734,-119.01645,-10.856424,-12.637441,-15.829368
29,-29.111963,-19.950554,-20.728859,-100.457344,-21.848467
30,-23.202738,-102.4055,-15.325894,-28.817497,-97.60301
31,-103.46997,-103.55407,-109.48717,-103.694664,-106.04465
32,-113.66562,-107.88881,-108.97288,-100.77276,-121.90781
33,-23.778658,-30.084694,-21.358,-108.88768,-21.773693
34,-100.67728,-22.538612,-19.841013,-23.425316,-117.638245
35,-24.451895,-32.02451,-101.1964,-100.36061,-28.268538
36,-107.62091,-23.031464,-106.10181,-100.14708,-20.811226
37,-25.828848,-122.925385,-102.61733,-98.45445,-14.274484
38,-22.800898,-23.119658,-109.07289,-113.35513,-20.157417
39,-101.16991,-118.070175,-126.61545,-27.396395,-21.519123
40,-26.793228,-106.1661,-29.396921,-26.011261,-23.400276
41,-101.700226,-104.27569,-102.718994,-16.695278,-104.37771
42,-110.33015,-114.90326,-111.40349,-102.63491,-104.71024
43,-108.6005,-100.985466,-24.848621,-23.243294,-14.357916
44,-100.42027,-25.425995,-22.212147,-109.98176,-18.43594
45,-110.89139,-20.753395,-135.544,-25.419626,-23.921246
46,-23.988987,-15.742781,-104.749374,-23.68929,-24.64234
47,-114.04461,-98.66635,-108.75611,-101.78341,-116.1689
48,-17.33765,-113.13087,-111.448845,-109.460556,-118.39421
49,-25.392576,-100.5801,-104.51248,-19.642931,-18.654314
50,-31.6761,-115.84197,-100.067955,-102.9234,-115.106766
51,-22.805191,-101.28771,-33.57968,-103.23346,-22.944796
52,-25.087505,-109.01722,-107.51601,-105.28314,-110.09993
