,It 0,It 1,It 2,It 3,It 4
0,-122.06190663665716,138.36046575780023,-175.88515606312285,-203.3521339597429,-178.8229486883319
1,-81.40907569526415,170.18523691225408,-176.19821257577289,-202.0587545708886,-154.9726381129562
2,-73.17523395076434,283.42145331713397,-175.18906435449202,-152.3371123121114,-184.85011562341808
3,-64.53111609574924,284.8396766737909,-156.83720160987866,-228.76860020063577,-178.48602318786786
4,-79.81184430727906,176.09019261575588,-175.74152516276638,-175.94330401640696,-158.53005108420476
5,-75.35774466903167,282.53699912991766,-175.60981486911734,-177.52640389936482,-178.48781959688748
6,-85.47744754773369,281.9097742465877,-154.12025432298344,-168.2747219443433,-143.76039478762462
7,-88.53840143412212,283.4749781662639,-177.02912977726177,-98.97135303609461,-147.37831966864076
8,-83.90463826834522,283.51755644683334,-177.0326183082592,-100.20576607587995,-152.94469404462436
9,-107.40382842068064,-75.91916479513887,-177.02912732004037,-154.84010342916855,-155.36161967884414
10,-106.64746333524492,284.4752712339935,-177.12057400402892,-193.3039705979601,-178.81542485561562
11,-95.89180437137351,283.6749335344382,-175.6409141538402,-71.95270230161337,-155.97125523126118
12,-106.66170309670395,281.3529935349852,-175.86344676222987,-98.6274536548617,-152.8741789552217
13,-75.23457440108835,283.1500100241896,-176.0653741819784,-185.2387692887184,-178.59605183584273
14,-106.64245731084452,52.99166230265209,-176.13158298556533,-100.47984306037573,-169.8384217057695
15,-97.4639392626224,284.53128872303745,-175.6257219678023,-29.21359887912992,-153.600431080703
16,-75.34687152995093,282.93666513357255,-176.0657617815237,-256.3938203634493,-157.4033670749964
17,-76.67716207833386,284.1835391695248,-174.51932834637572,-101.63018102482086,-157.48197417531205
18,-80.82288980276489,167.87428870232446,-175.61903473529787,-74.89528932818365,-157.21475254604596
19,-81.59209107221028,285.0464275395729,-175.97969614186763,-98.79086142935914,-157.9752130124109
20,-65.65734670148693,283.3804423714875,-140.13500079885517,-143.2015177165208,-138.999615377576
21,-82.96528850963499,284.4677196993453,-175.41316840576897,-98.56447609053366,-155.76297514975982
22,-75.45779625259829,282.855696275675,-176.13495649800362,-100.37228893127542,-158.4680096408332
23,-85.94487456557621,-44.7481621085778,-154.65480573578245,-96.7354038169862,-155.66796717790774
24,-86.90075961896405,282.9985761024321,-176.32140979000474,-215.00910899477253,-143.75137020803388
25,-75.42761224875856,281.7473890611136,-175.55562211310607,-197.21330692405132,-178.51195859093224
26,-93.24790377186748,110.3509918823535,-175.49049227857958,-168.88741399560297,-178.59291705611005
27,-106.65539745454785,5.431065589366995,-176.05034915137375,-194.42206934205876,-179.29206869120503
28,-84.46664115569624,28.516473134575136,-177.02635302974295,-97.02332716821692,-152.08554369622672
29,-73.21436592623384,85.83294981656636,-175.57645977086477,-178.60721330623676,-138.9796883798401
30,-71.04010176788611,282.27066352939295,-175.85054291983968,-98.99078645633844,-147.31856970933768
31,-68.8803635630602,282.30095656316865,-174.64454185867865,-199.8892209755066,-176.6428125426545
32,-75.23535102641549,145.51584637915607,-175.7067596084115,-100.29605818552152,-174.12822664006376
33,-110.0661557173909,89.23459783118389,-176.4525729645554,-167.20206867135192,-156.2536156566274
34,-99.33264281896658,283.9624330707905,-176.1286099356883,-99.93760073833043,-139.0436904567051
35,-71.622743206838,-60.53667734556463,-175.90359805493102,-198.45379869846366,-158.413440204387
36,-79.2654444997241,282.7547973603978,-175.546874764834,-96.79999919431036,-155.41826148542998
37,-106.64208174371828,-54.741978982127485,-175.56429249470943,-101.71921608385009,-164.1394105338233
38,-70.37873910193417,282.0710287934252,-175.0915507133513,-183.09282398364516,-157.2375932921345
39,-84.5735853652112,282.86962614202366,-175.09335263950942,-205.11261870690467,-157.58481373295533
40,-74.1819841832768,281.7259592856623,-175.51878483947914,-100.78609473027785,-147.35341847933856
41,-75.38405768969486,283.3101830229487,-175.6505295854949,-179.11649819371058,-155.6452750885484
42,-93.9548200153031,284.8211942740637,-157.98046760619496,-147.48182523976823,-184.74220591616006
43,-87.0831092581893,-89.20620300543557,-175.5875626544597,-172.36005068940852,-147.34979782799255
44,-75.0132936861696,-33.033145855357674,-176.37583343212603,-189.42977904953807,-147.1907348938738
45,-86.55972860754135,284.04819296560794,-175.8794400841882,-100.06148520184495,-156.4276890097983
46,-69.00854689500794,280.96179400466957,-175.87493970069306,-188.77363133183258,-147.3465736440679
47,-75.46077349299183,282.72170049417207,-175.7324477900416,-104.33927181386203,-176.50656821643568
48,-70.25326721938913,282.68506602431285,-175.46593547828007,-164.73932990018346,-179.28914241095296
49,-91.97241340756953,7.87544641573399,-135.66068617640977,-98.36344067618623,-178.59551669914677
50,-76.15359027428308,110.47243782109891,-175.61757902813378,-172.079970955757,-179.29062212295278
51,-86.8920070720901,282.75693184379094,-175.34249397565694,-160.4785140433962,-155.76444504090517
52,-78.74094396690562,283.7033974252258,-133.93510290470198,-101.08233132886328,-156.19043022157638
53,-96.66893962575108,283.26917251279843,-175.72288197316,-100.1423698386283,-151.0104823692766
54,-81.8665961365445,283.2720184454333,-175.95905611967595,-204.80764061474366,-177.17764043866137
55,-75.35689230708472,156.28955469868038,-176.19923069568665,-101.82770108096985,-158.49267133572067
56,-106.64797231870486,283.2968020085728,-176.8705757175717,-101.78624175306597,-155.09459258309477
57,-77.6779349270879,282.7679381843442,-175.91724966669372,-185.6402024318998,-170.44433535378036
58,-71.51103731098219,157.18872845442746,-176.35047259454242,-189.58220006951336,-178.57188561011014
59,-106.66117642999565,281.147632881103,-175.86956239354302,-99.92392234470059,-156.2089967049219
60,-95.91651694559113,136.81546477187163,-175.8827160438046,-186.1811763314261,-171.04224762235555
61,-94.49923055804943,284.28290829723534,-175.4956543579247,-200.79993960532306,-153.97236479137666
62,-88.74043168751578,281.6260123151013,-175.07090892369283,-101.18131180921073,-153.6545607647903
63,-68.27647327145021,104.92695241809832,-177.03134172607454,-176.8690236351428,-155.66333952096633
64,-84.5222745087047,34.968751193637985,-176.0784334568409,-96.71019817127598,-179.28864567284808
65,-86.87603378432817,283.0298363057595,-152.0612731056605,-181.0618948821978,-178.92823178464806
66,-67.3491530453341,37.70971235304475,-175.54784855303657,-153.70934657832794,-154.99120212323555
67,-66.42594331185134,127.77951620640084,-176.21808697951067,-101.65696540592798,-147.4734303207014
68,-72.54783893832098,282.1803382176343,-175.59547770356144,-172.90547974954285,-147.30522080654026
69,-106.87817752350932,282.15851696849654,-175.68606984260686,-96.44061905598268,-156.1186635563187
70,-106.66059629904447,280.876652821233,-175.71951810312265,-101.51342095032894,-179.44653393385786
71,-61.68599906350619,1.8536090205170126,-175.5891886828965,-104.34027109257939,-150.76379632295283
72,-81.83799381892446,283.3777995129561,-175.28270520251687,-177.24198986566068,-178.59466505340413
73,-84.88235783011866,284.10722446935046,-175.07233452422668,-164.88868804331184,-157.1038788108786
74,-75.12718531529859,66.20642345542134,-175.83273433981583,-180.41276432781592,-154.03514077870994
75,-84.91421352894038,39.799324370874615,-177.28686128664864,-25.115806998885773,-178.8961182328013
76,-76.4365006810891,282.554055262209,-175.67592177973955,-174.91600504492794,-177.94304741649017
77,-75.62195707424664,124.50146826936918,-176.9262983686571,-104.34008663118878,-154.45652453226595
78,-90.56789513398107,283.1032212907045,-176.00565091340772,-217.90218331602256,-178.92020352057486
79,-70.19038841713379,282.12720180684914,-175.60693673941896,-167.45232889483265,-147.36463752630505
80,-76.75823925210646,283.1233321158661,-177.12245050194997,-96.76087365934129,-178.59654963470197
81,-68.1342410589733,4.743300560773818,-175.55490548739078,-169.08647103517114,-177.38471985485126
82,-93.6436095886532,102.51996212454341,-155.58255986113613,-146.4378594489712,-180.82914676181076
83,-123.87748801551135,283.6871104296346,-176.0786164363859,-147.3579182522747,-180.66287982217312
84,-68.51857164010124,283.7832876886869,-174.73453772013247,-151.23053572308706,-180.4112173292205
85,-99.37713859638333,283.74736104162355,-175.73922768800622,-169.57128108979015,-178.99159314128698
86,-75.4902090968391,283.62424740933955,-176.47493883709475,-101.35764847845957,-153.55918436681367
87,-73.8182386471967,283.0170480464597,-140.07587423047985,-96.56218787970208,-155.62093297044171
88,-99.1123839228825,281.8718793473809,-175.9019190108158,-99.14494609759011,-155.2144121946362
89,-98.42414964066238,36.573964566613995,-175.44003358778843,-92.55492791637158,-158.45490061075932
90,-74.9663607978916,282.1303084030024,-175.3543281043909,-89.67893719301574,-153.61287561183218
91,-96.14555482153635,284.5899757339303,-176.03963768085177,-96.90951592650451,-147.35810717141896
92,-85.73296222431276,282.554915672598,-176.75709492905983,-98.94906667191474,-171.7117105002852
93,-82.45917128998722,282.6704085352629,-175.77284468868743,-97.44832539614973,-147.3610880914813
94,-82.0127421770523,281.4005788973948,-175.73485247401982,-83.90991114016093,-179.2104727495662
95,-90.47116121474805,283.2620681203925,-177.0313427111491,-99.59696674273412,-143.7531312519171
96,-75.41666232589101,283.67166850933364,-155.53127764962363,-195.7152831713778,-155.01382382511835
97,-79.73013175127295,283.66344180758784,-175.56700143654385,-116.66532257509768,-156.71558327090239
98,-71.9103409746509,-13.063431750325336,-175.493822629601,-96.26901324377084,-178.89816052417618
99,-87.35033223225962,284.8861315631893,-176.09013882640227,-104.33844804638376,-178.8463117565925
