,It 0,It 1,It 2,It 3,It 4
0,-32.860462,-29.376797,-21.147787,-111.74138,-119.10205
1,-107.45682,-30.804516,-28.304672,-108.13556,-111.41453
2,-124.01386,-117.3262,-118.357544,-108.907616,-120.393936
3,-124.708755,-120.35897,-112.08724,-111.52374,-113.0511
4,-115.591415,-119.29294,-116.68487,-117.605644,-111.60718
5,-117.63503,-126.3736,-119.56717,-109.22768,-115.44819
6,-116.46225,-136.2623,-115.31843,-112.0535,-38.95176
7,-25.011147,-29.886576,-26.802372,-116.79434,-31.803148
8,-120.2116,-117.1424,-102.91043,-110.63966,-110.23621
9,-117.22408,-15.164888,-103.31685,-105.83302,-109.84524
10,-109.324615,-98.77246,-108.10788,-108.448616,-117.960815
11,-106.52037,-99.83643,-104.11052,-18.247032,-105.344894
12,-33.684334,-21.616634,-26.20704,-111.13359,-115.16739
13,-37.795654,-104.40071,-28.410234,-29.581148,-22.863478
14,-114.01739,-118.36786,-104.07526,-116.43337,-27.838512
15,-120.4785,-117.02769,-103.996,-105.70281,-104.742195
16,-22.439526,-16.843695,-32.73413,-106.26259,-114.96517
17,-116.602776,-28.836256,-25.60318,-106.86,-33.95903
18,-24.401804,-34.757736,-109.48251,-123.6839,-119.76953
19,-104.295166,-101.97006,-106.88613,-22.798002,-117.269196
20,-22.965927,-29.131025,-109.36421,-110.39486,-103.360214
21,-102.924034,-103.98442,-112.140144,-30.521442,-120.03571
22,-25.032362,-33.608044,-117.228004,-109.847374,-107.13126
23,-28.824076,-20.667488,-105.524734,-26.568262,-35.033348
24,-105.765015,-104.01182,-104.084625,-27.012856,-30.155409
25,-108.6325,-23.442154,-118.575485,-28.945154,-107.379
26,-105.848694,-24.054205,-103.02154,-22.234802,-25.40419
27,-110.41144,-23.430843,-112.25058,-28.949308,-101.83035
28,-24.023426,-129.51247,-105.340096,-23.939745,-27.182665
29,-22.052246,-106.4002,-112.855995,-27.236528,-112.873665
30,-27.940865,-104.110565,-102.90946,-113.14568,-106.88076
31,-12.693645,-27.542648,-23.423542,-114.811676,-21.216326
32,-114.820625,-103.245224,-100.62112,-29.280258,-27.462288
33,-114.83757,-26.736696,-104.33306,-31.136362,-114.62679
34,-26.758276,-34.395145,-109.52567,-31.802761,-31.345041
35,-100.72811,-22.905678,-114.7464,-29.03911,-104.37822
36,-15.091946,-103.83067,-126.39569,-112.40542,-109.40414
37,-98.56747,-19.285404,-24.642712,-25.025967,-102.912994
38,-101.989655,-28.624218,-114.508934,-24.070068,-103.11742
39,-19.245298,-105.6358,-113.16713,-100.24079,-108.65947
40,-22.506393,-23.579372,-113.944916,-115.55136,-103.51712
41,-17.974018,-18.710945,-112.24321,-110.37129,-30.516338
42,-106.55975,-103.40354,-106.95438,-30.539463,-119.04084
43,-102.906815,-33.542603,-100.67476,-124.63396,-114.17569
44,-106.36481,-22.871084,-100.50686,-25.508303,-103.18935
45,-20.537573,-20.9921,-109.72398,-110.5737,-24.167488
46,-103.983444,-21.818438,-111.22454,-103.46017,-27.159376
47,-28.198112,-27.608395,-26.930859,-28.615465,-26.947435
48,-13.379457,-22.754908,-23.642254,-112.08012,-115.98717
49,-107.72741,-23.594177,-113.8548,-113.49415,-22.826078
50,-97.30961,-21.869566,-114.94087,-105.18648,-38.40949
51,-108.66813,-22.298712,-111.62646,-99.774086,-100.54806
52,-25.132595,-24.796867,-101.98214,-102.581894,-97.03119
53,-109.897354,-103.235344,-21.996176,-117.40479,-102.811386
54,-11.1063595,-20.626747,-24.919014,-111.72112,-122.511246
55,-106.54858,-22.360838,-27.047682,-20.082304,-110.417274
56,-22.921621,-35.967865,-101.05423,-28.971708,-94.82862
57,-108.867004,-99.92497,-100.06691,-31.396273,-36.110283
58,-18.512743,-109.63008,-115.49663,-102.94785,-115.271454
59,-13.741722,-22.681742,-99.8459,-26.385536,-31.820549
60,-28.159224,-25.672722,-114.22975,-110.47408,-98.5062
61,-105.90123,-99.34995,-28.594677,-100.10122,-27.833693
62,-100.328735,-25.275024,-101.98109,-100.71124,-22.871885
63,-17.72687,-106.69349,-113.090164,-28.148024,-35.43797
64,-103.257965,-23.810795,-34.56559,-107.1849,-28.879454
65,-107.278015,-16.865898,-31.051554,-39.882175,-100.53699
66,-109.6233,-19.533295,-101.35247,-33.203796,-109.02717
67,-16.209501,-107.52045,-32.02724,-104.045494,-100.31089
68,-123.60608,-102.05055,-104.76188,-110.98546,-102.12774
69,-107.00231,-18.833778,-25.415493,-26.121866,-25.15362
70,-112.46455,-112.13316,-108.780624,-109.68012,-100.4238
71,-97.069664,-21.848063,-104.072266,-19.135675,-28.831137
72,-113.31341,-20.284811,-123.20657,-113.58219,-111.0856
73,-30.653286,-24.107357,-25.787935,-18.442081,-28.504627
74,-104.32689,-20.394728,-103.27578,-37.134766,-32.873604
75,-105.523994,-22.163328,-25.036554,-102.19273,-101.77822
76,-113.23527,-102.18879,-99.03049,-14.57561,-34.683094
77,-102.7089,-22.16142,-93.2287,-125.35804,-27.988949
78,-122.18938,-21.63074,-97.573715,-130.39851,-30.746758
79,-98.08929,-25.438753,-19.226572,-115.25479,-24.440054
80,-28.554201,-20.737837,-112.69065,-109.497505,-102.160286
81,-121.651726,-23.178724,-113.69019,-25.685024,-116.48761
82,-24.104767,-28.233551,-107.98357,-24.107403,-26.675669
83,-25.863832,-23.858112,-102.37911,-104.25821,-29.016207
84,-26.06482,-25.872421,-22.191095,-109.87008,-28.486616
85,-16.044538,-24.754507,-95.92435,-101.610565,-22.121485
86,-22.442078,-27.924746,-99.20431,-119.52479,-20.77858
87,-20.785793,-26.671022,-108.78749,-28.443542,-99.08988
88,-133.96732,-19.707891,-115.976166,-121.48813,-30.218895
89,-15.305623,-26.290539,-101.17445,-112.37333,-27.946674
90,-107.589,-110.325195,-23.719734,-111.235825,-32.264484
91,-106.654915,-18.025164,-106.41066,-112.80276,-33.995075
92,-112.73032,-21.787863,-31.103304,-112.44762,-28.13971
93,-23.42423,-20.729994,-102.955124,-110.76596,-33.252197
94,-124.587555,-20.649157,-104.86791,-111.03002,-24.41601
95,-20.321047,-23.674355,-111.151695,-111.99346,-25.1697
