,It 0,It 1,It 2,It 3,It 4
0,-102.0358001647556,-101.66195725779204,-116.71459389779056,-128.5721932352626,-18.51370616447325
1,-102.2921467557018,-95.50473777915226,-56.09573864804637,-104.40041709531782,29.23963625612069
2,-100.04677327719526,-94.4783481473784,-96.12100745674883,-101.71031048026015,-3.0873659827006037
3,-99.49312529273517,-103.2469015640368,-112.86694804781551,-96.79879886281863,-62.931928235773256
4,-101.99126904753052,-104.04190818658486,-112.87816856021558,-102.9365467747304,-29.290640633839303
5,-99.53511016082763,-101.40768652081715,-118.34762176155078,-100.58503225839425,-11.55022848735949
6,-97.13067808225014,-100.99706892832046,-92.83271327067881,-97.90448735584133,55.89917834894263
7,-97.61706809014315,-102.0474501006297,-48.84700648619182,-100.931333489309,119.1607674647858
8,-101.94985961727618,-101.76220570830841,-96.73421925553691,-90.27745839890302,-95.25900110544532
9,-97.00568318973434,-102.39403521095,-98.72545965380827,-102.18145845934062,132.38728137091948
10,-99.16827593203898,-102.98195385842239,-113.56884106934987,-102.95813011579487,103.51095816630831
11,-96.63895037701504,-102.67391376306372,-93.50428168912264,-105.14305411492256,-35.87109060619362
12,-105.2624782441388,-102.45798533547375,-97.64701005894885,-111.27971384536102,-4.031939392660874
13,-99.97784151611344,-98.11463643928302,-99.15813253237276,-112.87300578605274,-80.18949952688193
14,-100.98557791964045,-100.69540259762667,-113.63511887036637,-105.33194657495478,-7.989136228961257
15,-99.7785629538997,-98.95333778655801,-30.905792129612284,-94.38415029864541,-59.14230938876957
16,-101.4095321075135,-98.38951958076703,-116.742655332933,-106.60865461181818,-37.253557309826284
17,-101.1187479963939,-101.82570396798178,-41.20240974185941,-95.52886336304589,-88.7001876089399
18,-94.06592906118401,-77.24339718150806,-50.952233251502726,-106.35305460726698,-55.01912936490491
19,-89.55786437648139,-97.73036132394704,-95.79725375167746,-86.20463837236012,-6.737513057332237
20,-101.36236691291484,-102.20223862289778,-93.62604303253767,-94.19270474103931,-43.99651070033215
21,-98.68740640702038,-100.34185583580964,-96.91363009891658,-99.13915014877038,2.758107935766944
22,-98.10707702726498,-101.6157143656712,-100.95114425540902,-119.03961569587568,118.29282728329159
23,-96.40942530680378,-102.24916401622794,-91.59042965908007,-95.53229928220284,-9.671173393782226
24,-100.38336503168087,-98.33059425991127,-99.33188004984963,-104.39619746197093,-50.427498173385004
25,-96.07580688713708,-93.93122371087053,-93.00050473874963,-102.01392954902421,4.741000373991156
26,-98.45697262300831,-96.69333377486944,-58.37554850157302,-111.11281120161169,94.12187089528922
27,-97.30279953817825,-92.72499283410593,-33.588326733543305,-127.12498887402619,-60.33810149593248
28,-94.31793815632751,-101.85442169991127,-101.75699780835336,-103.53374861570742,0.21835613878913307
29,-97.51520339555286,-103.90286227614308,-94.75860176024973,-125.60469139500316,58.94119214813034
30,-102.79055518386747,-99.35394404472201,-112.8870494197618,-79.70263818049396,14.523606677793595
31,-99.19001717972364,-101.45121198408602,-110.60151149033211,-123.64237865314364,-50.66908162410944
32,-102.94523604745261,-92.53593764503059,-98.97184663234523,-97.23385537045147,6.13023920368083
33,-102.84840979598314,-103.96416901132798,-53.15485960965109,-120.00257761698607,7.4331355807191954
34,-93.11169839552554,-96.85759540854717,-100.18093207767761,-90.55436060467592,25.28331107634051
35,-99.08315972501568,-101.29251768081186,-60.10686009965229,-100.57827596335687,34.27396526738613
36,-101.91342003405839,-103.30997900229879,-97.987458304806,-120.2141713010331,-31.102945661926896
37,-92.26277744452437,-102.97707761118096,-114.16637984610722,-107.56965320231967,36.238687639388274
38,-102.28475590582231,-102.74762537332082,-98.51010962743622,-83.95651136677976,50.59228122452285
39,-96.18136821767447,-104.05456000280186,-113.67364426016505,-112.70213815079994,7.0084500566649695
40,-95.77510762353242,-100.82848124160687,-100.34053203069054,-110.84755279556673,36.8747483642768
41,-99.9932305900839,-101.95710954867563,-94.43437365843636,-95.56804065163155,-77.87229272819154
42,-101.10570849826648,-96.3373202285197,-97.34555035992828,-89.90337643808965,-13.403336557477004
43,-99.1721239071129,-101.53590296693,-112.89985265625516,-123.51415674134881,-9.709760995408686
44,-102.39355297462393,-100.99835801164953,-95.57355595824681,-111.19015590710518,-39.71890546719541
45,-101.90256155982861,-101.92561764926285,-97.7903592492905,-117.97401298772193,-60.65307083035215
46,-97.08283433302182,-101.06846904012468,-96.18504406374446,-119.56750232778325,-49.702050510651524
47,-93.33776862637808,-101.12740382108115,-98.66059013489401,-97.91044745406539,49.61541032573717
48,-102.157224944142,-98.41815563177907,-105.03174364704678,-107.03445047281586,-12.781626460612543
49,-102.10667423119023,-102.31087807972276,-97.69324093555876,-98.31881411205264,-94.51778039061736
50,-102.35623611169991,-103.40922215411838,-106.76008146377917,-106.40180235095998,298.70136594060506
51,-93.42435392483851,-104.04994698010975,-114.257787708734,-110.98877291014543,-94.2904768979599
52,-91.18808744697668,-101.13112654012934,-99.06014964414946,-120.83885366289721,-1.6692555695723712
53,-99.82589648272472,-101.91985510909944,-112.88119968237646,-103.78127676164588,-46.84600968719403
54,-97.22073645652179,-102.51428885712413,-117.93880363131008,-107.50806648535075,-42.74878266801245
55,-91.2459564531363,-103.28196646621396,-118.19889314815906,-90.18842188577241,-6.029397287965892
56,-102.88842618017976,-101.07865966510586,-99.6145145895762,-107.43535137272377,-0.9933340215961692
57,-100.82635020950067,-103.79997335310071,-112.27763550580899,-100.11292750824305,-93.886158533756
58,-101.54471017829889,-101.41564059925057,-61.30490835839117,-98.41125746161273,14.704981839291335
59,-95.55548859962606,-97.2881257383013,-113.58005176235797,-115.88958860624939,78.75506753040628
60,-100.88910033448879,-102.7924845014715,-109.93587535006809,-105.63492586185566,35.424519235014316
61,-99.2259440274563,-100.8277676176622,-97.27761067473081,-94.79364866557997,10.68405047743424
62,-101.02681532357556,-102.40935447694082,-53.82561407194798,-100.29617036516227,55.19605042079547
63,-96.90786118361633,-102.03965521037547,-55.03666886272784,-98.46835592083694,57.37486561645963
64,-99.34709262829413,-101.07294798792721,-101.09943662412651,-89.79768866243283,67.54355446807179
65,-97.65111858604158,-102.51543242842487,-92.05870696700582,-104.93169122837655,11.970636981931861
66,-101.61570436850593,-105.31841642775791,-100.72153867934892,-101.65370738927322,-16.502012374699987
67,-96.65419109382061,-102.94061643483366,-112.8957584471004,-115.94408709488702,-66.00945973947518
68,-93.42747490422165,-90.54138610790672,-96.8196066298474,-130.3425797047947,-18.145771467978406
69,-100.36655521559032,-101.5459798457439,-101.56104102345866,-91.53477419573193,-85.09572308593982
70,-99.83416542079051,-102.38973484398207,-95.38679212829082,-94.78631470468082,48.72591526273047
71,-99.71240614758533,-103.92225239392455,-114.16357717277839,-103.97708165416176,-85.41584543864491
72,-98.68893050702319,-103.29136041724139,-113.7604308128776,-116.07447593879697,3.8666831077103723
73,-93.33023699301268,-104.1222556904937,-102.32260442921302,-105.39818749122043,34.5289847127147
74,-91.6837160356484,-101.67182404301928,-100.54476964027839,-104.50581738093116,-3.6384958965443985
75,-98.39940711284258,-102.42082703474661,-113.64343417834607,-88.6437511323288,83.65783062142503
76,-99.72263316482785,-95.63981027683192,-42.41323414973017,-99.12980727552355,-41.640682366988294
77,-91.09567987766303,-103.18186872802701,-52.92928629428684,-114.63403223887364,-14.509860104639174
78,-98.38676392828486,-100.663894432542,-97.85675394092758,-107.29239929792968,106.74125669604581
79,-103.22735478791341,-101.13132548309444,-49.385795067758906,-93.24703078218968,54.381362372610425
80,-92.35919422347774,-102.72010084768067,-102.06376869034519,-101.62299120953664,-69.52849815401
81,-100.2967581038437,-96.51503287015898,-97.16018943324747,-95.16082012035767,53.699845119396656
82,-99.97598143165551,-101.5769137329685,-103.05238636362638,-91.01150154036904,-19.15261850976856
83,-99.35057422924663,-104.41702088491165,-108.92198112457214,-102.99204402703536,-26.650848240068697
84,-97.71738497677299,-96.66351262694597,-100.28504596406097,-90.1274260557606,-58.40704272747126
85,-103.59269512758264,-97.8475559119534,-96.40213774879929,-96.71394998319207,-25.081988098842487
86,-99.69926558098116,-99.4779345886232,-91.310664430803,-108.53304183909367,-29.315682851984178
87,-103.38678541643878,-101.32222639464156,-97.36219632259757,-121.48663305583722,14.499042665960573
88,-90.13668845454791,-102.68473929544119,-95.83159768953561,-109.47112930229865,-51.9196111014479
89,-102.23235784407596,-101.23800629103995,-99.09896419835222,-97.8060164698277,-12.193944877958856
90,-97.61408745731768,-100.72542936057317,-112.88309104730857,-106.88105246951001,174.69831341371503
91,-100.33516308065923,-99.9561445981809,-58.555477523563304,-105.56904724572351,-90.88000199976501
92,-100.68421401048064,-99.53126200654971,-61.784100984519334,-94.04779755250085,102.9320487726325
93,-93.19429350503728,-101.33126298839491,-113.26826026045298,-98.44035786332395,16.816794406305135
94,-101.94585687542178,-96.57317022402235,-109.16831344949975,-107.15627656303121,-15.690964628876529
95,-92.95124445341872,-102.17065697149948,-112.43482983725704,-99.26285384041614,125.84344808910532
96,-99.48512069294121,-102.85558324161063,-52.70821435352354,-127.73191803599913,-36.14580334316142
97,-98.64778267428946,-104.7525782813403,-100.47758968959035,-97.9995634525471,-12.718887755167131
98,-101.15117067550709,-101.69432136153382,-113.27592334270197,-113.76692881320378,12.042402410883696
99,-100.88534096474388,-103.33944713208918,-112.7802604240311,-107.61926823897078,-11.76006050071831
