,It 0,It 1,It 2,It 3,It 4
0,-60.65230417145411,-162.5017632616982,-100.06098298434013,-93.086743650783,-108.47001668590897
1,-64.50089107840846,-107.4039452846398,-99.90098626674339,-93.85906218617782,-105.10524813747126
2,-57.53610994534098,-117.39208203074895,-98.57243590182244,-102.47870862049221,-100.15927196905048
3,-52.90131664753833,-106.91552616152012,-99.74955504630832,-92.6937889584056,-105.0071663267555
4,-50.404617718225545,-106.99408741475416,-100.10819483244838,-94.1738823469157,-105.17405290329533
5,-57.095743323811476,-111.15818516728343,-99.7628594563662,-94.61620971105194,-112.89963444360671
6,-72.3688046126595,-109.50891108545413,-99.61633243668003,-100.93067089057581,-105.82551190360702
7,-68.75031472686989,-129.68402219171793,-99.83798811873173,-92.26511928118828,-103.95109023913912
8,-96.91774475782489,-107.6351631007921,-99.89910483320492,-95.40016790802846,-110.66023458474595
9,-96.93670298194823,-106.95039319457051,-99.90869643748614,-94.13080547137,-105.96624118688874
10,-51.086102390995066,-107.60476101374937,-99.78925729223138,-95.28715463755753,-104.20988588554233
11,-50.24746676389498,-107.685239749372,-99.90377872553717,-100.08404083817122,-104.6679684040025
12,-69.01145417402095,-108.6909216321682,-99.8441671439968,-89.84725007050733,-107.06042318168112
13,-55.51687643773966,-134.46394806102788,-100.01665400583654,-94.14648082308781,-106.15381881692804
14,-50.47424707728874,-107.31830732169593,-99.90296627063118,-96.14331308677498,-105.4694618385549
15,-96.95883286810667,-107.40532708343243,-99.84787243835659,-94.17460945110582,-105.5359584543264
16,-48.546365171601195,-107.21991643639684,-99.7590787226044,-92.95141712071094,-102.44617156606475
17,-97.0139611776735,-107.34174114251633,-99.96700373533291,-94.16599959775122,-101.90917312870772
18,-52.62381591683838,-107.86547049620064,-99.84808086046421,-95.20836680131332,-105.19930034497224
19,-51.78267811450259,-110.47894799126313,-99.71496078260896,-96.03292157691469,-104.62677617911874
20,-51.967417655675405,-109.43698409785641,-100.00211717777319,-94.16784860501315,-104.65392338783512
21,-100.71619708951171,-107.75347163387387,-100.02381805029907,-96.47261875457775,-106.644067116896
22,-96.83007188109262,-107.57937664209616,-99.94427470109751,-95.76235156064058,-107.77965480156615
23,-96.43514723608449,-107.32026974080512,-99.96900761054503,-93.01060913848877,-104.71383807960153
24,-50.480523597034576,-109.1400820554411,-99.96996219950752,-93.1363195058989,-103.80254109870573
25,-52.03952399256467,-130.40080075296356,-99.97156616115647,-92.68081860441777,-104.00496940617084
26,-61.02976564881371,-110.41050127816005,-99.91785293184826,-92.85112775013098,-103.20799400925296
27,-56.29546788510398,-109.01521967705774,-99.92420891094487,-94.13756632873603,-101.51784131789285
28,-51.11570467504701,-109.58756211015314,-99.95142525185304,-95.90775601004064,-102.89508053786774
29,-96.95737145904079,-107.66719770203903,-99.90653597764422,-94.16687746571937,-124.13956871536794
30,-63.96461851556961,-107.81646077615706,-99.67299099965548,-101.2845661082085,-105.57000315405304
31,-50.60205028516393,-107.90012060088229,-99.9288202329548,-93.91615785821818,-104.3834899299543
32,-52.35695663384499,-109.03624649546047,-99.9472148308681,-96.30490240230785,-113.77669741020779
33,-62.84173306560092,-109.63220769604939,-99.93471545750702,-92.27372500088904,-104.04370829438108
34,-56.80534841312918,-107.219246884988,-99.71704310494165,-95.44696082439184,-104.8938739313935
35,-96.21702937471292,-107.52300181378858,-99.97303780712754,-95.91661773377595,-68.50628356695313
36,-51.861611504723605,-107.29534322501284,-99.96717506520636,-95.94912194473606,-109.75567408243877
37,-49.16476335060981,-111.28186293521709,-99.88059099480571,-95.92164706720101,-113.74229627802161
38,-53.544975857337306,-107.87741859483222,-99.71804425819435,-96.06522401490062,-116.47402269153514
39,-73.69880037558376,-107.89889981607286,-100.00049033774731,-92.2656445933152,-101.08256729635659
40,-71.3016071477202,-109.71380886565024,-99.92204045620747,-93.6469521720043,-106.20654727784296
41,-50.74406982674706,-106.98810803700859,-99.93519273042628,-94.16876589196858,-105.12025915276864
42,-52.09727006969909,-116.96614271596262,-98.55117851895358,-103.97121442640588,-100.09913315531891
43,-95.82539378935223,-114.87753878355089,-98.37212146328805,-95.59413226043247,-100.15599392166082
44,-71.40189075210073,-106.81251855062756,-99.90160450105431,-94.61699385970738,-116.17957059987123
45,-52.03924225811504,-106.54762851826474,-99.93296325261336,-95.23275144159557,-113.80379602467828
46,-80.34993359100548,-109.909286105901,-99.8458294182963,-95.33678384216937,-116.32591000792625
47,-57.27754582471674,-107.44581596416545,-99.86901751439599,-95.97226330938688,-113.76475005161817
48,-58.96944739118659,-154.9971294875735,-99.92685781120443,-94.12927986039284,-102.667888476938
49,-53.937005247061364,-108.02735691417816,-99.90735978173868,-92.91521477362265,-107.93530620970996
50,-96.82020340214731,-109.4047957322287,-100.03680526502524,-92.82178251182536,-106.64430516404643
51,-51.094792290179576,-107.38957398405205,-99.74080015941601,-92.8751447241654,-106.78074085795018
52,-96.59484807637396,-109.51321303721517,-99.87012445985386,-93.9040508225194,-113.78080020642707
53,-96.95613696256218,-107.84872008920243,-99.96067045212754,-96.0687733361305,-103.97029378463856
54,-97.22756584474115,-109.26327315159638,-99.79334229144011,-94.10498351339996,-103.43164297087219
55,-52.01695236272854,-105.4865880446819,-99.71295624870686,-92.42718688667814,-103.75948838493538
56,-96.91317496442981,-107.26462211302636,-99.99913409132246,-95.32172018416098,-113.19238949275902
57,-97.23445483434261,-108.02229263023287,-99.88358654119851,-95.92280960129574,-100.35440864367489
58,-100.71312792661088,-107.35263037271301,-99.87019611720446,-93.00993059644212,-114.27186538709903
59,-96.9071980043097,-109.21273648844597,-99.8499082876138,-94.1372154706164,-105.30088079384156
60,-51.41263438052294,-107.66148900600957,-99.95360350866379,-95.32878951753008,-113.6663414024855
61,-50.34015479438117,-107.22652252990892,-100.02241412124147,-93.74420644085978,-105.17112067027033
62,-96.4772257592321,-106.55552340387553,-99.66711918693595,-94.14163911115254,-105.4698063377426
63,-69.98879453970653,-106.341551146357,-99.96840628125406,-94.46880862997604,-69.92217619686748
64,-49.22153939016721,-108.45465899726399,-99.84578378913719,-92.26480757304917,-101.31464489338465
65,-52.70691463337872,-111.67751189190957,-99.94930711446435,-94.16015540131865,-111.33687775720063
66,-97.15272439677517,-107.85701660689028,-99.9476395746364,-95.51783031848174,-127.70748868553456
67,-55.3388338827086,-109.053288632093,-100.17432370152689,-96.0582954673435,-104.27021373639147
68,-53.39186116165843,-109.68737957959499,-99.84947968149807,-94.1897053478174,-114.10316004489984
69,-50.33524695048494,-109.2499269313387,-99.96865581877343,-95.3184114595827,-104.85378719782379
70,-53.847703359645585,-107.7118105160892,-99.89762726475097,-93.02792160295881,-103.94719383799907
71,-49.86149242151332,-106.7552294588002,-100.10299600567346,-95.9520106635578,-110.5360795425959
72,-96.85069928999152,-108.17384189922704,-99.6217310603226,-95.94618156225235,-112.19010463500814
73,-49.45592201704228,-111.52737312933615,-100.14890987300728,-93.00685451242452,-104.98098564322262
74,-96.73136541596318,-107.55420310891668,-99.97691700867703,-94.61358038423776,-116.42203470341437
75,-96.57100343337903,-107.4045328619027,-99.9342557249091,-94.16877513203895,-104.45081064019041
76,-50.43088334194801,-107.16184009742116,-99.92776990759306,-95.94657191427983,-122.9154994299126
77,-52.27827387634914,-109.49713672421501,-99.89171491394688,-92.6964544750036,-105.92834896918325
78,-49.32980735871325,-109.16378641431407,-99.96376756303012,-95.34227554304688,-106.87080935220638
79,-51.22470506716456,-107.54842121578876,-99.915708378649,-93.65856943783164,-106.75016237471718
80,-50.05993990680643,-107.2298221963124,-99.95986600602728,-95.28142959478521,-104.13321918442722
81,-51.291045335506176,-106.90180776787861,-99.91027461214456,-95.90066896694154,-104.1285415472916
82,-54.79938171213864,-122.73031284307005,-98.35382501617075,-95.56984646806804,-100.20911275338196
83,-51.061089472390435,-116.85030932949576,-98.32274561240625,-97.64741684047102,-100.14240413493779
84,-61.94476282716956,-117.57868324140429,-98.96298484522104,-98.70515873788653,-100.13414952039221
85,-55.864315622969514,-109.91255434599674,-100.14853093878874,-95.96633403162038,-105.2347603324297
86,-50.57703033881463,-111.05940686161414,-99.93900767459643,-99.85107479682898,-124.06064500680647
87,-50.699398202265144,-106.42472116155302,-99.97026608669634,-95.74972059573187,-105.18111906071364
88,-96.58000125309371,-110.8777316343716,-99.96791066485022,-94.16302971537846,-104.34971421703821
89,-96.88043624587264,-109.42865002314373,-99.73133871372292,-93.9772357506431,-113.75499169993051
90,-52.69288460791916,-109.44617236989394,-100.10978632866902,-94.15509317551367,-99.22574260423069
91,-96.19105810069573,-105.9875301104247,-99.88768613841758,-95.91821682698715,-106.7682491493153
92,-53.732397528536545,-129.96071449264758,-99.96626818285075,-92.98167912325108,-106.35902366252725
93,-67.23319718830606,-109.39322891289493,-100.02004344169035,-95.81665493681406,-113.77603382259164
94,-50.134972252279155,-107.73665865598433,-100.04948302181701,-94.61465120346394,-106.71513763407859
95,-49.14837621069773,-110.81316661535728,-99.93195167141128,-94.37484812252937,-106.6166670021064
96,-51.42303948302263,-108.82883830931472,-99.90165575610986,-93.0875880434687,-111.74389328320278
97,-96.88317158356402,-105.76077543583598,-100.05405295703218,-94.74026457750091,-113.88123975592742
98,-97.01170564751885,-108.57080949626304,-99.70223252752082,-96.04952542593858,-114.7529512391587
99,-72.46880449397248,-108.71990531173287,-99.67450191889684,-96.05314536699055,-103.03495337548448
