,It 0,It 1,It 2,It 3,It 4
0,-105.93318,-33.310345,-25.49149,-116.09021,-19.75575
1,-15.244015,-117.046936,-111.82449,-121.93316,-25.51773
2,-108.848145,-117.14613,-117.60813,-127.085594,-116.806656
3,-26.582539,-112.68805,-120.913925,-114.135086,-113.76281
4,-35.445293,-114.07391,-117.2412,-114.656456,-112.38626
5,-118.73497,-113.14883,-120.60765,-111.449455,-127.37219
6,-105.43463,-115.237144,-120.10444,-110.5864,-120.560196
7,-104.71195,-120.823555,-118.82626,-103.6805,-122.868034
8,-131.1615,-115.52081,-117.558784,-21.956549,-111.23183
9,-125.40819,-118.02779,-115.97241,-105.94944,-24.478947
10,-104.61388,-117.588295,-31.889473,-100.76288,-23.517338
11,-120.35482,-122.52496,-107.32151,-15.709723,-108.244514
12,-100.39273,-117.526276,-28.354836,-18.033808,-117.44804
13,-20.558203,-116.81343,-106.790016,-103.38542,-37.533886
14,-105.36944,-122.22974,-108.10535,-122.549774,-107.04126
15,-106.69243,-103.77878,-109.426865,-111.468666,-32.652454
16,-26.566437,-127.41715,-20.351734,-23.94585,-112.48278
17,-22.017447,-110.83712,-20.192287,-27.841574,-109.152794
18,-106.882706,-28.091488,-22.204145,-24.473726,-31.850895
19,-101.476326,-22.097887,-22.813858,-102.72819,-120.22242
20,-116.6264,-20.43495,-33.667328,-24.958645,-114.618484
21,-23.254719,-18.15589,-36.19736,-23.599314,-19.823961
22,-17.67027,-23.407467,-29.814526,-99.83859,-101.991585
23,-23.197035,-20.84932,-121.40813,-105.727844,-107.08483
24,-19.88707,-113.37292,-12.937475,-102.84592,-110.351776
25,-24.983335,-20.52749,-35.498528,-109.77921,-106.8669
26,-113.38164,-102.37385,-24.252743,-108.40631,-33.973526
27,-103.115036,-103.44017,-32.21981,-21.336107,-26.236864
28,-104.319626,-15.389587,-116.37845,-25.11535,-111.84862
29,-107.69995,-104.30429,-103.99025,-116.462944,-114.82884
30,-19.899128,-10.696512,-106.18653,-103.283,-111.457924
31,-26.512629,-104.752045,-117.236725,-25.146244,-22.419426
32,-115.07585,-14.249663,-111.19537,-31.851404,-17.87924
33,-97.0974,-105.21845,-117.53205,-98.14116,-22.407234
34,-23.073042,-21.09671,-95.84318,-103.37217,-104.06924
35,-101.618416,-95.4782,-31.451479,-23.981104,-18.745844
36,-104.06459,-24.245312,-33.447853,-97.85009,-17.226393
37,-113.44412,-116.09184,-100.51883,-113.58006,-115.934326
38,-22.027227,-104.740135,-100.92347,-19.374165,-102.34163
39,-22.511805,-103.22622,-100.34637,-109.57699,-103.241196
40,-107.971954,-25.893034,-26.111897,-99.65938,-111.29726
41,-101.94807,-114.937294,-25.872145,-25.438494,-104.64552
42,-113.009285,-18.46661,-25.373596,-24.853102,-22.21314
43,-109.9043,-114.43924,-100.16465,-22.745045,-113.89524
44,-31.291454,-116.016304,-22.0017,-22.394793,-104.81015
45,-99.14026,-113.28526,-24.048985,-22.390724,-111.924835
46,-111.870346,-22.574192,-24.98413,-17.16819,-106.08406
47,-27.084724,-115.462135,-21.292994,-117.35514,-20.623215
48,-18.220627,-109.531525,-99.87168,-28.643507,-20.924158
49,-102.2957,-19.693195,-21.251947,-22.292597,-110.83791
50,-100.50183,-112.785965,-19.616785,-18.587996,-19.87918
51,-28.61815,-102.809586,-110.72704,-110.16814,-103.73181
52,-101.85295,-116.930466,-21.548683,-100.20621,-112.105515
53,-108.35395,-27.075634,-102.48202,-96.18754,-33.87406
54,-99.0941,-30.403618,-103.09726,-20.484625,-118.36714
55,-101.47595,-121.520966,-33.47111,-24.484907,-113.10142
56,-110.46151,-104.90451,-32.343693,-107.41237,-132.88896
57,-101.68661,-103.338196,-26.48751,-115.81958,-108.82763
58,-107.343735,-27.093285,-11.720772,-101.968666,-17.580574
59,-99.45455,-119.39903,-112.95441,-24.84104,-101.18153
60,-112.69919,-100.7136,-101.788155,-23.627445,-100.70104
61,-111.10027,-103.93054,-37.392967,-100.80391,-115.12302
62,-16.539944,-98.84313,-15.547147,-23.744368,-124.21056
63,-108.18071,-20.044153,-21.316423,-105.39006,-114.00904
64,-34.206596,-24.22713,-19.00556,-100.48928,-107.400154
65,-104.02614,-24.88475,-18.635508,-101.611,-118.47127
66,-110.562325,-108.14343,-17.892836,-25.221966,-124.41426
67,-100.17922,-100.844574,-28.207697,-26.278147,-109.109375
68,-102.35879,-112.41315,-24.236097,-23.599428,-103.15631
69,-22.807384,-18.999447,-24.589148,-27.105635,-24.994581
70,-102.01139,-112.83952,-34.716816,-21.93319,-108.882774
71,-21.63588,-23.086462,-104.23459,-25.152367,-102.30437
72,-19.51337,-103.20286,-105.27663,-24.61534,-101.07223
73,-94.202965,-111.28709,-95.442795,-99.73815,-105.577034
74,-121.9974,-31.984978,-27.730587,-103.23408,-102.66101
75,-99.066,-14.2406845,-107.40494,-26.818848,-23.525742
76,-18.519909,-109.152214,-24.21566,-105.30866,-26.730108
77,-98.94981,-24.753815,-23.993055,-18.107033,-23.41905
78,-99.126144,-99.7395,-21.737997,-23.312428,-103.303635
79,-103.37702,-102.71369,-115.48689,-21.70379,-13.182386
80,-104.860954,-106.938995,-26.149235,-22.197353,-18.575642
81,-104.81515,-101.52126,-109.70701,-97.08682,-103.870346
82,-95.23901,-96.18876,-21.934996,-24.546637,-27.028992
83,-104.2791,-4.375179,-25.186882,-27.53656,-98.02713
84,-110.86465,-21.005436,-28.288149,-20.314867,-25.595423
85,-103.84203,-103.82757,-23.41594,-100.307884,-100.58191
86,-100.01618,-27.093918,-108.85648,-20.576975,-100.74917
87,-22.97172,-104.9196,-105.76426,-25.011126,-12.866325
88,-99.71966,-102.20334,-24.656128,-112.44058,-99.41778
89,-102.44644,-23.776386,-25.489223,-24.949495,-105.848755
90,-103.8616,-107.90295,-28.312267,-25.169535,-103.76432
91,-26.104612,-21.908047,-115.79855,-95.61133,-21.965656
92,-97.302376,-102.987274,-108.80036,-23.32963,-102.30442
93,-24.53899,-106.93594,-23.94273,-19.056555,-18.679323
94,-102.125404,-101.00415,-28.990467,-23.359709,-106.67593
95,-101.43187,-97.77554,-106.48703,-22.144005,-102.561035
96,-100.968506,-103.46263,-103.38096,-100.42874,-16.295872
97,-102.48991,-23.114706,-103.65257,-15.906611,-103.832016
98,-102.515175,-114.92874,-106.081635,-31.40734,-98.834
99,-101.63483,-20.313448,-105.52789,-24.67828,-26.05532
100,-100.986015,-127.60837,-23.79923,-15.658843,-16.329485
101,-95.13296,-110.23558,-25.902454,-17.996513,-96.49982
102,-98.3233,-98.8162,-24.051172,-22.306524,-19.084888
103,-103.08441,-99.52907,-98.37592,-20.659374,-22.110292
104,-101.33538,-98.72915,-18.624435,-2.4593108,-114.26131
105,-102.46248,-18.801628,-103.65113,-96.46849,-109.560295
106,-15.709536,-27.19054,-13.274344,-22.022316,-100.06061
107,-101.92093,-103.88041,-102.36783,-102.68215,-101.767166
108,-99.013,-20.402214,-17.367998,-99.37357,-16.985033
109,-104.456696,-102.38713,-107.15743,-12.188005,-23.629944
110,-24.060215,-20.40454,-106.06242,-102.648445,-20.884134
111,-102.89817,-99.38772,-20.663286,-24.119196,-31.166304
112,-101.50348,-102.296295,-113.35625,-14.760158,-102.92303
113,-109.70214,-13.531848,-97.73449,-15.453962,-105.191734
