,It 0,It 1,It 2,It 3,It 4
0,-107.92584,-102.56686,-108.15829,-108.09915,-28.74428
1,-110.19795,-113.27961,-109.610985,-114.81868,-16.610981
2,-108.19154,-113.277534,-113.55351,-31.914722,-22.238688
3,-118.39639,-115.566605,-118.32013,-35.41182,-121.43183
4,-116.49039,-115.21138,-121.875854,-108.18085,-119.11412
5,-114.65112,-121.98537,-119.47374,-115.64117,-119.35097
6,-116.652565,-29.938053,-118.311226,-115.6508,-116.30386
7,-115.053024,-29.543137,-112.909775,-111.08378,-114.2764
8,-115.27643,-19.641695,-119.28688,-34.93555,-120.9569
9,-35.75555,-31.680542,-109.38273,-27.696941,-136.21918
10,-36.740005,-22.200705,-111.96852,-112.20332,-119.785255
11,-31.70888,-99.2456,-109.27406,-110.417175,-116.14855
12,-26.133425,-120.322815,-107.26783,-110.66141,-115.98446
13,-119.16183,-115.2028,-112.99016,-117.94997,-24.435177
14,-109.724495,-20.603844,-112.45889,-115.21762,-34.26552
15,-124.43266,-104.51596,-114.64903,-109.67129,-19.83247
16,-33.7816,-103.64561,-107.60434,-102.88823,-112.681625
17,-105.126495,-103.78592,-28.464275,-21.053856,-112.94288
18,-118.50305,-122.4853,-21.699696,-113.24336,-26.100706
19,-23.182384,-106.64052,-107.48168,-14.276093,-102.94276
20,-25.712763,-24.772469,-24.045753,-114.88371,-115.1437
21,-30.773125,-103.295456,-104.97476,-109.50092,-117.56696
22,-20.327223,-100.540886,-26.714743,-24.327166,-115.23964
23,-24.06334,-25.852552,-112.13159,-120.09669,-115.126305
24,-113.0932,-20.178173,-24.127287,-110.19116,-16.969236
25,-103.09674,-23.983511,-26.651419,-107.24206,-21.201866
26,-20.528612,-24.776695,-108.57834,-97.07983,-102.01557
27,-28.000124,-101.64782,-132.2296,-29.756823,-20.196346
28,-28.40303,-19.519226,-107.260506,-103.37072,-30.808315
29,-103.109085,-22.802732,-28.231844,-103.60575,-27.83256
30,-108.55884,-27.931564,-30.435934,-106.73418,-112.92606
31,-24.072361,-23.229687,-125.46359,-25.023935,-16.681583
32,-103.63328,-24.484114,-109.75747,-23.585867,-19.327345
33,-106.34663,-103.6008,-104.122154,-115.47713,-28.817507
34,-102.08109,-35.38518,-104.34237,-120.04474,-107.71067
35,-23.336226,-21.39031,-112.64272,-110.16152,-24.049881
36,-29.454292,-101.93836,-120.91033,-113.857544,-108.71856
37,-100.673836,-22.862663,-108.987015,-115.0493,-23.62943
38,-101.00822,-26.988707,-116.56216,-122.98763,-27.886229
39,-100.464386,-112.48938,-105.27754,-21.642975,-110.14514
40,-20.948193,-34.342514,-108.58956,-108.034904,-26.896812
41,-113.5795,-109.14205,-28.685242,-100.910164,-19.210484
42,-102.63843,-112.46557,-32.954613,-104.15541,-23.323475
43,-103.96371,-109.27443,-31.152563,-20.761564,-98.9872
44,-14.480572,-109.18172,-29.952806,-96.76439,-106.654594
45,-19.42175,-113.84788,-102.41438,-114.38652,-105.40788
46,-15.145256,-37.51723,-31.302328,-108.93874,-105.831245
47,-103.84954,-23.20957,-26.932783,-116.55635,-22.170033
48,-105.00036,-109.23593,-27.06808,-103.13945,-18.621851
49,-105.898,-26.761272,-104.73417,-122.10606,-106.51267
50,-103.835365,-100.28279,-22.835602,-114.34737,-101.036766
51,-19.667778,-102.127884,-27.213022,-109.203125,-98.8437
52,-117.17417,-99.83111,-26.029863,-24.115566,-116.66497
53,-110.642166,-99.41415,-15.77029,-19.763937,-19.210114
54,-25.986237,-104.26761,-28.176182,-115.18113,-16.282007
55,-27.920506,-100.34678,-26.87922,-111.00491,-102.557274
56,-101.72275,-112.86099,-104.35561,-103.030846,-14.969631
57,-24.608702,-114.65386,-106.635544,-105.86308,-16.820328
58,-16.60585,-111.868286,-24.96565,-16.635479,-101.95447
59,-121.54019,-104.241005,-26.726486,-16.325453,-20.069324
60,-19.970457,-107.692696,-110.503784,-20.279188,-103.792465
61,-110.99892,-22.012794,-25.1547,-18.064852,-106.224365
62,-16.79813,-100.98017,-24.740906,-27.853855,-29.287056
63,-20.079517,-103.75815,-107.41278,-107.63396,-99.79874
64,-15.129067,-118.82305,-104.09045,-126.05829,-32.44621
65,-100.08965,-109.843544,-29.05663,-108.12422,-105.70892
66,-97.37721,-111.776886,-104.03618,-109.2298,-12.524674
67,-101.77474,-98.03684,-104.056915,-105.059685,-35.79106
68,-117.32383,-103.18723,-20.918104,-116.047195,-21.803438
69,-97.29724,-102.34671,-109.48913,-100.86012,-26.675318
70,-100.19744,-102.624176,-107.41491,-24.130184,-24.890718
71,-23.377663,-99.796646,-111.66838,-115.61519,-27.911657
72,-101.88739,-103.85598,-27.186796,-98.15791,-28.66734
73,-29.394617,-105.99023,-103.7522,-27.083757,-24.084059
74,-23.58715,-111.48129,-20.578388,-26.18971,-104.80816
75,-21.097775,-102.397964,-106.170456,-27.136202,-27.26143
76,-22.530682,-103.332054,-17.94258,-113.71472,-24.180693
77,-16.892078,-113.78027,-101.244705,-108.763596,-111.072754
78,-17.412968,-111.37865,-103.12661,-100.78508,-106.66291
79,-20.798471,-100.67382,-24.96321,-123.461555,-106.85803
80,-102.20672,-109.592255,-110.86446,-110.77559,-113.707924
81,-115.17331,-101.58278,-97.62591,-100.605896,-19.720499
82,-20.12858,-98.40117,-99.338455,-115.48654,-113.6515
83,-110.71374,-101.382515,-11.079295,-110.928665,-104.82203
84,-115.75909,-101.21135,-108.152565,-104.35949,-17.103477
85,-114.310715,-19.272572,-103.93138,-39.78185,-24.984219
86,-18.646729,-21.678032,-100.65399,-28.861786,-24.27229
87,-115.59021,-16.024954,-100.91337,-111.30761,-107.8714
88,-101.84725,-101.73137,-112.544014,-97.436966,-29.309578
89,-100.00552,-18.902927,-115.73673,-32.71227,-104.81554
90,-125.207504,-106.4793,-95.81689,-109.19741,-12.615126
91,-16.318312,-100.16028,-99.11773,-34.30468,-15.486004
92,-19.248018,-101.14136,-99.6706,-111.27278,-102.14925
93,-115.56741,-99.60309,-103.013115,-24.049068,-99.86209
94,-18.762503,-104.06692,-101.91716,-98.08357,-110.86443
95,-10.90391,-102.01737,-113.13496,-35.405907,-102.96756
96,-111.93551,-99.51972,-100.173996,-120.29156,-19.47748
97,-103.70459,-14.651425,-99.215225,-30.186241,-20.874271
98,-108.69063,-17.828289,-94.3188,-99.27379,-100.12155
99,-109.0405,-113.12491,-101.43531,-111.71854,-15.675908
100,-24.263151,-102.42971,-101.063286,-104.16797,-103.40325
101,-25.581575,-22.37791,-113.541084,-3.1391134,-17.45451
102,-24.155329,-100.48229,-98.34711,-101.32034,-114.118095
103,-16.739655,-25.690216,-36.658695,-107.795525,-13.731547
104,-109.66676,-110.522644,-98.555115,-92.04571,-20.921488
105,-108.53783,-106.359604,-23.649899,-100.45249,-21.392107
106,-18.42004,-104.28031,-108.28691,-98.29949,-107.13519
107,-97.73117,-100.462845,-24.685135,-34.07909,-105.00038
108,-114.8844,-21.718132,-29.550714,-29.48546,-103.381645
109,-16.027826,-102.10854,-29.017282,-104.89359,-112.80908
110,-14.766721,-99.84281,-116.50131,-103.703926,-103.17671
111,-27.696152,-116.2349,-98.87492,-96.243004,-107.74731
112,-8.176337,-102.08206,-107.71173,-101.833336,-17.440992
113,-109.59009,-101.05406,-104.511345,-29.5503,-100.397835
114,-16.626974,-101.14208,-100.87306,-104.99212,-107.63944
115,-99.57017,-101.571075,-106.28348,-100.42357,-14.29384
116,-107.6969,-103.28175,-116.0681,-102.2936,-112.44084
117,-115.14722,-100.96685,-31.453737,-113.625656,-103.40225
118,-96.42494,-98.641235,-102.183556,-101.283035,-104.80058
119,-112.1153,-97.11173,-103.12334,-23.400295,-18.642845
120,-18.948915,-98.90702,-38.30475,-96.0804,-98.37076
121,-108.355034,-22.09307,-120.791435,-102.540474,-112.64744
122,-99.053,-26.55234,-111.08444,-93.7404,-25.807045
123,-19.319202,-101.39877,-98.91839,-101.922295,-103.0671
124,-16.983868,-102.14401,-104.230316,-92.53026,-21.252506
125,-16.958927,-101.50287,-101.018616,-112.84204,-18.351381
126,-110.113266,-114.91846,-103.07353,-94.18115,-21.020645
127,-116.86736,-103.38924,-99.175156,-97.103226,-17.82522
128,-102.45355,-106.7926,-113.00018,-98.228455,-106.833786
129,-14.863615,-100.63315,-102.744354,-29.285566,-21.898375
130,-105.55623,-14.966932,-101.58214,-26.271418,-106.17439
131,-21.784252,-101.492744,-31.503115,-32.062027,-25.205072
132,-30.233383,-100.70705,-32.931976,-103.37813,-107.78837
133,-119.93801,-102.60283,-104.005455,-101.02428,-104.98995
134,-107.28321,-7.8261023,-21.615017,-98.821976,-107.00797
135,-14.833576,-99.5409,-100.98518,-102.58815,-23.03387
136,-104.960495,-102.25926,-28.761858,-105.77452,-102.65277
137,-103.27923,-102.17131,-99.03846,-106.370674,-17.987112
138,-8.951605,-104.51413,-98.20931,-94.867,-108.673325
139,-99.12955,-10.110919,-114.46957,-98.26815,-13.296921
140,-12.793935,-102.918686,-99.147514,-98.010574,-18.50523
141,-19.987429,-100.176865,-102.24336,-100.311714,-12.202671
142,-110.50727,-100.20156,-103.348694,-101.17266,-17.065033
143,-13.479743,-104.97084,-102.296585,-19.90124,-20.537125
144,-14.845559,-103.91874,-16.283686,-105.11114,-103.88648
145,-98.980064,-99.29509,-102.23787,-102.06048,-106.23325
146,-17.836813,-19.43039,-25.5876,-104.73902,-107.03728
147,-15.705563,-15.557684,-17.946064,-105.52197,-100.30529
148,-11.975303,-109.734886,-111.60363,-98.018364,-97.80165
149,-10.792575,-101.8541,-100.53611,-119.61256,-103.39783
150,-16.63991,-103.24315,-113.737976,-100.42918,-104.55458
151,-16.75395,-14.14352,-25.97478,-107.45915,-102.94986
152,-14.4689865,-98.7702,-105.166306,-103.948006,-104.974655
153,-18.188631,-103.26991,-101.144295,-105.21919,-17.029047
154,-18.845531,-105.19434,-105.96121,-112.1521,-105.15721
155,-16.516708,-22.976494,-101.08933,-101.05423,-103.16387
156,-104.78964,-17.87635,-101.722176,-91.972496,-102.56177
157,-15.460127,-108.564384,-18.620264,-101.80516,-101.03529
158,-16.15857,-99.45598,-108.15741,-103.79957,-24.37094
159,-108.62975,-104.315506,-23.546862,-100.65889,-18.021685
160,-106.307396,-105.14026,-102.952126,-100.36135,-22.198069
161,-111.343414,-105.49588,-13.455216,-105.091545,-20.94174
162,-101.81227,-105.191444,-95.31748,-98.18546,-13.024614
163,-29.341143,-106.03285,-101.44434,-100.00929,-107.39146
164,-104.8466,-103.806564,-94.55588,-103.38834,-108.095
165,-20.13997,-102.70358,-96.5643,-104.45083,-104.395935
166,-114.27079,-106.792786,-103.978424,-22.288126,-107.63397
167,-14.462146,-103.29047,-97.033615,-103.93905,-104.06324
168,-20.26938,-10.959899,-98.89654,-105.266785,-103.19031
169,-35.418144,-107.211296,-100.555016,-19.440924,-106.17029
170,-32.018925,-96.484856,-104.359055,-100.89762,-107.253265
171,-21.568533,-105.1424,-102.718765,-100.29926,-105.53073
172,-39.556973,-100.5417,-100.40089,-103.76418,-105.404335
173,-105.32273,-102.462654,-98.77579,-107.45714,-28.657312
174,-19.890238,-100.18867,-106.736015,-105.09818,-101.9644
175,-106.191414,-19.646656,-100.324844,-100.887,-104.01595
176,-15.876783,-100.198555,-19.086805,-99.98288,-99.66375
177,-14.577719,-10.881852,-98.73774,-104.71654,-99.88092
178,-13.7073765,-111.72917,-96.89412,-100.341446,-104.27027
179,-107.27026,-107.93361,-106.85874,-106.66048,-106.289856
180,-10.294465,-102.87723,-105.576744,-100.71651,-104.77321
181,-24.724361,-102.89505,-97.14642,-102.12501,-105.09566
182,-13.779051,-113.258865,-103.71492,-100.58896,-16.61233
183,-100.35428,-103.278175,-108.49443,-103.25211,-18.964079
184,-103.57886,-102.88886,-103.6296,-102.83447,-18.460634
185,-23.793728,-102.7477,-95.52247,-102.98101,-114.566956
186,-98.03469,-97.108536,-106.21991,-105.77899,-104.31466
187,-12.817856,-104.393936,-102.220276,-112.19388,-105.58613
188,-10.754611,-106.13775,-97.291885,-103.170746,-104.10878
189,-12.01737,-101.5938,-95.57493,-97.82198,-105.57804
190,-100.601875,-105.545876,-104.48703,-100.29843,-101.78387
