,It 0,It 1,It 2,It 3,It 4
0,-103.07663755996634,-103.80557720420323,-131.8137157174434,-101.3316116172258,-136.75423142586834
1,-103.3084674716484,-104.19199957666856,-16.70804840530748,-120.82993633360634,-128.00541020024002
2,-103.60771709299584,-105.44028689094944,-106.72315449354456,-98.13575380645379,-105.46204504575518
3,-103.59852909725407,-104.06155649945389,-40.33402564605012,-106.75207156482986,-128.16600773292234
4,-103.64968699557521,-102.61364559137573,-131.90936414503247,-65.43828537229739,-128.12900418195565
5,-103.4783605947465,-103.20339040016523,-96.53831062343531,-107.94513739780109,-136.9510928683978
6,-103.64627297007789,-102.48575337409291,-57.334482901016656,-112.85024842549116,-136.90980014599995
7,-103.47937035055295,-103.9838955283092,-58.11511363944103,-118.49768186022298,-127.99466998663374
8,-103.49626031706327,-102.74534236271742,-101.33825732222836,-118.43372372749086,-128.1340245594226
9,-103.62434187937093,-104.18980087699678,-125.85183981281696,-116.52558830944996,-128.1363639794608
10,-103.5769225677165,-102.8056729894535,-30.043957074431507,-122.45488965942626,-128.14990763746346
11,-103.6210942914042,-103.62075172130577,-127.53941578822295,-91.54673676547007,-137.03179682010864
12,-103.48678320167757,-103.31550710374303,-133.96528182994822,-130.61679394199996,-128.14763176372327
13,-103.6494924934674,-102.4697883766933,-32.662168423792565,-53.71468847171247,-136.86127753193128
14,-103.63459146204792,-102.70319227169888,-106.71126056753134,-116.21662900299765,-127.92101358225628
15,-103.47610656505032,-103.85662875876638,-30.337265235037155,-118.17842092149903,-128.1654667643446
16,-103.64248436792117,-102.47985407072903,-102.49720003021122,-118.48729462157789,-136.84723881712628
17,-103.6377632044355,-103.84716010579398,-96.83033858156142,-101.66630344857981,-128.20273811766734
18,-103.61739138886301,-102.60097805336987,-102.23610210835872,-90.27145907652039,-128.16318287784895
19,-103.47428036350392,-103.73033426177967,-103.60888298698266,-133.5074322454556,-116.45506367559406
20,-103.59816181901346,-103.35034432264386,-122.39412856699383,-103.62535878044208,-136.84060851885874
21,-103.63865876166957,-102.73953275190931,-41.93252148369627,-101.29908400031887,-97.24936940394049
22,-103.65830034808008,-104.58468711818817,-144.0618341198368,-127.22408569901005,-128.1262612252634
23,-103.50109551189149,-103.82715760960764,-21.139852760707154,-101.13933509101285,-136.91038877151487
24,-103.62530503546478,-104.43220983184813,-80.60735104939444,-129.58386796546677,-128.14934737637554
