,It 0,It 1,It 2,It 3,It 4
0,-108.16763,-9.114378,-22.833706,-32.083485,-24.369915
1,-32.40354,-22.906519,-27.153315,-109.63808,-21.659863
2,-110.04661,-24.09359,-117.44187,-124.15115,-118.46836
3,-119.48477,-27.661798,-111.26822,-120.0416,-120.67584
4,-117.21618,-115.81094,-113.703415,-117.97516,-118.869934
5,-117.74797,-117.84788,-118.45102,-113.25181,-114.949295
6,-120.16887,-34.84396,-116.883255,-20.490164,-114.904366
7,-117.50696,-30.61456,-116.412926,-21.594557,-114.8497
8,-109.24557,-115.70558,-111.11032,-17.644865,-110.281166
9,-31.740616,-114.59237,-113.18898,-108.11161,-116.82501
10,-22.20379,-29.929386,-24.587372,-106.12553,-116.51521
11,-105.08244,-33.52053,-108.55391,-105.84532,-110.91289
12,-105.80777,-30.12959,-102.18475,-16.824886,-117.58005
13,-114.337975,-34.480564,-32.722725,-107.153915,-107.25238
14,-113.09578,-106.9122,-14.02153,-31.464876,-113.03545
15,-103.811516,-27.90606,-109.39257,-20.841593,-24.935053
16,-102.07198,-106.73729,-32.881832,-106.17596,-29.80609
17,-104.82117,-105.8284,-112.164734,-105.07559,-102.4632
18,-16.516094,-115.986275,-107.310844,-27.749823,-24.68241
19,-104.59847,-102.701004,-26.323036,-103.64293,-102.43342
20,-21.365973,-16.27571,-103.139015,-20.3001,-109.08304
21,-102.034676,-98.6883,-110.08564,-16.798054,-104.47628
22,-21.5734,-107.44441,-102.7454,-23.5755,-103.94185
23,-28.329105,-22.59104,-110.60768,-110.51216,-19.708061
24,-118.96109,-116.979294,-18.685432,-22.517784,-101.56454
25,-103.42454,-108.67468,-103.14055,-103.236565,-41.576843
26,-18.186018,-19.028175,-114.09099,-113.06931,-33.134495
27,-23.676365,-5.914664,-106.09535,-116.88429,-17.514032
28,-105.086044,-23.266518,-104.599205,-103.64489,-104.95693
29,-116.467735,-116.4718,-103.59739,-109.29331,-27.029821
30,-101.727135,-102.792816,-101.963135,-107.06537,-18.614645
31,-20.901497,-111.603836,-14.156706,-105.26472,-111.61529
32,-23.783743,-19.54276,-113.50429,-103.00978,-104.99182
33,-19.85843,-102.55074,-31.436087,-110.60478,-109.33566
34,-21.986956,-104.58319,-102.51798,-109.59062,-19.70302
35,-105.48918,-100.93712,-104.6297,-23.260868,-21.33775
36,-16.303097,-103.37508,-18.489412,-102.44382,-23.972448
37,-23.126518,-103.08901,-101.7683,-106.68561,-113.00453
38,-17.7825,-22.655449,-102.71653,-20.754095,-112.57031
39,-116.37511,-19.949434,-102.118744,-100.407394,-11.687055
40,-19.41118,-101.65567,-108.820274,-25.46086,-20.754267
41,-20.896181,-15.091206,-113.477036,-102.90604,-100.96223
42,-14.397778,-31.670395,-102.7655,-99.29433,-103.52967
43,-17.439384,-23.316067,-110.923325,-100.737434,-106.54534
44,-20.081652,-111.89117,-113.58762,-24.064781,-110.725266
45,-107.137146,-23.649054,-96.452,-100.4397,-115.80176
46,-17.704268,-101.2038,-27.43721,-17.069101,-102.866005
47,-20.366438,-110.734314,-100.07417,-28.953627,-20.182217
48,-26.873407,-14.9758625,-104.68416,-97.12975,-100.52761
49,-19.738342,-99.64072,-105.08872,-22.327082,-24.717503
50,-17.251165,-101.35876,-100.75077,-110.73157,-104.78975
51,-107.79778,-100.68919,-99.76708,-26.967476,-102.868164
52,-16.980688,-104.382675,-105.36816,-113.1044,-100.41616
53,-26.825644,-24.633442,-100.27302,-15.95259,-100.73799
54,-18.403568,-19.084232,-21.60548,-23.483591,-121.33161
55,-23.728374,-113.255356,-39.11665,-96.363075,-23.128607
56,-23.231056,-114.301506,-103.089775,-103.483246,-20.2768
57,-97.562485,-21.835176,-101.80097,-21.63171,-100.59276
58,-103.93896,-24.332062,-31.729084,-22.301905,-102.67359
59,-16.873514,-22.298283,-103.302,-118.28392,-109.05974
60,-13.99676,-118.11623,-122.98306,-125.981575,-16.562283
61,-98.53948,-108.597534,-101.58011,-25.454216,-99.343414
62,-27.402863,-19.44401,-103.17545,-24.422148,-113.5963
63,-109.540855,-19.000214,-111.86471,-101.66383,-20.005028
64,-113.0055,-19.341438,-113.96705,-17.07878,-107.54038
65,-18.64143,-109.42317,-109.20237,-19.759756,-21.266678
66,-17.487709,-34.238174,-101.73232,-18.252926,-100.715096
67,-22.425861,-117.02663,-105.742546,-20.090961,-121.721375
68,-24.602442,-102.57547,-101.47908,-105.91409,-100.470924
69,-18.729328,-112.05954,-109.39584,-19.576862,-113.39604
70,-21.759134,-19.467464,-115.25835,-21.279037,-124.35409
71,-16.509212,-15.278552,-118.79082,-110.91535,-100.19305
72,-24.54765,-16.357698,-107.25494,-16.393122,-107.525536
73,-102.86974,-99.97831,-115.03742,-23.038754,-23.69909
74,-14.473696,-112.4303,-102.61119,-15.713111,-24.278524
75,-117.784904,-101.57399,-99.58714,-18.227543,-17.520935
76,-15.270107,-23.690826,-106.65311,-22.137316,-101.74123
77,-17.153576,-112.95866,-20.515198,-30.032629,-111.191475
78,-16.063225,-25.617664,-114.20612,-26.20719,-102.188194
79,-20.704483,-22.563522,-97.87497,-107.45724,-105.31228
80,-21.790516,-23.203417,-101.64118,-14.919722,-24.416407
81,-21.67475,-96.92289,-102.81891,-25.374409,-98.140785
82,-23.204792,-15.99952,-102.99473,-27.886866,-16.038397
83,-125.34818,-28.996778,-106.31504,-114.687965,-20.013039
84,-102.98206,-22.97954,-102.6488,-22.39221,-119.77733
85,-14.878279,-104.210335,-111.91435,-16.579931,-110.58983
86,-105.62211,-102.788345,-29.872496,-109.93417,-21.344612
87,-104.44572,-101.622375,-23.008831,-19.90601,-99.935646
88,-13.270104,-99.84299,-99.841515,-19.744253,-101.749825
89,-16.416155,-19.729498,-33.988895,-19.406517,-29.389172
90,-109.714806,-115.614685,-102.50402,-109.34325,-102.424355
91,-101.0927,-16.324097,-27.26804,-21.8994,-106.93293
92,-13.511891,-99.79844,-100.73424,-109.65109,-19.510529
93,-9.248556,-105.44583,-102.87762,-14.833356,-33.813633
94,-113.32823,-114.79407,-117.085,-16.004042,-19.977438
95,-18.859749,-23.83096,-106.38983,-26.22301,-27.039173
96,-19.814167,-122.048965,-20.162188,-23.526226,-102.90725
97,-13.726612,-101.929276,-97.039215,-110.29097,-111.009254
98,-113.50688,-102.61424,-104.65924,-29.192757,-116.18399
99,-15.21543,-93.53064,-30.740486,-21.370895,-114.41796
100,-17.556946,-102.87113,-28.271942,-36.889065,-16.81614
101,-15.98914,-102.58371,-99.31662,-28.750807,-100.58427
102,-18.963415,-102.76944,-101.7004,-26.574133,-111.08201
103,-100.156586,-115.73969,-102.006836,-110.8642,-17.652863
104,-104.32352,-101.996414,-29.68936,-20.610472,-101.241455
105,-10.477707,-19.045265,-38.035107,-105.75211,-16.881245
106,-18.607948,-93.07152,-37.530037,-25.875202,-111.289764
107,-19.456415,-29.342543,-121.78647,-20.287848,-25.196665
108,-20.38702,-22.325104,-32.396397,-104.915054,-103.829735
109,-14.830122,-101.03677,-121.50453,-21.343693,-118.62683
110,-20.8805,-18.877903,-32.956852,-21.215517,-112.65992
111,-23.7124,-19.252949,-96.18607,-25.400267,-21.720364
112,-104.63576,-103.48224,-15.051495,-22.91776,-100.06225
113,-15.643495,-103.86684,-100.51815,-19.722908,-102.46121
114,-18.244638,-97.325584,-102.3837,-27.819906,-19.943918
115,-10.418767,-106.9846,-103.35769,-110.346214,-103.3525
116,-103.60007,-103.133255,-100.39876,-29.67758,-97.707306
117,-19.394588,-103.107666,-108.69693,-101.31999,-107.43143
118,-12.18178,-100.72558,-11.329781,-101.38438,-101.38082
119,-102.14659,-15.405257,-21.463425,-100.52138,-21.728544
120,-17.355312,-102.91812,-16.242167,-19.660666,-99.37119
121,-9.656135,-21.14302,-98.11552,-23.86318,-109.37205
122,-99.965324,-18.83777,-95.73794,-29.857054,-15.859654
123,-14.60077,-101.252716,-101.62854,-25.672478,-105.2119
124,-14.36443,-105.368805,-96.7904,-105.70902,-99.516815
125,-97.84089,-21.26245,-24.91778,-33.49169,-111.31295
126,-13.781196,-100.75132,-98.32463,-23.194736,-121.07379
127,-98.67331,-106.45606,-99.46256,-22.362053,-102.004814
128,-13.7831,-16.25917,-122.03984,-108.52478,-22.38341
129,-15.175594,-100.519005,-103.97697,-105.600174,-101.855415
130,-95.49561,-110.35319,-108.2871,-23.016596,-97.04643
131,-108.775665,-102.47068,-98.224434,-20.99965,-11.951828
132,-100.97679,-103.45923,-103.31333,-30.771275,-101.18268
133,-14.624086,-104.37939,-100.17078,-22.789824,-103.83252
134,-7.3637514,-102.82501,-99.42319,-20.474295,-100.45586
135,-21.157957,-100.908,-99.94357,-23.733183,-20.408978
136,-19.25965,-95.30012,-96.985435,-19.025213,-104.48388
137,-105.69791,-101.08923,-106.73922,-108.04319,-19.430689
138,-16.363249,-100.22607,-36.669926,-16.06077,-118.544716
139,-10.936097,-100.68994,-115.82087,-15.995858,-100.82348
140,-9.177999,-98.51765,-100.14005,-14.223152,-120.94244
141,-14.095584,-97.70822,-96.44396,-19.669853,-22.560022
142,-101.18762,-10.229569,-98.63147,-20.325989,-102.37646
143,-100.902916,-102.50102,-100.26902,-15.1061125,-104.19558
144,-13.733398,-7.285914,-102.9314,-99.18129,-120.934944
145,-12.461905,-99.77971,-96.68404,-110.647156,-102.64458
146,-17.317736,-16.488403,-100.90653,-27.066422,-102.560036
147,-10.231385,-99.53796,-98.13466,-108.12769,-114.08311
148,-16.372427,-102.82824,-109.90927,-105.775795,-110.07822
149,-20.06216,-103.531456,-4.9428926,-15.544017,-14.403181
150,-8.309673,-120.959274,-14.240739,-25.811916,-99.48762
151,-8.308687,-112.99792,-98.69577,-113.19569,-24.265997
152,-14.192103,-102.26528,-103.42386,-103.1733,-103.02986
153,-100.74199,-18.239206,-114.26409,-112.63742,-15.711402
154,-105.43946,-12.966354,-108.427666,-100.37967,-101.94962
155,-14.021506,-101.46949,-100.62924,-96.114746,-129.45432
156,-13.763453,-102.09504,-98.14555,-13.905647,-127.274315
157,-10.197708,-97.9611,-101.40899,-122.04343,-102.1492
158,-7.9758677,-10.345833,-100.363205,-125.926155,-14.880908
159,-14.994195,-99.0847,-98.65996,-5.745976,-16.554974
160,-13.461842,-106.50199,-98.3842,-98.48437,-109.648575
161,-22.397945,-14.089845,-100.436905,-15.983988,-137.06013
162,-10.405603,-99.92996,-101.07332,-93.56758,-19.263538
163,-18.073418,-18.620623,-99.388756,-123.80562,-109.42793
164,-13.891588,-106.059845,-101.217804,-106.94666,-98.946205
165,-99.081184,-99.38558,-97.878395,-101.20675,-15.935224
166,-9.72853,-107.25685,-106.892296,-97.72517,-101.0392
167,-18.254284,-102.44621,-21.681862,-96.54751,-106.50685
168,-6.5654716,-112.483574,-100.8978,-99.827774,-94.836296
169,-10.389161,-98.18916,-96.83921,-100.0698,-107.984726
170,-9.972144,-14.551015,-101.57057,-101.508125,-109.76578
171,-13.433635,-104.674416,-98.26107,-93.61583,-113.44865
172,-20.652025,-104.3655,-101.27495,-16.42124,-97.57529
173,-12.201359,-20.532944,-101.80207,-99.911896,-24.060215
174,-11.111984,-104.12307,-96.575516,-102.41094,-95.89836
175,-10.328699,-101.28301,-102.26865,-100.801895,-102.017365
176,-13.574763,-101.86487,-99.92115,-96.82819,-99.227585
177,-15.602098,-16.760553,-101.89815,-18.202045,-6.795287
178,-12.260427,-102.4476,-100.78608,-110.5798,-95.08794
179,-9.454494,-98.60574,-100.08762,-100.92777,-137.12703
180,-18.909441,-102.9406,-99.68868,-102.795815,-101.5396
181,-12.850528,-100.93305,-102.31077,-99.87808,-108.77225
182,-110.29931,-103.26745,-99.2328,-125.24445,-110.43665
183,-12.835711,-103.56153,-100.26851,-30.278872,-114.774
184,-12.898206,-108.68556,-108.29382,-31.95158,-97.59932
185,-11.203231,-99.67975,-100.28741,-100.31568,-100.69305
186,-14.0406475,-98.11953,-27.957952,-91.74396,-2.1681943
187,-101.87277,-104.21028,-103.04682,-95.1518,-100.448044
188,-102.125946,-15.717258,-102.75953,-101.4356,-98.63355
189,-100.989525,-15.788084,-101.12807,-99.26483,-125.64252
190,-11.678645,-101.133644,-99.942245,-8.760347,-25.132195
191,-101.77971,-98.15627,-95.33215,-99.120445,-97.044136
192,-12.85789,-97.632195,-99.16195,-102.00684,-99.297104
193,-11.573527,-15.978243,-100.071526,-105.54046,-107.391304
194,-108.99284,-101.55108,-111.21404,-98.778885,-10.914068
195,-10.678997,-99.384514,-104.26913,-94.20559,-97.13341
196,-15.0486555,-96.88419,-102.6793,-5.432183,-10.268427
197,-17.44921,-14.467791,-99.957054,-4.6601872,-103.95425
198,-13.53813,-24.096916,-102.22529,-96.55139,-99.80977
199,-11.300475,-95.00221,-102.835724,-98.15287,-98.81904
200,-8.636994,-98.69779,-105.22021,-97.23754,-104.43682
201,-13.569108,-97.38574,-99.97672,-115.40958,-106.88362
202,-20.24147,-102.23668,-101.802795,-100.072556,-103.005455
203,-20.040121,-95.98983,-22.675022,-112.524864,-103.1279
204,-104.545425,-105.94194,-99.88183,-99.107635,-99.19865
205,-14.100062,-100.58888,-101.78055,-94.24661,-123.79167
