,It 0,It 1,It 2,It 3,It 4
0,-117.291466,-25.595238,-123.12974,-36.59877,-112.458435
1,-121.03635,-29.651325,-115.240715,-115.17552,-109.89958
2,-114.575645,-115.45072,-114.84141,-114.923584,-121.132675
3,-118.5741,-115.10541,-108.663055,-117.22462,-122.26665
4,-110.50027,-113.73198,-108.10391,-119.90734,-117.0612
5,-112.29288,-113.89239,-108.2099,-111.241394,-113.96941
6,-109.135445,-128.6807,-106.84938,-110.81384,-115.710915
7,-111.57678,-118.91327,-120.083145,-124.642746,-108.528885
8,-20.965567,-116.30963,-18.335926,-102.70528,-114.82114
9,-112.10971,-15.994725,-12.739634,-100.47547,-126.89063
10,-15.13469,-114.2991,-18.196568,-104.520325,-12.473047
11,-20.292439,-24.535173,-18.350498,-23.475058,-112.57055
12,-105.3725,-31.409115,-17.550245,-123.57085,-107.83728
13,-108.63391,-20.905827,-104.276825,-117.11028,-110.0739
14,-25.781233,-116.07608,-16.813295,-101.18527,-120.38862
15,-115.68109,-107.28358,-110.90203,-102.84452,-30.188519
16,-112.872795,-31.516958,-110.172035,-108.46674,-104.20558
17,-111.48815,-113.57716,-21.557198,-111.89933,-115.56385
18,-18.388943,-114.2065,-104.12625,-98.81007,-99.984604
19,-14.512973,-107.57617,-100.65223,-100.91164,-28.94561
20,-26.70538,-121.57907,-21.262653,-12.702773,-115.72031
21,-100.351524,-16.047764,-109.73985,-116.50055,-98.0974
22,-13.628237,-117.72856,-102.769806,-17.174932,-109.325226
23,-102.96379,-104.47686,-24.196405,-16.216526,-113.89781
24,-13.719155,-19.812805,-19.134336,-110.27975,-103.825775
25,-15.3123045,-109.608246,-20.80509,-112.701866,-15.641892
26,-99.28322,-21.498264,-100.978294,-112.802956,-17.95345
27,-102.29577,-21.092257,-114.73544,-101.34817,-26.3401
28,-102.181816,-103.17928,-110.937454,-109.7648,-23.693663
29,-102.03445,-22.23681,-114.52175,-102.601776,-103.6643
30,-106.73767,-100.19091,-100.00852,-13.569292,-109.72921
31,-18.052076,-119.144775,-116.563774,-121.08853,-22.467365
32,-126.78832,-16.809927,-38.026344,-18.904343,-19.27789
