,It 0,It 1,It 2,It 3,It 4
0,-126.376366,-100.15359,-109.06949,-114.47749,-109.95729
1,-108.49418,-108.28086,-111.43089,-116.03643,-40.873287
2,-27.510792,-120.87826,-115.354546,-127.282684,-112.54472
3,-116.394135,-116.71149,-116.27403,-117.34225,-109.92734
4,-118.93245,-124.83311,-119.06777,-118.60532,-114.4732
5,-111.84764,-113.628174,-122.64329,-111.70163,-121.51752
6,-109.449684,-116.26967,-115.1899,-116.71158,-116.512085
7,-107.01902,-45.655163,-120.2254,-116.358,-113.46283
8,-119.185776,-111.60826,-118.43998,-27.399004,-116.614006
9,-107.85274,-110.54351,-113.76513,-110.57643,-115.60297
10,-23.733253,-29.178917,-110.06955,-105.96516,-111.00001
11,-31.55093,-46.58772,-110.55294,-109.37621,-119.84125
12,-111.403915,-113.029945,-110.55351,-108.53278,-107.06654
13,-114.3931,-104.50842,-25.067648,-135.4756,-105.007996
14,-107.09443,-106.738594,-24.082201,-24.765882,-101.47408
15,-33.45488,-110.65963,-103.38344,-103.77725,-105.25201
16,-125.67992,-114.831245,-107.25108,-99.55794,-109.65142
17,-109.26419,-109.75796,-107.91144,-110.31369,-103.17378
18,-34.870777,-128.2414,-22.053307,-104.491394,-115.78102
19,-24.402853,-112.986694,-104.799805,-111.141914,-15.962317
20,-106.06226,-119.35939,-27.017963,-106.98757,-109.33049
21,-111.8016,-109.145775,-23.048807,-125.3754,-116.812
22,-120.01966,-102.2141,-28.981632,-99.93683,-14.963613
23,-128.93155,-106.79786,-106.67102,-104.14017,-13.861539
24,-114.054825,-113.03224,-19.618727,-100.90851,-106.68691
25,-105.5454,-113.23682,-19.809097,-101.39108,-104.09777
26,-18.246342,-112.32773,-102.84664,-99.50984,-117.5983
27,-115.984726,-16.067972,-25.875418,-103.347565,-103.62524
28,-32.893,-112.4025,-121.820335,-100.83254,-111.68705
29,-102.02844,-20.30432,-26.02396,-102.82505,-14.627165
30,-99.52217,-23.375847,-106.53331,-103.55058,-105.64968
31,-14.728849,-17.379026,-18.374897,-19.996386,-19.778069
32,-101.22502,-101.87542,-103.95593,-30.763304,-19.542322
33,-110.70791,-120.45625,-121.36089,-20.40647,-13.835201
34,-100.10326,-122.97697,-107.83872,-16.704256,-114.251205
35,-109.99815,-106.94766,-105.69331,-19.546253,-103.947655
36,-105.38219,-20.295555,-105.45534,-27.009735,-102.234726
37,-109.332634,-102.90482,-23.132626,-100.619675,-14.272496
38,-113.668274,-96.85027,-20.434408,-103.62564,-101.548134
39,-101.72786,-110.7067,-20.765364,-108.683716,-23.226107
40,-103.39989,-98.502525,-102.894226,-112.075165,-16.10947
41,-113.18146,-99.6207,-104.79252,-112.7513,-107.81415
42,-29.123255,-21.057482,-106.00215,-13.357651,-21.865171
43,-101.84759,-108.08571,-102.77882,-19.740894,-8.699559
44,-103.39558,-105.18446,-102.05739,-16.4704,-19.671604
45,-113.42106,-98.862915,-23.72581,-14.131092,-18.899086
46,-27.750986,-124.41881,-100.15239,-109.258736,-110.26303
47,-107.72199,-103.134056,-108.27778,-20.11209,-12.815012
48,-102.40418,-111.00694,-14.030122,-113.580894,-23.950382
49,-111.96159,-110.07066,-99.863144,-23.223478,-113.60347
50,-123.36049,-93.108444,-105.89173,-99.44575,-18.540209
51,-114.2631,-20.335588,-21.762686,-110.74635,-115.25872
52,-100.36323,-112.47647,-100.13816,-19.305063,-102.09818
53,-100.47794,-16.894993,-23.155415,-101.20634,-109.73134
54,-110.19907,-17.747105,-108.24445,-112.476425,-14.936378
55,-109.13444,-30.210266,-11.049381,-107.492256,-18.647568
