,"Algo generation: 7, gene: (104, 2)"
0,-33.477028
1,-118.24931
2,-109.018
3,-117.105484
4,-132.11906
5,-139.60179
6,-116.187706
7,-120.96903
8,-122.79804
9,-112.64966
10,-106.898964
11,-15.66134
12,-23.866142
13,-113.72332
14,-110.11009
15,-101.988075
16,-18.855047
17,-16.711067
18,-15.525157
19,-111.35514
20,-14.002678
21,-126.30169
22,-26.61331
23,-111.00451
24,-22.055601
25,-11.737944
26,-21.75535
27,-108.54571
28,-110.72161
29,-117.41957
30,-19.520802
31,-105.43102
32,-102.16888
33,-106.61582
34,-26.170288
35,-103.06697
36,-106.811
37,-109.288445
38,-20.622889
39,-111.51035
40,-101.50787
41,-102.61055
42,-17.242193
43,-22.02865
44,-11.905433
45,-25.722065
46,-117.81935
47,-105.986244
48,-112.429245
49,-101.16616
50,-107.93893
51,-21.949417
52,-112.05414
53,-99.77089
54,-100.9381
55,-9.196503
56,-11.212732
57,-13.233683
58,-97.510414
59,-101.99143
60,-7.351696
61,-16.900278
62,-104.61351
63,-9.918746
64,-114.39705
65,-99.73937
66,-11.256561
67,-112.842995
68,-112.571075
69,-100.00328
70,-122.473694
71,-103.30136
72,-111.73215
73,-96.43375
74,-95.48177
75,-98.52389
76,-6.828005
77,-6.811013
78,-106.93235
79,-95.48983
80,-95.62682
81,-115.01096
82,-117.06949
83,-20.673168
84,-7.728899
85,-89.21789
86,-111.751045
87,-6.285442
88,-7.438316
89,-111.283226
90,-1.7102523
91,-90.03682
92,-84.427536
93,-87.41877
94,-115.377686
95,-98.55117
96,-108.217
97,-112.67058
98,-121.31993
99,-87.20912
100,-5.658435
101,-17.406635
102,-17.40357
103,-9.585885
104,-6.1713343
105,-5.8966393
106,-4.08083
107,-22.584057
108,-16.287899
109,-129.83907
110,-3.2935228
111,-134.88835
112,-130.23018
113,-105.58546
114,-95.4677
115,-97.95398
116,-38.59714
117,-23.689795
118,-15.950384
119,-95.89602
120,-90.29525
121,-4.7561407
122,-17.993538
123,-4.191928
124,-115.755035
125,-9.959098
126,-15.137182
127,-13.173209
128,-98.90088
129,-26.09328
130,-101.27748
131,-93.611206
132,-122.81021
133,-28.287401
134,-25.461714
135,-4.560381
136,-1.4983604
137,-16.878508
138,-13.879365
139,-14.987348
140,-13.751762
141,-17.571823
142,-6.059628
143,-90.406006
144,-96.25795
145,-9.4714575
146,-98.5326
147,-99.90018
148,-100.5168
149,-100.29526
150,-98.51254
151,-99.07748
152,-100.82222
153,-17.204716
154,-98.670944
155,-116.52147
156,-14.087404
157,-101.54226
158,-12.202241
159,-11.581223
160,-22.249786
161,-15.79539
162,-113.77891
163,-10.061744
164,-95.99349
165,-99.46551
166,-97.128105
167,-98.28066
168,-96.17604
169,-90.79823
170,-99.278114
171,-112.35595
172,-95.00671
173,-97.72261
174,-102.410835
175,-97.95386
176,-7.7133555
177,-114.95158
178,-112.86247
179,-95.33494
180,-97.75889
181,-99.03349
182,-98.66448
183,-99.69615
184,-29.950575
185,-21.461975
186,-119.743065
187,-25.794369
188,-102.64244
189,-112.54498
190,-96.003975
191,-94.34726
192,-97.00449
193,-98.792076
194,-98.64981
195,-98.52553
196,-103.18085
197,-99.01997
198,-99.5666
199,-29.061298
200,-29.3937
201,-120.484024
202,-120.86766
203,-122.320854
204,-99.25119
205,-88.75138
206,-12.474854
207,-96.57271
208,-95.602104
209,-96.23524
210,-98.97728
211,-18.137707
212,-92.59337
213,-92.85274
214,-88.2029
215,-93.42067
216,-103.66819
217,-95.37085
218,-94.10361
219,-109.291016
220,-13.698372
221,-105.7496
222,-97.30821
223,-98.72545
224,-16.341803
225,-9.145561
226,-8.446607
227,-95.83627
228,-22.036493
229,-18.977177
230,-19.838669
231,-121.025604
232,-103.18683
233,-98.22808
234,-100.226
235,-102.08942
236,-100.12836
237,-6.3588877
238,-18.62929
239,-26.317001
240,-25.230223
241,-21.932343
242,-14.170378
243,-17.427134
244,-106.84584
245,-113.429016
246,-98.464424
247,-98.605156
248,-97.41853
249,-96.20212
250,-19.265781
251,-95.16049
252,-93.43622
253,-97.071655
254,-86.349396
255,-95.139755
256,-109.93594
257,-109.81588
258,-99.891685
259,-101.97725
260,-99.01143
261,-87.56618
262,-98.8029
263,-102.58728
264,-120.302444
265,-99.53529
266,-105.51954
267,-108.29476
268,-21.642126
269,-15.105413
270,-19.647024
271,-10.940298
272,-18.930708
273,-19.514639
274,-12.274432
275,-14.168474
276,-104.09668
277,-103.85402
278,-98.01385
279,-95.739975
280,-101.99643
281,-102.28712
282,-117.37726
283,-17.695454
284,-109.48257
285,-18.492622
286,-20.928625
287,-99.770004
288,-105.8775
289,-21.333904
290,-22.213058
291,-100.88801
292,-105.757576
293,-101.25823
294,-8.333041
295,-13.947757
296,-16.148909
297,-25.328615
298,-12.49097
299,-101.11095
300,-101.266884
301,-99.41811
302,-98.16439
303,-24.21854
304,-109.623856
305,-109.37914
306,-28.196928
307,-19.063303
308,-18.66137
309,-14.893691
310,-26.24978
311,-104.92806
312,-25.17783
313,-28.820276
314,-102.78392
315,-99.214485
316,-102.40485
317,-128.27142
318,-35.103256
319,-100.23243
320,-102.03496
321,-21.978874
322,-8.67529
323,-18.504946
324,-12.445772
325,-18.524223
326,-16.491232
327,-6.8260465
328,-20.486914
329,-16.751333
330,-15.912973
331,-16.85484
332,-18.147781
333,-13.84981
334,-17.924053
335,-20.42192
336,-23.688953
337,-16.097712
338,-19.502132
339,-20.191395
340,-16.916851
341,-22.560843
342,-28.183357
343,-13.701209
344,-22.710835
345,-26.694855
346,-31.316956
347,-102.46746
348,-103.671196
349,-16.420078
350,-15.192068
351,-12.216957
352,-13.35937
353,-103.82572
354,-115.02267
355,-104.04016
356,-15.71364
357,-15.356724
358,-22.95606
359,-103.06503
360,-21.739992
361,-24.388445
362,-14.872541
363,-11.993166
364,-11.903814
365,-11.277423
366,-13.155791
367,-102.27617
368,-103.218605
369,-9.916273
370,-15.491523
371,-13.516178
372,-26.595585
373,-17.342525
374,-12.641263
375,-21.405771
376,-23.626022
377,-24.118431
378,-23.475431
379,-11.484553
380,-108.21924
381,-16.367922
382,-101.135086
383,-11.538829
384,-18.786396
385,-15.835289
386,-14.803208
387,-11.813618
388,-16.660795
389,-15.530232
390,-13.362979
391,-27.74718
392,-27.678818
393,-103.10686
394,-103.84899
395,-103.01339
396,-101.40146
397,-22.621164
398,-23.909962
399,-14.091457
400,-13.794779
401,-100.068085
402,-14.68858
403,-102.02017
404,-102.97807
405,-103.3454
406,-106.30793
407,-105.321655
408,-106.23321
409,-103.742134
410,-108.04721
411,-107.71665
412,-108.17852
413,-106.3163
414,-14.026303
415,-10.880454
416,-102.10816
417,-107.87792
418,-29.314964
419,-44.757694
420,-107.01215
421,-107.79056
422,-101.991974
423,-107.41795
424,-106.5774
425,-109.87964
426,-24.875427
427,-107.41672
428,-23.718832
429,-108.73548
430,-107.58618
431,-104.65285
432,-105.953804
433,-20.65286
434,-11.396554
435,-13.9225235
436,-106.187126
437,-14.360938
438,-33.30523
439,-101.61552
440,-93.07179
441,-102.28654
442,-105.09528
443,-103.88187
444,-100.70728
445,-102.21235
446,-101.59182
447,-107.62454
448,-106.79112
449,-107.91091
450,-109.155685
451,-106.42804
452,-109.16181
453,-107.135666
454,-107.47523
455,-22.139025
456,-107.37819
457,-24.18361
458,-17.168224
459,-22.478014
460,-16.716677
461,-106.65673
462,-12.4959345
463,-108.506546
464,-24.633339
465,-105.93435
466,-102.91723
467,-107.10547
468,-108.38542
469,-109.050995
470,-110.02584
471,-110.49112
472,-108.94891
473,-29.720673
474,-104.9536
475,-103.387886
476,-23.960926
477,-24.095957
478,-112.43037
479,-110.03048
480,-96.5222
481,-21.685228
482,-103.81649
483,-102.86391
484,-102.43093
485,-100.15096
486,-101.53839
487,-22.43895
488,-21.865938
489,-104.81103
490,-104.079636
491,-21.000198
492,-102.07285
493,-108.56365
494,-112.53693
495,-20.007402
496,-22.005589
497,-101.14378
498,-19.06821
499,-18.440023
500,-111.09567
501,-18.436203
502,-104.1378
503,-105.144745
504,-114.76998
505,-29.011715
506,-20.139523
507,-107.70686
508,-101.8246
509,-20.212893
510,-20.84831
511,-24.14486
512,-105.4145
513,-14.448596
514,-22.836739
515,-115.71106
516,-27.977674
517,-23.72571
518,-23.587444
519,-108.183716
520,-24.75617
521,-118.37904
522,-125.97685
523,-103.911354
524,-26.333273
525,-112.042465
526,-117.92365
527,-18.5409
528,-20.33712
529,-106.85122
530,-110.71791
531,-21.315054
532,-51.321358
533,-113.52586
534,-34.03443
535,-22.872662
536,-14.89566
537,-22.97927
538,-102.773384
539,-99.27988
540,-101.46212
541,-103.79025
542,-104.60008
543,-33.622765
544,-112.479004
545,-105.3433
546,-104.72847
547,-106.070175
548,-106.10693
549,-99.481834
550,-100.18331
551,-22.97738
552,-26.036514
553,-25.031342
554,-25.434786
555,-21.470125
556,-106.4596
557,-104.78707
558,-103.57427
559,-110.40784
560,-98.99735
561,-100.173584
562,-114.505745
563,-25.850105
564,-97.59191
565,-101.69983
566,-112.81807
567,-108.92419
568,-133.12038
569,-99.466576
570,-98.07704
571,-96.25493
572,-98.27755
573,-95.20269
574,-109.77173
575,-93.63074
576,-103.452644
577,-106.403244
