,"Algo generation: 5, gene: (177, 1)"
0,-108.22578
1,-118.134056
2,-108.098335
3,-115.11899
4,-121.777145
5,-116.37445
6,-117.457855
7,-121.94469
8,-116.268936
9,-114.85292
10,-26.460892
11,-21.054922
12,-21.329193
13,-125.02415
14,-16.192669
15,-23.440971
16,-113.22319
17,-102.4524
18,-23.473557
19,-113.77499
20,-22.212248
21,-96.50493
22,-13.052722
23,-130.62631
24,-16.958282
25,-14.353459
26,-102.11672
27,-101.28414
28,-23.652477
29,-112.56935
30,-94.61266
31,-28.164015
32,-14.307283
33,-20.870811
34,-107.91784
35,-118.55889
36,-15.695122
37,-113.72937
38,-18.343794
39,-9.323343
40,-14.248719
41,-27.572071
42,-110.83316
43,-16.235958
44,-27.564842
45,-16.710056
46,-26.02415
47,-92.59635
48,-109.28748
49,-106.804596
50,-107.19086
51,-111.70193
52,-22.068443
53,-112.548996
54,-10.196456
55,-91.840805
56,-10.624906
57,-17.699194
58,-10.998164
59,-121.55545
60,-95.612976
61,-101.610275
62,-106.059845
63,-93.2108
64,-16.070415
65,-89.01599
66,-12.470551
67,-8.766429
68,-92.94273
69,-7.029083
70,-92.419365
71,-114.04822
72,-14.344486
73,-15.030443
74,-12.678106
75,-13.676859
76,-15.69009
77,-7.028867
78,-10.367199
79,-8.061149
80,-8.479378
81,-11.113744
82,-12.735281
83,-11.300729
84,-9.577236
85,-96.79894
86,-95.01381
87,-94.56998
88,-13.323435
89,-96.224205
90,-97.59869
91,-93.96242
92,-97.46824
93,-93.140396
94,-130.67957
95,-97.078735
96,-95.84523
97,-93.07586
98,-95.001945
99,-124.189644
100,-139.27571
101,-135.80727
102,-94.627365
103,-95.62883
104,-8.460569
105,-8.183358
106,-92.04232
107,-92.71036
108,-8.426272
109,-93.69189
110,-94.334564
111,-94.13832
112,-95.435394
113,-92.701294
114,-122.20485
115,-96.81244
116,-96.8349
117,-97.17453
118,-96.45019
119,-94.49172
120,-95.02201
121,-94.85007
122,-121.10446
123,-22.423391
124,-100.85841
125,-131.20651
126,-96.319534
127,-94.71831
128,-96.04164
129,-94.41883
130,-92.64758
131,-96.215485
132,-95.47769
133,-95.24227
134,-96.040115
135,-2.5438066
136,-5.396651
137,-0.36931536
138,-90.64609
139,-89.815254
140,-91.012596
141,-87.140144
142,-89.95854
143,-91.099754
144,-124.56882
145,-130.31671
146,-124.299736
147,-94.583435
148,-92.82889
149,-95.90042
150,-3.2184107
151,-95.0324
152,-19.816553
153,-14.954906
154,-92.82046
155,-5.7707725
156,-92.816765
157,-121.69182
158,-111.476875
159,-95.25959
160,-97.47208
161,-99.18347
162,-103.68732
163,-24.742422
164,-93.402374
165,-87.640724
166,-18.602764
167,-8.8718195
168,-18.610962
169,-22.299059
170,-15.13524
171,-96.829025
172,-96.990875
173,-16.043552
174,-15.215562
175,-104.428185
176,-110.64066
177,-107.98304
178,-14.757753
179,-95.39273
180,-104.53308
181,-11.981484
182,-4.5132976
183,-83.85544
184,-84.075424
185,-2.883496
186,-4.900221
187,-1.2826129
188,-93.30832
189,-21.636436
190,-106.06127
191,-20.79838
192,-95.44687
193,-20.622322
194,-102.350586
195,-13.306503
196,-1.5424343
197,-4.3248744
198,-6.7665877
199,-6.3311896
200,-98.241234
201,-93.471504
202,-94.46125
203,-98.17915
204,-93.96571
205,-97.75234
206,-13.846275
207,-13.166871
208,-9.367236
209,-92.40754
210,-105.75281
211,-89.912346
212,-92.549446
213,-100.17168
214,-89.55825
215,-20.116787
216,-118.3519
217,-97.537766
218,-95.040764
219,-110.411514
220,-20.008305
221,-17.984081
222,-94.05995
223,-108.39087
224,-93.404434
225,-87.051544
226,-89.62372
227,-90.52048
228,-93.076675
229,-13.904044
230,-9.331944
231,-17.55291
232,-97.05635
233,-1.586904
234,-5.9356194
235,-9.034354
236,-106.41609
237,-105.78167
238,-106.37077
239,-97.85503
240,-99.40421
241,-92.84767
242,-104.213135
243,-89.1908
244,-91.75962
245,-96.83355
246,-113.7208
247,-22.567036
248,-101.13814
249,-99.82221
250,-96.26362
251,-92.962524
252,-85.61748
253,-89.03435
254,-94.804886
255,-97.3831
256,-15.009183
257,-9.726229
258,-13.127384
259,-1.8778771
260,-92.96006
261,-97.273285
262,-106.616165
263,-1.8475817
264,-98.95053
265,-93.8176
266,-90.667175
267,-96.87683
268,-91.66864
269,-92.03371
270,-102.095276
271,-104.5331
272,-90.47391
273,-4.2120852
274,-105.551476
275,-99.835655
276,-99.02451
277,-101.65496
278,-7.915784
279,-12.590041
280,-10.382015
281,-16.909618
282,-105.0106
283,-2.7801263
284,-93.100784
285,-92.411705
286,-9.527783
287,-11.463888
288,-97.37042
289,-6.5404134
290,-7.58641
291,-97.1124
292,-95.42772
293,-91.11804
294,-97.79334
295,-91.00661
296,-91.4607
297,-12.1737585
298,-8.912887
299,-92.20982
300,-97.00929
301,-94.87089
302,-96.41493
303,-92.04456
304,-93.52533
305,-91.59218
306,-94.90141
307,-91.66645
308,-92.95964
309,-12.152238
310,-96.48871
311,-91.37566
312,-93.18864
313,-94.3805
314,-91.53493
315,-91.9557
316,5.909906
317,15.627464
318,-94.90051
319,-12.954242
320,-4.165806
321,-7.284312
322,-96.50281
323,-1.6838572
324,1.9823234
325,-89.4638
326,-4.409674
327,-91.787476
328,-90.907234
329,-93.30517
330,-92.66566
331,-93.513626
332,-95.33442
333,-92.28062
334,-97.94369
335,-99.6564
336,-91.52547
337,-90.98965
338,-91.93917
339,-89.946396
340,-5.6046596
341,-8.625757
342,-85.44673
343,-91.27272
344,-91.957275
345,-90.12561
346,-93.33862
347,-91.205055
348,-6.3018465
349,-13.504577
350,-4.502749
351,1.4009783
352,-90.62908
353,-92.30642
354,-95.01873
355,-96.20978
356,21.7605
357,-95.47505
358,-92.197754
359,-129.59125
360,-92.82463
361,-91.787
362,-91.09674
363,-89.36835
364,-90.81378
365,-91.89238
366,-90.83843
367,-93.54265
368,-90.47276
369,4.1282067
370,-88.53607
371,-4.1394024
372,-9.716589
373,-87.726715
374,-93.84789
375,-91.0901
376,-8.82346
377,-13.127301
378,-5.132728
379,-16.269205
380,-6.0173774
381,-93.189514
382,-93.61298
383,-94.00088
384,-96.564125
385,-99.09101
386,-3.7294643
387,-4.519158
388,-91.57046
389,-95.09972
390,-92.70221
391,-90.85841
392,-93.61639
393,-99.58384
394,-92.70556
395,-9.144921
396,-3.2075129
397,-8.378255
398,-95.03748
399,-92.95119
400,-107.065254
401,-92.50116
402,-93.18352
403,-91.63662
404,-89.39364
405,-86.8895
406,-90.561516
407,-92.36567
408,-92.01504
409,-88.54833
410,-92.0318
411,-90.02955
412,-94.90223
413,-93.11488
414,-93.0211
415,41.216923
416,21.939991
417,-95.24109
418,-97.209435
419,-98.38965
420,-93.612144
421,-92.31877
422,-96.549576
423,-95.33917
424,-88.196304
425,-89.591515
426,-86.237564
427,-95.67134
428,-95.163475
429,-95.02929
430,-96.982925
431,-88.46666
432,-95.43992
433,-97.450745
434,-101.6805
435,-102.86137
436,-102.51858
437,-97.73048
438,-90.198784
439,-97.92719
440,-93.9007
441,-93.75442
442,-93.02657
443,-98.98976
444,-102.626526
445,-92.80029
446,-97.37373
447,-100.30659
448,-99.60529
449,-101.22135
450,-94.765526
451,-95.26405
452,-100.58283
453,-94.122345
454,-88.638794
455,-89.054405
456,-95.39345
457,-16.5034
458,-127.275826
459,-95.912605
460,-91.348495
461,-13.196626
462,-126.8497
463,-95.30973
464,-88.71618
465,-27.781788
466,-98.55113
467,-99.54762
468,-107.65343
469,-101.18108
470,-97.45964
471,-98.0971
472,-102.21459
473,-29.742582
474,-99.89383
475,-98.57705
476,-102.275154
477,-97.326454
478,-107.34818
479,-104.17756
480,-102.701744
481,-18.762596
482,-98.47464
483,-105.20417
484,-127.42888
485,-90.228294
486,-14.730593
487,-125.07509
488,-95.39184
489,-117.33786
490,-91.70286
491,-21.336853
492,-97.1461
493,-96.47163
494,-101.94862
495,-96.05254
496,-104.85903
497,-101.51091
498,-97.18085
499,-91.823975
500,-92.36121
501,-92.265625
502,-104.616135
503,-25.18297
504,-27.380411
505,-27.642212
506,-18.10065
507,-17.692465
508,-24.05479
509,-94.38494
510,-97.14129
511,-28.632486
512,-25.190817
513,-95.58865
514,-96.43567
515,-92.16826
516,-99.228004
517,-100.859566
518,-99.415764
519,-95.714165
520,-99.56117
521,-97.93716
522,-96.47167
523,-96.925224
524,-89.36539
525,-100.78018
526,-97.58841
527,-100.14959
528,-95.88954
529,-98.323166
530,-98.21162
531,-100.8796
532,-95.093925
533,-101.91521
534,-26.644768
535,-95.82388
536,-94.82203
537,-90.89582
538,-97.43138
539,-98.480316
540,-97.813225
541,-18.45587
542,-91.32289
543,-91.19282
544,-90.73447
545,8.251812
546,10.99672
547,-14.460746
548,-111.15261
549,-108.40218
550,-108.08525
551,-22.48026
552,-96.17854
553,-96.19088
554,-100.641304
555,-13.254334
556,-100.6192
557,-103.13409
558,-107.33688
559,-116.34451
560,-124.89974
561,-98.20776
562,-126.92818
563,-95.4935
564,-125.94899
565,-107.81321
566,-95.05983
567,-97.98011
568,-96.540146
569,-122.835495
570,-91.366394
571,-92.05568
572,-84.67233
573,-91.67465
574,-94.282555
575,-109.29881
576,-101.25296
577,-92.63535
578,-96.72854
579,-98.93194
580,-102.237366
581,-97.67965
582,-94.36476
583,-105.413216
584,-104.853836
585,-85.53336
586,-98.12516
587,-102.32304
588,-100.57339
589,-98.42803
590,-97.03401
591,-98.76086
592,-96.48733
593,-99.6694
594,-98.09249
595,-98.51293
596,-28.288912
597,-104.49583
598,-103.86731
599,-103.97975
600,-90.057
601,-97.07858
602,-99.6485
603,-95.35286
604,-100.01484
605,-99.48477
606,-96.02586
607,-109.74728
608,-25.452972
609,-23.394627
610,-98.42794
611,-99.61167
612,-101.84171
613,-101.14531
614,-99.95798
615,-98.56406
616,-101.58527
617,-101.1492
618,-91.04855
619,-102.281105
620,-105.719795
621,-100.58797
622,-98.28332
623,-94.70637
624,-100.67962
625,-99.44479
626,-92.71098
627,-95.902626
628,-97.084785
629,-98.37607
630,-14.636972
631,-92.32541
632,-5.47517
633,-93.849304
634,-102.76963
635,-97.972595
636,-93.8886
637,-92.910835
638,-91.84587
639,-96.09288
640,-104.97418
641,-102.947655
642,-19.133112
643,-15.503105
644,-15.39109
645,-99.49157
646,-102.04139
647,-99.08075
648,-97.60492
649,-96.63558
650,-93.613434
651,-90.46255
652,-87.89448
653,-94.09964
654,-100.17389
655,-100.66569
656,-101.66919
657,-98.85729
658,-10.767551
659,-91.44265
660,-92.41553
661,-98.013145
662,-96.93522
663,-90.577095
664,-91.1521
665,-93.13832
666,-95.560684
667,-99.678314
668,-99.86444
669,-83.90453
670,35.665855
671,-94.66226
672,-94.91995
673,-95.406975
674,-101.58701
675,-101.595726
676,-98.798195
677,-94.74927
678,-103.689354
679,-90.92978
680,-97.79122
681,-87.76619
682,-6.0527263
683,-9.592965
684,-10.508272
685,-14.873446
686,-98.67564
687,-97.410126
688,-98.70601
689,-12.6645775
690,-11.001856
691,9.633653
692,-96.99935
693,-99.29914
694,-94.046646
695,-92.3169
696,-77.29209
697,-96.23488
698,-98.62651
699,43.583363
700,-107.058
701,-14.6314745
702,13.200997
703,11.253684
704,16.33827
705,-86.5447
706,-95.87975
707,-64.440575
708,-8.156123
709,-99.29226
710,-101.016426
711,26.073833
712,0.53441334
713,-110.94839
714,11.786131
715,36.036774
716,-89.257126
717,14.164202
718,35.134342
719,-79.44072
720,-99.55232
721,-107.91281
722,-86.85348
723,-107.56123
724,-90.15805
725,-105.55596
726,-110.13001
727,-7.016232
728,-7.772705
729,-107.6494
730,-100.33575
731,-106.31885
732,-5.703771
733,-97.699356
734,-105.294235
735,-106.064514
736,-97.18717
737,-94.185394
738,-99.98365
739,-96.662964
740,-97.12295
741,-116.57977
742,-110.41265
743,-97.42478
744,-94.91864
745,-97.66868
746,-98.09392
747,-99.93516
748,-99.87587
749,-99.57522
750,-101.39131
751,-118.62131
752,-124.340416
753,-102.25648
754,-98.68505
755,-96.32223
756,-99.99097
757,-98.26222
758,-94.305176
759,-101.80099
760,-90.2359
761,-91.686226
762,-100.774345
763,-87.588036
764,-92.406235
765,-68.88651
766,-97.58817
767,23.654709
768,42.837337
769,37.10968
770,-82.84172
771,-95.56166
772,-96.95009
773,-98.07268
774,-105.893105
775,-99.16309
776,-97.93806
777,-98.82621
778,-98.67728
779,-98.96747
780,-94.12388
781,-73.358
782,41.17937
783,-93.81366
784,-79.94364
785,-128.07271
786,29.551811
787,17.641289
788,-92.28466
789,-96.880615
790,-99.974594
791,-94.91826
792,-88.9663
793,-97.61475
794,-95.926926
795,-127.95004
796,-99.04144
797,-99.88134
798,-90.154816
799,11.8559675
800,7.2405057
801,-96.30404
802,-95.549576
803,-96.294395
804,-98.07528
805,-95.10777
806,-23.33515
807,-92.77105
808,-80.767426
809,-96.54175
810,-96.627846
811,-96.763626
812,-96.92235
813,-90.00134
814,-86.44571
815,-97.37606
816,-13.249144
817,-8.498837
818,-99.4668
819,-99.72585
820,-93.275696
821,-102.59403
822,-104.53636
823,-103.25203
824,-87.40841
825,-6.278745
826,-92.87386
827,-87.523895
828,-91.505394
829,-11.069463
830,-16.66185
831,-15.705785
832,-10.562378
833,-110.67595
834,13.05715
835,-94.43426
836,-97.14942
837,-11.462504
838,-102.33086
839,-87.536606
840,8.278528
841,-9.117199
842,-10.023398
843,-95.53514
844,-90.16375
845,-88.68862
846,-106.35454
847,-15.336726
848,-94.95825
849,-96.73829
850,-98.557526
851,-99.08268
852,15.812353
853,9.968327
854,8.931521
855,7.394115
856,19.090212
857,32.998955
858,-80.56511
859,-111.27934
860,-103.58406
861,-90.57814
862,-89.76505
863,41.900455
864,-88.29439
865,-92.000656
866,-99.27035
867,-95.13366
868,44.73191
869,-80.95685
870,-87.61347
871,-99.57688
872,-84.455536
873,-91.60211
874,-99.19521
875,-77.279015
876,50.913445
877,24.42892
878,20.123402
879,11.74454
880,-89.45538
881,-95.00426
882,-100.68124
883,-103.904495
884,-99.39744
885,-5.149244
886,18.258919
887,-89.87386
888,-62.757187
889,-84.7707
890,-70.20593
891,43.914474
892,50.649113
893,5.7733088
894,-92.85381
895,-93.81503
896,-84.20923
897,48.05813
898,67.037964
899,-65.95254
900,-82.981674
901,-100.50682
902,-96.183624
903,1.9744844
904,3.623303
905,-95.88545
906,-86.85278
907,-77.42642
908,24.207533
909,-4.761673
910,-13.365306
911,-16.462757
912,-13.175424
913,9.153824
914,23.021908
915,33.31636
916,37.95587
917,33.40079
918,-77.3056
919,-47.405983
920,38.339897
921,21.866217
922,16.369843
923,-99.249405
924,-103.10989
925,-85.313805
926,-81.83599
927,50.226334
928,-72.61042
929,31.735762
930,-23.538214
931,27.186842
932,14.441524
933,-93.6504
934,-99.93225
935,-95.28682
936,-98.54672
937,-75.41852
938,32.159008
939,10.903644
940,6.6181965
941,12.240379
942,28.062408
943,-58.312683
944,-97.97376
945,43.89721
946,19.339668
947,18.591152
948,-91.66086
949,19.607107
950,8.388426
951,4.8789597
952,6.8545427
953,16.335512
954,24.006111
955,31.134037
956,39.92169
957,39.563232
958,29.51651
959,19.676575
960,10.747001
961,12.786591
962,19.042217
963,26.405556
964,27.23543
965,37.459183
966,32.519108
967,21.935207
968,7.584437
969,8.339791
970,19.322409
971,-91.56121
972,25.521414
973,33.652435
974,37.5772
975,35.472878
976,41.877304
977,43.921024
978,-55.089653
979,50.982174
980,44.318794
981,24.471914
982,24.34047
983,39.93948
984,-101.89381
985,45.856995
986,44.858364
987,40.935093
988,46.72887
989,47.918163
990,38.51071
991,48.491184
992,52.800217
993,-73.588776
994,59.558556
995,62.6822
996,71.63852
997,76.718666
998,66.94969
999,70.6174
1000,84.44425
1001,-74.817345
1002,59.579716
1003,50.94303
1004,53.297035
1005,57.52591
1006,66.56121
1007,70.78498
1008,66.05494
1009,62.900475
1010,52.61546
1011,60.556335
1012,54.98116
1013,57.239365
1014,55.256245
1015,56.505253
1016,51.890778
1017,46.25756
1018,46.607815
1019,63.745678
1020,50.927544
1021,48.041428
1022,48.106228
1023,38.436565
1024,43.451576
1025,51.03958
1026,51.89524
1027,43.74259
1028,17.322926
1029,41.779427
1030,49.234417
1031,49.094837
1032,57.03209
1033,60.096954
1034,48.953075
1035,-104.74259
1036,56.92572
1037,63.36386
1038,62.27907
1039,72.954994
1040,81.62241
1041,74.65696
1042,73.7968
1043,82.85481
1044,75.70092
1045,-100.64792
1046,-41.21139
1047,60.644394
1048,66.176056
1049,-75.08803
1050,88.81417
1051,75.01523
1052,69.35575
1053,79.57028
1054,80.41903
1055,79.58178
1056,68.95684
1057,82.46769
1058,77.578766
1059,77.31825
1060,69.162094
1061,63.688396
1062,61.510464
1063,69.15613
1064,60.07455
1065,65.33312
1066,48.103745
1067,63.665245
1068,57.96588
1069,67.75785
1070,51.244576
1071,54.97364
1072,65.605385
1073,70.37844
1074,68.18044
1075,43.533325
1076,71.37235
1077,54.91422
1078,68.18639
1079,70.73458
1080,68.329796
1081,70.68225
1082,74.93892
1083,84.451546
1084,77.02849
1085,67.77048
1086,75.71237
1087,78.46574
1088,71.38239
1089,59.53846
1090,53.37846
1091,46.830814
1092,61.92292
1093,74.55766
1094,77.16353
1095,61.24932
1096,55.778862
1097,69.83905
1098,71.11548
1099,63.754665
1100,67.31532
1101,67.13774
1102,83.28948
1103,63.505905
1104,26.447285
1105,73.51288
1106,62.33358
1107,70.123604
1108,74.81915
1109,67.3619
1110,-52.232334
1111,66.77508
1112,65.36713
1113,70.64929
1114,70.72143
1115,69.39583
1116,60.670296
1117,76.000626
1118,73.60307
1119,82.705124
1120,77.63601
1121,76.965485
1122,82.23887
1123,89.7572
1124,85.89508
1125,85.100845
1126,90.284035
1127,78.087006
1128,74.93309
1129,79.60441
1130,79.206406
1131,81.970665
1132,84.19466
1133,94.80322
1134,73.9962
1135,-117.29701
1136,50.48214
1137,71.79596
1138,83.237625
1139,90.29531
1140,80.8921
1141,77.8737
1142,76.91314
1143,76.98944
1144,75.60187
1145,79.6014
1146,98.938774
1147,80.71792
1148,95.371765
1149,91.099495
1150,92.19136
1151,91.810326
1152,92.157295
1153,-26.15364
1154,88.78892
1155,70.97012
1156,93.80334
1157,90.88904
1158,87.10933
1159,87.9413
1160,77.41491
1161,93.63802
1162,92.57145
1163,69.012146
1164,88.4359
1165,73.812515
1166,94.86871
1167,85.70564
1168,89.08838
1169,73.44156
1170,80.47833
1171,91.31539
1172,78.81939
1173,68.33007
1174,81.212494
1175,81.35453
1176,67.5064
1177,66.56572
1178,73.66015
1179,70.49241
1180,84.12489
1181,83.31925
1182,82.58491
1183,50.771126
1184,45.75688
1185,-16.531607
1186,-15.214848
1187,-113.12411
1188,-111.43764
1189,-112.73509
1190,-119.52823
1191,-113.735115
1192,-113.1539
1193,-112.02215
1194,-136.37468
1195,-115.68612
1196,-118.76827
1197,-124.97954
1198,-112.93245
1199,-118.22847
1200,-113.5282
1201,-125.62687
1202,-127.04137
1203,-5.581091
1204,66.1514
1205,71.92822
1206,45.244335
1207,-124.69002
1208,39.961586
1209,7.3741093
1210,52.397495
1211,-94.30128
1212,2.1610682
1213,11.172759
1214,82.53403
1215,66.21146
1216,81.535614
1217,57.855873
1218,76.842064
1219,42.066757
1220,31.342995
1221,61.108974
1222,61.965057
1223,60.591602
1224,58.717407
1225,44.70651
1226,57.161903
1227,36.812824
1228,39.608265
1229,63.79695
1230,78.63928
1231,42.394474
1232,65.90797
1233,75.555305
1234,62.834805
1235,60.39298
1236,-56.063103
1237,62.278404
1238,58.751965
1239,61.788406
1240,71.44958
1241,80.17481
1242,81.90118
1243,-51.750164
1244,58.859325
1245,36.037807
1246,63.02539
1247,62.394962
1248,-132.96382
1249,-34.509228
1250,-96.45917
1251,78.97031
1252,-97.70394
1253,-134.83951
1254,-19.817768
1255,-121.794205
1256,-69.315575
1257,-79.25246
1258,-73.920685
1259,79.367096
1260,88.56098
1261,73.362175
1262,77.897766
1263,36.064903
1264,89.39264
1265,113.22557
1266,89.284485
1267,84.91681
1268,91.40838
1269,70.23254
1270,2.4899225
1271,17.42676
1272,17.90546
1273,-144.34175
1274,-33.406994
1275,-146.22643
1276,-19.354845
1277,-36.129868
1278,95.9599
1279,90.17076
1280,83.56647
1281,102.21458
1282,-87.09712
1283,85.355286
1284,109.02971
1285,104.61548
1286,82.540054
1287,85.557365
1288,96.60607
1289,85.22458
1290,98.23114
1291,106.64601
1292,119.200035
1293,-42.48449
1294,-42.463905
1295,92.45946
1296,74.62234
1297,83.41039
1298,77.491875
1299,87.30373
1300,72.17274
1301,66.54957
1302,77.60533
1303,70.75812
1304,73.99326
1305,89.813644
1306,-22.69912
1307,95.301346
1308,72.024536
1309,75.723076
1310,50.61615
1311,61.947903
1312,-72.48991
1313,36.08195
1314,-21.277397
1315,65.92315
1316,78.61792
1317,-82.40436
1318,86.694244
1319,77.3588
1320,75.52903
1321,70.36457
1322,43.397884
1323,48.498665
1324,83.564995
1325,79.45337
1326,53.05821
1327,87.84368
1328,-118.317276
1329,-41.504845
1330,91.399185
1331,90.087456
1332,91.20206
1333,-42.745075
1334,-59.386555
1335,89.996155
1336,104.008484
1337,94.79663
1338,-49.2302
1339,-110.556335
1340,-110.96752
1341,-140.57811
1342,103.421364
1343,-142.03038
1344,99.88491
1345,-9.041893
1346,-33.00186
1347,86.803535
1348,-45.003357
1349,94.488335
1350,100.775215
1351,75.90189
1352,-36.093575
1353,-52.958088
1354,84.03739
1355,96.46941
1356,53.404522
1357,67.41268
1358,79.56206
1359,84.43022
