,It 0,It 1,It 2,It 3,It 4
0,-21.745378,-110.2892,-108.70197,-106.21211,-104.89736
1,-115.541885,-113.22191,-121.87836,-116.34766,-101.8435
2,-116.60879,-115.75905,-103.38986,-117.49178,-117.13466
3,-117.793686,-112.66821,-104.54848,-111.99019,-119.13605
4,-118.09655,-124.09284,-122.61557,-110.69977,-116.26413
5,-115.1035,-118.279396,-126.16486,-39.87774,-114.187004
6,-112.58806,-118.522484,-116.478775,-114.325035,-117.13333
7,-119.903404,-117.97484,-115.0028,-25.914875,-118.04264
8,-19.303411,-115.027275,-114.31148,-109.77795,-110.85431
9,-30.41966,-115.06447,-16.53698,-116.42253,-116.65464
10,-114.46055,-108.535675,-106.356125,-26.425228,-112.394066
11,-109.04248,-113.403244,-107.905235,-111.971436,-112.32397
12,-19.65426,-116.146355,-32.705185,-13.647505,-125.10971
13,-103.11443,-110.87425,-36.63794,-15.871199,-106.00216
14,-101.55077,-29.742208,-30.551895,-31.081123,-99.6558
15,-104.80501,-26.636318,-19.778103,-22.40488,-101.565125
16,-19.026037,-15.407281,-27.179049,-20.722338,-16.802065
17,-116.15429,-104.283875,-27.987106,-18.224215,-104.66317
18,-101.34796,-103.74189,-107.43274,-118.569756,-29.483276
19,-99.45708,-106.20008,-113.116135,-30.565237,-21.48691
20,-111.44813,-25.634338,-22.732277,-15.873929,-118.756836
21,-102.52632,-100.58947,-104.65688,-24.91923,-114.76489
22,-12.764089,-103.25441,-30.183111,-109.99478,-19.051128
23,-96.89741,-17.26822,-107.77905,-15.535217,-16.415627
24,-110.12211,-123.238014,-103.58104,-21.941708,-101.121124
25,-104.373886,-26.690382,-107.07117,-15.067912,-99.08599
26,-130.08044,-104.53367,-106.56376,-22.95215,-105.5701
27,-103.68028,-41.154236,-34.872932,-114.18813,-15.2867565
28,-21.807924,-107.05003,-24.268316,-101.91935,-15.12838
29,-22.005919,-23.506449,-115.53798,-20.398737,-98.90027
30,-114.94249,-101.11202,-36.229237,-18.430805,-15.699443
31,-101.763725,-20.93276,-20.585695,-20.975924,-15.859688
32,-114.733986,-19.119692,-15.880289,-112.58131,-19.428772
33,-113.53453,-109.19057,-113.969795,-102.00407,-20.779203
34,-100.06437,-19.870003,-31.235474,-19.402178,-97.832886
35,-100.10584,-20.51803,-19.921824,-114.95992,-14.6827545
36,-15.646136,-22.461924,-28.368095,-18.131668,-114.43919
37,-101.81964,-19.718945,-103.13245,-18.235289,-10.861526
38,-106.22504,-103.13588,-114.4832,-112.722275,-16.41825
39,-20.124435,-18.02809,-16.245697,-121.14633,-99.846275
40,-108.00693,-29.043438,-21.015451,-116.83762,-17.330906
41,-112.3434,-101.571754,-114.95142,-99.968925,-99.4236
42,-20.633907,-25.440622,-21.32507,-15.718235,-106.23064
43,-102.83546,-26.286993,-33.755455,-107.31463,-19.137949
44,-110.527275,-25.59049,-103.00349,-122.23759,-97.43021
45,-20.292318,-22.408556,-33.529594,-106.48079,-23.177996
46,-14.391518,-21.375174,-17.730007,-103.60495,-110.76701
47,-20.322931,-22.172129,-26.923864,-12.305508,-5.580302
48,-100.806526,-22.88555,-116.48186,-10.73254,-94.123314
49,-31.072866,-102.296875,-98.323456,-101.428764,-93.48035
50,-23.84157,-14.37513,-110.0763,-112.768906,-18.706926
51,-17.322826,-109.613205,-104.291374,-14.54153,-120.536316
52,-21.57544,-17.318464,-100.89319,-104.06966,-96.3242
53,-15.346128,-30.14684,-26.356024,-15.04449,-97.12302
54,-114.00423,-110.780365,-33.502476,-11.224286,-101.307365
55,-105.82114,-106.82737,-21.734493,-103.72936,-96.74595
56,-103.73076,-116.56501,-29.822798,-13.0236025,-100.91977
57,-108.496506,-103.31582,-119.62982,-99.17706,-92.35934
58,-11.638855,-20.222881,-104.63541,-112.74372,-98.09532
59,-16.24761,-114.35736,-101.89361,-100.58781,-14.298845
60,-105.499535,-101.433914,-106.95833,-99.7088,-112.00607
61,-13.111858,-19.970993,-21.107615,-17.975744,-97.03456
62,-11.298519,-101.23008,-106.61797,-128.0358,-5.552329
63,-95.30349,-101.525055,-21.766924,-18.853338,-96.10221
64,-103.65326,-95.42394,-17.637724,-10.077562,-119.25722
65,-96.561615,-110.3646,-21.123474,-102.588615,-100.3087
66,-11.717116,-113.02186,-15.246518,-104.4019,-95.97814
67,-11.956932,-103.62286,-15.096129,-106.55884,-8.02424
68,-93.269005,-100.058,-120.99713,-101.319756,-95.046455
69,-103.01919,-99.05759,-99.63523,-96.662254,-96.06109
70,-106.096634,-115.59131,-98.7699,-6.513766,-99.24239
71,-4.5785203,-97.37978,-102.249535,-102.35965,-10.298296
72,-9.308678,-10.474065,-13.951644,-105.38185,-8.601849
73,-100.550514,-14.725427,-20.32684,-13.772419,-7.1596155
74,-13.217055,-99.06451,-95.869484,-102.34681,-95.458725
75,-14.188705,-13.075539,-22.407068,-97.16919,-94.820496
76,-96.269104,-18.225866,-108.18861,-95.85975,-93.19765
77,-104.9695,-9.329968,-20.647213,-97.03781,-12.585435
78,-94.928055,-6.6671853,-14.677886,-104.41735,-94.30073
79,-13.833566,-9.723804,-19.006084,-99.93856,-95.877075
80,-16.722277,-11.225212,-22.556381,-105.83338,-96.521965
81,-97.245384,-16.160929,-14.884898,-91.08883,-98.64889
82,-15.838214,-98.47505,-5.467021,-99.0972,-8.460253
83,-11.752147,-97.84781,-8.5559435,-102.92553,-14.863968
84,-103.72785,-6.6805663,-9.783709,-102.618805,-93.88635
85,-13.120866,-17.096004,-12.133584,-98.11712,-96.236046
86,-9.332546,-21.169542,-11.541868,-2.3221838,-97.63232
87,-100.92525,-20.794022,-9.417074,-12.428738,-5.4258704
88,-9.7518,-8.536858,-104.86372,-102.604935,3.8361099
89,-10.595276,-90.74423,-0.58437103,-6.8819904,-95.52499
90,-12.952846,-6.467832,-9.564844,-13.7848015,-96.59173
91,-8.755018,-8.750322,-10.198269,-2.349443,-97.17468
92,-99.69978,-8.400441,-6.0919394,-105.06274,-96.04371
93,-96.31248,-4.1453447,-15.601048,-5.0604873,-10.366275
94,-92.932884,-97.240364,-10.199557,-14.125111,-92.7291
95,-91.82248,-116.86851,-9.4731655,-3.1118655,-86.89109
96,-11.952741,-92.33948,-10.306253,-3.4029114,-5.3145475
97,-93.449425,-19.349176,-11.169315,-95.43761,-11.223212
98,-8.180457,-104.77333,-91.23597,-93.319046,-3.1755524
99,-95.384125,-13.679343,-10.431602,-2.9534943,-6.6216826
100,-102.02398,-118.478485,-113.74821,-0.5628874,-8.708997
101,-102.20893,-98.251434,-104.337364,-99.53098,-96.98029
102,-97.03996,-96.85872,-92.51737,-2.3448052,-90.13897
103,-8.5198,-90.22201,-94.89043,-117.308655,-94.46927
104,-9.955476,-103.75657,-11.792732,-101.7945,-9.322956
105,-10.051702,-8.340733,-14.807143,-97.6378,-89.794785
106,-9.17711,-98.15867,-105.26741,-100.569786,-6.9407916
107,-11.163308,-98.12759,-26.562494,-4.5957294,-93.520424
108,-14.273763,-90.15335,-97.47829,-100.10518,-94.792786
109,-12.708459,-3.1455326,-34.705246,-94.44303,-88.56598
110,-95.7016,-97.362946,-34.924557,-102.886856,-10.424796
111,-102.41259,-95.092285,-103.95309,-25.139906,-92.319595
112,-10.9737835,-95.59747,-2.8919482,-105.38071,-7.2903433
113,-7.9351006,-95.83299,-1.4874717,-95.61788,-7.523465
114,-11.56433,-91.78887,-5.0778837,-123.851654,-87.795135
115,-96.44248,-97.115135,-8.133626,-119.81122,1.5817766
116,-9.420645,-94.74232,-97.7622,-96.73438,-7.277096
117,-94.7069,-113.82295,-20.138977,-100.56132,-4.4557166
118,-96.0335,-96.90708,-22.461796,-97.904976,-5.9879904
119,-97.41687,-96.30227,-23.929405,-95.9535,0.40563375
120,-99.067566,-16.532972,-3.4362812,-99.27876,-99.624245
121,-11.404033,-97.045204,-24.522179,-27.076553,-98.55829
122,-94.50382,-95.14324,-106.557816,-121.31796,-111.51533
123,-95.36096,-100.08214,-3.3029752,-98.2191,-40.620678
124,-94.65585,-100.04967,-96.33816,-97.17144,-111.298935
125,-25.7652,-94.72234,-96.037415,-1.4131141,-98.4028
