,"It [499, 2]"
0,-45.53244
1,-34.15458
2,-114.828606
3,-105.17882
4,-26.237715
5,-120.41772
6,-111.330345
7,-117.69107
8,-120.379555
9,-108.847885
10,-22.419357
11,-97.70757
12,-120.7955
13,-107.00225
14,-29.025316
15,-104.04906
16,-97.46716
17,-100.26367
18,-102.127365
19,-100.443985
20,-109.19186
21,-108.581154
22,-18.342445
23,-106.48344
24,-92.39744
25,-115.77221
26,-116.05582
27,-102.185715
28,-11.325412
29,-25.690649
30,-99.23062
31,-19.842579
32,-23.96627
33,-26.143047
34,-100.692726
35,-99.81746
36,-99.51386
37,-116.7954
38,-31.654104
39,-103.16847
40,-103.63979
41,-124.73221
42,-20.69748
43,-18.119476
44,-24.51447
45,-100.87982
46,-115.32678
47,-100.5093
48,-101.05948
49,-103.69347
50,-110.09896
51,-100.41092
52,-102.7882
53,-102.97431
54,-108.65652
55,-106.03059
56,-99.98043
57,-101.026886
58,-104.06523
59,-101.66998
60,-99.714645
61,-99.307976
62,-15.621426
63,-100.691574
64,-19.244925
65,-98.203545
66,-100.5243
67,-25.382702
68,-110.03055
69,-25.438652
70,-94.75841
71,-100.16872
72,-101.961655
73,-24.650763
74,-101.447556
75,-100.040245
76,-97.68671
77,-24.968138
78,-100.71251
79,-98.2293
80,-105.695435
81,-100.65923
82,-13.097213
83,-96.3453
84,-106.44659
85,-102.528984
86,-102.001305
87,-25.113264
88,-97.3217
89,-17.883242
90,-104.875854
91,-21.113623
92,-101.68222
93,-97.139084
94,-97.3571
95,-99.859406
96,-100.64591
97,-107.29143
98,-30.731682
99,-19.71079
100,-14.849913
101,-106.10138
102,-19.877127
103,-5.7317605
104,-8.787378
105,-11.717123
106,-18.987743
107,-10.829519
108,-95.125046
109,-96.94241
110,-94.37759
111,-2.3096032
112,-1.8120703
113,-2.0285742
114,1.2708807
115,-12.390862
116,-92.97572
117,-93.69615
118,-92.703865
119,-92.37478
120,-97.46701
121,-97.03917
122,-13.458158
123,-91.349815
124,-23.414999
125,-96.31897
126,-18.730843
127,-2.7527032
128,-100.90471
129,-102.017265
130,-99.614204
131,-97.088135
132,-1.359545
133,-95.81239
134,-94.767235
135,-1.2353438
136,-5.077468
137,-9.164494
138,-9.636712
139,-15.676789
140,-90.28618
141,-95.53829
142,-99.209404
143,-12.800487
144,-97.65015
145,-25.825232
146,-98.347946
147,-4.3759036
148,-92.16851
149,-100.47147
150,-100.591896
151,-96.46992
152,-92.78704
153,-93.68957
154,-96.55049
155,-92.50081
156,-0.7315206
157,-97.433235
158,-5.623154
159,-23.711864
160,-22.113926
161,-101.65291
162,-100.166016
163,-98.06049
164,-9.007209
165,-99.8169
166,-14.231715
167,-2.3751597
168,-97.709526
169,-100.81633
170,-94.72717
171,-14.933195
172,-118.9521
173,-101.7734
174,-98.970955
175,-9.478551
176,-92.60734
177,-24.602358
178,-7.584959
179,-13.751446
180,-32.735394
181,-116.43528
182,-106.20808
183,-106.79049
184,-100.95503
185,-110.924065
186,-9.686921
187,-101.28146
188,-4.2152853
189,-14.117249
190,-10.204166
191,-94.72084
192,-31.851713
193,-16.445375
194,-5.4192796
195,-96.23288
196,-93.89916
197,-7.769244
198,-122.51515
199,-105.72143
200,-110.71157
201,-97.11422
202,-98.36391
203,-100.23532
204,-96.47716
205,-99.553276
206,-98.172874
207,-91.97914
208,-93.19937
209,-25.912025
210,-25.092031
211,-21.112724
212,-97.11591
213,-96.88816
214,-96.48574
215,-19.251888
216,-11.287574
217,-7.5658584
218,-128.14227
219,-101.43347
220,-34.79822
221,-28.054317
222,-30.75003
223,-24.169785
224,-21.294119
225,-129.46825
226,-124.31506
227,-6.6877947
228,-31.943102
229,-6.757285
230,-117.42875
231,-20.797258
232,-21.944508
233,-99.127396
234,-101.67442
235,-96.40686
236,-100.97289
237,-13.446219
238,-14.229151
239,-25.896725
240,-113.08137
241,-11.749286
242,-103.51011
243,-103.23743
244,-101.25928
245,-102.5199
246,-104.722466
247,-105.58913
248,-33.720856
249,-29.861795
250,-98.69541
251,-98.737564
252,-125.09836
253,-16.93179
254,-113.88086
255,-18.298883
256,-131.31464
257,-21.978664
258,-98.91884
259,-103.49399
260,-110.26235
261,-8.4972725
262,-11.96915
263,-1.6200079
264,-117.91669
265,-139.39536
266,-101.8855
267,-105.79367
268,-94.26257
269,-104.81514
270,-15.7197485
271,-106.703636
272,-22.372992
273,-99.17846
274,-98.38466
275,-98.24124
276,-103.32271
277,-107.10505
278,-110.667465
279,-104.91836
280,-121.52213
281,-35.04547
282,-35.692886
283,-98.36632
284,-9.464955
285,-7.1674423
286,-119.03696
287,-105.70386
288,-107.22155
289,-101.14654
290,-98.83308
291,-23.568287
292,-28.461985
293,-31.306124
294,-32.56395
295,-41.71404
296,-103.246574
297,-105.65363
298,-100.15095
299,-97.71601
300,-103.29382
301,-104.557625
302,-19.370205
303,-106.2658
304,-104.278564
305,-96.987
306,-23.334545
307,-105.349915
308,-101.84043
309,-97.702896
310,-99.9486
311,-101.23303
312,-102.12529
313,-104.519295
314,-4.929498
315,-100.60613
316,-104.12402
317,-107.50076
318,-107.64647
319,-107.74775
320,-101.73102
321,-103.89262
322,-100.86051
323,-104.65371
324,-101.11873
325,-107.29715
326,-23.923283
327,-107.22035
328,-109.27722
329,-103.472244
330,-98.032486
331,-98.047424
332,-106.70943
333,-102.18555
334,-99.773125
335,-101.55251
336,-17.007484
337,-104.26236
