,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24
0,-28.56858,-104.86049,-122.97023,-117.03906,-111.70997,-110.07133,-109.84074,-32.02209,-106.76244,-105.97597,-114.39212,-34.764225,-114.7475,-25.932814,-114.28539,-39.16324,-102.06171,-102.774666,-116.14199,-129.46758,-103.724815,-118.8615,-110.64982,-102.73367,-118.96096
1,-112.55195,-104.93024,-120.45551,-113.02284,-108.649055,-115.5062,-108.35439,-121.42666,-112.7722,-110.73323,-121.35924,-32.707592,-112.715454,-32.243538,-105.27629,-117.50895,-117.284424,-130.01692,-118.56834,-121.7424,-119.51372,-115.92151,-34.450882,-38.26947,-32.202435
2,-109.279564,-105.86099,-116.91697,-113.73947,-114.5616,-122.73273,-109.39485,-115.42231,-116.88264,-24.02979,-117.50023,-47.118706,-125.81963,-115.633835,-25.628183,-116.33599,-118.12774,-117.50664,-125.2521,-117.59351,-29.29189,-118.56204,-120.228424,-30.762203,-109.04339
3,-109.21225,-30.762636,-118.70747,-117.170334,-21.004675,-118.64726,-116.89372,-123.182655,-118.68866,-122.10176,-112.510864,-112.5627,-120.953636,-116.30735,-29.86372,-120.20108,-116.230225,-132.52762,-111.49687,-119.04665,-34.48395,-120.39264,-108.76898,-22.57786,-115.02662
4,-117.287766,-31.495392,-117.98748,-112.588135,-27.09113,-111.849945,-121.41745,-116.13609,-111.01567,-109.31196,-117.23488,-114.08889,-114.507126,-122.86296,-118.65782,-114.26009,-119.71268,-117.049355,-35.45378,-118.65148,-31.542213,-117.498726,-115.18699,-34.05186,-106.26341
5,-109.96995,-29.403107,-118.534195,-117.61297,-24.032362,-114.61637,-113.00756,-121.40857,-112.76862,-113.37672,-116.54753,-113.5101,-116.50484,-117.974365,-112.92852,-110.34778,-31.170513,-115.702194,-132.29654,-115.90567,-114.29531,-112.31452,-109.36928,-24.905087,-116.0426
6,-110.965546,-25.520863,-114.70395,-113.837585,-23.765173,-121.55755,-115.91817,-124.59494,-111.08711,-115.05451,-116.851204,-107.90067,-117.897354,-120.38002,-112.50688,-29.128517,-36.56473,-118.98416,-30.296099,-117.10111,-114.477356,-114.11096,-116.03818,-17.429739,-120.027176
7,-107.846054,-117.15879,-118.24841,-112.7573,-120.27544,-114.35295,-116.21983,-116.5441,-28.112717,-108.9639,-110.28061,-107.06044,-115.183914,-110.154816,-119.39676,-124.88411,-122.07292,-117.755806,-38.34743,-114.79146,-116.98853,-108.704315,-111.53475,-115.90988,-115.46618
8,-119.2452,-119.62378,-120.319115,-112.84603,-20.499866,-119.87554,-120.08698,-115.469284,-28.341791,-34.03217,-120.4837,-29.273132,-134.436,-104.23065,-125.18338,-26.36178,-118.61975,-111.027725,-104.00806,-122.247665,-110.973114,-117.45477,-117.59259,-27.623724,-113.96502
9,-110.87044,-118.39734,-114.85913,-115.182846,-22.40299,-118.77764,-103.13082,-125.37245,-27.709269,-106.07984,-116.18312,-36.787624,-121.942215,-27.199566,-113.33441,-24.112251,-34.36959,-121.76476,-47.97495,-115.368904,-117.901665,-122.122795,-114.67101,-101.5968,-117.524864
10,-113.65078,-110.291,-115.98606,-113.54645,-117.3815,-118.299904,-106.58357,-114.217636,-27.102385,-102.860054,-118.06734,-41.50572,-119.24716,-26.823269,-115.10532,-24.939226,-108.762024,-124.299484,-27.661695,-121.4298,-119.1411,-115.526215,-115.753845,-104.39894,-114.780495
11,-21.614367,-28.150837,-119.62501,-112.34496,-115.14751,-123.69454,-32.590935,-112.117874,-26.257078,-102.60604,-115.71734,-41.457848,-117.39754,-24.778513,-110.50429,-114.332855,-113.79508,-122.0012,-104.7052,-114.73403,-119.40581,-116.09027,-118.77907,-101.73372,-113.22354
12,-22.76159,-105.741974,-113.645996,-32.04066,-116.77378,-117.609825,-106.11891,-114.67411,-119.70706,-104.28143,-119.584114,-39.18615,-122.17449,-28.378225,-126.56629,-115.12432,-108.16806,-117.841354,-105.77036,-120.707436,-117.73801,-114.99597,-16.444355,-35.99684,-109.226395
13,-24.044731,-105.57172,-114.71797,-28.098696,-106.26306,-115.995804,-33.22365,-116.60951,-109.98832,-99.9971,-119.43266,-24.296278,-125.69001,-25.478014,-27.877668,-106.590744,-111.14286,-116.41155,-17.636,-116.82908,-122.93841,-111.68188,-23.412548,-106.75652,-114.67241
14,-111.440285,-106.0716,-114.71072,-26.90475,-26.901758,-115.860085,-30.239103,-117.988815,-115.17681,-116.85972,-116.76622,-24.007673,-121.19438,-116.02449,-106.65503,-117.70421,-115.80876,-120.52513,-14.842089,-114.73108,-116.59651,-114.63681,-18.81242,-27.81884,-111.74135
15,-118.935104,-35.15992,-115.97553,-109.49646,-111.35124,-116.05478,-28.861681,-120.8612,-21.21141,-24.21453,-114.10906,-107.39473,-119.48126,-114.40173,-117.72435,-107.83933,-22.856895,-116.59812,-18.13284,-117.810326,-120.924644,-120.99517,-122.635185,-26.11965,-120.27519
16,-110.039406,-105.29217,-120.078285,-104.83066,-112.11562,-119.138435,-104.58976,-114.02871,-27.83454,-103.76035,-115.35086,-24.96414,-119.100525,-111.78158,-113.8296,-112.70175,-22.558764,-122.385506,-20.61594,-117.97327,-117.89005,-115.02849,-17.090776,-20.566877,-27.422512
17,-23.108515,-24.367891,-117.47716,-106.060684,-123.189926,-112.39292,-109.18308,-117.089554,-19.96749,-116.019135,-125.65392,-103.639465,-125.02519,-109.03465,-122.2202,-17.128548,-36.725945,-118.44733,-117.47186,-119.238014,-35.392803,-120.06576,-120.69133,-107.656624,-107.00886
18,-23.967916,-24.54624,-121.32311,-108.01685,-22.183064,-118.74307,-104.30502,-114.19445,-109.98735,-103.56686,-111.226585,-105.31689,-118.22862,-106.92042,-27.712488,-103.38554,-116.97415,-119.75095,-100.51903,-33.564083,-37.094036,-120.482666,-32.670753,-104.09061,-104.842606
19,-107.30035,-21.337029,-118.86447,-32.91432,-110.70189,-121.52117,-107.56051,-129.84276,-106.666084,-10.814976,-114.34029,-108.89025,-122.87907,-112.90904,-108.19615,-125.48923,-100.253494,-120.627594,-17.62717,-46.192738,-31.70177,-134.20041,-30.638706,-16.090445,-25.250956
20,-19.126612,-19.734957,-119.483864,-24.330833,-116.32173,-117.034645,-29.683798,-121.96804,-29.656645,-109.45262,-119.30838,-18.319042,-127.33573,-112.87711,-111.3259,-101.80587,-104.935715,-123.91907,-109.41975,-104.1436,-43.048492,-125.10104,-113.865654,-111.38806,-108.8586
21,-111.97253,-107.95834,-114.6982,-28.263891,-106.70015,-119.869576,-34.496895,-121.037994,-37.012344,-19.137634,-118.86767,-108.24056,-120.489494,-107.42209,-114.477554,-103.60369,-108.51764,-116.19733,-23.501863,-34.0938,-31.398474,-119.89931,-126.832596,-19.425472,-106.048996
22,-23.00642,-26.475845,-117.04663,-28.43652,-117.90526,-112.84492,-104.634834,-119.65462,-103.83618,-109.97738,-116.96039,-27.202045,-123.325905,-16.351284,-102.7686,-108.46114,-106.29382,-117.505615,-24.540531,-121.073715,-27.714977,-121.618576,-110.750534,-116.9251,-26.431698
23,-21.55973,-25.069254,-115.341,-24.762753,-117.17867,-114.68755,-109.34683,-114.403725,-20.450167,-34.439465,-121.15162,-24.079908,-123.94539,-113.35782,-106.8545,-102.56465,-106.002426,-120.24993,-20.56525,-27.514944,-34.14749,-125.02365,-100.88477,-19.620203,-27.586212
24,-24.618515,-19.942377,-114.992096,-106.5353,-102.565796,-114.93674,-31.55289,-117.30483,-104.11146,-118.60213,-117.35111,-103.38879,-120.43207,-106.75569,-24.467422,-104.89976,-106.87634,-114.90943,-27.36323,-25.946384,-26.657011,-119.86713,-108.68303,-111.95608,-105.57068
25,-23.54275,-119.35086,-114.50113,-23.800455,-30.243195,-117.253174,-28.08202,-117.03999,-14.250102,-114.40724,-110.85851,-29.841852,-116.15828,-107.05141,-110.043816,-106.043274,-108.463356,-115.49792,-20.379168,-111.38971,-112.46445,-115.325356,-15.789096,-19.541744,-106.16925
26,-27.76037,-123.01373,-119.57247,-25.40204,-22.613562,-113.16178,-33.65461,-125.04533,-29.120546,-21.98515,-114.993744,-16.803833,-124.795204,-30.009422,-111.26298,-21.416395,-113.04219,-116.5152,-22.959454,-115.256325,-106.869606,-113.22679,-30.201447,-19.428942,-17.565517
27,-26.75557,-105.85902,-115.86987,-103.39896,-103.0823,-111.52767,-120.5509,-116.99208,-17.57786,-24.447145,-121.4465,-103.827545,-119.56221,-108.78065,-25.767504,-25.817389,-105.587906,-125.59009,-110.82755,-19.071053,-23.043285,-119.80061,-110.59219,-103.21566,-19.44835
28,-111.02252,-111.56205,-118.156075,-123.16944,-105.25252,-117.61884,-24.653807,-114.634415,-24.913408,-22.29732,-117.03971,-31.438713,-129.61406,-114.99739,-113.463326,-118.724236,-29.717136,-116.38842,-25.574713,-37.522175,-23.269493,-115.53635,-21.862883,-103.20097,-18.502405
29,-19.00331,-101.49964,-115.34578,-104.21188,-23.09993,-119.29746,-105.53236,-113.54339,-23.636568,-32.495823,-115.984695,-31.765158,-115.67487,-21.65699,-107.224556,-25.89403,-115.27778,-117.5365,-102.888,-19.073593,-21.348202,-122.49885,-22.844091,-17.766521,-16.890083
30,-20.902836,-104.723755,-115.17149,-19.71589,-119.87623,-117.96359,-112.03049,-107.34251,-118.72128,-106.61799,-108.497086,-120.017426,-127.38758,-104.11083,-110.47336,-109.85661,-24.018559,-130.59439,-21.036024,-19.592188,-109.78247,-127.24172,-31.257471,-101.68965,-104.96871
31,-17.289066,-120.91733,-123.115974,-25.343006,-108.81555,-113.97272,-23.358442,-16.8395,-105.054726,-104.086205,-105.73821,-21.786892,-123.35574,-15.823289,-16.124651,-30.987207,-104.79937,-113.12384,-21.0642,-13.699624,-22.702206,-119.47287,-28.0679,-99.1591,-17.479774
32,-26.23494,-112.08934,-117.51103,-31.258902,-121.13857,-114.2433,-112.7786,-112.802414,-20.746868,-20.530283,-98.86038,-30.107918,-115.749,-21.99523,-21.44093,-29.61682,-26.519451,-118.215256,-15.829487,-107.133644,-114.74178,-118.3371,-33.293537,-98.16427,-18.28234
33,-28.818993,-106.60945,-115.781876,-26.586142,-101.18147,-121.47925,-105.279366,-102.04008,-23.22417,-104.15194,-101.40627,-104.41038,-115.00774,-18.461258,-26.374092,-23.906713,-24.696476,-124.0174,-16.083176,-105.81791,-116.10719,-44.72707,-25.744305,-99.71462,-18.237778
34,-27.976809,-104.87917,-115.01148,-107.71059,-27.2189,-120.48631,-20.427704,-25.452671,-104.01668,-25.713346,-104.11246,-102.09022,-107.54229,-16.45714,-120.37955,-22.198048,-27.616205,-113.43623,-12.787059,-24.03102,-27.235907,-34.968075,-28.849308,-101.79382,-22.07435
35,-19.635138,-22.4826,-125.3345,-108.424385,-116.307495,-122.57286,-24.281418,-21.1501,-19.77871,-109.94189,-103.275406,-34.53102,-104.687195,-22.368341,-117.22385,-113.40372,-27.956272,-117.45676,-17.023396,-18.780367,-21.94704,-36.539833,-24.975252,-117.09804,-12.604653
36,-28.594296,-17.74352,-120.32142,-23.53855,-117.75112,-114.581604,-23.742441,-30.42081,-22.016191,-102.913895,-102.416885,-37.821594,-100.607475,-23.207952,-25.881117,-26.012957,-107.54532,-31.52286,-18.733927,-24.501469,-110.47549,-38.575996,-29.71296,-15.973443,-113.4339
37,-26.00136,-18.10174,-110.52931,-27.78191,-18.457167,-118.27144,-102.138794,-21.067728,-103.22552,-110.88847,-32.021927,-22.887146,-118.09189,-12.882615,-26.061373,-104.12539,-20.438114,-15.308993,-106.69355,-24.714111,-15.18865,-35.69029,-26.357296,-111.563576,-21.100412
38,-23.551798,-25.692318,-112.280235,-34.28067,-26.60239,-118.8714,-99.64543,-25.23314,-23.140343,-102.81703,-25.551878,-27.69066,-134.41646,-25.319979,-114.792336,-109.742294,-23.549475,-102.89737,-19.373436,-109.387726,-17.945005,-103.43605,-24.066875,-110.08483,-103.77113
39,-27.850687,-14.439899,-113.46339,-118.87755,-23.860899,-116.70937,-103.47948,-108.9642,-104.34078,-112.518295,-105.70332,-104.72205,-111.360085,-24.778622,-21.982498,-23.298096,-31.058027,-99.74553,-21.974676,-27.540073,-119.30119,-100.92206,-26.625557,-20.424557,-13.526081
