,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24
0,-130.2035469,0.705183895,-95.94165032,-40.21197773,-103.3241896,285.241525,-96.68013685,-166.4471866,-141.3931701,-125.5326541,-175.6326909,-17.50289031,289.8511832,-25.97511581,288.3865381,-162.808005,-20.948658,-57.08138602,-145.3120815,69.46167922,249.4664577,282.2362712,282.6074096,236.0611948,-122.766229
1,-109.9632741,264.5700646,-78.06518495,-34.48612904,-99.89835065,282.7549165,-88.16223756,-167.0607061,-156.8971093,-176.5262997,-176.7562151,-29.73506877,292.3816248,-56.79977854,288.1560611,-94.06184775,-33.21532048,-59.37751433,-170.0135517,43.95670388,125.7776325,275.295809,2.536194396,239.8512235,-128.7566117
2,-104.5867954,31.57548301,-82.69785376,-91.75284567,-125.7728237,284.4319296,-69.49756467,-165.310853,-134.6925139,-125.9158224,-175.0569331,51.82907822,3.378378102,98.28154726,289.9607917,-162.7994997,-15.30576197,-42.56717398,-183.3043183,87.02896474,243.4054913,270.3185583,279.4236449,237.2044894,-119.157235
3,-165.8760099,-25.90981244,-104.6706413,-53.45932449,-99.49571568,282.1680951,-110.6904221,-167.059137,-144.687874,-126.6906831,-175.1059069,43.6464612,290.1992255,-57.93322894,287.5102638,-163.5801545,-15.87492044,-59.3704906,-190.7254475,31.024177,70.11313671,277.6082977,276.0343174,242.6008664,-121.4703684
4,-150.3767949,135.4184136,-101.7857352,-31.84226708,-96.43716859,284.1622787,-95.9369922,-169.2594922,-137.1222355,-126.2497235,-177.1275361,93.60094676,286.121348,-28.92580451,288.2896602,-132.0512277,-15.08744458,-45.55108441,-180.3425378,75.97766893,238.8716497,292.4882185,51.06948101,232.8125742,-144.4408422
5,-144.6730802,-75.77249199,-118.1583833,-94.25508603,-104.3033659,284.902168,-83.39942025,-165.9554292,-137.9356869,-152.7812691,-175.1058429,-10.36202969,293.7729903,42.34086844,287.2324106,-161.8563167,-32.59162899,-59.43643857,-159.09081,57.44460905,-23.78885549,106.6303093,283.1958387,245.8800875,-159.0296193
6,-130.8881071,-62.03001428,-118.442744,-58.84050382,-102.3020377,283.3022283,-70.60855759,-166.7181829,-181.8622664,-161.6335234,-176.9525347,17.81099253,289.6516999,-59.78923826,286.930558,-176.0890793,-21.8176781,-37.35490986,-162.2794303,50.92173155,242.8861327,150.0817066,282.1762166,244.799987,-128.4519811
7,-126.3835329,-76.98313226,-84.9002878,-35.17459924,-98.9678332,282.67509,-22.35293167,-150.653523,-136.3387276,-125.8745866,-175.1070456,-46.2423515,289.2202926,224.658312,289.0660487,-163.5544887,-34.12509154,-69.06033019,-181.4144731,66.20589938,46.00038627,279.4022222,265.884856,241.8885166,-118.0899742
8,-108.6819302,-76.45178899,-106.9235285,-89.88760001,-100.1023911,282.8746791,-57.73159115,-166.4337869,-148.2562148,-175.1043784,-176.9609312,-67.77758568,290.9477322,232.0148659,288.9609903,-170.3922327,-29.11189866,-56.17820512,-164.9472526,103.4428466,243.2326999,281.1487976,275.6955227,240.0879158,-136.9438582
9,-137.1910214,157.0380295,-103.4450472,-58.9358301,-100.5239807,282.9649204,12.82620631,-151.4531147,-138.1894092,-124.2205817,-177.1284181,-80.53255268,287.5838765,-4.998123768,289.2294666,-157.6142863,-15.37222435,-55.49717767,-162.898839,56.11779621,244.0405017,281.7516735,281.9031192,240.2500194,-93.11443242
