,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24
0,-70.47597555,55.36424048,-3.045156775,285.1526135,287.8964439,295.1731924,22.1363234,265.072602,305.3558715,287.0906677,75.66126785,-29.40741004,285.8545083,232.131321,285.8269763,-57.04058702,313.344622,-120.3129514,-56.39806864,145.765197,162.8432442,220.9762617,145.7825316,-129.4105295,-73.22294781
1,-55.11967955,106.3460501,286.8066942,284.5250916,287.2452648,299.1127887,210.647275,75.95130531,305.4178686,281.8968477,-7.061321743,-31.6514443,295.8890169,246.1696396,279.0262619,-44.80341828,-20.90007163,-123.3167976,146.2803332,157.2465584,140.8535085,199.8477597,181.5082215,-138.9929808,77.29809597
2,-36.26644914,-32.35483531,283.7092212,285.1301146,290.0839165,297.578985,145.77543,152.0098261,306.7380798,282.1578934,77.00945782,-33.44216701,281.7800429,206.1388279,274.099351,6.951173541,14.53761408,-84.51579589,119.1162157,155.8779287,137.8031077,218.915812,167.2151084,-123.022367,-13.20833109
3,-48.5009346,-54.35528426,-59.45333706,287.3121892,288.4711707,299.2757468,-37.88768711,108.9499558,306.4553678,282.8226231,80.15005729,44.38774552,286.7939884,249.6836896,275.005682,-60.03730773,-34.51393419,-106.5584312,144.856852,138.1436144,12.32554829,222.181686,160.2631887,-117.074047,52.48937616
4,-62.39989656,22.97336743,-31.91197108,281.8354961,290.291854,294.0449358,235.3869588,267.1628553,306.0188022,286.6987344,60.01691175,-62.01679335,284.4272309,245.7210282,276.1994512,28.83637774,309.6162507,-124.642008,125.4807406,157.2501188,7.788598101,219.9049613,153.0214116,-119.0428437,159.1893163
5,12.434809,-77.0633646,-79.48932879,284.3236801,285.0099235,297.4751145,229.4429528,269.7125933,306.9870367,285.8429164,5.13758434,-12.39626291,290.9877689,253.4300575,274.0382519,-89.68032487,167.1385965,-113.1473628,-46.10701753,-32.72126332,155.570885,237.9094102,160.4035316,-120.3384397,-3.556460217
6,-70.7306224,23.33406952,-20.64859788,284.5829686,52.78110685,294.0479305,239.3806227,270.2597288,307.7504566,286.0818886,20.48585477,-77.37578053,288.5871204,258.0581432,-38.87985762,-39.36901846,308.1577178,-118.7485764,154.8122638,153.1389683,108.0600603,218.554551,166.1407031,-120.0490112,234.4677433
7,-63.95825816,-75.30273387,-100.6101894,287.4848903,290.2159144,296.2367179,123.0210235,265.9211961,304.8052987,292.3837369,67.28991191,-63.98153119,293.1624875,10.58192604,285.3189613,63.64273415,313.4297875,-113.9824299,-73.71479664,153.7908132,149.5766284,221.0243739,170.5382137,-13.17167771,-50.83439239
8,-18.00417515,-61.38561199,166.7595114,289.5476495,281.827773,300.7421312,198.0192841,-144.590437,304.4551074,289.9548973,46.12962395,-107.3476178,280.5418495,238.2972766,108.5661266,-10.04761027,67.64074331,-88.91627856,-49.46501855,41.06937056,157.7639603,215.7607944,160.8476251,162.8356573,6.393140727
9,-76.57713268,-51.46041207,-72.67251865,285.3436826,289.0848844,296.8696976,205.5541097,-139.4486389,304.6608583,283.5297615,59.78490523,-62.68379047,291.9623496,247.4653284,278.2174333,-21.30931995,98.69855179,-87.93466064,-66.38044409,154.6645576,-55.56509134,225.1131825,121.173866,-117.9100636,200.7997549
10,-70.17111797,-45.60442574,-53.62547494,281.0838409,288.3370582,299.1194583,32.44861685,-41.05562963,307.6031454,288.3250434,28.04116073,-64.083818,293.5872857,87.01868,277.5051789,-14.83025741,-20.71507463,-118.84283,150.9721632,140.7957387,151.9383578,217.7844059,111.5295284,-121.4709935,93.37827165
11,-24.11299506,-52.03124445,-79.06975418,282.6646687,290.8211395,298.6461512,225.4533066,269.699131,305.9582402,288.3673286,67.75382132,-8.975827713,289.4276277,245.0887508,279.6969667,12.42469137,-6.713815693,-122.2588276,144.3087509,163.7489434,-36.08705009,218.0856197,151.0728795,-127.6916157,-86.3296961
12,-35.41730768,-13.20215283,284.5779341,286.3560973,288.9747836,299.3880454,199.1995755,267.0057929,307.1120812,282.5509711,76.73663976,-33.43820989,287.8610084,249.0251455,275.0380554,-35.86686756,102.0162944,-114.942926,122.3857134,142.3861087,172.6294526,234.8793903,154.8301803,-133.7079428,228.2355429
13,-16.61749238,-54.72027422,-89.73557216,288.9147002,288.0347421,298.4250978,261.4901096,261.4901109,306.8564927,290.4770292,76.35518628,-88.19717693,290.6139792,244.6970253,278.3810354,180.0441307,-59.31867434,-100.6351089,42.68050479,156.5494555,171.21892,200.9421381,163.3671521,-116.9837759,137.8474023
14,-46.9898327,-64.36085658,-45.08549536,282.6312064,289.7592016,294.8053767,-5.236939613,266.1687918,305.3173053,284.1791693,65.85766211,-71.64077254,282.0432654,250.9975359,273.2442653,-50.11297591,-27.67137881,-83.4328399,-31.1748154,167.5571235,157.8395252,205.8716682,166.3476382,-130.3891544,55.8024351
15,-47.96756742,21.06876694,-24.15885764,281.1045055,285.6441839,298.6920276,152.6151474,-144.5919478,304.19517,279.7579246,15.02346149,137.6123408,292.7790538,240.8726559,271.2186973,-11.33795897,34.89876286,-94.3876605,105.9136201,150.4863152,145.5426862,229.2899152,163.496923,-134.0400254,-36.58155031
16,-59.83456901,-77.79051334,-32.25023552,288.1937025,291.2219807,296.890172,92.12551068,268.4432675,306.8336214,282.9696324,70.12227097,13.36616002,286.9598089,250.4828694,277.37677,32.83278574,14.99543489,-117.5344052,-84.82486186,150.6153487,170.7228676,212.2863547,-95.64946372,-121.5717235,235.2149328
17,-57.7771883,-66.28403584,-55.18274006,286.6537482,288.4561448,294.6552085,188.0193283,-139.1192702,306.6421824,288.834184,-31.73907162,-96.9324191,290.9349767,252.4109185,145.585352,162.1429711,-37.22309124,-128.3988201,14.75205496,147.9733484,-9.221974938,232.4495257,130.0458211,-116.2937334,20.27160631
18,-21.19109608,-73.75712297,-114.435133,-18.82044911,289.6854052,295.1271577,-70.02006334,-139.1094927,305.4442052,289.1345586,-14.48164726,-61.90113882,289.0286714,236.2511992,281.1514048,17.03758487,-21.81347868,-118.9912347,136.1943641,144.4269301,-42.47009789,200.9223487,197.4514735,-123.8661491,260.6830172
19,-87.4971423,-74.56521475,-113.0696576,285.561565,287.91968,298.4426831,225.92078,266.4783695,307.2523828,287.6316916,10.43804813,-56.51375082,285.1938835,244.4940761,277.6917212,-100.1981691,178.6267285,-93.82205654,64.40891194,164.2041745,175.7705335,214.5112565,150.0342135,-118.6378619,-98.27205433
20,-36.8404086,-43.21357991,-106.7295572,283.3374781,287.785951,298.224087,220.01118,264.8579155,306.0671006,283.184051,19.93349402,-68.40910175,285.8638518,177.9137405,278.6341592,-71.2976551,-32.88915587,-94.06859987,-82.23633255,-109.8127989,159.2976611,220.714565,177.1673968,-122.6808459,180.3705935
21,-58.767398,-78.44838267,283.3416931,288.8762717,286.1540168,294.9203945,243.9078626,267.1652208,130.8694183,286.1372582,49.37835315,-65.3373131,289.4859734,244.2717996,285.4092009,-42.04599873,69.1739931,-126.4544716,-9.776850084,156.9018318,171.075928,222.8974208,153.2666465,-128.5377465,191.1369631
22,30.01620815,9.21186938,-58.22168947,285.5464442,288.3536179,291.3796314,249.0329431,264.6867475,307.8529993,287.2968587,48.67519389,-96.22408645,286.0368306,235.4308345,275.9538856,-12.88836115,13.71217362,-94.95719848,-76.02351586,159.7752599,144.8413525,208.0535985,137.3269385,-138.6715271,219.3676783
23,-32.19387049,-14.83919138,-32.67315489,78.4167353,286.0355588,295.8601968,229.9104068,-144.5883933,306.456375,285.634731,41.06852614,-101.4213492,293.7425942,237.7464295,279.1405721,-76.73401343,-6.411915717,-126.8088433,-68.87902937,157.068627,162.4666682,171.5970316,149.1600549,153.3644775,-85.355782
24,-50.7298329,-61.18079046,-24.27350526,285.4978858,278.0741755,299.4216764,75.69282478,-144.5913185,305.3947981,289.4918848,76.07714685,-89.79152759,292.1141078,231.3516769,278.2730153,-35.79590516,40.46533965,-118.157129,110.117489,153.1112342,156.1641833,229.2081711,163.295635,-121.5703978,-14.26824113
25,-66.14189409,-61.18813692,-25.3547044,287.261383,287.3568835,298.5192908,134.0445034,266.2443623,307.3089355,287.6401869,54.01835945,-80.79340005,-61.48238142,259.0588234,275.9287017,-87.3694976,-58.25849368,-116.5879711,128.2195429,157.1276121,0.431109719,217.5836993,137.3584496,-125.4649024,120.3201194
26,3.546688397,-37.35645212,-76.87246689,289.1078749,273.6071089,-3.415425518,230.1478097,-23.48821529,306.1552209,278.6230726,42.62974385,-82.21342885,294.863964,247.9774118,24.51167744,-93.790762,113.3520793,-68.91486895,-35.40033713,151.0042132,169.6701166,219.0965784,156.4536628,-130.9544098,255.6743814
27,-70.8660616,-38.29716207,-57.65329607,283.8115922,288.4396231,296.085793,235.1313142,265.5330916,305.4357146,288.8726312,68.63665099,-37.52514725,282.4607234,247.7992079,276.0406919,-33.22898502,60.61240013,-121.2247618,100.1088642,139.4038984,159.3565077,234.5816166,145.0507944,-118.8313551,-44.7932497
28,-36.92567838,5.868121453,-192.1457251,284.9972388,290.7645161,299.9509646,92.32879837,263.9356902,305.788618,287.1628659,64.49214901,-37.44734025,293.0882016,248.5065973,277.2645093,-72.95250351,119.6218759,-82.93683773,-51.86921849,154.2828618,156.8680269,219.810306,170.3195308,-124.6358331,-78.48762976
29,-32.57449057,46.96854285,-82.7074934,283.2850838,289.9999065,297.1868277,253.2774369,-144.5944769,304.6722009,286.12077,71.5002318,44.88980256,292.3570147,228.9610824,280.6934822,30.44082648,-14.64459745,-106.0406446,-30.1044279,163.064475,160.7887958,221.0989377,152.8892502,-136.1894036,179.8527467
30,-105.3644979,-78.21265433,-192.2584505,287.1549448,289.5875778,298.5058468,12.14508915,-139.3112351,305.9759726,288.7422514,-7.062482805,-92.71306173,295.3878415,249.9027011,-28.18839462,-16.01027028,-11.27701264,-121.6691,-29.72669723,156.1119439,166.1733314,221.7091006,146.3396469,-120.9559583,224.2850808
31,-41.78031731,-61.27619484,-60.34447474,285.0849743,285.9627299,299.261545,184.1134105,44.90427965,305.5384756,288.1269522,39.78553633,-69.9225267,291.2246258,250.1429831,276.983543,33.83754516,87.80713659,-84.62614805,-64.73833885,147.5154093,-55.88626039,227.5884921,143.5899933,-146.832767,-29.75173425
32,-41.07651265,-49.31582905,281.755026,287.2184092,165.6266123,299.0513766,-49.58813398,264.9916953,305.9146265,284.5122663,69.19178493,-74.94146965,282.4331375,251.5053066,276.5507307,177.14487,-32.26987027,-98.99494218,-60.28582007,160.4377317,147.170665,231.3257787,153.2582998,-120.0051022,227.5288766
33,-32.17726977,-23.97291741,-62.19293336,282.692178,287.7644637,297.7822961,60.3965662,262.8905597,305.9427327,288.1878918,75.70536405,109.8548522,284.6376259,249.1933264,277.688785,62.04639253,-22.19518492,-98.13942355,-31.7474269,-61.074436,26.08231494,245.730101,-5.763773107,-117.411522,216.2636575
34,-50.18163777,-54.07297966,-94.60856611,283.1488705,290.5610143,295.5230833,52.14223761,259.7711826,305.8041221,283.5874831,-13.13210994,113.7523545,286.0736687,244.4624256,9.750199126,-112.3901209,47.41603773,-104.7559292,-127.2760896,155.850623,160.7984492,215.3349679,159.0534481,-119.7309801,254.0463781
35,-12.5271975,-70.16377479,-68.99371602,289.0612645,287.6319094,297.11562,258.9432256,267.3604201,305.9919199,285.3522194,78.36539839,-81.34553768,287.5300402,250.5161983,-36.50185067,-66.26948583,102.8555939,-117.4144654,121.6475137,149.5156149,161.5623294,216.8650626,178.0914979,-118.8847538,197.013352
36,-1.555641496,-78.69242286,-26.5331065,289.4331773,290.8127062,293.5977104,39.95838092,267.1723002,305.6536877,286.6647609,29.57104931,141.084745,284.025993,250.4379477,278.5752757,-40.63209916,-51.12515496,-104.8915548,-117.2305112,159.2972454,161.9792433,239.8895671,102.9793481,-108.3208598,189.9782371
37,-79.54866298,-66.37399147,-33.93711352,283.6087968,289.9635727,297.175547,26.3481241,266.5607031,306.7396703,285.0699721,65.89519934,115.7984158,275.7319228,236.8317081,276.3874919,5.338081296,12.38176331,-150.4578912,162.6443238,143.424457,149.3066437,206.6387226,174.7857406,-120.4861578,263.55899
38,-44.66851329,-80.41460202,-100.1047136,71.44378685,40.85562948,296.5440779,-103.0473637,74.13133364,306.7789144,287.5383128,20.3491849,-92.89101386,291.3714248,237.5400616,277.3518309,197.4115121,-21.77475191,-107.7634462,121.3565661,159.5115055,160.8602469,224.0239988,125.1156992,-120.0472483,221.2379179
39,7.610789112,-77.02862301,285.6914493,282.8408715,289.39792,297.2806745,219.7078524,266.759109,305.606616,285.3502366,64.34871923,3.298712515,294.1110269,248.0959,276.1023837,-9.206810654,85.15692406,-84.04178503,104.3128086,141.4387873,125.3072005,69.79765853,182.6518576,-88.93476976,209.1893878
40,-37.4167137,-30.72474526,-49.17732614,285.8329407,286.4579404,295.8319289,200.0191533,270.6903508,306.7628908,286.1380712,49.74069748,144.9070985,289.2310568,248.9156702,280.9696653,-12.36389022,311.6062123,-70.88601165,-40.20430062,150.9997167,147.2690326,218.3236745,173.4590907,-57.16502354,10.31921939
41,-55.0731444,-110.5556007,-56.46808724,285.9483121,287.8924123,296.7327047,208.6610949,-144.5919395,308.1711922,287.7448433,35.04528278,-77.69801458,276.8182765,248.0801958,282.6525156,-56.98732788,-27.78372846,-108.6836537,-88.54220814,150.1485071,153.1645961,206.2877542,167.9988387,158.0534219,260.4417148
42,-54.54343994,53.70883778,-48.95575758,287.1142872,287.6478859,295.2838568,243.8937351,262.8437197,305.8986694,288.5195548,58.04338596,168.9502301,285.9177713,252.8511087,278.9433827,218.8438468,146.5694622,-70.54438273,-44.93398798,165.9366174,16.81582558,223.4038884,145.4635555,-124.3484262,229.8849674
43,-64.75714542,44.34350141,-20.25202552,285.7007401,283.761356,297.228291,168.4888566,265.678104,306.3661406,288.4633143,48.27383158,-43.54849145,288.5341805,166.1910446,274.4005762,89.15649035,53.44577956,-79.01051673,14.73426422,159.1484971,148.1217597,215.1727925,146.7392135,-117.288242,8.49723262
44,-39.51531363,58.97867123,284.7556174,284.4642057,287.265516,294.6856984,180.4289242,265.7663959,305.4935071,286.9191211,-9.763930735,-106.91368,296.2081697,235.0482876,272.19257,-61.80609197,60.32996194,-127.6759098,134.1682042,160.3366419,148.059299,98.10869134,149.86904,-120.03709,95.97179369
45,-77.93389855,-15.62549613,-44.37451418,288.416596,290.7028836,298.9115695,66.74973693,267.9345474,307.5931549,286.2875629,73.69124843,-61.20987369,280.5853016,241.3395489,278.0983115,-73.29210656,-3.31370095,-79.57073532,104.1393652,159.0079331,164.9253244,230.0001303,144.3423742,-124.4671745,252.0060896
46,-27.95864145,-76.49910337,-41.96604999,287.2023563,287.3410721,297.2447263,-94.70850822,-139.0570948,305.3097845,284.3003457,72.56842737,-65.17504757,288.2701969,240.3069959,12.84939244,-55.68255689,55.74597199,-74.84230373,155.9017341,155.2448753,160.1471331,229.0830791,138.8803225,-124.0935217,33.9593588
47,-41.83347486,-39.46950826,-20.8194027,286.171092,287.4918946,296.7551443,212.1321397,88.43403435,305.3136519,287.2160621,67.35197087,-54.58144573,4.570193461,244.0746592,280.9488194,-34.34809326,73.64533402,-67.1829923,113.4309693,28.42293413,162.9712133,208.5992693,143.5455193,-123.757812,85.46888066
48,-50.55756876,-31.48370546,282.392885,286.7565157,283.5464427,298.7639346,-19.49451297,-139.0671931,305.991005,285.5484946,75.90894244,-47.03752129,288.9972184,246.0408802,-53.98501527,-82.83770798,1.405428979,-115.3653834,-86.87570563,150.9597928,169.332823,30.22498282,159.1412557,-122.157062,202.632007
49,-54.04445299,-40.19603157,-85.94826698,288.5920326,287.6339457,297.2784467,33.06870322,266.9076218,304.8864423,290.4357287,37.98390483,-108.2745477,290.7780677,250.0305862,279.9167574,-40.20935576,-6.122572374,-119.3686129,147.0436939,163.8917597,163.7121534,227.4224332,-94.17623084,-119.6723287,-55.310338
50,-34.33431773,111.6242422,-32.21179585,284.6966557,287.9310864,292.4520165,262.1209884,-139.3136488,305.7468942,288.5205769,64.51891192,-71.05745926,286.778712,246.5224881,278.4446933,-56.55119832,311.4336392,-122.5156717,131.4695287,154.4279738,180.5062435,194.9368826,154.108524,-124.0003907,213.7705097
