,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24
0,315.1857606,-57.01655821,311.2440068,42.88733699,316.8511516,314.3182241,321.0409911,-122.7518352,297.2772172,292.6808634,294.9503157,-118.2424531,294.4274234,-4.476833223,280.0977351,-69.91475345,314.1121634,309.9887675,-114.7853647,-88.98315653,-121.0593887,320.0224408,316.269105,-31.45388453,318.5350789
1,314.7133806,-13.90312422,-7.671328863,310.3556396,-0.831247464,314.8703956,320.5945993,-122.9511568,288.912869,295.87638,297.4778683,-118.8515389,294.9474056,-40.52103774,119.0313909,-10.79731955,318.3702698,257.1244653,-114.7748384,-74.3011736,-122.8387615,321.7985843,316.0755302,-63.32392185,318.56541
2,313.1250385,304.5700462,-37.92370656,153.4759958,316.3203219,313.6564317,321.3012534,-122.5178081,296.7549632,295.3589114,289.7276046,-118.110168,-98.00416111,-87.28182352,-44.86418008,91.78394489,156.8724403,305.9459047,-109.0999358,-105.7430425,-110.3213025,321.0036632,315.6210476,-24.7356555,317.5043595
3,313.236883,-61.94303192,95.38009603,153.4737475,317.5018429,-30.62769905,320.0955125,-122.8802218,293.0057669,292.9921617,295.6223844,-118.2571761,296.0640755,-61.96241391,-12.49563796,301.0477951,317.2673397,306.248372,-114.7694342,-104.5308756,-122.8650194,321.297554,316.5057755,-33.42462382,316.0040018
4,312.5559856,304.7256943,76.25156223,-88.26750068,318.2257535,314.3796547,319.2937802,-122.9101144,69.40356938,292.0271253,297.3078373,-118.8425422,293.7365225,-36.3092645,281.8892504,48.34090772,316.1978368,304.1169782,-109.1419326,-104.8484642,-112.5298078,320.5027459,37.1424703,-70.40325442,317.7985042
5,315.3082494,302.5203616,310.0878481,310.9580303,316.5918467,313.8480298,320.7759205,-122.8505682,292.3244069,49.05156165,295.8421045,-118.2655225,296.1162652,-69.76218203,119.1983091,304.3781709,-63.85258985,298.9540365,-114.7873759,-30.29908908,-122.9026623,320.4393049,316.01685,-69.36514268,319.0473125
6,314.551778,303.5215964,312.1701303,312.1968567,317.9371408,313.7288463,320.673664,-122.7922817,150.4591938,147.0607046,297.367388,-109.1190129,158.5365394,89.68515491,280.923309,-44.58204538,317.759591,307.1296692,-114.784317,-88.15607445,-112.5325224,321.1336359,315.8286629,100.7609627,316.4477076
7,313.3062339,17.74913516,32.63683016,129.7888125,318.0747638,315.8737905,320.4001924,-122.8197361,292.6463798,156.0623162,293.7405055,-108.6934527,294.3426117,32.9108946,280.8822678,64.66330472,65.77271231,293.4330111,-114.7466556,-76.89968306,-121.6467684,320.0205167,317.2357022,-81.96624479,318.4303899
8,315.1464204,30.76787158,50.82367736,310.9425171,317.7832888,315.1987136,320.4281447,-122.8616859,293.9549753,28.42832983,294.884274,-118.2662543,-27.38745767,-21.97688175,279.4549231,5.802601098,-7.601538166,311.0732307,-114.7738013,-104.6118786,-120.1898785,320.4144983,316.7136541,14.79046599,318.3534211
9,313.7723605,304.5039562,315.9853975,191.2309578,317.9428302,314.6283102,320.1699299,-122.8307661,289.532922,291.3614453,296.6820072,-118.2612655,294.3085926,-51.83139542,280.4784438,36.55805417,318.0979899,301.1984803,-114.7436877,-107.9338339,-121.088212,320.6454066,316.0416109,-26.60108317,317.9373839
