,It 0,It 1,It 2,It 3,It 4
0,-111.8081,-34.055916,-115.50055,-15.21956,-117.77794
1,-114.24873,-34.555065,-113.06912,-18.821405,-122.419235
2,-140.01051,-119.39993,-117.77845,-119.41493,-114.613945
3,-111.36782,-117.48114,-117.6107,-130.0059,-113.696884
4,-114.93465,-116.616974,-117.25267,-124.17026,-116.240524
5,-111.03922,-116.53735,-117.49948,-114.39502,-21.235744
6,-115.937065,-109.939285,-117.40433,-115.61226,-25.134613
7,-113.65222,-125.0623,-114.00798,-23.972263,-107.46758
8,-112.26347,-102.83507,-117.53943,-29.75117,-117.37701
9,-17.079992,-113.54759,-114.451385,-25.76896,-19.661446
10,-36.37837,-103.77466,-115.49041,-117.21669,-29.123789
11,-32.423286,-102.0122,-29.32578,-18.225641,-103.596794
12,-33.15688,-20.409966,-22.712189,-14.140307,-7.756434
13,-108.30184,-107.68556,-24.417652,-105.77444,-110.20569
14,-24.513605,-28.367077,-23.98437,-103.94932,-105.911255
15,-19.194084,-107.41044,-103.69704,-103.70709,-28.377876
16,-26.96718,-109.1667,-31.149647,-20.031364,-110.25552
17,-115.55966,-117.47565,-17.359509,-22.017792,-27.337254
18,-17.45224,-104.5061,-16.484314,-106.30869,-108.1125
19,-109.39582,-103.842,-25.193233,-15.777179,-25.496449
20,-117.89089,-25.730461,-111.112434,-14.913216,-109.744835
21,-111.67493,-28.829151,-116.622025,-106.08845,-29.449184
22,-17.522524,-23.412853,-103.92353,-23.451971,-111.43416
23,-19.995308,-22.078543,-121.89255,-106.63771,-113.80368
24,-105.846634,-105.75677,-120.425415,-125.752,-112.724144
25,-31.220108,-107.80383,-121.44334,-16.668213,-109.5868
26,-104.28592,-25.62326,-101.59996,-111.47296,-111.09819
27,-113.874,-101.77834,-12.373364,-110.1409,-34.670246
28,-15.553064,-10.964423,-102.90819,-105.7466,-28.23402
29,-110.14291,-25.237967,-103.3399,-116.63345,-101.80258
30,-25.275164,-18.934996,-119.04873,-112.807045,-102.29046
31,-107.12905,-17.846718,-113.19365,-21.41428,-26.142635
32,-21.400412,-20.923847,-118.98774,-23.903086,-111.94291
33,-24.175917,-106.47431,-99.516075,-21.041218,-24.440315
34,-111.25927,-21.800644,-106.218864,-21.58138,-24.923971
35,-15.691611,-104.01929,-104.59585,-100.43516,-27.101368
36,-22.28255,-24.196758,-101.82421,-20.686657,-118.78704
37,-110.24102,-119.050476,-107.08704,-21.92189,-17.24032
38,-102.451836,-104.38333,-102.33447,-23.849789,-27.557535
39,-18.292465,-19.400204,-20.931139,-110.97166,-21.989641
40,-110.53114,-109.80117,-15.917931,-107.72753,-118.21655
41,-25.066372,-108.92242,-106.79644,-110.22537,-121.403076
42,-112.58938,-23.420952,-19.264973,-24.97899,-28.302973
43,-109.051765,-28.2832,-21.057331,-109.70691,-27.346758
44,-21.393013,-111.29442,-17.729319,-26.248432,-30.573015
45,-104.85875,-105.68062,-109.226715,-21.349274,-110.67337
46,-19.459524,-108.73076,-101.12206,-14.587808,-100.06959
47,-25.397123,-103.24253,-116.05344,-15.66608,-31.78533
48,-112.135925,-113.57368,-13.169877,-25.468826,-104.80092
49,-14.795898,-97.067276,-22.392984,-24.814613,-20.114176
50,-31.535889,-22.655586,-104.43327,-103.93664,-25.580315
51,-17.021957,-103.63797,-18.985353,-30.462376,-26.271875
52,-101.378395,-14.128262,-20.703773,-16.699612,-99.52147
53,-11.237054,-23.984102,-99.91342,-25.915169,-103.07871
54,-100.231415,-101.57552,-29.581017,-21.714811,-112.0921
55,-18.35028,-106.391716,-97.68313,-98.60744,-102.95795
56,-18.099253,-108.37315,-20.932886,-114.92639,-105.9751
57,-20.990477,-15.456338,-22.455133,-101.57336,-17.399778
58,-17.184504,-26.966536,-20.849726,-122.40909,-17.90763
59,-32.06082,-29.163387,-17.847027,-16.668854,-27.02785
60,-110.853264,-102.04079,-21.442814,-16.429676,-110.121414
61,-104.222084,-112.27642,-22.7932,-103.0782,-100.7096
62,-27.898344,-27.549799,-22.866066,-113.6046,-102.73174
63,-41.350998,-106.72542,-19.415077,-95.894936,-30.71273
64,-24.943434,-15.671034,-102.90083,-17.215355,-31.809801
65,-32.770054,-24.217022,-19.77334,-26.076641,-26.579062
