,It 0,It 1,It 2,It 3,It 4
0,-19.836102,-28.114534,-38.30535,-27.492016,-31.978178
1,-28.98202,-119.177055,-112.84076,-126.41524,-124.1057
2,-25.647333,-116.743225,-110.40324,-106.70107,-38.408722
3,-28.709978,-117.209854,-109.07031,-102.79387,-39.14773
4,-31.861198,-122.78667,-35.494255,-105.712326,-35.66733
5,-32.23406,-122.24962,-32.74747,-105.11745,-35.55268
6,-39.025215,-116.81393,-34.215847,-104.14695,-40.439617
7,-30.069345,-116.0704,-104.58475,-107.41208,-38.495434
8,-39.855343,-120.09126,-101.75326,-105.67434,-35.08995
9,-30.411497,-128.24507,-113.51314,-106.31729,-36.386135
10,-33.790474,-116.94904,-113.61607,-103.146324,-40.872864
11,-32.564896,-117.51934,-119.81041,-103.05538,-108.65837
12,-32.43478,-112.34122,-119.973724,-103.906876,-112.70728
13,-35.11992,-124.068344,-105.978905,-103.38882,-29.122906
14,-25.342382,-118.20081,-102.218994,-103.7748,-111.977875
15,-116.494934,-119.53711,-113.48121,-106.14148,-34.39856
16,-32.066994,-138.85675,-24.902462,-102.46399,-108.52608
17,-31.988228,-120.0141,-121.071915,-103.713615,-33.071407
18,-126.32272,-121.88961,-28.79067,-104.53856,-38.11557
19,-123.80207,-118.47148,-108.69432,-103.089874,-34.470905
20,-34.703842,-120.79726,-113.8851,-102.906044,-110.729675
21,-30.278913,-115.26081,-113.018524,-102.57874,-34.9522
22,-33.12226,-124.38273,-118.41884,-122.15563,-34.436375
23,-30.76428,-135.9626,-114.17488,-109.690796,-112.04726
24,-34.65199,-108.38633,-115.12779,-104.45746,-113.545616
25,-33.80714,-117.29683,-114.950035,-106.84276,-29.213318
26,-30.65802,-120.39768,-111.39205,-104.634026,-35.704227
27,-28.221107,-121.84334,-114.732025,-106.536835,-37.736828
28,-32.6317,-115.20753,-107.50888,-104.57758,-107.51868
29,-31.412157,-130.33058,-116.28929,-105.4007,-31.536013
30,-38.709385,-112.31256,-109.91031,-103.88537,-106.96497
31,-36.953728,-125.6989,-112.27788,-104.54156,-112.8198
32,-29.618347,-116.79213,-108.97517,-119.865204,-32.389935
33,-32.03295,-118.11294,-110.91602,-106.34767,-40.620968
34,-116.11698,-133.48854,-36.232014,-112.82277,-36.98476
35,-113.09271,-118.15535,-118.50962,-104.754875,-36.998276
36,-33.352932,-132.89989,-104.922035,-104.695625,-109.8464
37,-124.132614,-123.172585,-120.241104,-105.38246,-111.034744
38,-33.392937,-121.55161,-107.04855,-102.31155,-111.582405
39,-31.813383,-114.47774,-116.00871,-106.64227,-37.187855
40,-36.610085,-110.32999,-103.00254,-144.77966,-29.782562
41,-125.69473,-125.467674,-114.155365,-31.510658,-34.37373
42,-30.416588,-122.957726,-113.746994,-26.234724,-105.9516
43,-33.9221,-115.09963,-112.4166,-104.08928,-107.36649
44,-30.922459,-121.97497,-113.397766,-101.437,-32.40131
45,-31.472223,-124.23888,-118.73981,-120.4601,-38.823895
46,-34.196224,-129.99808,-123.80629,-103.71157,-35.151417
47,-37.210423,-120.70758,-115.82807,-26.82723,-109.04047
48,-39.93468,-117.26169,-101.36684,-103.87077,-33.519356
49,-33.39424,-113.771255,-110.099075,-103.591934,-36.014233
50,-30.543407,-117.071594,-105.839615,-126.923805,-35.923534
51,-32.69155,-121.13936,-108.06912,-103.87921,-34.709263
52,-38.99687,-125.55351,-107.53874,-104.52122,-111.27985
53,-34.200253,-116.08925,-113.25461,-103.3912,-35.748642
54,-116.52212,-117.44251,-115.31579,-129.58958,-35.984665
55,-36.407917,-106.561066,-113.09037,-32.860256,-30.513311
56,-31.84299,-117.258385,-110.73591,-104.81423,-37.10405
57,-116.77722,-110.95852,-106.38397,-27.375565,-36.07104
58,-30.058804,-116.13507,-117.03961,-104.311775,-104.16251
59,-39.446777,-116.80669,-115.70259,-23.662064,-36.308113
60,-29.41166,-110.13571,-109.82465,-102.54854,-35.291878
61,-31.999918,-118.88111,-113.644554,-105.9013,-30.588308
62,-27.396824,-120.54823,-120.70843,-40.8839,-31.668312
63,-112.56134,-115.33395,-112.90901,-104.922295,-104.51314
64,-35.202927,-123.31474,-34.47274,-103.14483,-114.12487
65,-32.679607,-113.73887,-115.70652,-131.0239,-112.78085
66,-31.827929,-114.07423,-103.38507,-101.664536,-32.791164
67,-31.07258,-120.029945,-120.80017,-102.76638,-30.90715
68,-30.69998,-109.121735,-37.25638,-102.387215,-32.33834
69,-31.46798,-129.22658,-114.5487,-23.03396,-32.13726
70,-35.716312,-120.225006,-112.80348,-22.713518,-32.254337
71,-30.749922,-119.1055,-112.1232,-26.313509,-37.399662
72,-38.720062,-114.92545,-110.64947,-101.64951,-111.010254
73,-32.299,-122.4651,-112.77839,-129.22737,-107.15932
74,-120.96214,-131.90038,-115.52498,-113.63651,-31.819258
75,-36.96373,-124.2768,-108.381615,-25.590311,-107.368416
76,-118.19404,-112.519295,-117.852875,-106.3059,-32.427177
77,-32.154232,-114.53665,-34.13292,-107.34627,-105.985954
78,-108.17492,-118.76635,-113.66675,-101.43919,-113.63224
79,-38.105106,-115.9963,-108.80065,-101.69421,-110.751114
80,-35.27682,-133.2418,-112.022995,-104.497734,-34.632023
81,-106.59921,-127.07535,-114.96356,-104.824814,-30.127554
82,-118.00789,-115.666885,-111.38216,-101.63636,-32.019924
83,-118.365204,-111.16412,-36.53205,-100.02821,-108.121796
84,-36.945328,-125.38394,-121.77946,-105.54676,-30.031057
85,-33.386917,-123.90979,-104.969604,-102.92425,-109.199936
86,-43.355858,-117.9941,-101.64703,-22.109667,-111.16928
87,-34.65356,-117.54123,-35.77927,-103.42668,-29.723982
88,-34.283806,-118.15193,-110.58695,-102.69411,-31.241594
89,-107.736694,-121.112175,-115.971535,-100.1762,-106.27388
90,-29.722883,-119.76511,-109.05079,-31.744514,-109.59601
91,-39.73255,-123.43922,-114.24247,-104.38248,-29.358627
