,It 0,It 1,It 2,It 3,It 4
0,-10.727047734738171,-8.794382264920792,-19.145242718836705,-21.224364609312882,-28.96116802449755
1,-10.682431868482276,-12.413731623698617,-19.496425591952296,-18.71611384874191,-26.75438514288061
2,-11.110748575169575,-8.86621990494055,-19.316312303445923,-20.881294609667076,-28.819667874744614
3,-11.119193129478916,-12.381057111949927,-19.314425313868362,-21.193833472827315,-28.583025849022302
4,-11.010038478858215,-12.617802107423016,-19.304001865849674,-18.96428174109177,-28.618445240363393
5,-10.627623612796395,-12.564159991659858,-19.335100828728546,-18.693214752487687,-26.75486640911427
6,-11.07913461190178,-12.497431015923667,-19.405003496152613,-18.135588751529653,-28.990640092068038
7,-11.068908450628287,-12.370535088936007,-19.094026345397385,-21.074830934391844,-28.91777285877675
8,-10.778403644460179,-8.913787295057128,-19.107529780770978,-21.22231934179845,-28.411663583966444
9,-10.646827149389123,-8.738084203310907,-19.383030084995234,-18.408560157609507,-28.76626154209156
10,-10.693249679852,-9.047025566918109,-19.18435110753123,-18.57593435116686,-28.434738473724035
11,-10.703599495047044,-12.350946178271792,-19.35689331943615,-21.091879824001733,-27.285301986731472
12,-10.78075651392822,-12.487951634857858,-18.98381461220723,-19.027918739844086,-28.965303122699854
13,-11.049976637153842,-12.266348575405852,-19.36034145737112,-18.978218991075316,-28.987113242029398
14,-10.633278936748882,-12.331980888544269,-19.33509838590538,-18.121712807347656,-28.981984605350352
15,-11.00550726467841,-12.624321552513761,-19.414503671950815,-18.62688372364887,-27.374817128642057
16,-10.642388353278214,-9.01847664622718,-19.188641318105372,-21.148837432012122,-28.972310276400474
17,-10.441114271739483,-12.396019341527182,-19.10861236276761,-18.522501089154137,-25.894690041370357
18,-10.646076505236856,-12.4497197270679,-19.18550329850406,-18.51500449838108,-28.609475733190813
19,-11.131072392912587,-8.851114527296115,-18.983862973329423,-18.407654433913333,-29.00496884047242
20,-10.645950892883903,-12.549554325123589,-19.202499347693657,-18.306640312036937,-27.37424363597845
21,-11.19558936277994,-8.89377823116693,-19.134025272002663,-20.8725466987999,-28.252129467795214
22,-10.686126838084755,-12.38663230174524,-19.251142408421977,-21.19147239779627,-28.58184709846303
23,-11.067753612893737,-12.36750154852993,-19.36498911744703,-18.4804021916444,-28.704558953606035
24,-10.669011774295159,-12.345835657446967,-19.353270890863392,-19.04409421483032,-28.7292111648617
25,-10.698940534368145,-9.115987273131775,-18.888329734188847,-18.604363730371357,-28.63280427461976
26,-10.756507836449233,-9.063790001964176,-19.235872195063976,-21.10391501145248,-28.9551990137546
27,-10.908269468175916,-8.99439359710611,-19.153759751169137,-18.662969767473744,-28.947776894813487
28,-10.427857878985835,-12.41231157296459,-19.369865372858012,-20.99572934089221,-28.60253038502183
29,-10.768593040753439,-9.184472403230199,-19.362676113868247,-21.12481755512736,-28.995900279322054
30,-10.670688632646856,-8.82513384074207,-19.47806362148118,-18.78663658324923,-28.435026059425706
31,-10.757852494737165,-12.344385841781833,-19.413831575254545,-21.060010831732917,-28.230681397891264
32,-10.863913436627216,-12.582119035652584,-19.290061208706085,-21.26295282296579,-26.727901491369856
33,-10.675167105008581,-8.789121505007163,-19.04953735408388,-21.10442287852618,-28.446115355797037
34,-10.692972751340797,-8.816909509553861,-19.38400122914396,-18.819423865136383,-29.03016372107969
35,-10.784772448396449,-8.705893061414363,-19.40496960635074,-21.19015813525871,-26.818349597980635
36,-10.781601829090596,-9.023817815001427,-19.113745984607128,-21.16207924548635,-28.920474989327875
37,-10.652128586235671,-12.340489789047611,-19.338686775934562,-21.11896489655456,-27.64792458312709
38,-10.762736082609743,-9.013585920335728,-19.12823946273006,-21.25892127641994,-26.790112904906927
39,-11.073707758255102,-12.602499793602771,-19.33593607761924,-18.503735486842704,-28.997755550034366
40,-10.657874021084698,-8.770886395255072,-19.396781186042826,-18.44987453866176,-28.61715750333656
41,-10.816439275670168,-9.087421272520638,-19.376900174002742,-19.210958284017938,-26.759194024978243
42,-10.71026747222698,-12.290823662153125,-19.180047127134245,-17.983099864941025,-28.280130634274883
43,-10.39952042523119,-8.69056926008129,-18.89823255196323,-18.177156389461803,-25.912647240079448
44,-11.182775578737969,-9.118650319439032,-19.316629879155993,-21.232984008344612,-27.427173668651296
45,-10.574265315584835,-9.086445661533027,-19.19543790347308,-21.089916412114373,-28.733966190257227
46,-10.944941338477681,-8.843802111788312,-19.117580578257076,-21.238102218038176,-28.775364936201942
47,-10.699756428969476,-9.038050624482336,-19.15995217377331,-21.30342525195296,-26.767322865164534
48,-10.753580129561792,-8.755634633389585,-19.44361068661275,-18.700988356944393,-26.80317576845303
49,-10.700342879290996,-8.843486865773173,-19.23238001446263,-19.00300041502311,-28.63027075747151
50,-10.680658485973828,-8.691803393097583,-19.182354021255083,-21.035035372013223,-28.226188953411402
51,-10.989780994838203,-12.47876961157597,-19.45900459083667,-18.76338010569209,-26.766642061484895
52,-10.862141259714601,-8.920615156367404,-18.975884393946792,-18.60843404672605,-28.600011681854024
53,-10.995968471728572,-9.122732526824489,-19.3378235393976,-18.85167316560999,-28.595234166150714
54,-10.716041256715975,-8.734322904383777,-19.207504587321782,-18.707813695282255,-28.734605369945292
55,-10.61708813922294,-9.154515149543615,-19.153609747423868,-20.970931761149036,-28.798384296642876
56,-10.848794779040487,-8.943014388430893,-19.233358285142163,-21.100980817170743,-26.778072462838686
57,-11.19420926034627,-8.909455393137446,-19.179940366869243,-18.74510469009401,-28.41552500755058
58,-10.693187720652269,-12.442318702427688,-19.129544838619122,-21.293191754098242,-28.583564557123925
59,-11.160835365100066,-8.80311265209432,-19.191983114355747,-20.94876822093939,-28.944595666099197
60,-10.712769308223818,-9.079362279738007,-19.43413584682342,-21.130588457805985,-28.759333605101077
61,-11.188242964804504,-12.359940323401874,-19.406056314682004,-21.108538329798055,-28.87337383874817
62,-10.758287569183887,-8.776565353017928,-19.188391448934265,-18.881043606821486,-28.730214307485053
63,-10.674731473012487,-8.735937216337083,-19.44986065002682,-18.760299440378308,-28.578838248829534
64,-10.971046055002121,-8.833116756758246,-19.219136282066103,-18.91213405293303,-28.89548765036507
65,-11.20622748656133,-9.078295932127743,-19.173343966287277,-21.21304646499136,-25.423992787406277
66,-11.091615565783327,-12.377299847572464,-19.167282500089446,-18.691372757368402,-28.997680949553892
67,-10.714263596870587,-9.032540372936648,-19.207351158316186,-18.962208769479304,-25.889475658076595
68,-10.622767559294417,-12.336262814200817,-19.348338529863025,-19.048464068272093,-28.888289449757586
69,-10.843758397184065,-9.112769569304435,-19.360974893486937,-21.313161201493465,-25.593923023892593
70,-10.947559116470883,-8.852409390424064,-19.059254222036643,-20.984892309380808,-28.39732964475269
