,It 0,It 1,It 2,It 3,It 4
0,-130.87782673189326,-6.601550041856087,-100.10879584038142,-100.32694324287866,-94.19784819539326
1,-67.81858892431421,-6.132084283472032,-100.07096212305652,-100.31156652664068,-126.97871423101931
2,-70.67632862421684,-6.473720040962585,-100.08937842550672,-100.48228001971718,-106.2384644158344
3,-109.84569385993885,-6.689396806803783,-100.10703930688933,-100.24912877343867,-101.63927286077654
4,-107.50662490572975,-6.210242024411023,-100.24492341925635,-100.62981721306157,-138.1212742832957
5,-89.07036779746102,-6.589036618944647,-100.13071810559848,-100.32815995174289,-98.86913912772698
6,-103.60929847643447,-6.576456088946661,-100.20048083568877,-100.52902640939682,-132.6709756430491
7,-77.23245688868548,-6.5816945298020775,-100.21283516899915,-100.46667919756224,-91.10538823418506
8,-82.30131723255789,-6.3602394071880015,-100.2435465256824,-100.3442569023493,-100.52895293442097
9,13.594320757829518,-6.195523484976026,-100.13641159486076,-100.24708162021246,-112.65693261469187
10,-122.08313478745457,-5.209225024232352,-100.1678675909435,-100.3070429536365,-126.20528219333413
11,-96.73097526628712,-6.5830450426008,-100.1375484044057,-100.28773151135243,-135.45653087485715
12,-123.97224332708518,-6.387571819076185,-100.12963317872604,-100.32913738944696,-101.51678112155292
13,-56.00798039746473,-6.59121677914139,-100.17676909854946,-100.25971104736114,-112.9571281242867
14,-144.59946749272197,-5.211300593967971,-100.107687459482,-100.46518701624638,-100.3066650114134
15,-81.54616656934932,-6.511326875198863,-100.25188135198624,-100.26355500106288,-140.70121185923972
16,-114.5051986153048,-6.382138462580494,-100.16635842227265,-100.41446218468354,-90.14632322753967
17,-89.63304031036732,-6.525225046810965,-100.08567593887133,-100.60242709620852,-139.86402472750183
18,-130.6720414566494,-6.487871409924158,-100.1633704001396,-100.20892794970885,-93.08920478729556
19,-88.60466406902718,-6.385660696944996,-100.22303364284659,-100.3474997583138,-103.05075827225049
20,26.137362950132715,-7.842078836341292,-100.26756191368789,-100.40319099005153,-99.18956015319874
21,-126.21938505969632,-6.599944612862748,-100.17246854776909,-100.44806155190241,-129.29407254892126
22,-85.71945197604846,-6.435724566692079,-100.13030266590494,-100.37163295468801,-96.91745135786353
