,It 0,It 1,It 2,It 3,It 4
0,-115.35369880385636,-116.1903650086013,-123.62508063846393,-130.1368389381847,-136.51314142106594
1,-114.62172693505201,-115.63836138862,-123.59262459063095,-130.6565728679939,-137.21736808963934
2,-101.72884228007418,-113.44202879175296,-123.9366641082832,-120.00143466511432,-137.0219079855121
3,-106.40352406762214,-115.86035919758865,-123.57291419530102,-130.16065526660282,-137.48692319544585
4,-123.2434576932583,-116.3041368238777,-123.57720407111695,-130.5369557676545,-137.18294751134135
5,-107.69173074659706,-115.63669121757896,-123.63224934660025,-130.15484648011378,-133.00900234291058
6,-104.95939112520342,-116.30320905817922,-123.49899434257114,-130.49934506104947,-137.32560420871522
7,-117.0681394456538,-115.85361429430918,-123.57529085553998,-130.43477633490104,-137.48836687994893
8,-106.1345737370265,-115.74842427150286,-123.58169665449115,-132.67060436908713,-135.88679377044244
9,-121.36750517869554,-115.96950464671045,-123.59091002460694,-130.4947617140462,-137.27610513112546
10,-131.4893106657999,-115.86185448122895,-123.57652085636866,-123.35184964807006,-136.57208937983282
11,-104.95504887767012,-116.08287151974938,-123.5729616371058,-123.0258879628453,-137.34043732262936
12,-140.56601103056408,-116.31310006768071,-123.49730032850803,-130.50845414760397,-137.27586151439053
13,-104.43648773138071,-115.96727091615897,-123.48642424491669,-131.5055671431826,-136.29920340220062
14,-105.86746622581718,-115.96709471753366,-123.55112664888117,-123.21182032009074,-137.4891892603439
15,-106.92362125680037,-115.967241779577,-123.48505764211652,-130.37884055174453,-137.48197262635063
16,-105.11347075439866,-116.41855368403469,-123.523462094731,-130.52322791698575,-135.8332947977063
17,-105.86079215179291,-115.74231682321306,-123.49169375869259,-131.3780650836186,-137.06391047745987
18,-105.70303332766622,-115.7466592156881,-123.58796331400488,-132.19472926792872,-136.18528073990248
19,-106.78265453577383,-115.96399287427963,-123.64130343331459,-137.84996131599752,-136.31372894839652
20,-118.81777883347435,-116.19780812037924,-123.5674126596575,-130.5676933657707,-136.63058494833913
21,-115.5931666616071,-115.7446446532005,-123.54232671513036,-130.1231465091283,-137.4814508268951
22,-120.17850086575686,-116.19681622823205,-123.58513345559251,-130.11460457369438,-151.82412620114545
23,-131.0547540572708,-116.07824008696714,-123.54994676772009,-130.65652003949694,-137.29866725719143
24,-104.95326874743154,-116.07963841814238,-123.55518820631131,-123.32297207831948,-137.28859007878523
25,-119.8356350208285,-116.30525258829135,-123.60842453049621,-130.22790548492284,-137.24983111339637
26,-115.91810468563918,-116.31275213247415,-123.60941166226566,-130.5860456279808,-135.90843878479802
27,-116.01300430033419,-116.07489951523644,-123.570940950629,-130.5327659853442,-137.49036399135804
28,-122.76797993979602,-115.86272052003133,-123.54292062015708,-135.09391507142408,-136.2372095170679
29,-115.41275035352632,-116.31223708330592,-123.52656905389517,-130.20173922693107,-137.27712886984153
30,-104.32292503434171,-116.18935443063081,-123.59110017754882,-134.35920904202882,-136.1764971049004
31,-109.05757634377852,-115.63764773809476,-123.5495217596721,-131.39467107412716,-137.05708789067276
32,-108.6745388918668,-115.85415493738591,-123.60169927711412,-122.89793738931465,-137.3233105621003
33,-104.9023324832227,-115.85396162795898,-123.60995452763328,-130.55835208206935,-136.18117028711086
34,-103.87117850697382,-115.96987373411532,-123.61239482615268,-186.60556722599478,-136.31671483818187
35,-105.58363268966157,-115.96960479648351,-123.61205082803468,-134.16936628198064,-134.45850505713835
