,It 0,It 1,It 2,It 3,It 4
0,-22.943846,-21.434763,-114.98502,-121.48631,-112.8291
1,-115.47099,-119.69563,-116.73593,-121.5276,-29.622108
2,-118.905785,-109.14352,-130.93143,-116.85156,-22.459587
3,-112.665375,-123.19534,-123.69586,-115.88449,-27.392208
4,-116.64448,-122.37433,-118.270584,-123.635826,-34.67245
5,-124.48262,-115.19538,-126.65733,-39.16574,-123.66774
6,-113.326324,-117.944275,-124.95155,-43.01879,-42.03162
7,-118.98697,-115.91901,-121.16855,-38.283375,-44.754196
8,-113.289566,-120.39046,-124.59895,-46.70708,-35.160553
9,-123.48648,-30.735914,-116.02106,-119.729515,-110.638756
10,-115.960014,-107.363976,-123.12671,-120.51428,-103.13754
11,-115.48386,-115.13548,-123.42047,-124.41522,-121.68283
12,-118.65561,-12.848092,-116.92175,-43.25957,-27.05368
13,-114.37219,-99.06703,-121.607666,-41.013485,-103.35285
14,-117.06829,-107.00965,-118.33636,-100.62055,-17.20212
15,-113.7659,-113.59195,-124.20175,-109.00954,-24.153387
16,-120.510445,-27.404684,-132.07202,-111.40566,-24.871065
17,-117.63263,-105.51812,-123.35808,-102.38512,-23.35324
18,-116.11049,-94.737686,-119.02646,-14.27321,-120.18559
19,-116.31971,-100.92641,-118.032394,-16.03649,-26.999708
20,-118.42735,-102.12105,-118.65084,-13.683368,-19.80432
21,-116.31708,-101.63369,-120.883446,-108.62007,-31.048452
22,-112.516846,-106.353516,-122.16175,-110.85845,-103.43243
23,-116.10089,-111.686646,-120.21712,-11.577575,-102.60127
24,-119.74628,-22.792746,-118.085754,-112.707115,-104.38514
25,-112.50284,-25.67559,-115.2777,-113.79837,-99.595055
26,-114.85423,-102.17723,-133.26598,-113.39165,-99.170044
27,-115.9039,-102.10424,-124.81955,-102.38492,-100.12271
28,-117.00835,-101.03649,-119.73091,-28.899574,-30.998934
29,-117.0863,-23.939987,-123.86267,-118.16626,-103.14297
30,-110.68727,-105.63466,-117.58478,-16.568905,-24.412642
31,-112.51822,-107.34604,-119.610504,-112.50925,-27.19473
32,-115.246544,-120.45531,-119.36029,-109.37567,-26.386353
33,-120.68374,-17.093119,-121.78435,-100.96468,-26.156635
34,-110.65171,-102.7,-115.27502,-108.84527,-105.88609
35,-121.96485,-111.495735,-117.27909,-110.68658,-105.52302
36,-114.302956,-103.01435,-124.204254,-23.81826,-22.807251
37,-118.13109,-18.96521,-123.4586,-124.626274,-20.651495
