,It 0,It 1,It 2,It 3,It 4
0,-115.75017044281216,-112.34016568553572,-130.58852814374058,-111.74320586690617,-126.76720425594414
1,-115.85780152720152,-112.0480240385787,-130.390025551619,-110.91003658160008,-126.77632440191323
2,-113.56005241301719,-113.05851350399169,-119.97565981468188,-110.9453325919627,-126.5734101797479
3,-115.75120115457973,-112.50197667821186,-130.20436944703633,-110.88779270208192,-126.79582676881552
4,-116.31379208831676,-112.49017469179444,-130.070010022413,-110.90687591042928,-126.82897203163928
5,-115.74239097232248,-111.3464222884619,-123.09210633733295,-110.89489011850208,-126.62203667046563
6,-115.85377741134478,-112.17211300775347,-130.1896324794094,-110.9015791880029,-126.81860667728633
7,-116.19553391113382,-112.52146370501507,-132.81328230998105,-110.89989808707436,-126.74097143603366
8,-115.63633170044486,-112.29896834833858,-123.3460696513229,-110.88163002976093,-126.86676226334896
9,-115.86032899642737,-112.1151142000556,-130.6644208554197,-110.88198830778649,-126.81794978453901
10,-116.18899999168826,-112.1235395514071,-130.56053235858553,-110.88445702759053,-126.67819277599827
11,-116.07554431471354,-112.38566269886867,-130.2820354649195,-110.86194787844457,-126.76839801470626
12,-115.86029821776849,-112.55449311781737,-132.75160646926054,-110.90416183154409,-126.74475174218418
13,-115.85427300409788,-112.27801485383759,-130.11296255707805,-110.85215678638654,-126.64222117331315
14,-116.19035538392578,-112.07148532850978,-130.07125590912128,-110.86232350667441,-126.73419856703345
15,-116.30494326959924,-112.35207723993747,-137.69822092600162,-110.90426785988546,-126.6799469546452
16,-116.07524765766227,-111.49806211301872,-134.55127266951834,-110.87778598852455,-126.65321170517677
17,-115.96266612409181,-111.31787842472643,-130.20790405493602,-110.90409027244462,-126.76254121261154
18,-116.18977091102366,-112.49258088645091,-123.10175602190802,-110.91062183622519,-126.77653492329208
19,-115.85452913697561,-112.38003220882764,-135.38723523201605,-110.88702161066172,-126.78476969716203
20,-116.07820059345725,-111.32035729213867,-136.3201411613002,-110.85300835370148,-126.77405229459083
21,-115.74241991938031,-112.16151543804382,-131.47115979922748,-110.89392909470635,-126.78780436857232
22,-115.74435991769906,-111.20694731843471,-130.4451219740963,-110.86236612563518,-126.8153195208963
23,-115.9671198239724,-112.40525719062984,-130.52564976127073,-110.90178527508242,-126.80889179644856
24,-115.9712580404263,-111.31959654701873,-130.50854380005225,-110.9158990915281,-126.70850083001021
25,-116.31366536977329,-112.19092781589988,-123.00488078418358,-110.89935584030859,-126.67097854262282
26,-116.19474288663952,-112.09341421296759,-130.58465133750377,-110.88433267766362,-126.82324464779845
27,-116.07904767433493,-111.3548850973677,-130.49918072681749,-110.89123398154975,-126.77354167985419
28,-116.19051203137388,-111.3449894679729,-123.00523673994017,-110.88717758468974,-126.70647319669027
29,-115.74564791190687,-112.2029049562905,-130.6531629403606,-110.90327391562052,-126.6742952844246
30,-115.74925957208129,-112.36768109676677,-130.5692011983618,-110.89269769937421,-126.63554826264581
31,-116.41761587115067,-111.32009607610541,-130.72621491542708,-110.93078557874883,-126.73215072960781
32,-116.41817280049808,-112.51787660104098,-130.20876622083347,-110.85841297459602,-126.6483576289732
33,-115.86167273673293,-111.99978787835254,-130.42815139737786,-110.89792782093275,-126.75755757941492
34,-116.41900027237895,-111.32030803455164,-130.6616781970505,-110.81126369944153,-126.79477193383437
