,It 0,It 1,It 2,It 3,It 4
0,-118.12013909007496,-112.98981239224535,-2.2042075932497833,-111.40905508412568,-111.89532547326122
1,-116.50438814259957,-100.74409528262525,-4.029060675131102,-111.36183270272151,-111.93787035045455
2,-117.16027114426078,-113.46926772907406,-3.023863607280499,-111.16848319641757,-111.58352530105886
3,-118.39986842260734,-112.92514082373864,-0.6234232656750607,-111.1925793601412,-111.66046956855105
4,-112.10414019005543,-112.9713350886798,-3.446351425658318,-111.25423703379948,-111.63910066854852
5,-117.50653537070363,-101.00947507919383,-3.3352575661233677,-111.23619520737587,-111.96727754648612
6,-118.23966329929462,-112.91309456020004,-3.3112846362697903,-111.31175568087865,-111.7246898443376
7,-118.01068060384361,-100.7162799393669,-4.0133137923741655,-111.26197235904696,-111.94467936344871
8,-118.37268101680655,-112.63982950275904,-3.4397527841276565,-111.25560268191512,-111.80712953339292
9,-118.27347678430174,-113.2064675120952,-3.836524148501691,-111.40708016146611,-111.57796623026526
10,-118.09096830199283,-100.7941249329946,-3.603857237504927,-111.09008470414858,-111.91570809183604
11,-118.0165167567047,-100.75422768802072,-0.5040420280059401,-111.28306700645166,-111.74400935364397
12,-117.28779903629115,-101.08026290913384,-3.535690934371493,-111.2681023742321,-111.83493180879911
13,-116.54958426632157,-113.0727948089755,-3.0014850417198895,-111.20294945007356,-111.55505882459794
14,-117.88659088908508,-112.97808130193518,-3.5462531132939614,-111.34663451585283,-111.78453150882021
15,-118.18696472903744,-101.11963283341393,-3.2958584994464815,-111.34580676537492,-111.71296506313429
16,-118.14767470747604,-112.96958507574955,-3.080016424061618,-111.54391776673425,-111.99930274724937
17,-117.90068439383637,-100.76380161535639,-3.2310462789029084,-111.147779372584,-111.90499591521103
18,-112.01183308507734,-113.20786748435465,-3.041207937640039,-111.45035686176207,-111.80592373890919
19,-118.20834257906648,-112.82199557974903,-3.8395440955241025,-111.0687278090685,-111.6538015799759
20,-118.14876868168048,-112.99000990496026,-3.474464361065797,-111.11336937411173,-111.86217936153508
21,-112.42692391048853,-100.88123429946349,-3.3822730522740017,-111.20025679208999,-111.59462225237776
22,-112.04495223858518,-100.99967629752774,-3.1014256361737,-112.21751581857008,-112.45403309322117
23,-111.88721992145634,-112.62800436006565,-3.1621800557271498,-112.26530730245099,-112.17964047267552
24,-111.82892428003623,-112.55511067634669,-3.7263009770025644,-112.1520292508046,-112.13025329492396
25,-111.88834865638827,-112.5121036464849,-3.0119729013130985,-112.00700464414938,-111.93221282106018
26,-116.78129143471251,-112.90096474727608,-0.9905425303096781,-111.35356845061838,-111.78201354602352
27,-112.31559503090972,-100.98032944130455,-3.904808421401707,-111.28206396069952,-111.97085676533395
28,-112.16650970852639,-100.78383101783871,-3.3032455727192884,-111.38662589475645,-111.93305731737598
29,-117.22755044109573,-112.688213672341,-3.498675718152844,-111.25062112057046,-112.02498109857358
30,-117.73343168886554,-112.7722229988731,-3.673850230379068,-111.3030545273223,-111.64263549059218
31,-112.20602479832294,-113.39434149393719,-3.1542364886689747,-111.41538133596342,-111.80610620296429
32,-117.83196057385334,-113.0484985170289,-3.224047468399728,-111.24179589343326,-111.66977824861766
33,-116.55835255211892,-100.84504693862144,-3.8015225494491056,-111.32000769577986,-111.71729738165881
34,-117.18565337271829,-100.98039535751357,-3.84893492382795,-111.33278767237098,-111.98343569197684
35,-112.12532279919694,-113.04946932216694,-3.479603077638364,-111.28541256566551,-111.75494063431832
36,-116.79650016778373,-100.81493013993007,-3.2930630536279297,-111.38529864146285,-111.64165547637307
37,-118.22300083703465,-102.14614469716352,-3.954848038508831,-111.3922929232282,-111.88500950471537
38,-112.1060940981591,-113.12191696432241,-4.046814204392662,-111.01990079584345,-111.63628392684545
39,-117.84773221479503,-112.84999963060758,-3.2242150958408713,-111.13367264974413,-111.82575178795261
40,-112.33008463051931,-112.92608938840186,-0.7780110171431839,-111.22470848788193,-111.68972923015703
41,-116.79349896613074,-112.82269983197034,-3.8528856523015955,-111.44491776121205,-111.97804211098864
42,-117.12938441388414,-100.87151910630769,-3.982065810917642,-111.17286584631059,-111.72299826830184
43,-117.5830922161709,-112.82319853186165,-3.3650783575917798,-111.24375876109822,-111.91150743251566
44,-117.26381837748038,-114.11621744114254,-3.2408658858258867,-111.07446106913937,-111.84968665163653
45,-117.86124864944058,-113.15828153364387,-3.7798018765565704,-111.21362638913754,-111.58271547631182
46,-118.25984597082603,-113.82401627427215,-3.348720767661496,-111.14921480909331,-111.77395393496946
47,-112.16234476108632,-101.14773187991169,-3.9727517915438773,-111.2513787102698,-111.76171076917113
48,-117.86065929426175,-112.96470871803398,-3.391952423333521,-111.26598675136144,-111.68097687598194
49,-117.86935952103708,-100.94468913183366,-3.9584493328448094,-111.02912678470649,-111.98328957747164
50,-118.37570595093375,-113.05856857111321,-3.2877128637934625,-110.99104789306553,-111.72623471435905
51,-116.87577141608278,-101.00132208940504,-3.0172891816274072,-111.40604639225322,-111.78060087371951
52,-116.51706497417317,-112.85440323190515,-4.091704752643269,-111.21863719598957,-111.64607553793428
