,It 0,It 1,It 2,It 3,It 4
0,-21.547762,-104.5544,-21.838867,-112.05512,-19.735962
1,-101.576035,-30.438112,-100.063126,-108.76207,-116.35347
2,-32.878277,-99.52463,-100.864,-111.63564,-114.45476
3,-128.60626,-27.552107,-26.976965,-21.37494,-100.86655
4,-103.10728,-26.03612,-27.089201,-111.57467,-27.986982
5,-102.19937,-31.890312,-30.105524,-22.034853,-108.97326
6,-103.04364,-113.439384,-98.78192,-111.11426,-117.34797
7,-104.75063,-113.09502,-25.7229,-29.063505,-29.499435
8,-98.82665,-110.32088,-98.69063,-29.313879,-25.051754
9,-114.855156,-29.292852,-22.463303,-24.347582,-22.964487
10,-107.8546,-104.87053,-105.076164,-108.48973,-31.267977
11,-115.77515,-28.481962,-120.87083,-103.763,-103.72565
12,-100.102005,-111.0641,-21.686966,-107.71356,-115.71528
13,-24.71297,-31.306707,-27.046015,-115.60672,-25.17253
14,-121.49585,-108.49914,-102.21614,-120.69049,-32.011562
15,-32.589634,-21.857637,-21.606236,-27.97852,-102.028564
16,-103.30382,-26.639315,-113.881744,-100.97988,-107.287926
17,-108.62055,-98.24805,-100.05927,-106.49938,-118.197365
18,-106.37414,-110.34402,-23.985573,-104.93202,-114.7153
19,-115.996346,-119.47065,-128.72472,-22.052416,-97.453964
20,-25.533937,-115.156166,-126.63332,-115.717896,-114.68943
21,-19.71845,-30.165857,-25.957287,-118.26511,-33.190292
22,-38.020927,-131.53265,-101.623856,-20.805986,-102.72267
23,-35.64411,-27.840044,-100.94683,-141.17937,-33.21631
24,-115.582214,-107.035065,-24.903784,-36.571106,-121.2375
25,-107.99608,-108.33377,-105.83424,-107.4143,-106.18786
26,-121.14533,-25.525984,-102.37113,-104.22134,-26.868359
27,-129.10223,-20.809198,-24.627897,-102.43558,-31.951914
28,-102.87683,-112.978485,-100.46921,-107.649,-118.07736
29,-26.45564,-103.00208,-121.88609,-25.088497,-102.84655
30,-101.484276,-120.230385,-108.43237,-119.85426,-29.673122
31,-110.27527,-111.61107,-99.868484,-100.40154,-111.4706
32,-32.918053,-110.082726,-16.541498,-17.597744,-109.139145
33,-109.41036,-29.560379,-123.71565,-101.54423,-103.42637
34,-28.843245,-118.512405,-107.65646,-118.360504,-113.01435
