,It 0,It 1,It 2,It 3,It 4
0,-21.34193931781144,-11.931127306173195,-51.21348729286447,-26.74199218418831,-25.826103968451548
1,-17.10247002074224,-11.92324951897407,-51.4676548546198,-26.776956743320618,-26.099485900382337
2,-20.78954518140912,-11.715754472820727,-57.17328696087277,-26.552426948510625,-38.065994640412505
3,-21.260508464668852,-11.967649361114347,-56.772307411719325,-27.00485392007245,-25.984080537585
4,-16.832696862425635,-11.908460091974911,-51.72557227784648,-27.16614550770269,-25.889564512663465
5,-21.096521872725436,-11.994815456483396,-57.212881589283285,-26.550497752755344,-25.97530770247592
6,-16.76356740850448,-12.081347070152571,-51.725150022108224,-26.896722799017333,-25.968022318867774
7,-20.628666992533944,-11.98076029775398,-51.723372888087276,-27.05187059909444,-26.090187336147544
8,-17.108792399436872,-12.119104902071262,-56.84126411374824,-26.750671505629956,-26.092450648542904
9,-20.260268147533154,-11.845674890787027,-56.66300223856768,-26.76995616471945,-26.036635698239323
10,-16.81002640202279,-11.883750370178685,-57.243896474461884,-26.55161217405772,-25.949361162446582
11,-17.207710020865004,-11.497445893328017,-57.17313370680276,-26.76571418843661,-26.048265973791302
12,-16.94266445203706,-11.82701738282178,-57.228018627481944,-26.911551844323057,-25.765789553672498
13,-16.82680185426781,-11.989638630686619,-57.11580864380365,-26.7955922819015,-25.655255431012282
14,-16.994497217988112,-12.23285779646098,-57.23007583654047,-26.54907029829045,-25.872793079652276
15,-20.52644234461295,-11.927371242511999,-57.236894620569174,-26.72937796144798,-26.05187751203215
16,-21.078429047368896,-11.780247493118074,-57.13701115169672,-27.21587374258376,-26.252443894086188
17,-17.172531248108147,-12.055262986356045,-56.66291988199524,-26.62620101185818,-25.706485242751977
18,-16.833741332046518,-11.882906561545443,-56.595460593922944,-26.725646479590708,-26.146575254451456
19,-21.507970877994936,-11.851121134040271,-51.72576353817459,-26.923369844667338,-26.255796298016666
20,-16.589084889082322,-11.913213733231274,-57.229943144097895,-26.56018139441206,-26.024750476412102
21,-16.804722951118542,-11.868103724990672,-51.72407024254636,-26.773674423572583,-26.05450255668608
22,-16.626439243719492,-11.820998661504673,-57.22924275697658,-26.852751335464042,-26.061417276632575
23,-21.36421930623132,-11.804279465435386,-57.03181169390435,-26.462945301976468,-25.96464784214335
24,-16.521792181223077,-12.061909185928899,-57.11473669657738,-27.0183090185424,-26.04898799749857
25,-17.128028285600724,-11.711689562196591,-51.72577630515965,-26.813757995720042,-26.149877028622427
26,-17.15502900783333,-11.859237498031069,-51.72475961684393,-26.931692984141584,-26.05116737090139
27,-21.519385119208508,-12.18917188266544,-51.85875868251627,-26.89378331649562,-26.08758913604213
28,-21.30160607669483,-12.026280309974112,-108.7364738253771,-26.64565202998157,-26.073729649541256
29,-20.37578695491135,-11.651509642868355,-57.22795055169823,-27.115016189575503,-26.01421239346447
30,-20.868966089197794,-12.058789035103866,-57.22927646579358,-26.739468756124197,-25.741070928727314
31,-17.042848169637875,-11.936295199958364,-56.79555188384931,-26.794138138875248,-25.964634464308457
32,-21.108394289173248,-11.88740237771801,-56.748700359650435,-26.74085175012657,-26.06847093492419
33,-21.435359836972225,-12.200293733180537,-57.22357766676996,-27.07780677242936,-26.044064212919142
34,-16.402175163803005,-11.914534423459653,-57.169438216161815,-26.649505729298202,-25.866638114704543
35,-16.772006936441556,-11.883725872862088,-51.72297365621915,-26.419323120042215,-26.103649866837195
36,-21.47826430005155,-12.15116966853445,-57.40666018022681,-26.61839156215252,-25.836685006045396
37,-16.17480896062402,-11.893724919116597,-52.25197540183774,-26.956158955381884,-26.031168314584612
38,-20.55881810189355,-11.833443520572944,-57.2437677242906,-26.959308199389355,-26.219619958388744
39,-20.593304218688484,-12.200790925707473,-51.72300084799648,-26.995588329513367,-26.012251960711392
40,-17.14262234373074,-12.011340096113736,-57.189473426239786,-26.998856987688345,-25.94211935801975
41,-16.842759546054406,-11.68958226524543,-57.22668001673413,-26.773438799543783,-26.071104945209207
42,-21.563956451845826,-10.524100894590797,-57.287412914993396,-26.862073244672878,-37.59512472510153
43,-20.589104860212657,-11.788083701516225,-57.244252044717676,-26.67829064768935,-40.681441013942205
44,-21.356510013969082,-11.911347953621297,-56.59502909092587,-26.772881660109828,-26.070037093817632
45,-20.787488270811078,-11.975137156220473,-57.234574583832654,-27.203872136185616,-26.16545987398516
46,-20.996057225909546,-11.959237975435697,-56.59282580654001,-26.70979906297996,-26.038141267098656
47,-20.654166051216492,-12.364580379455317,-50.5760479353247,-26.74995344763139,-26.121560988490774
48,-21.552934165051166,-12.085018843923374,-56.80527972129812,-26.7354399022332,-26.08442790715034
49,-16.975085171103025,-11.041446655283698,-57.157958446239824,-26.7668162983476,-25.854240647909077
50,-16.736017605905793,-11.89070869644247,-56.29054678760418,-26.934836388508216,-25.821413714359185
51,-16.83093069213574,-11.978840340310294,-51.679820407926265,-27.24185068654792,-26.068081283460508
52,-21.098608813823446,-12.107364174369367,-57.22139256046469,-26.663435883791333,-26.092594496827182
53,-17.129764213320584,-11.81854995156983,-56.80933332880979,-26.940773335375688,-25.803973297399896
54,-21.56333507361287,-12.172097991183032,-56.80425120228322,-26.56925334880827,-26.01901127356614
55,-16.755659667172633,-12.013792694390974,-57.23312939279293,-22.110818794074376,-26.02289246060178
56,-17.218518615460862,-11.980350621116916,-108.21882451416428,-27.226758852555086,-26.0495724246253
57,-21.40175875097209,-12.123993197620807,-57.211783269147325,-26.77042030388659,-26.081993471575696
58,-17.13795791465538,-11.933473854427836,-57.17603013998007,-26.90426383449798,-26.253194632561325
59,-20.83101577013045,-11.877163156472761,-51.68151487859538,-25.887745723692767,-26.04357715043786
60,-16.617762419243583,-11.744330338159545,-57.40364207186251,-26.66399676000486,-26.28403832942185
61,-17.173636114627996,-12.308402199794543,-56.783521677279474,-27.171070776487454,-26.149086247751068
62,-16.863324156596768,-12.083490164543518,-56.95486232902086,-26.69197617976048,-26.035674484912832
63,-20.962928744260807,-11.862110320975063,-57.22920958151049,-26.791220013289568,-26.237267714795962
64,-16.940860137701538,-11.932027174011827,-56.76648605641638,-26.68482253292703,-40.399562929619826
65,-16.721379899079054,-11.924062840514278,-57.230476603327105,-27.168157830292323,-25.805059579648706
66,-16.575748870466683,-11.777843320441779,-57.17269046538012,-26.773548584165646,-25.68832436385558
67,-16.74265450460098,-12.059297638423443,-51.685552825269134,-26.750695311911123,-25.77813602557922
68,-16.70420363584521,-11.850958630387627,-57.19029429763002,-27.1519525159351,-26.141600055112153
69,-20.044307230583843,-11.954155350417206,-57.229149697000814,-26.761160063827862,-26.07868060390273
70,-20.886270324286674,-12.052991786190628,-56.662661317404016,-26.397356431975368,-26.250625890477803
71,-17.26572888886307,-11.893194173890953,-56.99767803275501,-26.786885190100453,-25.668284233567476
72,-21.37090202209046,-11.84330114136075,-56.8597255529028,-26.7626918102414,-25.884555261916113
73,-21.515695994134777,-12.05946184317829,-57.41914095510966,-26.78409555886556,-26.105847823392732
74,-16.739243569624296,-11.892689182791242,-56.77212553458786,-26.74198420731269,-26.14318367030746
75,-16.69527134982238,-11.799846604788723,-57.21004175858475,-26.703123271593025,-26.29802482252758
76,-20.24592241035154,-11.850078492184437,-57.2279312294785,-26.75800248700851,-26.10997517847264
77,-16.864011017277107,-11.892297839816885,-57.212980315765,-26.789030219441315,-25.954559718371403
78,-16.824801847911264,-11.817590085027133,-57.24956479630381,-26.536139647701596,-25.818104629322775
79,-16.90198189275986,-12.123931113965474,-57.4045533882305,-26.810171226189592,-26.128911131430378
80,-20.84503252262431,-11.641406943935825,-56.991180128426535,-26.51332535300118,-26.038154268853447
81,-17.22534330752425,-11.907833378904463,-57.11739168376992,-26.665128018162864,-26.114739033618683
82,-20.7982225796332,-11.664540604769828,-57.23561249655206,-26.95865014748709,-40.655638455531275
83,-21.490398897505756,-11.825267401935593,-57.30490744139943,-26.51412561103639,-25.83978533274788
84,-20.74032050994524,-12.091558614258956,-57.22138898336667,-26.560085006707332,-37.93618738417139
85,-20.299862779862746,-12.097411920648462,-57.21132107369577,-26.995569359411558,-25.909565377898822
86,-17.218217938838556,-11.6687431260481,-57.229243231028626,-26.693370278773855,-26.03928236716137
87,-20.505570819280248,-11.927005568955503,-57.24943873492385,-26.8442299752915,-25.732703739149777
88,-20.76961220616413,-12.038855050507303,-56.76270308007844,-26.92804177146841,-25.85047080172631
89,-20.680088644522492,-12.057050948736968,-51.72317894345255,-26.651251430892238,-26.24115962046347
90,-20.81850031205449,-11.94086999376842,-57.41941079526103,-27.17260484345543,-25.867575627275468
91,-16.769593463156376,-11.964634827896962,-57.24509928263804,-26.754739135331842,-26.06638707729023
92,-20.81154750898523,-11.89056687713294,-50.604154588700716,-27.201628867401634,-26.292688123942256
93,-21.32978083441544,-11.856814355740946,-51.680976212649135,-27.20597932512058,-26.280415894338304
