,It 0,It 1,It 2,It 3,It 4
0,-41.88205,-104.240524,-123.171265,-121.7907,-106.12236
1,-117.06374,-105.25838,-130.59169,-114.31585,-127.67493
2,-113.65022,-112.91086,-39.071854,-25.054548,-104.1241
3,-114.05041,-131.40024,-47.03316,-35.470722,-103.15712
4,-115.930504,-119.3054,-30.272102,-39.81012,-29.185791
5,-114.43542,-105.483986,-31.197071,-113.650375,-36.11841
6,-119.46863,-104.403076,-30.602667,-125.16731,-35.10302
7,-119.894005,-127.43172,-35.63122,-121.45523,-39.519623
8,-122.53888,-104.76304,-31.85154,-107.132126,-31.401838
9,-113.814316,-105.18637,-114.96766,-38.08461,-34.89817
10,-119.73835,-105.04943,-113.68851,-108.3454,-28.649881
11,-122.7161,-106.32526,-115.67267,-29.14257,-31.481966
12,-110.53801,-106.51757,-110.12391,-107.93345,-31.216618
13,-126.258705,-104.616745,-107.41818,-36.475235,-35.12926
14,-113.55388,-106.117455,-102.24513,-108.37449,-35.068954
15,-115.490326,-119.397644,-32.2524,-107.10963,-25.855629
16,-112.716576,-103.90234,-109.84405,-35.31336,-38.573174
17,-117.11706,-105.98517,-111.43978,-35.077713,-32.91961
18,-16.78471,-104.3162,-129.72765,-22.959984,-32.402607
19,-106.60764,-103.42922,-108.019035,-103.78274,-35.255123
20,-115.08162,-103.093956,-112.836075,-25.008999,-33.92617
21,-20.893356,-102.54755,-131.38457,-105.9802,-31.309258
22,-107.508415,-102.49458,-105.13949,-109.770515,-41.53785
23,-16.764431,-101.87319,-21.230146,-25.404335,-37.71028
24,-114.48107,-107.34762,-107.04342,-111.71285,-34.056335
25,-107.622116,-101.938194,-115.61741,-30.862442,-104.91018
26,-113.778175,-102.67083,-104.381485,-104.58167,-40.003582
27,-107.498566,-102.2515,-115.3356,-105.15619,-29.653236
28,-109.04481,-102.22032,-109.28776,-19.704134,-41.555473
29,-110.831665,-103.16778,-24.865868,-27.278347,-117.685165
30,-25.49627,-105.678856,-105.11198,-117.21163,-119.99865
31,-14.715623,-103.50953,-112.57681,-112.81543,-121.822174
32,-98.47312,-105.6335,-104.4234,-102.596535,-115.23398
33,-24.41625,-125.45084,-26.966639,-107.98611,-108.56613
34,-115.3215,-103.888626,-20.544878,-14.028876,-114.191536
35,-24.283068,-100.56293,-101.41614,-25.401714,-111.28561
36,-119.56557,-101.03275,-112.37663,-23.73993,-111.27747
37,-114.033165,-103.46839,-15.029563,-32.12458,-106.5931
38,-23.109674,-113.59737,-15.160383,-104.574394,-109.907524
39,-109.663025,-114.23076,-20.455214,-112.54841,-108.41616
40,-26.821922,-125.317085,-17.4473,-25.28875,-125.712135
41,-107.238716,-111.194305,-105.617615,-24.110949,-120.193825
42,-20.967222,-108.350494,-112.7216,-112.19728,-112.58618
43,-20.494347,-114.07302,-98.931854,-105.00638,-103.451775
44,-17.138918,-114.60318,-104.81779,-22.120333,-103.086685
45,-114.27959,-107.69431,-19.92935,-20.614351,-109.81361
46,-108.54855,-25.137402,-102.624565,-105.77367,-108.66612
47,-97.966225,-23.816952,-99.26208,-20.303947,-27.502499
48,-114.34765,-18.677155,-103.00154,-28.54733,-107.12016
49,-111.03381,-20.16041,-100.77871,-134.78604,-20.257143
50,-103.09631,-21.055796,-24.602175,-16.080276,-28.835114
51,-106.96354,-105.19502,-103.03142,-105.42464,-109.35481
52,-111.62924,-118.881,-98.89488,-105.8674,-100.78616
53,-102.42661,-112.8439,-114.31484,-24.113398,-106.40218
54,-23.700834,-108.56132,-19.126307,-104.9267,-22.39111
55,-31.139404,-110.37011,-102.8601,-104.21497,-19.126982
56,-109.143776,-27.519852,-102.94029,-110.30835,-112.55795
