,It 0,It 1,It 2,It 3,It 4
0,-31.155712,-112.4978,-102.642,-101.86617,-34.777916
1,-22.255909,-113.123825,-102.706566,-23.055561,-40.868244
2,-27.91349,-123.3479,-101.515274,-29.980358,-43.037334
3,-28.894665,-119.23468,-106.18561,-25.764097,-40.29829
4,-33.635803,-112.85611,-118.55887,-118.98881,-113.65175
5,-115.029686,-112.39027,-123.142555,-111.72226,-114.024796
6,-27.588913,-114.17548,-125.358986,-105.59316,-115.0005
7,-31.740997,-111.48019,-119.53235,-103.743965,-114.498024
8,-32.139626,-115.15354,-123.05204,-103.01455,-111.70778
9,-28.381231,-116.16484,-110.25268,-28.498337,-117.10003
10,-31.444054,-115.85898,-121.53299,-128.70665,-112.782486
11,-35.965607,-114.442535,-115.674286,-104.58362,-116.32034
12,-115.43287,-106.23969,-118.646454,-102.19263,-115.42749
13,-33.783527,-111.476006,-112.02208,-119.889626,-108.80203
14,-35.814728,-111.29371,-113.75307,-32.739937,-113.29761
15,-34.553143,-32.418716,-121.3551,-116.9173,-119.822296
16,-13.706863,-28.069363,-29.785301,-121.798904,-106.037895
17,-108.61326,-30.696468,-128.4226,-33.077065,-112.230705
18,-109.77946,-28.790249,-108.6124,-28.531809,-120.164314
19,-105.10084,-30.312473,-119.50898,-23.576735,-121.58011
20,-115.82446,-23.887121,-109.011665,-16.273994,-115.83232
21,-120.32091,-113.497345,-24.706644,-113.9336,-116.52312
22,-103.81103,-112.11678,-107.23106,-118.48611,-116.47413
23,-107.193504,-111.2719,-10.997989,-115.31769,-117.867714
24,-104.620636,-108.19862,-6.226963,-112.33654,-120.79924
25,-105.256195,-29.302668,-113.47994,-110.5468,-110.303665
26,-101.159584,-105.55495,-115.710365,-113.9549,-23.214523
27,-121.28656,-120.60186,-115.70923,-115.959236,-30.608837
28,-16.471483,-26.099108,-112.3783,-116.46182,-20.803083
29,-101.19056,-107.7361,-21.314713,-114.71074,-27.170254
30,-20.473673,-106.796974,-104.536385,-104.955605,-107.97745
31,-128.9645,-112.82413,-16.478252,-99.16742,-115.19705
32,-16.033009,-113.43829,-104.67458,-13.1503105,-23.606308
33,-114.01947,-103.86099,-107.9144,-112.33922,-107.892685
34,-18.964506,-103.291,-26.668297,-111.69293,-22.519892
35,-18.604702,-102.471054,-110.87021,-112.09297,-104.28372
36,-15.367648,-104.488846,-106.22903,-104.893326,-107.26945
37,-18.331387,-21.541948,-119.27634,-115.97846,-111.25269
38,-105.80038,-110.03747,-110.08639,-108.24437,-104.082985
39,-102.163635,-18.769068,-113.74509,-108.03784,-25.929401
40,-104.2215,-107.86567,-103.263405,-112.75616,-117.82976
41,-106.08341,-105.183464,-24.912922,-9.269776,-24.194399
42,-110.50193,-23.919397,-116.3902,-110.8542,-25.927471
43,-24.166494,-21.300802,-112.9762,-13.142347,-111.62514
44,-24.811338,-105.61301,-107.343864,-26.013283,-21.973629
45,-113.36699,-29.537077,-110.09928,-23.628029,-131.38565
46,-125.685936,-111.84897,-105.759186,-115.63159,-21.232176
47,-118.744484,-104.06181,-104.618256,-111.47279,-23.686903
48,-26.294659,-102.6349,-116.8691,-19.688473,-109.91347
49,-15.264339,-106.30652,-19.919094,-22.400578,-24.391953
50,-115.663605,-109.731094,-20.419113,-115.49646,-24.553822
51,-33.479225,-105.07591,-107.51773,-24.370554,-22.977213
52,-14.158224,-21.28418,-18.640871,-15.232643,-41.666325
53,-108.115814,-107.3512,-13.972631,-21.38638,-105.6463
54,-15.290459,-21.591028,-15.908048,-109.336685,-106.51016
55,-15.438224,-105.963135,-102.78779,-105.31888,-29.771383
56,-112.887146,-117.95262,-117.38169,-29.941097,-113.87043
57,-7.248813,-105.298935,-103.527405,-105.86943,-106.48404
58,-107.10169,-103.503914,-105.853264,-103.16934,-113.566025
59,-16.033154,-107.106346,-27.2816,-20.624937,-106.632576
60,-107.74612,-110.05296,-112.31166,-105.94606,-106.391655
61,-111.03254,-23.835438,-7.8648944,-34.08562,-28.732275
62,-115.69142,-105.183464,-97.907776,-21.96855,-108.38128
