,It 0,It 1,It 2,It 3,It 4
0,-122.21069,-110.95892,-30.016083,-110.77831,-22.373087
1,-118.85046,-118.84766,-108.79177,-28.351469,-24.571747
2,-114.0055,-115.477234,-110.745186,-109.84851,-123.97271
3,-114.99775,-114.54881,-117.91167,-112.918655,-27.465174
4,-116.90684,-110.0826,-117.07222,-110.556656,-119.90442
5,-116.25046,-116.72514,-114.6903,-117.591,-122.35709
6,-120.27255,-114.02242,-111.12807,-114.8808,-109.20735
7,-115.15993,-118.908676,-118.19595,-112.3439,-122.514206
8,-26.990349,-110.645935,-33.89575,-30.648464,-109.040436
9,-29.633204,-30.76893,-108.41242,-32.6782,-120.783615
10,-29.149014,-35.842697,-27.18489,-22.348417,-101.83312
11,-33.022972,-26.078936,-25.94921,-121.90166,-107.50523
12,-27.146454,-115.317116,-26.884855,-118.06665,-112.5545
13,-19.738005,-20.297426,-114.54002,-128.86066,-107.08304
14,-23.188545,-113.568085,-111.93611,-24.985931,-115.44298
15,-26.379917,-19.261683,-28.7787,-17.883345,-102.695724
16,-107.42807,-115.522514,-113.34333,-21.893303,-20.815765
17,-107.9952,-111.23567,-108.39922,-106.15077,-130.77632
18,-23.225477,-21.886723,-13.823637,-116.013214,-106.11982
19,-109.89021,-12.235448,-103.311615,-118.246994,-101.15528
20,-113.56036,-103.613976,-114.014046,-35.929527,-101.586365
21,-101.43052,-24.702242,-101.732666,-149.11858,-103.3145
22,-19.892664,-20.531511,-19.056234,-104.62154,-114.48052
23,-106.20714,-123.66135,-21.832067,-106.274796,-19.370916
24,-105.3414,-22.336199,-23.455133,-20.816536,-106.024055
25,-22.340918,-28.61365,-109.4771,-106.465996,-116.88898
26,-107.70656,-108.98691,-123.45974,-106.89048,-23.809902
27,-20.226528,-19.923609,-121.62495,-101.026985,-18.09061
28,-27.03245,-30.78838,-101.637245,-105.84674,-21.672808
29,-101.989136,-114.16568,-100.42719,-29.140503,-16.229504
30,-28.845144,-104.720436,-113.560326,-114.80831,-102.107086
31,-24.19286,-105.7487,-111.334045,-104.56653,-103.733215
