,It 0,It 1,It 2,It 3,It 4
0,-32.088623,-117.77327,-31.74943,-116.1506,-128.33394
1,-37.01164,-121.19881,-26.45286,-125.45706,-39.700912
2,-35.50478,-111.337616,-32.51949,-120.946526,-116.70184
3,-34.38469,-122.130165,-29.87808,-122.844376,-111.71276
4,-37.07931,-125.28399,-27.814062,-121.69484,-118.61203
5,-34.050545,-129.20808,-24.00663,-124.4604,-116.43483
6,-36.152355,-122.76061,-28.724884,-126.9236,-114.25061
7,-35.092567,-123.24036,-32.37634,-115.65034,-118.08969
8,-36.023907,-114.3585,-29.786533,-115.318405,-31.824495
9,-34.780922,-128.71608,-31.431581,-119.60807,-29.805775
10,-37.770004,-109.67332,-24.565224,-115.3826,-30.586098
11,-35.578396,-115.84872,-32.50492,-114.76026,-120.03386
12,-34.865543,-123.808426,-29.50048,-35.026794,-111.41318
13,-38.194443,-111.68171,-25.797916,-36.71009,-31.967648
14,-28.889698,-109.72168,-27.973621,-37.562984,-33.711884
15,-34.716602,-123.30063,-20.187983,-32.800346,-30.761158
16,-26.280317,-115.09933,-20.404419,-32.23905,-31.49528
17,-111.69058,-114.422455,-27.014458,-33.481674,-33.47432
18,-111.749176,-110.42922,-26.540712,-29.582834,-26.96284
19,-26.404484,-112.63838,-24.543541,-104.420715,-130.25504
20,-117.67844,-109.8615,-27.420269,-107.022545,-106.724724
21,-113.53503,-107.32969,-118.93003,-31.419725,-104.19937
22,-27.320246,-111.61958,-117.584404,-31.429424,-104.32744
23,-113.33225,-109.44158,-120.08855,-33.034348,-102.06088
24,-104.357254,-107.38042,-118.493996,-27.408823,-120.283455
25,-31.548784,-107.69816,-111.30067,-108.20011,-34.17116
26,-106.4337,-107.946976,-123.971954,-105.43422,-103.897575
27,-18.137232,-107.3689,-23.691744,-22.28271,-32.603687
28,-124.37457,-109.24009,-18.616901,-29.032143,-32.065384
29,-34.926327,-110.99187,-123.43101,-105.703125,-107.0234
30,-23.801928,-114.348045,-16.545183,-104.90057,-110.90472
31,-22.793959,-112.43379,-23.805605,-107.31979,-21.85956
32,-104.28963,-108.26751,-124.68261,-104.56337,-110.68991
33,-106.15623,-107.22111,-24.730545,-104.87674,-35.968605
