,It 0,It 1,It 2,It 3,It 4
0,-128.07235051703327,-179.28036366508147,-179.29709023916587,-127.50154524289259,-180.71110279031825
1,-127.54843037079274,-179.2709491245553,-179.2735393445888,-128.06298595399284,-181.07099418470432
2,-127.97592967124035,-107.48054311204889,-108.13144544691097,-127.99467475103216,-188.05869094061433
3,-127.51035960430468,-179.335077979333,-179.34112482056446,-127.53858269278146,-181.18690420893125
4,-127.48051626569467,-179.33713391466182,-179.27716498476877,-128.07595521355358,-180.69397985691
5,-127.41447086143805,-179.30522844502195,-110.495576233143,-128.02707406781613,-181.06484890166774
6,-128.03471898780515,-179.2205303532176,-179.26844108085572,-128.0120755030867,-180.72117339303824
7,-128.0193956760162,-179.32552671560822,-179.27105738413013,-128.0345943018732,-180.71356410568376
8,-128.01396104355965,-179.3055444693142,-179.33784597107322,-127.54876066232598,-180.72045076518427
9,-127.43877199246114,-179.27143682140039,-179.33496236634554,-128.0390027033103,-181.06492061327316
10,-127.47673443682058,-179.22824366790667,-179.2745830025939,-128.01427918886145,-181.06475403070866
11,-127.48335169101009,-179.23011877353107,-179.30009187575854,-127.49497882246226,-181.09634205873851
12,-127.45554660936384,-110.49712233207127,-179.27141011425098,-127.4171290649927,-181.18318688570938
13,-127.44876483882652,-179.34152656277757,-179.33592267656815,-127.47669650412973,-180.71251325437595
14,-127.4460103701229,-179.27823296853146,-179.2774179142073,-127.50826015292854,-181.0963169486521
15,-127.53272971418252,-179.33687877154713,-179.27337417460782,-127.41460127290836,-180.7298945502482
16,-127.47687952632272,-179.30071252107425,-179.3365598442448,-128.0512085369571,-181.09646909851065
17,-128.0542239733444,-179.34046254101634,-179.23103071893058,-127.4429740257766,-180.71990672029662
18,-128.0223845617939,-179.29909844436798,-179.27578929761538,-127.53190750458465,-181.06711215421353
19,-128.0107640574003,-179.27260000278355,-179.3031199327309,-128.07777401428672,-181.18320347582406
20,-128.02538982712974,-179.26911009766897,-179.27863193237647,-127.40936135477884,-180.73073178308812
21,-127.48943867263262,-179.22939979995405,-179.3264977216049,-127.42204480867089,-181.1812876232072
22,-127.41959618319635,-179.30410810843534,-179.22957109074224,-128.0204462842488,-181.09657182820246
23,-128.06757299062798,-179.3039004696793,-179.30168643271975,-127.5406390931507,-180.7206347465619
24,-128.0259498514173,-179.27349256006494,-179.29829423389822,-127.52214172816711,-181.18633180340856
25,-127.48387927461604,-179.2735074312686,-179.33801432633265,-127.42638747503236,-181.09634763278171
26,-128.0557200327764,-179.30372282789205,-110.36906979843168,-127.51173439009301,-180.8591552716318
27,-127.50346776377907,-179.22599533514855,-179.33723805197008,-127.53838310468818,-181.18831150594895
28,-127.54012748475373,-179.2304469726153,-179.33423640637463,-127.5036526386055,-180.73003739953148
29,-128.06024575307345,-179.34135244503733,-179.33644216395408,-127.4106080892235,-180.7113658381109
30,-127.47067335349385,-179.27121151840427,-179.226978192225,-128.01811279251862,-180.72060947357164
31,-128.07153066538896,-179.27107655625903,-179.2226239478165,-127.46354394468665,-181.09610394897044
32,-128.0782268075676,-179.28008119564308,-179.2783823723854,-128.0779675970568,-181.1807238146456
33,-127.53281478188498,-179.30580015911525,-179.27391176566286,-127.41811706925617,-181.06532084635563
34,-128.02322413667727,-179.33260777868446,-179.28069871582827,-127.50906365233351,-181.0964193639449
35,-128.02121144195706,-179.30522780077956,-179.27867044031424,-128.05039079266288,-180.71835070728432
36,-128.08746700140338,-179.26985492825312,-179.33472687747445,-127.42888717943679,-180.7307134139145
37,-127.40715663438229,-179.30453181961664,-179.27535978918388,-127.42395965103557,-181.18033591793954
38,-127.49689651707996,-179.33269715577168,-179.2995899329377,-128.00792541785788,-180.72487414911808
39,-128.08831145121718,-179.2779458837688,-179.30558064498743,-127.53927028032206,-180.71751832919614
40,-127.5071357936493,-179.27366135576233,-179.33718560290947,-127.55542623632465,-180.73220885595725
41,-127.51264657724835,-179.27511191845676,-179.32458215684434,-128.01152144275605,-180.73116310014808
42,-128.07753441075485,-108.10189777865138,-108.04960684148658,-128.02619519989005,-187.05876694817795
43,-127.97579910229892,-107.94725758008597,-107.93043797665526,-128.10164821881492,-187.1844202005716
44,-127.54970024223937,-179.2752701914508,-179.27957484378592,-127.4686082480525,-180.71146435038605
45,-128.08923147995336,-179.29972209312135,-179.30408672977043,-127.41648451945622,-180.72996586860265
46,-128.0127700795823,-179.30111099426748,-179.3378478268887,-128.09026641658818,-180.73082707197824
47,-128.0893348709618,-179.27399058279386,-179.30267082624562,-128.0641251590196,-180.72947922298792
48,-127.51412896696044,-179.27864214634636,-179.30162518654134,-127.49167096793838,-180.71411350994478
49,-127.50406508443132,-179.2794645509787,-179.27361011804194,-127.49438836969313,-181.09633871606655
50,-127.48348221951665,-179.30391633856226,-179.27122333890563,-128.09271282147927,-181.09631590991697
51,-128.06320661752795,-110.49548787725097,-179.27223687980128,-127.42992460999824,-180.72333304983982
52,-127.50359000584298,-110.3708586660692,-179.29012041310273,-127.48151409370391,-180.7105909409416
53,-128.01869061259555,-179.27390382652595,-179.3028993475045,-127.41618855173887,-180.72957708884758
54,-127.52933424183976,-179.27940255671544,-179.27122792760954,-128.04649046502078,-181.09631961696886
55,-127.52547700897665,-179.30055117510372,-179.27145753999045,-127.49918947904868,-180.72227150710407
56,-128.08402299233092,-179.27507745618425,-179.3007689641117,-128.00698844999386,-181.1883780778955
57,-127.532399213645,-179.32519675647956,-179.33536477569606,-127.49551083559358,-180.7295383786576
58,-127.42781313602379,-179.26982205970637,-179.2232381750003,-127.50182006120558,-180.71436898344615
59,-127.55301646236828,-179.30426205008095,-110.37132629190387,-127.43346435678069,-180.72496507941852
60,-127.43142640513555,-179.2304447396142,-179.27257143640384,-127.50912079215547,-180.72220668309475
61,-127.55123172700903,-179.27024852403244,-179.3385785407957,-128.03172221908036,-181.058805620184
62,-128.01607287353215,-179.33268475955776,-179.26717984789164,-128.0908534802745,-180.710597800598
63,-127.44037314900693,-179.27340921670623,-179.26691068658718,-128.0390038648248,-181.09626264082684
64,-127.47813281355303,-179.30389468624372,-179.3384496414828,-128.0688270257879,-181.18913621948516
65,-127.48059306325268,-179.30006158775143,-179.26916055486342,-127.51157942647612,-180.7309344081467
66,-127.41536235157898,-179.22667874229256,-179.29793883693517,-127.51416638967459,-180.73097731417772
67,-127.53997741058035,-179.33299418232517,-179.22968422586834,-127.55890302391597,-181.09638395164578
68,-127.4830841280104,-179.33594915057645,-179.26839504845245,-127.44048618091148,-180.7217219261246
69,-127.42306804067641,-179.27813734095037,-110.49372327429182,-128.0175962215693,-181.06709995536238
70,-128.04262658422192,-179.26901274496802,-179.22211561821825,-128.0636661095017,-181.0650986590216
71,-127.53448466646671,-179.29882411585302,-179.2802917290273,-128.06504446466144,-180.7121667917456
72,-127.51559734562288,-179.33983914170219,-179.27793708424508,-127.43646798492907,-180.71971599474657
73,-127.40865441163879,-179.30351889890423,-179.33609111766447,-127.49641773733808,-180.72291565799262
74,-127.47702330087498,-179.27686171245566,-179.27859096240988,-128.0125570771843,-180.73009000202748
75,-127.55966743695427,-179.34390835243082,-179.33426461039227,-127.53642938356413,-181.09618572856095
76,-127.51785084101249,-179.27768323993735,-179.27922165529915,-128.02249457349689,-180.72285341948998
77,-127.41920816991976,-179.2795929760932,-179.3330165033333,-128.0653412547366,-181.18786510728404
78,-127.54200430672803,-179.27672424994213,-179.30300566038233,-128.03913844908587,-181.18723849358764
79,-127.42069358402429,-179.3360709545307,-179.28991274004295,-128.07396569145845,-180.7179787208275
80,-128.09197234839823,-179.28114367785045,-179.27228799218116,-127.4200203042372,-181.0570191940086
81,-127.52385532514998,-179.3018842326737,-179.33510475571072,-127.4101153813197,-180.71527305979077
82,-128.00785097600271,-108.04970919073313,-107.52987607659338,-128.08050508723596,-187.07717578427636
83,-128.07392893099228,-107.48512675960114,-108.14087486981663,-128.04944127445108,-188.26653465609454
84,-128.02802928440275,-108.2147843118279,-108.2347266967396,-128.04081702376095,-187.1652005614038
85,-128.04768522708676,-179.27849686281868,-179.33541336085452,-127.42776659053936,-181.18987613361745
86,-128.06633784206898,-179.2208220003743,-179.22145666504395,-127.53537844556571,-181.18528451712598
87,-128.03068402087627,-179.27291783826539,-179.2790830929713,-127.45278865844509,-180.72143476631288
88,-127.4679251310931,-179.27136217504233,-179.2769144254686,-128.05661576904978,-181.18561382588103
89,-128.06745120879265,-179.23194221535502,-179.27868703718102,-127.41811280247941,-181.06758093108527
90,-128.08579853188868,-179.2746241050411,-179.27829676847398,-127.5586551177986,-180.72581219483274
91,-127.50000731383638,-179.27827624057224,-179.27867535730937,-127.43699594758328,-181.057941582949
92,-128.08681981898224,-179.30515100904233,-179.22114065953335,-127.4680085047974,-180.7277863325655
93,-128.0648385039158,-179.28021587606324,-179.3048353738877,-128.02396036044385,-180.77614825168732
94,-127.51259797097991,-179.27777049601502,-179.23126846113666,-128.05795376394877,-181.0650630427628
95,-128.0585428505453,-179.27130927475594,-179.27123076387485,-127.55662099893392,-181.18996356385244
96,-127.42291814523935,-179.2676424497067,-179.3395700152447,-127.4916209844767,-180.71268123819289
97,-128.0462801090535,-179.2264874407971,-179.29933481155388,-127.46332385523431,-180.72603758537318
98,-127.42403746342475,-179.3369364590644,-179.30503992251545,-127.40573258349238,-181.09658706681287
99,-127.44676707662208,-179.30383422338517,-179.33563230291745,-128.01390751059478,-181.06551318138634
