,It 0,It 1,It 2,It 3,It 4
0,-92.29262028983682,14.578488594438872,-92.35863350880317,-92.43295850928372,-92.64534949086098
1,-92.78915455763601,-100.63817289345279,-92.45538156492171,-92.45188336337249,-92.6211111658765
2,-92.77361172460182,5.466628819554982,-92.51330973506475,-92.41013499286426,-92.62620263607963
3,-92.32490657396554,-111.48874500615797,-92.29917788480067,-92.54217163312303,-92.75641036906028
4,-92.76472073394731,-18.852978278087946,-92.5300341850071,-92.47975025481374,-92.6854861332378
5,-92.32129483275465,-12.615055454964988,-92.46890187054655,-92.46366695876152,-92.78241064320198
6,-92.80899880925597,-3.9933843655968935,-92.14036780373694,-92.3342785163313,-92.6915497003564
7,-92.78357606726827,7.872650573058356,-92.2284635729806,-92.50194822861152,-92.59981054507833
8,-92.29518177083577,-6.067431684020319,-92.40967778178374,-92.43387100806146,-92.64739707134315
9,-92.76932573464009,21.22841321619569,-92.2072027891253,-92.64396918279732,-92.64801404208089
10,-92.82020495143571,-99.10248945068508,-92.27018136344935,-92.43155714108829,-92.69257656698316
11,-92.30161308136931,14.267359789057243,-92.35433269056647,-92.32717814843159,-92.63586541123037
12,-92.72051615416406,21.46568302320023,-92.23852114299868,-92.36734887389618,-92.71872126068415
13,-92.73846776267987,25.201301006965547,-92.48523434525282,-92.57273310175064,-92.60716407597252
14,-92.76361015613726,9.06040740417909,-92.53464429350439,-92.49135441451213,-92.7556438146906
15,-92.7622227884566,-5.637155622545279,-92.32820566090406,-92.35746904336479,-92.62000788739579
16,-92.80473193188415,42.17872907545875,-92.34118770331393,-92.4079461452493,-92.75045738642706
17,-92.76448629953502,10.869089578612904,-92.22635485379801,-92.36024064705758,-92.69651587332727
18,-92.74113688597494,-98.0940497393869,-92.22191829256745,-92.43919931397619,-92.76406328684573
19,-92.37702833450717,3.7496295754218223,-92.08143631171144,-92.37224979628793,-92.7835457538674
20,-92.26339638803616,42.21560462582137,-92.3032558763421,-92.38658920389216,-92.76212588739372
21,-92.73289692161654,20.16433601369272,-92.12931436361963,-92.44834895865044,-92.75214429128422
22,-92.31780486892626,-106.39566453952342,-92.22380765700868,-92.58740993086761,-92.58490339508529
23,-92.3522115814985,-106.3781524919824,-92.09953333560634,-92.5184537199793,-92.64091386552543
24,-92.34742818736933,-106.40588210208341,-92.1413431878365,-92.51749007920827,-92.58485875743767
25,-92.3925057589856,-106.43584326987776,-92.20096093823935,-92.55534269379724,-92.73345704543762
26,-92.71918434860426,21.659445564057286,-92.37186345561935,-92.37175826070656,-92.62557542138993
27,-92.7212727816205,-118.54034329077652,-92.15092251613845,-92.25579204947711,-92.77559755307986
