,It 0,It 1,It 2,It 3,It 4
0,-181.54700338867906,-178.42914271397635,-124.36335279006634,-181.82942174441283,-116.19944041763557
1,-181.57125990081371,-178.39106576730927,-124.66902187467615,-181.8291668773577,-116.41833931220447
2,-115.0233850067767,-123.16842632461154,-125.49064081073055,-181.30509969324598,-113.44168716090174
3,-181.59633188272,-178.4642365407614,-127.70698055853383,-181.8366228729745,-115.8540990752609
4,-181.55913893083215,-178.79380077725392,-124.71711013370006,-181.82814206575145,-115.63725617733289
5,-181.5338291079996,-178.83509933083434,-124.41400968836373,-181.89995285360555,-116.07512942362268
6,-181.55259514891335,-178.4221802839338,-127.47142469588357,-181.87391794267523,-115.85364290803113
7,-181.53145139792727,-178.39102744447186,-125.51581606538595,-181.93250095149915,-116.30529882108421
8,-181.53070759715305,-178.4472001640852,-127.27210584194523,-181.84973971883556,-116.41852108386408
9,-181.57213084822934,-178.41113298522427,-125.1502267016843,-181.92568706034473,-115.741992231374
10,-181.55944404638785,-178.4188615708872,-124.46207036614169,-181.86159587896216,-115.96294713981327
11,-181.5929509535225,-178.3907100404252,-124.7061967185059,-181.83412338486974,-115.97034332612716
12,-181.55545069785893,-178.39693368540884,-127.11548128139538,-181.79151528441446,-115.96879802347969
13,-181.57727232051806,-178.47060926107497,-127.1769789863055,-181.82869312993972,-115.97186921031091
14,-181.57947645379335,-178.44758414799466,-124.67505130980723,-181.7557344322196,-116.07904527470471
15,-181.52945073736936,-178.81109328354825,-124.30119689889067,-181.85575604070388,-116.41835753803204
16,-181.55861631901416,-178.7888792762948,-127.15409994548125,-181.85236766465107,-116.30729815016129
17,-181.5716902258599,-178.78890121809945,-124.74571296893929,-181.79119829674664,-116.30894804281742
18,-181.5583345289756,-178.83542831913684,-124.20025724907964,-181.82729871078496,-116.19298702041743
19,-181.5846397311375,-178.7880939972847,-124.19066360322509,-181.8353630393226,-116.07868580739635
20,-181.58136496782407,-178.4710291863524,-127.17967248845659,-181.81177718638855,-115.63697677256664
21,-181.54746620951013,-178.7101320672885,-126.07858696728263,-181.86974971598116,-116.07509864605034
22,-181.5721529474275,-178.79747346249525,-128.02743356911714,-181.93144247265946,-116.30881427804258
23,-181.54298724921213,-178.5194863273091,-127.89996681776084,-181.82123324706012,-116.0748142760154
24,-181.57813503527495,-178.4230524481224,-124.55026728919552,-181.86784277247367,-115.63629306499351
25,-181.56621086469644,-178.39861894604869,-126.66512443545338,-181.83968594208773,-115.74961952065057
26,-181.58596597996333,-178.4593620782668,-127.63575544463285,-181.63637330883907,-116.19331046502231
27,-181.5569176841941,-178.46404811456918,-124.69875893731975,-181.75842509073618,-116.4175188714986
28,-181.53903657240897,-178.44828060157096,-124.36779574329654,-181.85716923408,-115.6360218086013
29,-181.58080972122133,-178.81161738113616,-124.74394817938284,-181.93502450063306,-116.08039277825196
30,-181.55833866505677,-178.80313189432763,-125.17645309460225,-181.82215333920385,-115.74216455204973
31,-181.53287659985426,-178.42618687819808,-127.92467865084112,-181.83154043947448,-115.85359452015783
32,-181.5884153152609,-178.80851905975607,-124.65847237046745,-181.89976985267776,-115.96618531976704
33,-181.59199790055345,-178.4221754567337,-127.22386883849215,-181.77741392962116,-116.08550510837077
34,-181.5817893310088,-178.43944023219987,-126.0058159405018,-181.7727455132434,-116.19795538211366
35,-181.53168230616592,-178.71080464167636,-127.24141863951273,-181.86262428624968,-116.41815840714052
36,-181.58025358186828,-178.78795693725775,-124.29751635935096,-181.88150019598606,-116.07488507593362
37,-181.5334386586936,-178.42478212369105,-124.33105404374872,-181.6167549654324,-115.74213860028053
38,-181.53287514924176,-178.7100478145709,-124.682295595803,-181.86084417296675,-115.74258449455662
39,-181.59219992141652,-178.44664638097828,-124.55769476835306,-181.80344954688204,-116.08334188351719
40,-181.5920903123553,-178.80533349176673,-127.91926786830214,-181.80901539065977,-116.3149697019402
41,-181.53023865427303,-178.7889283386785,-124.31147609590614,-181.90032238789004,-116.07532759486388
42,-115.2530447274043,-123.1635765943968,-125.6829871465632,-181.6850931937444,-113.56670409548593
43,-115.15564676493904,-123.16931629987869,-125.33751208663298,-181.81146287076277,-113.55975138557952
44,-181.5370462212039,-178.4473171810414,-124.52071845394124,-181.74974248197654,-116.41810495364852
45,-181.53605445695834,-178.44998388043103,-125.34170428284258,-181.75845054611045,-116.31348873691883
46,-181.59495175626233,-178.7886261844957,-127.81373052582269,-181.79881173997288,-115.86123961717574
47,-181.56172723994695,-178.79577033047372,-127.71209214582046,-181.77331491649252,-116.30538631899532
48,-181.57288871585496,-178.79257995825688,-125.9908980823985,-181.85815964961526,-115.96978884336416
49,-181.52859537416242,-178.79665277925747,-125.01814672302766,-181.74998127843978,-116.31184633077682
50,-181.5834958187408,-178.44779178310304,-124.68110417537328,-181.87837922771254,-115.74183430739308
51,-181.5923858588044,-178.4511012892499,-125.93154366313667,-181.81281189430607,-115.74466226326862
52,-181.55895504227632,-178.79409078722315,-127.51553238754347,-181.9133765918306,-115.63316881008261
53,-181.54864452100463,-178.448313686883,-127.87113987592235,-181.83381299802824,-115.75025064753618
54,-181.56882117405638,-178.41059898503863,-127.57573749151268,-181.83878818562044,-116.07513642507296
55,-181.56271286235295,-178.4134099708975,-124.41229309311635,-181.7465139426084,-115.63674941530576
56,-181.58342436588782,-178.46364323930933,-124.62083584768575,-181.76292269362858,-115.63486723481182
57,-181.58850074097927,-178.80579022221383,-127.97262820019759,-181.7897192694971,-116.41838461297627
58,-181.5437353083036,-178.8348840059507,-127.82064065200278,-181.8146210471582,-116.0796732004794
59,-181.5504505088346,-178.4706149879327,-124.80550793881714,-181.75279103891094,-116.31236348682953
60,-181.5886123383366,-178.41789606776518,-127.86068826206774,-181.87135910006342,-115.74573511109627
61,-181.53280632721984,-178.42617080783901,-127.70454980370093,-181.74164006350975,-116.1929019278021
62,-181.5506385544263,-178.42318139570884,-127.86399754928486,-181.6042169460975,-116.31350444538147
63,-181.55114065580483,-178.40763343735097,-124.62920225938659,-181.74878520646854,-115.74464907775882
64,-181.57176015010208,-178.41171648629128,-124.50941010585613,-181.8431986577757,-116.41844173820752
65,-181.57115865471877,-178.45912038011284,-124.29335042634793,-181.73145853165627,-116.07946185304164
66,-181.5659863357846,-178.41235614517822,-127.64283314603878,-181.83783332666172,-116.20020436283947
67,-181.5430919784535,-178.44617227655334,-124.37798291054617,-181.82164081205715,-116.07558588165791
68,-181.55273155228028,-178.79041989912395,-125.45274285689743,-181.81986520552178,-115.96890493519791
69,-181.54032593309984,-178.39138514816568,-127.54194283114373,-181.91123964470913,-116.18916806933595
70,-181.58169155525457,-178.79913763690547,-126.08758456506084,-181.81078783869225,-115.63858673818224
71,-181.53451154610246,-178.44788750195374,-127.59200238482654,-181.8050268544298,-116.30405480990436
