,It 0,It 1,It 2,It 3,It 4
0,-109.8279204257888,-177.93894559219262,-174.79762895985826,-115.49197740349905,-110.43732263944173
1,-109.88962950366363,-175.49091229850032,-214.15663357403676,-104.26871786303447,-111.12303283247662
2,-110.18247371237166,-158.37238590665305,-173.27679482830953,-143.72614819170056,-113.40781489537409
3,-109.36538904588048,-157.1459496990268,-185.10976331980987,-104.56799056536931,-107.5145913819025
4,-109.36442933448963,-175.13110282481784,-120.27731009517674,-146.75131812503494,-110.99207573255586
5,-109.8122873397215,-175.7031887212048,-169.4749250422664,-112.05160787274706,-111.30211034130988
6,-109.99048056681268,-175.94362932811396,-206.1443986739732,-147.52068821293003,-113.20119331344527
7,-109.91854979515014,-157.60590128001735,-200.41272541284349,-143.11806185657105,-112.19421679917474
8,-109.18845981245488,-176.444463581161,-171.8118212845409,-107.12170277182155,-110.43150750746143
9,-121.32517271378943,-172.7620421528741,-182.52142399513076,-141.141693686163,-110.4282195270521
10,-109.80958994867342,-143.79371488357123,-176.4888808059991,-147.26365641997643,-110.43221147072936
11,-109.02110383828045,-172.75954687552365,-186.286843327762,-100.84959036137303,-108.75886806993311
12,-109.839441666862,-158.33819568842236,-240.1260211342894,-110.20826730166628,-109.89632571980792
13,-109.85305416658954,-175.2863255065081,-175.535737723388,-140.23505847061747,-118.03883715454862
14,-109.8341516222929,-173.20249791518478,-176.31437012115177,-140.48069335376132,-108.8980353365137
15,-109.37640043168888,-168.65761941313946,-179.36613887657535,-149.05932758216406,-112.2936201176215
16,-109.36425362759766,-176.4440442772345,-174.33595475675497,-110.6182308405285,-113.09622726581557
17,-109.91781038618895,-176.27643361283083,-185.1280139294145,-145.86538152247937,-107.94228542566984
18,-109.10323428358541,-158.33483920717794,-247.89780818612283,-101.49714867616701,-110.39433441440886
19,-109.03847452401494,-169.36272749983235,-170.11214419901964,-147.12729889985016,-112.62734511826125
20,-109.01900060163253,-176.44418568787637,-189.7371943674604,-149.02036177763293,-107.12365658086166
21,-109.68351753545987,-175.06074548780762,-170.77365571277014,-120.36805501249744,-113.09693575539191
22,-109.30249200994086,-170.90204343016043,-179.25130143909612,-147.66891295041717,-110.43685312838852
23,-109.3656519671337,-170.58944533342282,-178.70469342829165,-110.40375017021982,-110.42850286737395
24,-108.83182155412932,-174.38538241169712,-177.07513292224522,-137.17465829444416,-108.20752647067047
25,-109.09137448970476,-171.78983076179333,-183.4061615164724,-108.76925491590302,-107.11409448623284
26,-109.04998662435885,-174.97473231478085,-174.98106392378494,-110.00616399778781,-110.43294378108655
27,-109.70909842911921,-173.5603883267884,-174.37394963983897,-139.0055464329048,-110.27572370390843
28,-108.58368062735721,-172.75815322913854,-174.84502055274785,-145.0990248357594,-110.873522214838
29,-108.94700488903436,-175.57874498970398,-168.85295012830403,-145.24361712759583,-110.38013076561131
30,-109.18876964494399,-176.49799139321323,-172.78269314991454,-146.68259340329962,-110.43361763723878
31,-110.40399179732924,-175.37573003142137,-174.94588415589612,-105.8729887057425,-110.17933539316617
32,-109.88483067769558,-144.43633123974442,-176.8355781233466,-120.02301186387243,-112.58273646792956
33,-108.9767291140041,-155.72380459883234,-190.15562060571958,-145.08009387808153,-118.34804465178028
34,-109.39451236525674,-174.70797035715418,-170.64936934725785,-149.06230034299722,-108.9326482855746
35,-109.16208899340282,-154.7895255880564,-171.51653245676584,-103.39578970913753,-114.31588861450615
36,-108.89609887788507,-173.42292540958084,-185.07287142614422,-147.34548719761654,-112.73782969085997
37,-109.86182385891986,-157.16908048508623,-176.83183558383337,-145.08320763876912,-109.44465625918036
38,-109.92730787627399,-156.66736939324295,-170.42024810071197,-114.06065082506335,-107.29176572856494
39,-109.05135871143267,-154.43084409512886,-168.1025007011125,-148.99425157371326,-117.64521317531751
40,-109.09006115788966,-160.2696514837208,-184.18712810159306,-107.99256442239036,-110.43289231193003
41,-109.94470423158879,-172.7408305482173,-193.0074860951425,-132.45437299105146,-109.61906042833006
42,-112.29754023679314,-151.4590959498562,-183.62567726362533,-143.09480378064677,-121.25400274197634
43,-110.11882813467024,-154.6217010908654,-192.55560033918368,-108.93815832378748,-109.27699890682226
44,-109.09951760068785,-160.26126347450062,-163.81521726279456,-107.41981920675377,-110.39910067706492
45,-109.83873183392174,-160.3637101210727,-190.47110066806295,-110.50865842527705,-109.5991672600725
46,-109.32511650800332,-161.18087808711823,-176.4090370016502,-104.08031927813443,-108.36150940388814
47,-108.76889652253004,-174.88437451681375,-185.1063388764122,-112.82228007643539,-121.74896031865414
48,-109.1080694474584,-144.78893625685484,-193.0326099436288,-149.1727663968325,-107.60635938154286
49,-109.85124322874347,-174.70444402566696,-182.3136111217769,-146.53451944011508,-122.80967157793604
50,-109.25419773686181,-174.8881187055049,-180.41587714159522,-148.50070489310394,-110.43521651307432
51,-109.37382770967236,-156.54137715436156,-220.51458094371685,-111.13282863815152,-121.28862004232468
52,-109.84602910111845,-175.5612813718629,-182.1552869819877,-99.63008582544072,-111.69964804910434
53,-108.77874044238776,-170.8104009666606,-156.83629599324692,-139.07171421727858,-110.13435922540663
54,-109.89905561166567,-154.96641592005795,-192.38277757486568,-102.07975675501815,-107.66127461971467
55,-109.22003930257883,-171.1227590525168,-223.33590584772801,-110.07337769424319,-112.72396511575022
56,-109.8855497737173,-168.12227723598232,-168.12179593111244,-144.05672720210254,-110.42715763623703
57,-108.98220765920479,-144.84287526448054,-185.1712481163035,-115.48035287536624,-108.8936154054155
58,-109.81619488387432,-171.13171999872037,-185.5558953454658,-111.12069645593999,-111.5619720042857
59,-109.81539758779978,-173.96052739362017,-191.08654445590054,-146.13115482336943,-110.39955995482083
60,-108.73360834468467,-175.8426978292347,-171.66011179782538,-111.287564702598,-112.95089070766855
61,-109.36444825596053,-155.80556190503174,-166.22915778374352,-143.05660065649695,-112.61046631722215
62,-108.97975964259791,-154.96187921135544,-180.59795193926232,-106.43169387548828,-114.25718841230622
63,-108.38164246948809,-170.46141690889283,-171.8356857715653,-145.68433233670615,-107.63006174550455
64,-109.36246430866296,-155.03666957303818,-170.30042715991755,-110.61968620636506,-111.6352575100294
65,-109.8909159334662,-176.0114299834398,-168.98452280739187,-148.60970816799107,-111.06672899260745
66,-109.30030641641531,-170.52091482027282,-185.20159063869306,-148.62266254678914,-110.2838089585857
67,-109.04860542242167,-174.8429745087519,-213.4289935449678,-112.91853690152013,-113.98755484050513
68,-109.09766197573332,-172.75476932603635,-172.70487084659334,-111.22932413846951,-111.79149380456471
