,It 0,It 1,It 2,It 3,It 4
0,-91.81533873199842,-92.14366447454749,-91.90670572208023,-92.00412425364632,-92.03191181968673
1,-91.96185276256537,-91.40630927218908,-92.08865100978409,-92.1030854109948,-92.10906357093423
2,-91.93805276229807,-91.96292178951383,-92.14605419888495,-92.09615578730195,-91.870049976619
3,-92.0541974713597,-91.98415983396723,-91.95935422602633,-92.17583619119891,-92.04087941501119
4,-92.0826685102894,-91.96313614315167,-92.04517190051051,-92.10197847526408,-92.00068535013594
5,-91.81379491689076,-91.91890279680499,-92.02805020898751,-91.94225703130965,-91.87244164307877
6,-92.1577943876627,-92.06295192518527,-91.95461235774336,-92.14679988998361,-92.0098503985739
7,-92.1472670314362,-91.47708144686962,-92.06864698187886,-92.02214566637595,-91.94105647281407
8,-91.80541148661942,-91.9674230249303,-92.0370868516198,-92.00668437537675,-91.78641783188368
9,-91.75420791983132,-91.45901083687471,-91.99849172617553,-92.07913382865767,-92.00769590371654
10,-92.15997684752126,-91.72361477949742,-92.00096101563028,-92.14556862635693,-91.74707171651988
11,-91.99209642876487,-91.39854545989105,-92.07271040329752,-92.09292167489716,-91.90134246889909
12,-91.77313857413573,-91.84671051650463,-92.14239001829685,-92.15708311779258,-92.02501102602366
13,-92.11827845870572,-92.01450453348981,-92.0107905097962,-91.94168174225406,-91.84502395741599
14,-91.99901697142923,-91.71484047246142,-92.10226683342907,-92.04190929556269,-92.00153161518558
15,-92.04369899662937,-92.05225559637513,-91.95977840318368,-92.05567305947953,-92.063078425739
16,-92.00472450293003,-91.88938245379462,-92.04921265536943,-92.06180316752172,-91.84798218641284
17,-91.99155671415858,-92.12642010020069,-91.95163383773365,-92.09259348670835,-91.87812126438898
18,-91.82115637329004,-92.05572964294429,-92.01345962222759,-91.96003681403907,-92.02539135098756
19,-92.11842541491322,-91.6179076862341,-91.99039324317772,-92.02268829752218,-92.05933617749213
20,-92.04722249506857,-91.45386299345448,-91.93714256333656,-92.06836750369395,-91.89309701593282
21,-91.64680673561392,-91.62599054014908,-91.90646696249857,-92.16161630623202,-91.82451539092418
22,-91.80151656285805,-91.432757854968,-91.94135058734543,-92.08104648207748,-91.92988080707576
23,-92.10671875428257,-92.00993275694874,-91.99015996852998,-92.06106375057642,-91.70783253952852
24,-91.64243347815936,-91.40861932664515,-92.11430948299915,-91.93874864261686,-92.09106896908193
25,-92.06883835782313,-91.58343073983704,-91.92881382209765,-92.029483370265,-91.9019923356907
26,-92.05617270662297,-91.54933731483311,-92.05742478602022,-92.06233426966696,-91.95696709331625
27,-92.11549288539693,-91.94665110354103,-92.00542934379163,-92.1519366152188,-91.75878437366782
28,-91.68907249052842,-91.68123148261725,-92.0565325373528,-92.05143907430163,-91.91648034228427
29,-91.79850461672653,-91.47561265046134,-92.05461708201213,-92.06481161691411,-91.74645977547897
30,-92.08022506155889,-92.13107358756949,-92.05455931488117,-92.09410122932323,-91.9259978613158
31,-92.07364730200749,-91.62643227849917,-91.99343297475374,-92.18530059615698,-91.88000975891242
32,-91.70000290481823,-92.01565798111504,-92.11726846777178,-92.06535013383626,-91.99429257629816
33,-92.03014699862021,-91.62714947383813,-91.88942265693498,-92.09346946776041,-91.82664991276148
34,-91.6949369888925,-91.70842961553468,-92.07645281960097,-92.07568627267672,-92.13659279538807
35,-91.99622492577286,-92.12607030932496,-92.0625026955679,-92.08250156667448,-92.01588374725884
36,-92.09945818313037,-91.50923544240864,-92.07568144340378,-92.12951037471004,-91.86542177849454
37,-91.97423655026728,-91.5697545664019,-91.96072738152746,-91.96679770827996,-91.74070263245923
38,-92.03705517434774,-91.931260409441,-92.15885133407102,-92.11687099827411,-91.9338165704192
39,-91.78922584605205,-91.78937669964697,-92.13809619743905,-92.03900548288513,-91.89243650085122
40,-91.812241773706,-92.12545338906736,-92.02031047708161,-91.90818083370675,-91.66129297127993
41,-92.07417814325541,-91.85038608595232,-92.05132550303607,-92.01254183191007,-91.67321106371861
42,-92.02021511107691,-92.25599015376906,-92.18098412153435,-92.15889340444285,-91.93545508447143
43,-91.91359384681708,-92.09768496396332,-92.03088479886263,-92.08131925642823,-91.7574912240286
44,-92.12852529876687,-91.99899425905059,-92.0799176270096,-92.08063648232522,-91.96582971977296
45,-92.02778152102667,-91.43514754707626,-91.92136709183967,-92.13193207944988,-92.01254126847104
46,-92.12180869319008,-91.56927407622818,-91.95972100923304,-91.99852140316895,-91.86385224813382
47,-92.01355178003587,-91.81995842467884,-91.90609658841599,-92.15227332999235,-91.83202037974404
48,-91.85067109172842,-91.43399166648629,-92.11786521763277,-92.07215056230703,-92.05049058287055
49,-92.02509133757562,-91.97549722267036,-92.11585183809336,-91.99992370524991,-91.87082833188283
50,-91.94022159301268,-92.09079248639961,-92.12149169468867,-92.13254883054259,-92.09903554829928
51,-91.77269833448766,-91.83510564306653,-91.97633633759374,-92.06917543201125,-92.17857307439667
52,-92.09608417769645,-91.83482002838498,-92.15782192628865,-92.02472080273864,-91.95488372303879
53,-91.97565440731573,-91.54087979737719,-92.03507763789946,-92.02031905421146,-91.92863654637286
54,-92.05658616165934,-92.14161504479428,-92.09436074160124,-92.04414508083157,-92.00854455251026
55,-91.44492495955085,-91.96111300553669,-92.10232065756045,-92.13287545276576,-92.11805265176335
56,-92.10126525157453,-91.88195678937925,-91.97783123816383,-92.0509153138959,-92.11681974960126
57,-91.82400091875519,-91.47283563431992,-91.99307693838425,-91.96950170098253,-92.11972672034629
