,It 0,It 1,It 2,It 3,It 4
0,-113.68776,-113.87375,-32.800537,-116.447716,-122.499756
1,-116.52347,-116.90668,-111.240524,-112.77179,-110.913124
2,-121.79166,-116.55696,-111.28324,-125.7784,-110.33927
3,-117.22085,-110.916145,-117.44687,-122.13637,-109.4193
4,-105.05484,-114.285034,-115.047806,-113.88602,-33.415276
5,-113.4318,-114.82108,-112.85959,-105.381516,-28.766647
6,-108.42982,-21.680897,-116.5051,-112.57451,-120.94798
7,-24.17844,-19.878323,-114.52394,-112.4375,-102.24501
8,-113.91473,-12.796216,-110.469055,-105.12354,-22.536402
9,-25.410275,-105.19317,-105.099236,-110.91121,-24.649828
10,-18.531523,-7.463537,-115.00719,-106.55562,-17.861845
11,-124.41318,-14.154079,-105.94838,-115.75298,-15.549147
12,-21.822613,-112.48382,-120.084145,-106.297485,-16.467232
13,-18.022127,-104.65837,-16.991707,-102.2382,-15.657031
14,-25.223055,-106.16996,-101.14625,-103.25645,-25.87068
15,-113.54309,-114.982376,-16.481264,-119.90789,-23.277594
16,-111.071884,-108.72452,-99.97617,-111.115105,-13.108581
17,-107.33977,-109.43283,-13.745001,-102.573166,-100.44872
18,-100.93717,-112.40662,-13.340598,-19.385365,-99.96793
19,-110.532715,-103.78529,-14.576981,-14.942007,-96.83772
20,-103.21253,-103.94191,-15.549419,-17.656197,-24.240295
21,-110.422935,-110.52627,-14.497106,-113.914536,-100.44439
22,-115.15199,-10.114713,-11.4695015,-103.09168,-22.593447
23,-116.08509,-105.37261,-18.610376,-106.253426,-22.753939
24,-97.10116,-111.76521,-20.447456,-98.53863,-19.342567
25,-22.141035,-113.16837,-11.910543,-14.125889,-112.047226
26,-108.91947,-17.709951,-98.20878,-102.06386,-13.931773
27,-14.80845,-19.95389,-14.707144,-99.00065,-14.891982
28,-13.838087,-106.434685,-13.89734,-110.607796,-11.991555
29,-97.20293,-15.797462,-107.98992,-97.09926,-114.27217
30,-102.19652,-11.468126,-12.580079,-99.54434,-13.76633
31,-16.065954,-15.893912,-101.98498,-100.6,-96.01895
32,-101.54901,-14.568559,-107.48979,-19.276222,-99.073326
33,-113.13591,-10.767,-11.485394,-98.13339,-13.52109
34,-94.584145,-17.926603,-12.873315,-91.83122,-16.122921
35,-108.075,-105.87921,-115.730736,-14.638533,-97.11906
36,-99.78396,-10.923487,-106.90702,-116.542984,-98.46225
37,-96.47824,-111.43536,-10.350353,-100.507065,-112.4716
38,-100.00749,-118.788956,-99.88037,-110.06838,-98.640976
39,-101.23126,-111.35394,-13.238764,-95.175835,-113.06657
40,-17.333649,-113.8621,-101.871056,-100.44229,-98.15094
41,-14.029321,-12.755995,-109.80376,-16.231445,-98.64847
42,-13.516038,-20.125544,-14.516328,-96.81657,-97.00169
43,-12.777389,-104.26315,-99.55419,-100.14072,-114.793686
44,-99.09614,-10.993222,-117.99042,-117.17151,-9.979737
45,-17.044,-13.034586,-107.81175,-97.351265,-117.28107
46,-12.025498,-105.94099,-11.414239,-99.061516,-10.731785
47,-20.657286,-103.75956,-114.72677,-98.62607,-114.00668
48,-102.35089,-10.534204,-117.589775,-95.78689,-97.75204
49,-112.046906,-14.829906,-13.337995,-98.85677,-97.50041
50,-98.68519,-19.360023,-99.084175,-23.267244,-121.34318
51,-17.852455,-15.4347725,-115.59354,-97.613495,-13.507409
52,-23.594591,-103.210175,-107.747154,-102.46903,-19.378853
53,-121.70767,-100.77847,-99.96402,-99.24961,-99.97612
54,-17.590925,-8.466529,-24.50586,-17.886742,-100.15949
55,-103.177475,-10.058466,-98.86422,-98.97169,-99.89167
56,-9.829448,-17.747343,-10.731631,-12.801505,-113.84648
57,-28.068184,-9.207465,-93.17467,-17.189764,-112.29862
58,-99.73941,-12.09859,-96.248825,-107.459984,-16.142637
59,-99.33858,-116.5029,-10.007247,-96.80183,-11.2465925
60,-98.70347,-10.64125,-115.62591,-20.88701,-115.37169
61,-98.58992,-9.694471,-11.787622,-14.657241,-109.78496
62,-102.08854,-11.905407,-98.25657,-98.45798,-96.92263
63,-17.492334,-96.458954,-114.029335,-97.99006,-96.90424
64,-18.016989,-5.6573925,-10.247433,-98.91525,-7.945561
65,-25.257586,-10.387408,-116.58705,-100.87416,-114.31323
66,-103.71381,-118.38232,-102.71353,-96.446915,-97.6774
67,-107.60152,-12.870143,-101.83147,-102.418655,-104.09346
68,-16.723999,-105.55458,-8.119957,-12.005917,-100.24519
69,-99.51883,-5.873779,-100.84146,-112.93413,-97.63704
70,-19.58381,-7.330162,-113.852,-99.617805,-8.374399
71,-109.90199,-9.080101,-98.25997,-98.471664,-93.679886
72,-113.89932,-95.63481,-101.35603,-112.68582,-113.252884
73,-100.231255,-11.533056,-110.726494,-98.28033,-9.678209
74,-101.344124,-13.272183,-94.888115,-20.458931,-114.30395
75,-102.57283,-15.179551,-9.187543,-97.06651,-96.827896
76,-100.16752,-12.760151,-20.232008,-116.23784,-99.53398
77,-104.86994,-9.692965,-98.5992,-116.491554,-99.83867
78,-103.67662,-8.138356,-13.533549,-112.76962,-99.72638
79,-102.801575,-101.114685,-98.12592,-97.85043,-114.261284
80,-14.875913,-101.69729,-117.20691,-99.58446,-96.02412
81,-98.33056,-127.55085,-103.91106,-24.442522,-99.56744
82,-94.05856,-11.053833,-99.99843,-23.374493,-100.06833
