,It 0,It 1,It 2,It 3,It 4
0,-111.48778545927318,-21.086527507819405,-111.91297542685099,-92.94787696633814,-112.03560871189546
1,-111.54135227420119,-20.874028264522345,-112.31179866360527,-92.83549912846104,-111.98035397111181
2,-111.5279803378433,-21.027785918201225,-112.29030543468826,-92.85480113581234,-111.7267855764343
3,-111.38269019374717,-20.99235627388811,-112.12298718354587,-92.87648490887015,-111.9661437999458
4,-111.26062058789438,-20.953323595622237,-112.05655586538107,-92.8442507595818,-111.70824361624243
5,-111.56075479924864,-20.904345409002836,-111.96655693717332,-92.86470872937089,-111.84764907612939
6,-111.38743455493977,-20.779944106774792,-112.37619111735731,-92.82375255548101,-111.87561860146886
7,-111.5670816720991,-20.98903084586625,-112.33588267046912,-92.92899858119502,-111.83092647580776
8,-111.45136717089328,-20.857472091047008,-112.0650607815911,-92.90559856588001,-111.8158842418054
9,-111.44813799442133,-20.77541577146595,-112.25149796552522,-92.8472232602227,-111.99114411566345
10,-111.3277120151734,-20.978762404937854,-112.03619750743871,-92.84981045062293,-112.02349918709866
11,-111.35884373941055,-20.987823609476465,-111.99130933692679,-92.74353536581349,-112.104978143682
12,-111.5213186263259,-20.962164731815488,-112.17709082735928,-92.8691830592961,-111.96485581049451
13,-111.37233107391465,-20.832512565033504,-112.17980424700553,-92.86436715433095,-112.05091979488854
14,-111.3533396495621,-21.14294947648903,-112.07024025065739,-92.87609149645102,-112.09601065030648
15,-111.49510894804231,-20.910455255590378,-111.9971050440881,-92.92975655456888,-112.00576027084026
16,-111.41896014125862,-20.97077908165688,-112.12796226703267,-92.89176651337071,-111.8026586434684
17,-111.53769593152249,-20.934126883499374,-112.13654148354885,-92.83016388420381,-112.08263545738882
18,-111.24454507550846,-20.991316513961706,-112.07005183020078,-92.8654293853516,-111.79415521503954
19,-111.56036061830508,-20.9745795512201,-112.3236263951625,-92.88920548825358,-111.947269571672
20,-111.36326050500789,-21.020667380364248,-111.99244256399324,-92.88406260526786,-111.89319847958441
21,-111.63219263656437,-20.038566609998544,-111.97221789906608,-92.90227090712726,-111.93678774491372
22,-111.66139299962235,-91.5822286239639,-112.23606220562469,-92.85042093997085,-111.42677077866253
23,-111.6116558661048,-91.37669100701684,-112.42570421689291,-92.84597280300017,-111.07730276725997
24,-111.54004896734158,-91.54570973197991,-112.30364313647182,-92.86413845113879,-111.25188207333697
