,It 0,It 1,It 2,It 3,It 4
0,-111.95274001846897,-10.755237142385885,-111.2102676254237,-12.320219959939394,-94.852338473876
1,-112.00484733429676,-99.97191245265876,-111.08040990721163,-12.231553799134815,-92.89107488567731
2,-111.68761169899875,-9.97052299245034,-111.23452320348953,-9.66473177126423,-92.84137425799847
3,-111.61546471447932,-11.287424355475629,-111.26125993591974,-9.428850527008256,-92.86631398323884
4,-111.84533555785319,-11.272619750299983,-111.34662790107106,-12.084579151080842,-92.97404843229013
5,-111.71792453878993,-11.836727731827402,-111.21200701633015,-9.149168860323424,-92.79128981125348
6,-111.93016998333732,-100.10927459470535,-111.2771786720156,-11.088951257523261,-92.83534016519606
7,-111.74658997224458,-10.570908527373094,-111.27900191373239,-9.321606806571497,-93.26858002999417
8,-112.01120746616958,-11.875297444022253,-111.09114126273501,-9.52693646319107,-92.84398884328183
9,-112.00769204699931,-11.024567056307045,-111.2182668149247,-9.574758809794531,-92.85191483076356
10,-111.84688374532449,-12.297390758569335,-111.38170009303315,-9.229582204112598,-93.0259572868372
11,-111.9831087399243,-11.748560442498398,-111.29882495425277,-12.18682554270588,-93.97642148786942
12,-111.77417255005302,-11.36206385401296,-111.43384269370492,-9.330051263435823,-93.26794012781822
13,-111.61612002219135,-10.425918519020824,-111.4272180560998,-10.465238334822336,-93.8963686095537
14,-111.69368987416662,-11.059967965189099,-111.4137761483773,-9.239012307148423,-92.82246697965303
15,-111.75643730608499,-10.83399724781414,-111.41357289902575,-11.100585444974765,-92.81196358237665
16,-111.7800725143229,-100.04845881940716,-111.26658549588228,-9.38328113522977,-92.99989502204753
17,-111.96636780068837,-100.04502672411047,-111.4554777280336,-9.504129561458415,-92.79213690611371
18,-111.92014928328555,-11.046790032483736,-111.39161810153695,-9.26197218081501,-93.28269946157072
19,-111.90203065213188,-11.194209282748854,-111.09380023882547,-12.235214268602855,-92.72439047463503
20,-111.82161382682001,-11.10972583221184,-111.09295777681974,-11.143852990590398,-93.17788552950478
21,-111.60704003914694,-100.0751023239923,-111.26110804963406,-9.515207918257868,-93.70223031744044
22,-112.03916008084143,-11.676397227422838,-111.64688126244783,-9.245466081221558,-92.80923604420168
23,-111.89401535553424,-12.512896514519992,-111.6762977808821,-94.62409210799308,-94.89592397176466
24,-111.98338243140776,-12.02797786371402,-111.74569139347264,-94.59927883128252,-95.16023236768599
25,-111.84611332066109,-11.70885216402284,-111.72216727579098,-94.59095925024342,-94.98209813992081
26,-112.00976514591028,-11.70623631535135,-111.20656736442365,-9.198398064463522,-92.8744358032778
27,-111.89798479941177,-10.034462417549317,-111.44982281100827,-12.242875758577135,-92.76935486639063
28,-111.75463469149172,-12.05709801998992,-111.0644956229066,-9.52906586145426,-92.9197563197328
29,-111.9562243274674,-11.140284898831563,-111.30628943023862,-11.706704684723976,-92.74979984467609
30,-111.64805433518936,-11.424795565456376,-111.31226883270499,-9.396830929125898,-92.8385238444622
31,-111.77145621285028,-100.20176526257256,-111.24119850043029,-10.893772594972118,-92.84043944382427
32,-112.00756317156367,-100.20180644369668,-111.42415411307557,-12.126392122553456,-92.93862318804844
33,-111.94238641006562,-11.88828565289028,-111.39131127038758,-10.569649940154349,-94.71999776478519
34,-111.64697383727008,-12.077724470086617,-111.20755807889462,-9.554818332566576,-94.18665766362939
35,-111.68082573836173,-10.795995145574237,-111.20797962431094,-11.100611914557907,-92.85327194101139
36,-112.03666138208781,-100.04184013829733,-111.20356682760249,-10.978786652314225,-92.88901241790425
37,-112.01595740049395,-100.2428426311921,-111.3241583078296,-12.186798114164056,-92.74752732488963
38,-111.82065274583984,-11.088655629201483,-111.46605961057995,-11.121421096140669,-92.79571918341234
39,-111.79427889261146,-11.601846382104972,-111.09323435337726,-9.523521471657434,-92.84796136334329
40,-111.78210549602348,-100.06051034324908,-111.1841598362509,-11.07975577222785,-92.74246763770135
41,-111.95021883826269,-10.904984942822129,-111.23952510179633,-12.234515603214675,-92.88995886755552
42,-111.7653787286561,-11.097812154629525,-111.32958676821924,-10.536319832215202,-92.81987895972111
43,-112.01212494209844,-12.862299487692473,-111.31016194762631,-9.421827600581409,-92.76390799722417
44,-111.7902483963985,-11.80499752690413,-111.2909603901003,-10.568136871969251,-93.68448330799848
45,-111.92761297282328,-10.181190134628332,-111.3678551499606,-9.295130153960889,-93.5771486332066
46,-111.85484444642998,-8.489457873874086,-111.1993156144882,-10.4517963568943,-93.23271906458665
47,-111.72227697493818,-100.08203805211602,-111.45534559551157,-12.075461444754323,-92.92738634481529
48,-111.97191168170049,-10.728629652007855,-111.20661896824693,-11.12398682927302,-92.8338660146521
49,-111.89951298029969,-11.291902942939338,-111.22702530979194,-10.39022881947205,-93.80287194346745
50,-111.92652863774387,-11.266474953311933,-111.43507448859059,-9.44061957135681,-92.96794152359105
51,-111.90307902161219,-11.165978587326181,-111.31190904340028,-11.090974948199037,-92.87668412517245
52,-111.94223751587484,-11.700953067651984,-111.1812304284935,-12.255188142170512,-93.15189940707482
53,-111.62883064255925,-9.397573226612815,-111.40093262945177,-12.248152504116344,-92.83601712545011
54,-111.7650967375692,-11.419636527099568,-111.29359361744307,-9.336367187764742,-93.0554457672656
