,It 0,It 1,It 2,It 3,It 4
0,-92.50985391985473,-91.9744197542977,-92.10048921160777,-91.44234223990935,-91.95873820256504
1,-92.56762947381567,-91.89369395787176,-91.48027371319337,-91.43328176817046,-92.23327946347577
2,-92.14545245123712,-91.72499892825823,-92.09833855755213,-91.70773370373331,-92.15106973247202
3,-92.46355087572266,-91.9438858478136,-91.51776607854225,-91.46226406344977,-91.94951119717486
4,-92.20147504319766,-91.92608072676106,-91.57668738390377,-91.47500101246564,-92.29747030616873
5,-92.44814093590186,-91.97149020619112,-91.51443198825802,-91.3552855524848,-92.21157864403267
6,-92.31228760460299,-91.90055842185528,-91.50685779572402,-91.39845883335363,-91.97834205731183
7,-92.41900746838458,-91.91447028902293,-91.48955627160954,-91.43532291206124,-91.91420944457438
8,-92.08146628185094,-90.98693714306485,-91.48846207542388,-91.4283809747167,-91.88835986904446
9,-92.46614431351594,-92.00249354409218,-91.50652881296494,-91.47019129688437,-91.90659335881115
10,-92.02623077628544,-92.01395639225134,-91.49528485868193,-91.42470688562095,-92.32110338209085
11,-92.49273052201785,-91.91208637325391,-91.63293302425994,-91.36876083321431,-91.8872427110322
12,-92.01943008560531,-91.94779519795188,-91.49284162422666,-91.35613460853673,-91.9442928209145
13,-91.9806034676551,-92.06475188147262,-91.52532962397657,-91.44201743826736,-91.9432175737905
14,-92.00217042423233,-91.96491180039493,-91.53838366872328,-91.35229876758282,-91.97160961686032
15,-92.42163535843265,-90.79238845931083,-91.5564831826577,-91.38433941967142,-91.94038377961206
16,-92.36998360115236,-91.92886521299693,-91.63527612823725,-91.3841185526485,-92.24845793533329
17,-92.4234385673914,-92.02028203930271,-91.65404457245717,-91.45001205034298,-91.8980635305825
18,-92.44745779441138,-92.01054958305697,-91.56903779931386,-91.50916938876946,-91.91173743152288
19,-92.52809729161963,-91.92597730537771,-91.58472235805588,-91.47004326162491,-91.89265068577016
20,-92.40725137418389,-91.97272556462208,-91.49050626811241,-91.40548288575413,-91.9225016942888
21,-91.99899054328019,-92.06405481924516,-91.50739085425708,-91.44525684166634,-92.29975724813819
22,-92.54179356806512,-91.9954238608828,-91.64733595838976,-91.47322663643983,-91.83677720458452
23,-92.40716488810861,-91.91581140189808,-91.5273643993124,-91.45951822886457,-91.90284920201621
24,-92.38762364094848,-91.98030026882658,-91.65942515856773,-91.45112607887943,-92.2048227309358
25,-92.05603627653602,-91.92130003230817,-91.56771199508299,-91.49219831747209,-91.881352763875
26,-92.06377984556727,-92.03210747819472,-91.5061676077334,-91.41708095653118,-92.2786818899961
27,-92.53195716538055,-92.06507392699395,-91.62939158457343,-91.48181000367319,-92.32223164159241
28,-92.38501182528915,-91.96122792400315,-91.67226393282351,-91.38319798681745,-92.30221467746945
29,-92.45794845933243,-91.92598920235648,-91.50342125887343,-91.44744620438354,-91.9168965564523
30,-92.39228930402928,-90.94457255972576,-91.49690647478972,-91.45658094396694,-91.93764697884575
31,-92.04312805117485,-90.96158237610393,-91.5430268950297,-91.43036769201544,-92.28178427984632
32,-92.48974151954047,-91.96136704406693,-91.64820953950073,-91.39308683142403,-92.28387491629762
33,-92.57355515992563,-91.94229472509508,-91.6642271917739,-91.4302589534665,-92.25531942860891
34,-92.37692063013336,-92.00457831658466,-91.60176075739588,-91.43252088154382,-91.93622026418743
35,-92.46776853576446,-92.03834486020003,-91.56937672741074,-91.34319569615387,-91.93007050333024
36,-92.47236889063981,-91.95735561107165,-91.43164105996047,-91.45314587432736,-92.28638693011699
37,-92.02928340274961,-92.03045399774965,-91.6346534157144,-91.35407702344168,-92.25851679537239
38,-92.3938129244377,-91.90628876183892,-91.55827991862986,-91.46205370747185,-91.87348857292685
39,-92.07305791310588,-92.03564875391456,-91.50544597599422,-91.43763483785384,-91.99136612491985
40,-92.36821993512804,-91.122470948329,-91.55593442712612,-91.46388966857677,-92.24430866485753
41,-92.48067035217167,-90.85707397264622,-91.59128691969975,-91.4367842111977,-91.96151635215885
42,-92.42101985245753,-91.61016871262515,-91.68166753809768,-91.59160306796393,-92.09428516142756
43,-92.28262439650223,-91.45123054691145,-91.44002849320695,-91.5639196758559,-92.08175720876109
44,-92.4274949289695,-91.95608390600246,-91.58045666785216,-91.35891218741999,-91.94140842198193
45,-92.34237233053838,-91.92734987071672,-91.47026824616086,-91.43163232601391,-91.88874164806515
46,-92.38152384118627,-91.85896584898106,-91.772814171626,-91.49601062578766,-91.89531082629055
47,-92.40602662595052,-91.13881440607943,-91.44736482698129,-91.40070990445814,-91.97891731001152
48,-92.0235517414598,-91.9609472502127,-91.57730666860857,-91.39905949737214,-91.88816467364994
49,-92.49300260340434,-91.91729502520481,-91.48913167362956,-91.42877615907261,-92.25522121085226
50,-92.35175915233613,-91.98838491379493,-91.56096474713107,-91.40659212274439,-91.97372484289576
51,-92.37557469701511,-91.91858715516845,-91.55401830655791,-91.31835604842671,-91.92673031386745
52,-92.01619432104802,-91.97786115967293,-91.58148022501948,-91.38518099595498,-91.91777590321354
