,It 0,It 1,It 2,It 3,It 4
0,-123.60947165787594,-176.91465123188343,-103.42295761305218,-102.49848933820178,-152.33701436755865
1,-123.63062690650487,-176.9635868904147,-106.99243776230949,-102.49829940404308,-152.34372356416344
2,-122.64680446741608,-123.27950108419296,-101.82657179766458,-102.54171827489385,-153.2523733451062
3,-123.49641602697847,-177.0826368122017,-106.99958863530804,-102.53535232630433,-152.33387304453174
4,-123.55871673721884,-176.96136474349817,-106.98964599017862,-102.54049123505006,-152.36930510097798
5,-123.61096377998655,-176.9686359678982,-106.99788456629838,-102.5062011875324,-152.36865628493945
6,-123.50056611717432,-176.91636996239396,-106.99754298814449,-102.49217090856159,-152.3443239188318
7,-123.5392434004266,-177.0986085781328,-103.3023251204708,-102.53828634484236,-152.33261287498283
8,-123.62341430684305,-176.95004950103322,-106.99330090229276,-102.53451204307252,-152.33222324764662
9,-123.59347010995636,-176.91427952451292,-103.30212586951629,-102.54049218655129,-152.36926066160197
10,-123.51601331170713,-177.0989683530104,-106.99285309104435,-102.50791238170304,-152.36818173720496
11,-123.5466297055632,-176.91569240418855,-107.00058243589041,-102.53427408518766,-152.34524506476703
12,-123.51369901748438,-177.08110574738095,-107.00054483335342,-102.5365504007743,-152.34529058478768
13,-123.50303868990144,-176.91449194064336,-103.29485135886694,-102.53320601620898,-152.36891719612288
14,-123.638058794604,-176.97913934512036,-106.71021941837544,-102.49240837020675,-152.34423212930866
15,-123.62929696599396,-176.8950284698944,-106.9874890744146,-102.53784210746673,-152.37027908449056
16,-123.54445192126622,-176.96003024874227,-103.31576475668264,-102.49339645572813,-152.34551174945193
17,-123.6068706422616,-176.9167624856001,-106.99354299563791,-102.50376174249251,-152.3379617139262
18,-123.48298236729642,-176.9146277068304,-106.99213742893997,-102.51508064412387,-152.3440992222819
19,-123.55190533789559,-176.91384275510256,-103.42278052516903,-102.50524362463379,-152.36963721774825
20,-123.63624559694034,-177.0914720089296,-106.99228469494295,-102.50291419672966,-152.3499458409566
21,-123.60295304440646,-176.96408981725546,-103.29499589609479,-102.48651849672073,-152.34498639597552
22,-123.63182293633373,-177.08806569808755,-106.98884490802139,-102.5395591250422,-152.37058635830874
23,-123.63817197125158,-177.09011976347585,-103.30000746254375,-102.53165384404858,-152.3339182798005
24,-123.61849341015706,-176.9141750630268,-103.42252833209622,-102.53444054528326,-152.33528660298632
25,-123.52358755005588,-176.9582641549685,-103.29490528857522,-102.49330639823215,-152.3339815982493
26,-123.6137748691446,-176.91411319573382,-106.96409260561566,-102.50546804877185,-152.33550603601145
27,-123.52570581267341,-177.0931625885855,-106.98890920909308,-102.53623658425981,-152.32907371307098
28,-123.64009327451141,-176.91590112933238,-106.99482757623804,-102.55217923681438,-152.33761726085714
29,-123.4917993987327,-177.07892663695822,-102.55523527581431,-102.54022455183976,-152.32985731577807
30,-123.53397942561409,-176.91688092825595,-106.96464901264633,-102.51379972750196,-152.3442388789914
31,-123.58696363045587,-177.09453387950828,-103.302101391177,-102.54115675707534,-152.34378603829066
32,-123.56289911116848,-177.0841323192042,-106.97666474100389,-102.54007141501208,-152.34417730661724
33,-123.51816917577511,-176.95827195689054,-103.42263648643159,-102.50556206035303,-152.3372658947358
34,-123.608381004092,-176.95949100847017,-103.30209256029875,-102.55186131557325,-152.33092099240665
35,-123.53152213146663,-177.09530162474113,-103.30240328986694,-102.53661462446861,-152.37028381964498
36,-123.59595828342316,-177.094374645855,-106.71107772277668,-102.52549668377762,-152.34429711342784
37,-123.58911916142083,-177.08587254991724,-106.99646269563462,-102.51871672078222,-152.3299551389521
38,-123.63165605923845,-176.96407667055075,-107.00007538887859,-102.53764978547456,-152.33499889959265
39,-123.61672637691164,-177.07868514214303,-106.99317806014668,-102.53414161138112,-152.3440388918264
40,-123.52061055843161,-177.08177836406637,-106.99735565439363,-102.49110507809432,-152.3288361624069
41,-123.63161025609574,-177.07700910043252,-106.98872311617434,-102.5405389858211,-152.33275952483834
42,-124.0554452115608,-123.3415373387914,-102.47802883577782,-102.54538983393336,-153.29282514090028
43,-124.06239272313505,-123.27581120254595,-101.83330117315799,-102.58520831617402,-153.29243907377742
44,-123.47687301491762,-176.91552691359976,-103.29427501128862,-102.53856880527796,-152.36973994767288
45,-123.51009627022223,-177.0958450720301,-106.96615382829557,-102.53703093970691,-152.37037103606383
46,-123.54931192101975,-177.02588555089167,-106.99404358097848,-102.504639122786,-152.3340258629247
47,-123.60302186177177,-176.96500057576196,-103.29478094280884,-102.52574725184776,-152.3335227502075
48,-123.63735597636925,-176.96331505761142,-106.97562888592978,-102.53667066005245,-152.34485536160562
49,-123.52017563901595,-177.0865622486109,-103.29534508113625,-102.51936366509521,-152.33355338195022
50,-123.625036164439,-176.9151967630067,-103.4210120839191,-102.53514329762695,-152.34355261711087
51,-123.59346976878186,-176.9666040690737,-106.97324793656233,-102.53964094436914,-152.3435133361754
52,-123.51514852499032,-176.96827248495975,-103.42265475835961,-102.5374374495931,-152.34554718736243
53,-123.51636451740814,-176.89461262016218,-103.29436180628402,-102.50633583434733,-152.33403536451044
54,-123.48005476704552,-177.09387987483885,-106.99297089605469,-102.542065044395,-152.32865605517597
55,-123.62607822825265,-176.89597328834208,-103.29488442392275,-102.51310054041632,-152.33374248552443
56,-123.60994271679846,-176.91408954433138,-103.29465456536226,-102.5040530712145,-152.3374228984924
