,It 0,It 1,It 2,It 3,It 4
0,-113.758804,-107.19404,-101.134384,-25.986797,-113.48497
1,-124.225266,-110.46745,-24.172125,-112.214165,-106.1704
2,-110.57834,-119.4211,-23.332094,-109.71004,-112.838356
3,-113.34585,-119.717766,-19.555893,-113.5147,-116.32313
4,-111.73221,-113.69551,-107.49156,-114.88923,-114.07152
5,-27.020618,-105.28016,-98.06675,-113.03161,-113.3593
6,-25.618587,-104.76231,-14.5415125,-132.26276,-112.89169
7,-22.213789,-108.98628,-100.97209,-110.05912,-115.6121
8,-104.01582,-108.500275,-99.519104,-108.40373,-109.54047
9,-13.912531,-26.829845,-99.647255,-103.686035,-112.56378
10,-29.428026,-26.940573,-15.830968,-16.813787,-10.602213
11,-101.588486,-24.236784,-96.989525,-20.36401,-16.952026
12,-13.287374,-14.814868,-101.42776,-107.926,-109.365555
13,-101.55341,-14.855102,-20.394346,-9.540015,-10.457512
14,-24.256351,-17.440199,-15.269598,-110.700325,-15.141396
15,-11.772841,-104.70018,-109.25734,-15.144632,-15.849845
16,-11.071848,-106.23288,-103.504585,-119.36923,-12.837669
17,-12.916334,-18.827682,-15.784314,-20.003723,-15.988683
18,-101.10388,-102.827286,-100.48403,-26.452538,-11.049848
19,-105.01041,-120.491005,-113.71468,-22.559778,-23.088697
20,-11.651419,-101.64829,-102.78791,-22.748322,-17.782803
21,-109.81618,-19.296282,-117.290085,-13.228651,-15.129241
22,-105.93186,-17.782902,-103.045296,-20.403875,-103.451515
23,-98.92071,-112.500885,-113.25183,-109.63376,-17.131523
24,-116.1295,-108.7282,-101.27509,-18.460379,-13.559773
25,-116.118546,-16.665684,-20.945175,-14.106389,-104.69926
26,-109.4187,-12.7392025,-100.573524,-128.37433,-7.6128383
27,-13.120425,-18.606167,-7.194836,-7.621212,-101.84642
28,-108.39492,-108.24837,-105.4309,-19.247095,-14.130139
29,-12.441135,-14.708775,-13.338638,-16.402235,-10.868403
30,-13.180511,-112.87488,-99.009796,-11.48379,-9.070043
31,-9.504832,-14.956644,-103.328384,-15.450483,-97.74572
32,-99.823235,-113.35547,-20.74194,-111.88513,-98.95687
33,-111.256226,-17.6861,-18.17921,-16.5049,-14.151306
34,-8.707592,-98.14709,-15.748163,-15.346106,-13.379371
35,-17.570372,-119.44913,-99.38803,-16.581522,-11.093927
36,-100.33008,-96.392105,-116.10906,-117.40519,-104.440094
37,-100.71896,-99.70606,-95.98506,-98.36738,-9.41791
38,-96.95234,-13.106996,-100.41694,-116.97609,-7.8347483
39,-16.32787,-96.86531,-99.558365,-99.66314,-9.877956
40,-101.35252,-99.87299,-98.33472,-98.20507,-13.050572
41,-100.60195,-122.112335,-98.7014,-116.05917,-7.5180063
42,-100.46241,-99.473976,-104.98768,-97.97972,-9.942015
43,-20.565187,-108.98311,-8.348931,-13.036018,-5.1912847
44,-20.459743,-9.7553835,-27.669615,-121.09122,-96.07097
45,-8.882251,-20.045534,-100.99667,-104.017204,-7.270068
46,-97.34703,-16.159431,-13.273701,-113.866165,-12.8549795
47,-107.82313,-14.916852,-11.087613,-107.62112,-12.703508
48,-9.026432,-109.85666,-99.015236,-12.539226,-8.59109
49,-11.35865,-19.184319,-17.909943,-101.02802,-11.655864
50,-15.712802,-16.213507,-18.29466,-112.0957,-106.07481
51,-96.51048,-17.122112,-18.62624,-16.20491,-9.34797
52,-102.29826,-18.28331,-98.37848,-108.218994,-3.8025067
53,-111.91614,-102.18103,-98.57853,-97.594,-10.936422
54,-109.949005,-14.177604,-100.24805,-10.091529,-14.137211
55,-112.22598,-95.67916,-24.327162,-15.679643,-101.176926
56,-115.01659,-21.495394,-98.5221,-124.5457,-96.05185
57,-100.42128,-12.626327,-9.465987,-98.52755,-11.494393
58,-111.464485,-16.81883,-13.776046,-13.281184,-6.815262
59,-101.55418,-118.67688,-16.292896,-109.411285,-100.11221
60,-8.9783,-99.33879,-98.28595,-98.83844,-9.970825
61,-107.13923,-112.20835,-100.17328,-100.85623,-13.698027
62,-120.908485,-98.02471,-98.87709,-113.12411,-96.75778
63,-4.9911942,-13.547812,-100.329926,-101.193504,-10.23233
64,-99.43407,-8.958664,-95.32307,-99.84397,-5.9205656
65,-93.75267,-12.704094,-97.7502,-100.038315,-103.87689
66,-111.032776,-18.654972,-98.91635,-15.831423,-9.779954
67,-96.61884,-93.73598,-99.62285,-105.77022,-99.04357
68,-114.811966,-96.52365,-98.99232,-11.558782,-109.96503
69,-99.08639,-16.199287,-96.36477,-107.945435,-12.561827
70,-97.156906,-98.08424,-18.800102,-99.28937,-99.997696
71,-111.182785,-112.641106,-97.13683,-116.75179,-8.958683
72,-9.227818,-92.76374,-97.465256,-12.538796,-125.87573
73,-11.702189,-16.523232,-112.575066,-99.40347,-101.91978
74,-113.88373,-97.880356,-100.527954,-11.286398,-99.05015
75,-113.50644,-15.767471,-7.5214314,-22.770933,-100.36471
76,-96.32336,-94.03348,-94.56592,-14.536775,-15.064513
77,-15.831552,-122.020035,-91.26175,-98.0142,-121.17568
78,-109.136024,-10.799204,-99.52474,-97.78867,-118.55952
79,-115.68715,-7.536684,-98.531166,-9.645295,-5.5923696
80,-7.0920796,-117.7845,-101.00036,-100.396255,-100.70779
81,-106.326546,-9.87486,-90.88363,-101.34081,-104.99109
82,-10.266953,-97.958046,-97.89611,-27.221478,-17.485106
83,-110.14095,-103.19341,-96.730095,-14.759608,-7.340296
84,-113.093216,-97.62662,-100.28467,-13.788424,-103.948166
85,-99.88382,-118.55559,-99.41188,-99.35204,-114.97959
86,-11.763166,-102.92685,-96.966774,-10.779904,-100.90703
87,-109.62685,-111.5521,-94.08958,-105.479004,-114.3632
88,-18.288416,-102.82833,-101.15097,-98.89764,-17.80085
89,-108.84656,-98.96552,-100.0073,-98.1152,-96.642914
90,-15.682805,-11.784178,-12.311579,-96.08918,-109.51522
91,-99.009,-112.423706,-95.12676,-103.54541,-98.060005
92,-112.17508,-109.696335,-104.05489,-101.579094,-116.6599
93,-16.6282,-95.82109,-99.123184,-99.42231,-94.49519
94,-11.100278,-110.56147,-99.34596,-112.760956,-103.84101
95,-10.686074,-97.55733,-98.10766,-98.08505,-131.80609
96,-8.812874,-99.10305,-115.71694,-102.20384,-105.772064
97,-97.65891,-115.765686,-96.46594,-103.81906,-104.30718
98,-12.120229,-95.17645,-97.50279,-101.45537,-22.414509
99,-24.359798,-97.18186,-94.96525,-102.93243,-101.62104
100,-25.588795,-110.06081,-103.433716,-90.184784,-12.16501
101,-94.69109,-96.043304,-99.700554,-118.22328,-9.410223
102,-98.175705,-99.834694,-103.51599,-106.25357,-27.000189
103,-98.532005,-96.097145,-107.3723,-102.51725,-121.8018
104,-99.48812,-14.444551,-98.03538,-109.53584,-10.9866
105,-113.55161,-19.509727,-102.573105,-17.334967,-13.880464
106,-96.2801,-10.793787,-99.73802,-14.783751,-96.15464
107,-8.426807,-99.515724,-100.87133,-100.59037,-111.145
108,-13.4911375,-96.83151,-101.80488,-100.19658,-99.72207
109,-112.94905,-97.163216,-98.728615,-97.537254,-119.51287
110,-7.0628357,-98.31596,-96.78223,-98.94854,-15.2289915
111,-113.836845,-96.57002,-104.04618,-115.71106,-103.38985
112,-95.57996,-12.329753,-103.764496,-101.141235,-95.19043
113,-121.578476,-114.03605,-100.035866,-115.53345,-99.97108
114,-96.93173,-99.30744,-98.978065,-9.951484,-98.93021
115,-108.2877,-101.831696,-102.88179,-106.5755,-105.81634
116,-12.311523,-96.04422,-101.57062,-107.40625,-96.13254
117,-6.0566745,-111.114914,-99.50227,-99.54074,-91.746185
118,-10.906715,-92.235466,-100.76911,-22.15249,-20.144896
119,-15.790519,-25.339481,-96.61231,-101.872696,-12.881656
120,-120.752365,-92.053535,-106.375336,-91.77829,-98.60519
121,-21.613068,-95.0056,-10.400307,-100.99961,-101.9541
122,-125.22097,-99.98615,-96.70253,-99.62632,-106.42159
123,-13.748637,-95.82983,-100.297775,-105.215965,-100.516174
124,-96.240326,-18.55117,-97.66046,-97.06362,-13.048638
125,-97.8961,-20.658295,-103.73021,-10.043405,-100.832985
126,-14.421343,-13.3858385,-100.059364,-111.851585,-98.251114
127,-21.018076,-95.30553,-100.59856,-102.748665,-93.7335
128,-99.57448,-96.80338,-104.539055,-97.189804,-99.57935
129,-24.667429,-99.772064,-104.834076,-101.265564,-101.2804
130,-110.452835,-114.25652,-100.05622,-100.62577,-115.93975
131,-13.887978,-129.89084,-100.80577,-105.14253,-13.539474
132,-110.83621,-94.65438,-96.67441,-97.547615,-90.9376
133,-111.917854,-103.81765,-97.79496,-98.65812,-13.972146
134,-109.351906,-98.52205,-99.06074,-114.060715,-103.50283
135,-19.923153,-99.339424,-103.070915,-97.36976,-96.08899
136,-7.7669034,-94.41577,-100.19008,-96.61054,-116.91658
137,-99.69543,-99.14866,-94.61999,-96.31806,-97.460815
138,-114.12504,-9.791883,-101.85065,-111.67406,-6.5017385
139,-10.354273,-93.9601,-100.69511,-14.552789,-112.9427
140,-11.293809,-95.92054,-98.70466,-100.42191,-8.395509
141,-97.42801,-98.66223,-102.41983,-99.818726,-5.820102
142,-10.245745,-96.973274,-98.94163,-98.4677,-98.66156
143,-97.980675,-99.21271,-98.80272,-102.04508,-101.53244
144,-7.494702,-103.821,-112.290054,-112.33217,-99.407906
145,-16.299234,-99.74595,-105.34625,-98.59596,-110.324715
146,-10.093689,-99.15308,-16.643568,-10.286818,-12.553466
147,-19.258055,-97.54802,-97.006714,-100.25023,-11.306235
148,-103.72839,-95.58922,-19.622583,-103.15984,-24.162882
149,-101.28375,-101.27532,-9.892806,-97.48198,-111.93764
150,-102.144035,-97.86932,-102.88886,-102.049034,-14.617293
151,-99.41788,-90.62541,-98.882355,-109.15718,-102.31247
152,-97.9202,-103.48434,-9.225239,-101.422,-96.094246
153,-105.06202,-101.93049,-100.01903,-111.707565,-95.78357
154,-11.365371,-98.78441,-104.66875,-18.929054,-105.04968
155,-27.349365,-93.949196,-101.12081,-119.40761,-15.706307
156,-103.080315,-8.794324,-102.46883,-101.96988,-102.4418
157,-98.829346,-100.96093,-103.04514,-103.030304,-102.2972
158,-124.32456,-102.766464,-114.723305,-98.753876,-97.99528
159,-113.01886,-117.79054,-97.136665,-10.6631,-16.343565
160,-96.90069,-114.88216,-97.8742,-101.7831,-15.788284
161,-99.33855,2.2346919,-96.94151,-102.96344,-101.54708
162,-5.337712,-100.16269,-98.83222,-97.55693,-7.540847
163,-105.34119,-100.77915,-94.35563,-111.72169,-13.275069
164,-97.76361,-15.996926,-100.042305,-20.758953,-97.13223
165,-96.774506,-100.19583,-99.598755,-102.65004,-96.31205
166,-98.85083,-102.02614,-97.19865,-18.436384,-98.58692
167,-12.756929,-115.31621,-96.06939,-10.155147,-14.08745
168,-103.68901,-100.7161,-103.94675,-102.71765,-21.003744
169,-120.9952,-99.99632,-101.90461,-98.16404,-13.214157
170,-97.06205,-95.28086,-105.25063,-19.630692,-103.1127
171,-6.774871,-11.812185,-106.321556,-97.8593,-98.46878
172,-101.142105,-100.88587,-106.0037,-17.511429,-105.828
173,-118.7897,-101.057495,-99.40367,-100.745094,-14.429594
174,-97.39257,-115.0841,-100.17788,-100.0848,-9.572701
175,-113.327705,-95.87829,-99.67461,-118.24714,-98.57125
176,-20.845865,-94.99578,-108.01555,-97.657166,-2.7037115
177,-107.08561,-99.61193,-98.65294,-113.99594,-98.27528
178,-107.07637,-100.178535,-96.21459,-22.736078,-15.398257
179,-10.100832,-96.46321,-102.56006,-98.10575,-101.62121
180,-8.359168,-98.73223,-99.367165,-100.7932,-99.58939
181,-12.129992,-97.17633,-99.34122,-103.01987,-119.65548
182,-118.787315,-100.313065,-11.393381,-103.71373,-90.800285
183,-99.22478,-95.16946,-11.584616,-99.25727,-100.44599
184,-97.669815,-106.05558,-95.48224,-97.71555,-95.478
185,-100.91999,-97.84722,-104.832825,-98.86827,-98.22753
186,-19.113052,-23.14062,-113.35943,-106.958084,-100.08425
187,-107.79004,-96.34485,-99.56854,-100.009384,-12.45299
188,-12.299262,-17.32587,-98.006836,-99.38938,-15.507154
189,-17.557564,-97.775505,-115.563095,-10.842453,-102.49693
190,-99.10948,-97.111664,-101.01996,-101.43549,-8.47237
191,-92.483604,-98.33831,-98.82446,-127.095055,-100.828896
192,-98.04867,-98.999405,-103.65736,-99.740974,-99.77427
193,-93.50911,-97.73456,-102.322395,-99.70204,-94.23647
194,-99.850075,-99.16772,-100.53613,-10.644995,-98.18796
195,-106.96712,-16.952314,-99.49273,-105.962616,-98.207794
196,-97.96213,-100.34055,-97.77197,-93.2488,-101.77918
197,-13.843707,-100.55697,-105.65758,-100.51068,-100.695755
198,-14.9800625,-119.32945,-110.44548,-98.001045,-14.854482
199,-102.223816,-99.027016,-102.8569,-96.52729,-100.912056
200,-107.853836,-97.732155,-104.39486,-100.559364,-99.147125
201,-101.017,-98.77379,-8.962125,-15.555794,-101.06213
202,-99.532295,-92.891815,-92.92776,-24.4812,-102.7351
203,-16.916033,-99.222145,-98.86508,-103.40261,-97.79004
204,-97.304726,-110.79328,-14.023907,-99.59669,-99.85031
205,-95.44049,-15.882261,-96.280815,-93.9352,-18.674194
206,-98.60237,-96.51729,-88.641304,-19.667965,-99.882195
207,-97.19033,-90.65651,-96.04217,-21.232016,-98.38026
208,-103.268936,-18.362757,-7.451351,-97.99157,-14.430374
209,-106.81102,-101.16658,-107.15154,-101.49492,-10.461869
210,-21.949793,-7.199301,-101.86481,-12.16607,-98.525276
211,-116.1648,-99.07075,-98.04623,-94.20181,-98.48372
212,-16.504768,-95.82583,-92.940994,-115.14078,-99.12101
213,-96.57806,-96.66858,-100.8281,-17.410036,-99.26397
214,-98.87155,-98.074936,-104.92356,-98.37379,-23.621574
215,-19.81221,-96.116516,-24.395292,-101.584114,-103.19895
216,-19.228159,-100.05402,-97.02017,-7.2275376,-99.29503
217,-96.085365,-117.73894,-93.36723,-100.98952,-97.89776
218,-88.683525,-93.94014,-97.33512,-97.471436,3.76505
219,-98.89448,-101.57782,-105.7762,-99.11856,-20.472109
220,-101.166595,-97.50371,-97.132935,-100.121056,-95.316475
221,-18.193623,-12.99509,-97.20626,-100.16109,-97.16809
222,-98.83415,-95.29937,-96.820496,-102.46618,-96.36822
223,-103.63192,-87.97093,-99.77153,-132.09763,-15.6523485
224,-99.50027,-96.10021,-98.48649,-100.52474,-106.91582
225,-98.11432,-6.1090016,-100.80419,-102.21344,-20.68414
226,-96.3359,-95.43386,-101.622116,-101.5958,-14.547688
227,-97.67102,-92.57717,-96.899025,-114.15361,-101.12192
228,-16.378813,-93.432465,-105.19084,-9.9962845,-97.61879
229,-100.91998,-97.47045,-100.68727,-98.183716,-97.0333
230,-97.88757,-103.776375,-97.29626,-103.91502,-100.42472
231,-102.91076,-101.51636,-103.183075,-103.1574,-99.97693
232,-99.39443,-91.774025,-96.80527,-7.8860235,-99.29414
233,-10.646983,-94.758125,-98.42178,-98.61272,-102.44071
234,-100.79114,-95.36181,-96.37318,-97.9003,-98.659256
235,-95.3062,-0.44195908,-93.25752,-15.566271,-101.31676
236,-97.072174,-97.54328,-23.228762,-101.84234,-100.92178
237,-101.77383,-98.087425,-101.82208,-102.58412,-16.506403
238,-6.432209,-97.67796,-99.16327,-120.73018,-9.38265
239,-98.434616,-99.45789,-98.34258,-100.122116,-96.69644
240,-98.89906,-100.9298,-98.09361,-100.36322,-99.685036
241,-103.61082,-98.13555,-102.70254,-100.500916,-100.61702
242,-101.619354,-99.03705,-98.53176,-97.76552,-98.03706
243,-120.50877,-90.84544,-99.34002,-14.146024,-10.2111025
244,-19.863989,-99.59348,-101.05968,-17.189644,-97.82003
245,-6.8087044,-99.6706,-18.477856,-8.70978,-9.518326
246,-95.787254,-98.98622,-102.08544,-104.86198,-12.191116
247,-96.57873,-98.2224,-98.48202,-100.759155,-13.695542
248,-100.541954,-103.464035,-106.75405,-100.55894,-17.210882
249,-100.77011,-99.56026,-14.770581,-18.319778,-94.386375
250,-96.44161,-97.46661,-101.87195,-100.91368,-97.47167
251,-98.60979,-123.03811,-101.53176,-15.059035,-94.71394
252,-100.091446,-94.91043,-99.90731,-101.91605,-6.4573226
253,-98.21996,-11.660444,-100.07911,-101.2266,-101.48752
254,-104.800026,-99.79031,-100.16102,-103.982735,-107.35348
255,-3.2992926,-95.63393,-98.20875,-98.64519,-106.230736
256,-95.94382,-96.164154,-101.06414,-126.66031,-95.3384
257,-98.33503,-95.77636,-100.039696,-92.90176,-94.20279
258,-12.003403,-96.36101,-98.603676,-99.130486,-104.825
259,-105.49751,-111.89878,-98.74438,-99.50723,-95.412964
260,-98.170364,-98.6527,-103.60879,-99.90451,-98.03765
261,-104.4707,-100.31003,-107.71083,-11.78071,-101.85752
262,-98.42384,-97.42619,-15.064398,-98.03297,-102.425354
263,-102.30825,-96.61023,-100.495735,-99.51497,-100.12858
264,-100.92095,-96.10404,-100.19226,-12.387259,-95.40455
