,It 0,It 1,It 2,It 3,It 4
0,-113.428314,-112.39537,-111.83767,-18.311012,-28.70659
1,-111.9974,-112.64019,-127.66004,-22.786469,-26.906595
2,-112.11894,-107.47161,-114.25539,-23.103186,-110.87577
3,-16.48945,-109.50799,-111.97504,-22.691006,-111.924866
4,-107.22347,-110.37481,-104.47197,-16.65647,-111.127144
5,-14.576818,-113.38401,-103.53735,-19.371323,-110.41616
6,-12.361112,-115.5692,-124.76276,-111.00918,-110.577545
7,-113.81195,-117.304306,-102.63589,-29.33869,-111.4538
8,-112.41365,-112.73558,-23.285011,-102.86035,-109.61749
9,-108.376045,-106.27526,-111.814156,-104.89692,-107.087975
10,-12.206298,-116.21651,-22.117897,-102.11191,-111.40752
11,-8.523426,-106.61176,-115.92129,-18.147724,-114.393906
12,-111.70693,-114.28537,-110.36962,-21.670149,-111.161255
13,-23.325302,-106.46184,-108.384445,-23.574352,-115.81886
14,-108.05973,-114.27484,-28.597218,-18.822214,-106.19518
15,-22.009094,-105.85729,-110.89801,-19.675491,-106.37802
16,-107.08295,-117.71928,-114.95136,-20.243975,-107.82477
17,-121.11327,-114.61304,-104.27938,-105.09516,-117.018875
18,-114.75999,-105.646866,-112.49132,-16.881912,-103.8587
19,-116.118484,-112.88659,-111.817,-22.06364,-112.64155
20,-15.465732,-106.6264,-119.71631,-20.217438,-110.163124
21,-14.373251,-112.474556,-110.374794,-21.754204,-109.600815
22,-113.823944,-112.84592,-18.682281,-28.754272,-112.06913
23,-110.027885,-116.553665,-20.891605,-18.192575,-112.08129
24,-19.195765,-110.207756,-109.08124,-20.458,-113.40285
25,-13.004913,-113.82388,-20.297276,-116.54901,-110.49671
26,-111.101326,-113.35563,-120.7596,-25.359108,-105.694664
27,-25.150627,-104.103294,-21.231028,-97.57916,-107.622185
28,-10.133284,-113.23995,-117.80231,-16.000284,-113.07532
29,-109.90989,-111.73361,-105.35792,-113.690445,-112.14487
30,-20.113028,-105.82146,-118.424774,-21.549526,-111.4079
31,-111.302765,-107.808846,-111.46319,-109.433556,-107.6676
32,-19.412798,-115.09771,-109.950745,-20.372364,-110.72452
33,-20.986252,-106.888374,-116.73863,-16.071293,-112.45972
34,-22.986694,-110.83542,-113.66664,-22.666166,-111.1047
35,-16.747808,-116.2124,-113.87636,-117.43325,-112.90651
36,-20.15458,-114.567566,-103.45165,-105.42136,-112.972855
