,It 0,It 1,It 2,It 3,It 4
0,-114.34468,-117.12455,-123.58519,-105.47117,-116.05144
1,-109.03545,-113.41169,-117.95758,-104.20916,-38.747547
2,-114.21433,-111.87809,-101.50294,-124.81662,-111.24699
3,-108.86024,-117.257706,-140.47159,-114.583755,-109.84308
4,-16.064676,-110.10729,-119.47121,-113.033325,-114.12691
5,-111.39891,-110.52843,-99.28757,-20.98258,-112.891106
6,-17.26577,-115.04579,-98.43968,-123.73668,-113.28655
7,-116.611404,-111.85525,-22.363789,-22.61891,-113.35604
8,-119.09315,-113.46969,-23.565731,-111.17297,-117.550735
9,-122.08729,-115.60737,-106.17054,-114.652405,-117.170944
10,-108.94658,-120.6447,-104.13455,-110.46618,-115.66626
11,-106.97991,-114.08446,-103.25997,-17.21625,-111.23982
12,-110.49802,-115.371666,-16.24246,-17.750402,-10.695352
13,-5.8538833,-34.04188,-12.515138,-18.827114,-7.864899
14,-109.46362,-107.40051,-118.849724,-9.587797,-108.02196
15,-10.078012,-20.203299,-108.55817,-116.019135,-110.44121
16,-17.126982,-113.29641,-15.767627,-19.546047,-108.797295
17,-15.180643,-117.33696,-108.38188,-117.708694,-108.502396
18,-101.55638,-113.69102,-14.196806,-20.254519,-14.945197
19,-18.008072,-115.06291,-100.8209,-113.05915,-114.66341
20,-98.573524,-114.12889,-119.91455,-100.58787,-10.345978
21,-118.846146,-113.90886,-114.15155,-110.146935,-106.832306
22,-14.097442,-116.68322,-95.29993,-13.696673,-114.1147
23,-98.556366,-104.58869,-107.82885,-122.672615,-15.486886
24,-114.382866,-10.67702,-13.064704,-101.64435,-14.449856
25,-22.183456,-111.50018,-103.382256,-8.501323,-113.18608
26,-18.586687,-8.262685,-115.16022,-16.174835,-110.17219
27,-9.576559,-14.663148,-107.89395,-14.1062,-111.48478
28,-120.62347,-113.6986,-114.20085,-115.67471,-107.72735
29,-17.198296,-105.123924,-104.605606,-100.31364,-116.541626
30,-109.37237,-97.04598,-105.04043,-12.7423115,-10.999419
31,-108.87234,-114.338356,-100.236176,-116.453865,-108.73597
32,-11.308669,-12.308366,-112.453636,-123.64125,-18.491411
33,-110.818,-109.58945,-27.311947,-99.27396,-116.79355
34,-14.375728,-95.520905,-116.507416,-103.81046,-107.62342
35,-17.10758,-98.074585,-15.952003,-5.9199643,-14.645195
36,-107.939674,-113.940834,-9.768147,-106.42889,-103.06763
37,-118.22682,-106.836296,-121.51705,-21.504145,-95.594604
38,-121.78726,-7.9175987,-9.80957,-10.492725,-14.769107
