,It 0,It 1,It 2,It 3,It 4
0,-116.897575,-106.38469,-111.54844,-15.731077,-112.36482
1,-113.819534,-32.005066,-112.89402,-105.02141,-122.73927
2,-120.09029,-114.02872,-105.10795,-22.205702,-112.51051
3,-107.44674,-113.93163,-103.725044,-8.728028,-18.553844
4,-107.40913,-99.32126,-113.17269,-19.878458,-21.610859
5,-19.017868,-22.005884,-112.72725,-100.253075,-17.991566
6,-99.871796,-23.45107,-18.921751,-102.77919,-115.35492
7,-113.43362,-20.281822,-112.15252,-21.512825,-105.367645
8,-100.494736,-106.01783,-21.250303,-110.132965,-6.731021
9,-21.95908,-28.030176,-17.45056,-100.749695,-110.7843
10,-114.28428,-114.196625,-16.349419,-19.745659,-19.871124
11,-22.034008,-98.25693,-22.726091,-104.90014,-20.265062
12,-25.335115,-123.603806,-111.93351,-14.686229,-113.06258
13,-106.93798,-97.93624,-105.24902,-23.99137,-13.054141
14,-119.826126,-14.945834,-101.87302,-16.994707,-99.20355
15,-113.945244,-14.456807,-113.068275,-111.02503,-102.22704
16,-98.771126,-13.177959,-22.4558,-101.194786,-30.688356
17,-28.114782,-16.293,-99.268845,-108.80845,-96.89251
18,-122.08637,-104.00266,-95.44117,-103.72767,-113.44232
19,-6.4850454,-98.68896,-14.170307,-104.52191,-17.490435
20,-19.54665,-15.160326,-15.771354,-6.2915783,-99.21263
21,-101.79137,-113.54547,-106.13081,-120.22244,-101.391815
22,-20.404732,-13.666518,-11.513726,-98.00008,-23.814821
23,-21.061047,-94.063705,-18.127718,-16.121996,-122.38204
24,-21.70488,-108.69585,-116.39132,-23.224072,-7.516917
25,-8.029412,-16.06417,-109.80568,-112.52931,-12.452888
26,-104.14461,-12.256537,-18.879747,-13.720295,-102.27594
27,-10.308001,-98.58176,-20.507648,-103.53398,-100.55468
28,-7.443366,-117.82294,-113.42962,-97.017334,-100.96403
29,-21.082537,-22.257074,-113.95699,-118.33215,-12.540313
30,-114.64276,-24.46091,-9.034572,-112.06452,-16.802351
31,-111.101616,-99.298294,-118.7992,-23.864431,-13.957899
32,-107.6664,-23.088718,-102.16448,-102.068115,-17.977468
33,-106.48113,-19.22144,-19.072702,-99.964584,-9.956575
34,-10.38831,-97.95809,-111.7465,-22.37002,-17.714294
35,-106.94516,-98.927,-13.666109,-106.116745,-99.9451
36,-12.110801,-110.79143,-18.680267,-97.335625,-16.288124
37,-113.65304,-23.275352,-99.81877,-115.582115,-22.03345
38,-9.555576,-101.676216,-112.74177,-15.965006,-111.57649
39,-19.483894,-101.345894,-34.41605,-15.03115,-106.183334
40,-114.0748,-118.03472,-11.130685,-19.865685,-100.201836
41,-109.31349,-101.23089,-116.42473,-96.0543,-13.408681
42,-22.153896,-119.15557,-17.020123,-30.80839,-99.645775
43,-111.2762,-17.547749,-19.193811,-106.39617,-112.53233
44,-20.46567,-8.911042,-106.55737,-102.21493,-115.55179
45,-13.253599,-16.200489,-111.589775,-15.012695,-16.143644
46,-100.16619,-102.97794,-103.32094,-102.53552,-19.74164
47,-118.62981,-97.83095,-30.235823,-9.127686,-20.003292
48,-10.821557,-19.95809,-17.354088,-12.43946,-19.393623
49,-26.266344,-106.597885,-20.624702,-108.695435,-100.44166
50,-111.40146,-96.24243,-8.101892,-19.352274,-25.81037
51,-111.64621,-93.06169,-14.125056,-113.296326,-102.311806
52,-105.88224,-23.54454,-10.322236,-99.14673,-102.360596
53,-121.01587,-110.998245,-14.445447,-22.081846,-101.58408
54,-8.383896,-96.39167,-21.263985,-117.27815,-103.86717
55,-102.70548,-14.787474,-14.174386,-13.676062,-12.369004
56,-10.576266,-17.281017,-99.561356,-7.7108903,-8.487118
57,-10.796812,-14.884284,-106.86852,-100.409706,-15.700206
58,-113.27064,-11.192654,-15.201272,-25.976622,-25.106651
59,-20.1635,-6.0729737,-111.75224,-11.701575,-110.34015
60,-101.16152,-9.284972,-101.32617,-103.812195,-113.53036
61,-113.39479,-104.53854,-21.039318,-21.347612,-97.97273
62,-21.10872,-99.36871,-112.80134,-98.64603,-27.953049
63,-19.351608,-16.28369,-14.797414,-103.93403,-101.46961
64,-105.5559,-8.827974,-11.9713335,-102.86859,-23.421068
65,-21.564777,-114.53796,-109.5882,-99.21668,-24.22783
66,-108.06842,-103.80411,-110.45049,-18.147396,-105.82022
67,-104.55432,-98.532814,-100.74057,-15.872641,-11.307896
68,-18.100111,-95.50179,-10.272198,-96.417816,-8.067585
69,-13.187517,-16.693474,-30.384544,-113.28475,-14.013004
70,-100.83852,-114.83226,-21.66319,-19.184238,-102.56298
71,-25.31963,-101.15371,-27.548058,-14.567522,-124.67917
72,-98.17532,-16.257067,-114.705086,-99.635345,-19.92962
73,-28.175922,-102.160065,-113.11217,-16.04695,-118.2581
74,-20.554596,-97.87161,-15.391008,-96.31364,-97.84014
75,-100.62686,-100.94653,-117.36059,-135.18399,-100.77556
76,-101.29562,-16.114632,-10.207152,-13.85302,-17.132677
77,-14.060757,-111.909256,-12.178302,-13.872917,-24.242983
78,-11.840169,-129.17693,-28.741009,-19.590727,-101.89188
79,-9.246937,-98.57035,-27.113747,-24.581118,-102.01744
80,-100.46112,-15.358342,-26.593233,-10.647054,-17.78496
81,-11.36804,-96.00638,-104.56502,-12.155826,-111.869156
82,-112.656876,-97.85683,-12.095221,-24.200888,-22.11112
