,It 0,It 1,It 2,It 3,It 4
0,-115.97789861832341,-105.72968319251466,-117.19671550452895,-101.03263036053457,-92.3276901308675
1,-118.24378023876017,-107.40509174848533,-117.27095107100935,-101.0435333736452,-92.2852639065934
2,-112.45811385589364,-103.54777597717444,-117.09192755742139,-100.83048586473862,-92.7199990413506
3,-122.93625740832185,-105.09844143047343,-117.06961038592085,-112.67459976402981,-92.2792223522367
4,-123.32693338184981,-94.58182595125885,-117.02398496546053,-112.63196050827173,-92.23915555899637
5,-107.99548394464857,-104.54656982022458,-117.07369778766218,-101.21247622310433,-92.34677750887687
6,-128.0651497607883,-102.8160140390352,-117.56960246002953,-100.83244675406037,-92.37728574170168
7,-114.20380223630198,-109.13980713571088,-116.97495854823245,-112.56976004819587,-91.98875411068559
8,-119.37512037357916,-103.3772176667368,-117.9404411228206,-100.94294843585571,-91.95837843004053
9,-118.4121986216039,-104.88972389912738,-117.19224611728296,-101.50155430656594,-92.21753334284791
10,-120.74014388830275,-100.93858524440655,-117.0018122647923,-100.82659201762391,-92.27198383085091
11,-110.90852786707505,-102.5157867340562,-116.89710183683006,-112.61738832500623,-92.26491943132434
12,-105.16098671882934,-93.32290378469439,-117.81239316338014,-112.78472854488219,-92.23041469814221
13,-121.48723235929509,-92.18833068891723,-116.82988596130907,-112.7434531163607,-92.32457028827956
14,-111.86169890685753,-92.92717059697017,-117.22821907504648,-100.84456722119063,-92.27236157796067
15,-116.46108693232853,-104.62126925973982,-117.76919128477387,-112.91382529692352,-92.00156077760307
16,-115.22243304135728,-104.79213983283064,-117.56123232396754,-101.06343994255768,-92.38994705044793
17,-110.42613035948915,-102.89642802670427,-117.18954198815581,-100.9593252712392,-92.31610884609474
18,-115.33087313716503,-105.37302832978808,-117.10174910988039,-101.04469575319175,-92.35109533147363
19,-98.65282851979028,-108.19318600708922,-117.19036521533008,-100.92496251097477,-92.2664901700042
20,-124.27176940923991,-101.11012696307029,-116.86028862820316,-101.2430720216202,-92.0552764302567
21,-121.46453144460482,-101.2081941665678,-117.14003525480379,-101.00596403446079,-92.34056450622471
22,-116.33981927867947,-107.80500815531565,-117.6493399425562,-100.96760821336701,-92.70048113157317
23,-110.18404990378612,-101.1385792835909,-117.30746648265358,-112.54590203515258,-92.69066631872867
24,-124.95420458347755,-101.60538704789741,-117.68247661802329,-112.37123167324886,-92.79284134624258
25,-123.46610250071522,-103.60893371874708,-117.26348283716399,-101.11462909063845,-92.63246253792546
26,-111.67841410207376,-98.52875230235855,-117.01025074837403,-101.21698451967009,-92.25631040499833
27,-114.27861343699911,-56.51518444487083,-117.0177625634633,-100.87363037010034,-92.70906294033506
28,-111.08659770929737,-103.67498657358003,-116.88382441336692,-101.19459684432096,-92.71102525015831
29,-117.81277212554217,-104.28205333726112,-117.19665670885891,-112.98198723650901,-91.98070362736925
30,-112.92893903160802,-103.06182149147064,-117.68593044792799,-100.9077064831291,-92.05002999714758
31,-131.57527066882878,-96.58852532187504,-116.88712587595917,-112.78815302565229,-92.32411849650329
32,-123.8094917362652,-100.1041641262928,-117.09445627996193,-101.61947097590317,-92.3011097034245
33,-113.43315611019887,-94.00195644988166,-117.13076976792313,-112.80048324723107,-92.21735146101521
34,-112.579300265846,-99.47133188040803,-116.95749286907073,-101.00805070197552,-92.03980693681068
35,-116.6040366645446,-98.22136807283736,-116.8587599844501,-101.99977578716012,-91.96963510274487
36,-107.75958609735466,-102.75685590390023,-117.26866955742271,-112.67035871312083,-92.28060082532008
37,-112.85450714985538,-100.9868430352034,-117.12116147140048,-101.58674350185615,-92.70524992623037
38,-108.52010801381455,-105.31198946528788,-117.19499974064925,-112.82740483672964,-92.32969259680334
39,-116.39698675981771,-88.76201580232404,-117.16286056320394,-101.01863767338824,-92.35481380811571
40,-114.15640403972058,-93.77191390376206,-117.22289078746456,-101.24513431832163,-92.07145476408175
41,-119.60822988678048,-96.94264858371982,-117.55851262259515,-100.8547657778173,-92.02409363524775
42,-132.2492429215044,-101.61560948527853,-117.09271047116506,-101.10441883499547,-92.10546281867144
43,-114.2041498573906,-102.38646717666167,-116.84941216393932,-101.2568827021715,-91.96078923594163
44,-105.49132301132819,-108.58336038904326,-117.20504075812099,-101.05370470196536,-92.3140534987216
45,-99.96508728342229,-98.63755250391229,-117.2213971688946,-101.26915579837095,-92.27147043980654
46,-109.86990749221637,-124.94259448100286,-117.78495205170518,-114.05983934572245,-92.32038945148439
47,-106.452055489755,-97.82595349811312,-117.47477424574582,-113.49665543544525,-92.29312585804546
48,-114.4610812090151,-106.08080804180102,-117.23453358587561,-112.92085152534473,-92.32201879172636
49,-111.23205492325376,-96.96339083418172,-116.99902578491609,-101.31189891669153,-92.23545683321834
50,-123.06243171633827,-89.28150552102682,-116.84547111768151,-112.89166086720613,-92.21052248138511
51,-110.64097908572313,-105.55257561445833,-117.47028319242442,-113.01183239837968,-92.2067188944767
52,-112.70342857307165,-105.60543974990607,-117.06606471399404,-101.05163538463445,-92.29413701562187
