,It 0,It 1,It 2,It 3,It 4
0,-118.18650183187704,-100.38809010684118,-128.31855575399047,-93.67416229235177,-106.29208468446726
1,-118.08888720710871,-100.00902916158674,-123.04121670349872,-93.74429135535536,-104.94399396218856
2,-131.65435445212262,-78.0548937129066,-67.23130346021654,-93.75682154933801,-103.07298387891986
3,-118.54813097440685,-100.28407178241014,-123.22966394096629,-93.40677781539529,-128.24495385030968
4,-118.28599449086562,-100.2545126773448,-128.46527032510983,-93.08899071803785,-121.42958040210232
5,-118.53177648508844,-100.02104716558941,-61.59685354407296,-93.82527861495944,-124.63007201903585
6,-118.27571234192327,-100.08182907844521,-123.03085554887866,-93.79445059450381,-111.82221813264178
7,-118.34249694767749,-100.92076670719372,-62.117248427256975,-93.86926698342927,-114.29543821455664
8,-118.16919313586534,-100.03554358956963,-127.91335804153745,-93.45391234143902,-121.51244204237655
9,-117.35119203101378,-100.9212833437904,-127.30888070842842,-92.93474219207523,-131.7525755417044
10,-118.2657795514005,-100.06971988808696,-128.58496574069054,-93.66959018197166,-114.1290223242078
11,-118.32887639484306,-100.03858648813019,-128.18938702151092,-93.50571684974732,-117.9527027633215
12,-118.21529841878886,-101.13726056795133,-123.26826280722604,-93.89058393589326,-127.22550138481546
13,-118.24376674116667,-99.97556185045404,-61.90956404954546,-93.47905521630499,-104.5691434559282
14,-118.25238631999679,-100.25733184228713,-123.33347473963693,-93.90926005157624,-164.4393205813891
15,-117.3462415154217,-100.62123434166703,-124.24898568246452,-93.29509087148385,-111.01947023031474
16,-118.25251920292712,-99.98570849243924,-124.23163714686513,-93.87543866798016,-170.48228543530385
17,-117.34600453882214,-100.01720940337206,-122.7547912014223,-93.8049546788712,-123.14981642519993
18,-116.92947040230098,-101.13821308227038,-128.78680549713738,-93.76008302961844,-112.0522451206936
19,-118.12443902374245,-101.13918128808184,-123.6035010085323,-93.84386952569041,-165.4948872842192
20,-118.37271286823601,-100.02594985798125,-61.571756180145854,-93.70903048832348,-106.15735571008983
21,-118.00298231873933,-101.13757569539422,-128.7059310878113,-93.901136590431,-122.85618131473164
22,-118.2221692281471,-99.96490443842858,-61.54955219279563,-93.75457952517243,-118.0775904036065
23,-118.31525821168347,-100.91924584520919,-127.30069899244305,-93.4034883496529,-111.13872739298859
24,-116.92684253537158,-100.03599244612083,-129.04016327090716,-93.60768538163974,-108.96510306045414
25,-118.01844859433267,-100.25011774768619,-124.35508286836308,-93.90998971107464,-124.19742235628578
26,-118.58798065529439,-99.98664538920981,-124.43749071556765,-93.74006883428129,-121.43315211698537
27,-118.34148233067384,-100.07537196921092,-128.3655791578512,-92.94442282904532,-107.07440642938111
28,-118.12040788691732,-100.13195480151754,-127.50099729834616,-93.29307024399499,-112.31880917003502
29,-116.9391068434079,-100.92134217274157,-61.50375017637573,-93.25577473894204,-122.19223250622125
30,-118.40219540882778,-100.10459765000145,-127.82384122559056,-93.73502827526572,-119.33181402115726
31,-118.21397608798164,-100.41348804991568,-123.1082497225674,-93.80869377012702,-110.25885704394648
32,-117.95320294208017,-100.07202551198037,-126.6029745252227,-93.40246048431081,-114.00798847825577
33,-116.5709426967424,-100.13179532654273,-122.83557452194177,-93.85747664191868,-125.12749069359015
34,-118.23169223420197,-100.06233337990194,-62.296290638297606,-93.87375242884393,-105.56411745371267
35,-118.24100223808114,-100.61568826078235,-127.06705683262398,-92.98546756898949,-132.96041783508582
