,It 0,It 1,It 2,It 3,It 4
0,-110.06786389135382,-112.87308507336753,-6.6617084664965995,-92.92649568083293,-92.18220331852592
1,-110.08507301296045,-100.52814770147663,-6.931430805416221,-92.94633842895894,-92.22116618376133
2,-110.25332578292148,-101.7964239334492,-6.817200933423728,-92.88266749145276,-92.03932028872202
3,-110.22993182706057,-100.7168160523125,-112.7810208055465,-92.84021501240821,-91.97476122217455
4,-110.4275343744823,-113.47959079560269,-112.56974028167062,-92.75535603526681,-91.91382947743831
5,-110.11458624668853,-113.63255560556186,-112.58313953149039,-92.71827687514636,-92.19388771165488
6,-110.06784466794196,-113.09266342397562,-6.553333966401111,-92.85854650686092,-92.15313306823916
7,-110.4049710142985,-100.51696465001551,-112.34661794623678,-92.74245307245207,-92.62057873920274
8,-110.07259724230319,-100.8968626280087,-4.121035097210856,-93.01750786317746,-92.03685488893021
9,-110.31087424744727,-100.52768173631071,-6.815566382241892,-92.84139087859712,-92.29430043792469
10,-110.06755820321602,-100.53602403197895,-6.751003004222653,-92.8430282103881,-92.23430243517232
11,-110.39025403620738,-100.4728945651894,-112.62352038193075,-92.73059021797326,-91.84723269234581
12,-110.05986589030486,-100.65602099429987,-112.51194684605557,-92.83018905132924,-92.27042917743286
13,-110.04310089944985,-113.24648689290318,-7.142546003327198,-92.78385903889965,-92.35882480646305
14,-110.02796463457992,-113.33196523056664,-6.760761276365037,-92.72111609998703,-92.01159543931531
15,-110.4496824081177,-100.58911813782046,-112.62775230997099,-92.84012374457623,-92.18285610077561
16,-110.37895143994162,-113.18743946648914,-6.872947749730373,-92.85984775888849,-92.2936606633624
17,-110.15315807274666,-100.48568401728275,-112.71941263519922,-92.7489944589079,-91.96553800602591
18,-110.19089797086734,-102.16502626254456,-112.51820953538817,-92.7370546675427,-91.95199549851745
19,-110.22575568286547,-112.77367553468339,-7.201352242340804,-92.89490271197631,-92.09060956149641
20,-110.19231401763639,-100.47467143411546,-6.812489274711659,-92.91796354424682,-92.52059337537918
21,-110.07158025311058,-100.50549289714529,-6.971858385595401,-92.79114284682677,-92.30519676481373
22,-110.35794679214774,-99.65404722875512,-6.676333175919478,-92.93275703332849,-92.55336660324991
23,-110.49841737946744,-112.59797581833352,-6.886900713820306,-92.93685413804744,-92.08086742770789
24,-110.23172122679868,-112.81591594524713,-6.959575387446858,-92.8091406635249,-92.61584770533217
25,-110.39272654972396,-112.97060319566359,-6.588798435974393,-92.8790884825514,-92.54681141268601
26,-110.1975177568784,-113.53829420482215,-6.571650128504989,-92.85530034246234,-91.50326762103398
27,-110.45865488189553,-102.96931348563358,-6.82496391607003,-92.71782642394086,-91.88901252436793
28,-110.26250601929706,-113.67546918689754,-7.1911579890586035,-92.90631762108485,-91.630350053413
29,-110.19526421620046,-113.08705157808129,-112.4855512171693,-92.79521441926582,-92.09875190784433
30,-110.30323100567671,-113.14584571959524,-6.888713814784848,-92.95281689431519,-92.37622010761662
31,-110.11767079922123,-100.5252929667953,-112.61174651865971,-92.92267212524149,-92.29921621489804
32,-110.03180476019097,-100.87756959703565,-6.935676585216616,-92.84169358653607,-91.93005702050169
33,-110.06408117970328,-100.4282374452444,-6.741201484146246,-92.88672187851493,-91.7618296744912
34,-110.2039825781084,-100.4603543908725,-112.71940203998483,-93.00198122302567,-92.17519859712245
35,-110.23146086799012,-100.82089147139511,-6.773705911460318,-92.79564307838336,-92.31422334515145
36,-110.4514883542989,-100.6445884261191,-6.836326240566506,-92.90321298844643,-92.26072461447434
37,-110.27079329263822,-100.5027947730495,-112.89356854523757,-92.890044781389,-92.26227712953525
38,-110.11296421370717,-100.84340017823673,-6.6795443773771215,-93.00298573534936,-91.52758475873853
39,-110.09961999945963,-113.30875858924763,-112.6539693273808,-92.80749744042474,-92.54875835733772
40,-110.35870620184609,-100.65035165981429,-6.789945283616136,-92.96199414939558,-92.13267017716302
41,-110.03474801086014,-100.71874278964242,-6.552929645870968,-92.96945620357928,-91.9315398710831
42,-110.30966733677995,-113.39196735007724,-112.56418288448795,-92.83764200037997,-92.28711050741569
43,-110.04079327964038,-100.86631641055146,-7.008255498891561,-92.69994340859384,-92.21379161170186
44,-110.13474677443504,-100.54077329290828,-6.711632926124689,-92.97984695173551,-91.60649947293658
45,-110.26738810402993,-113.01100660414718,-112.55558709979748,-92.8315400414903,-92.54169556630042
46,-110.05220945309475,-100.74523258540904,-7.243209952789002,-92.87320818791383,-91.75255327786644
47,-110.16454770323945,-100.50797197046519,-113.75783652311827,-92.90347583779061,-92.59596120175641
48,-110.19349257649326,-113.64677438612736,-112.86770237082577,-92.96673081561488,-92.10934728299527
49,-110.05796373086423,-113.09466802412543,-4.054619754138065,-92.91703624965592,-92.21711413673157
50,-110.18478861048538,-100.91118671772854,-6.6202593995658345,-92.81651090655953,-92.2653431795955
51,-110.04414692850752,-100.69048543762896,-7.243258203822,-92.88776334284856,-92.1953458359534
52,-110.32202438370805,-113.15795029809485,-112.4677875875803,-92.91732865848381,-92.22646263073679
53,-110.4538528664168,-100.48722839220031,-6.888696265606538,-93.01141534295616,-91.64544053684625
54,-110.25167160088102,-113.53388290796165,-112.7736060333815,-92.94564665565701,-92.31244252046213
55,-110.31353207505929,-113.15093562853363,-7.136263967833631,-92.74330121880568,-92.07535625390196
56,-110.16527420183023,-100.8223621006029,-7.081604247664562,-92.941016798269,-91.84140641655246
57,-110.38164351600378,-100.50029312245283,-7.0910405491204616,-92.95830842583766,-91.69339053297688
58,-110.19165474901628,-100.50192165355493,-6.899098601586691,-92.9703001884163,-92.7278064820844
59,-110.29243484442898,-113.41938255616999,-112.70474005314219,-92.91811605578668,-92.56031425276574
60,-110.41471484071917,-100.49449499929432,-112.65500215705178,-92.88798931197907,-92.05534015798436
61,-110.09874237831869,-113.15048544146718,-112.63250452153599,-92.83633710377259,-91.89453820044376
62,-110.49327598203719,-112.34515836438122,-118.84584234690088,-92.88822246861457,-92.35019018467531
63,-110.43881417003398,-113.03888838558089,-119.07506543069422,-92.84768432772377,-92.53065948103477
64,-110.42188688845125,-99.48257391693986,-119.0421287401759,-92.88625958572266,-92.15696470526117
65,-110.47070044123754,-99.6677837089176,-118.99420480254626,-92.96578922918175,-92.58057345345453
66,-110.37434846383458,-112.59576862902244,-119.1640918260195,-92.86122127349458,-92.69923692792956
67,-110.14789122495739,-100.48531202315927,-112.74857510050022,-92.793819997186,-92.21206135850089
68,-110.3296655286282,-100.57690779293158,-6.719425023670638,-92.7733258599462,-91.95878931637117
69,-110.17820567523253,-100.52249591464782,-6.240361578932123,-92.8878608962344,-92.18232097936868
70,-110.11600147617112,-100.58419275590265,-112.60542370888707,-92.88265673488937,-92.12731125380762
71,-110.06238523766646,-100.63694514552209,-7.047102651882841,-92.82124236032351,-91.75644680253095
72,-110.0190349354744,-113.64867005848923,-6.706873678953885,-92.82318486972541,-92.26558005529681
73,-110.04767965674213,-113.19496076924676,-6.144828050616142,-92.8228162225949,-92.33335183386055
74,-110.24243988643494,-100.61196593454946,-6.965641662688051,-92.86710399671054,-91.88090396238111
