,It 0,It 1,It 2,It 3,It 4
0,-45.04699,-125.387634,-118.11859,-98.25159,-113.59798
1,-121.416855,-46.255585,-111.76609,-116.89914,-120.2739
2,-121.92993,-127.47212,-116.233734,-113.62556,-112.42949
3,-109.6231,-103.074394,-100.80776,-114.61249,-115.48695
4,-26.430143,-105.59092,-113.37188,-113.6829,-113.0135
5,-118.49075,-18.305138,-126.66066,-118.397896,-18.730015
6,-113.72739,-111.201256,-19.29528,-112.08999,-105.986465
7,-100.31026,-108.52707,-112.41449,-115.16313,-25.924543
8,-106.447395,-26.648409,-118.61838,-113.40976,-113.64262
9,-123.00074,-28.363169,-17.353579,-18.533998,-14.127667
10,-100.73564,-31.351164,-108.96173,-123.276764,-98.27989
11,-120.857025,-115.03603,-128.44205,-21.749332,-12.353109
12,-117.92711,-110.74363,-18.10227,-111.75067,-112.685074
13,-20.996809,-44.813606,-110.590096,-102.83792,-123.00985
14,-18.47557,-113.92377,-113.6608,-116.29352,-130.18784
15,-116.03373,-108.15745,-119.59036,-103.42812,-105.46993
16,-109.38727,-20.498594,-111.7447,-111.801735,-113.82226
17,-106.683685,-122.97787,-10.397238,-122.330475,-107.72295
18,-120.027176,-115.294205,-114.93646,-109.86413,-102.79318
19,-110.02204,-109.58298,-98.64627,-104.43067,-10.692731
20,-11.6355295,-106.63848,-119.914566,-107.207245,-6.026019
21,-24.354717,-24.772484,-124.32529,-19.643787,-116.69464
22,-117.15455,-112.555084,-105.006065,-114.481926,-112.65983
23,-8.953933,-16.110088,-125.39117,-119.18302,-104.13232
24,-96.88063,-19.82577,-102.679634,-113.25061,-112.53891
25,-114.12894,-18.870142,-17.545336,-23.171963,-113.59445
26,-110.97576,-28.021328,-109.66823,-18.54954,-121.983
27,-28.981554,-13.411485,-12.123501,-112.015686,-98.942085
28,-114.52543,-11.200005,-117.17738,-118.29625,-117.67462
29,-16.94871,-112.54237,-20.880177,-123.31137,-13.585582
30,-16.870678,-26.684052,-30.34231,-127.99823,-35.964283
31,-113.088486,-18.27849,-21.676903,-97.130264,-110.40666
32,-96.48121,-21.044018,-112.775505,-114.002945,-112.36871
33,-120.7616,-23.078993,-127.703674,-102.16295,-111.056305
34,-99.83984,-107.59968,-25.297712,-106.98348,-23.178185
35,-12.56266,-108.42601,-11.944197,-110.52405,-119.76132
36,-18.486612,-108.13324,-107.05213,-19.372982,-120.497086
37,-114.56417,-100.15805,-109.147125,-111.539696,-118.4897
38,-111.92447,-15.058187,-34.421597,-113.37102,-104.72344
39,-112.59251,-113.53952,-34.217537,-22.061657,-123.91164
40,-98.37448,-121.94215,-22.65503,-21.804586,-124.4084
41,-28.140139,-104.41349,-102.853676,-24.670296,-124.33338
42,-100.42639,-120.51686,-121.49848,-110.510025,-116.123955
43,-132.38087,-110.53501,-22.229465,-118.63912,-122.60927
44,-18.382738,-16.572123,-99.33641,-104.39253,-104.882416
45,-14.170609,-114.22842,-33.744156,-105.220314,-33.944244
46,-30.395502,-110.951904,-124.63306,-36.9836,-106.84863
47,-24.218151,-109.1094,-22.405622,-28.507292,-109.31885
48,-99.714386,-15.437217,-32.611572,-19.389118,-116.338646
49,-31.356552,-105.02331,-27.234539,-123.91876,-27.871084
50,-111.691284,-109.88286,-18.35304,-120.02501,-108.15286
51,-110.67589,-120.68973,-18.68546,-10.941211,-114.69238
52,-106.48864,-111.95309,-110.73045,-119.09749,-20.22504
53,-119.53113,-99.828224,-101.09273,-98.35062,-117.90545
54,-28.123968,-111.04665,-133.65654,-108.19143,-28.02135
55,-16.783453,-110.60242,-21.127554,-28.731867,-123.015015
56,-121.60242,-98.64353,-118.848625,-121.73059,-99.41012
57,-21.906075,-100.067245,-27.074322,-107.74413,-107.529655
58,-101.26039,-20.09784,-102.95489,-27.75197,-39.492725
59,-27.193483,-21.784079,-100.63657,-115.60524,-107.95053
60,-113.88753,-20.632524,-104.70573,-105.80958,-119.226746
61,-103.01129,-113.63518,-116.524765,-30.162977,-38.50854
62,-116.758064,-120.16135,-39.48682,-31.731346,-120.36333
63,-102.88974,-95.6722,-42.265602,-115.03257,-41.316742
64,-102.1607,-108.40552,-102.55482,-103.69169,-40.280815
65,-106.68782,-107.880974,-105.031,-27.212658,-16.069462
66,-99.52515,-103.21463,-17.468136,-27.943607,-129.85283
67,-99.28848,-115.00309,-20.882584,-117.93221,-114.03817
68,-104.6931,-99.522095,-29.617134,-101.01296,-112.88023
69,-102.38874,-126.27006,-123.16212,-121.8624,-16.028814
70,-100.33943,-115.564804,-21.582458,-36.536198,-107.02724
71,-118.25713,-9.791295,-113.01236,-112.38773,-34.289753
72,-17.480051,-115.006836,-22.935715,-35.157528,-106.28519
73,-26.882534,-25.421478,-112.35735,-25.279919,-105.25533
74,-107.004715,-12.020131,-101.82663,-123.973076,-29.307226
75,-123.68961,-20.257456,-115.56502,-112.41031,-110.27115
76,-100.18587,-14.629427,-19.10962,-100.358765,-38.26855
77,-104.38031,-10.305388,-26.318533,-105.11171,-111.66251
78,-21.587624,-24.53888,-111.68585,-107.17851,-41.38627
79,-33.87332,-19.504993,-113.3777,-101.049774,-112.260254
80,-19.525925,-113.13557,-117.055626,-117.47394,-38.419945
81,-33.140743,-25.430862,-99.474884,-112.778496,-122.648125
82,-116.990875,-119.85408,-29.012522,-103.39064,-118.567764
83,-100.30139,-118.84888,-118.083496,-106.879776,-107.62946
84,-18.203907,-12.725629,-111.04579,-113.20679,-28.169052
85,-105.27299,-104.8296,-117.06634,-24.101967,-111.08801
86,-99.98004,-100.78356,-23.669432,-103.21695,-30.384676
87,-17.975782,-107.529755,-31.186811,-24.380768,-23.83585
88,-14.728754,-18.82849,-110.72646,-123.08204,-33.82598
89,-31.62347,-111.8051,-15.197678,-24.470732,-110.558365
90,-26.540047,-115.4881,-116.71555,-19.58875,-106.251465
91,-124.34544,-125.59985,-117.36681,-103.60732,-120.976234
92,-18.205664,-116.87121,-106.87948,-104.273094,-122.756134
93,-105.902695,-123.542206,-114.10661,-97.688034,-126.76985
94,-117.60894,-20.332676,-18.410494,-120.844864,-118.58086
95,-17.633654,-112.59463,-27.925552,-100.67699,-121.958435
96,-99.28933,-102.95508,-18.215958,-37.86051,-34.496838
97,-106.55529,-112.41687,-111.50489,-116.72504,-27.52516
98,-100.27854,-104.5789,-99.86363,-36.47448,-125.37216
99,-119.31902,-101.16594,-38.388817,-37.82666,-28.872112
100,-129.7215,-13.069898,-20.441856,-32.362617,-31.933842
101,-121.835304,-121.80914,-114.54161,-104.37336,-121.478516
102,-125.980316,-32.36955,-106.73529,-36.40068,-102.349785
103,-125.79776,-15.073753,-119.868546,-116.000595,-120.04797
104,-14.194743,-22.35765,-34.589962,-118.45079,-114.890045
105,-31.396143,-102.85525,-102.59904,-101.06307,-30.380802
106,-33.16426,-111.71373,-116.152176,-33.999866,-118.04789
107,-100.33274,-116.33703,-112.94618,-37.942204,-109.186714
108,-112.95946,-114.36319,-115.44904,-27.922268,-28.766203
109,-100.12072,-104.33442,-122.51747,-40.715168,-121.74353
110,-115.47327,-95.61038,-30.801481,-122.438354,-35.25653
111,-39.038616,-101.382835,-108.251854,-43.93726,-27.057047
112,-114.810036,-114.793846,-29.240803,-34.345337,-17.398739
113,-117.94536,-20.53876,-116.02022,-102.25292,-115.83945
114,-8.872203,-118.58342,-42.51038,-99.821175,-30.716248
115,-117.303505,-106.08542,-112.95596,-101.45067,-31.736557
116,-106.94015,-119.95476,-33.72955,-30.285534,-26.049341
117,-110.20032,-32.812283,-118.64592,-116.260056,-114.60253
118,-29.964273,-106.324326,-48.488316,-102.1927,-37.873924
119,-21.313665,-100.86335,-106.50363,-38.811512,-100.99333
120,-40.565727,-37.27302,-109.390335,-121.401276,-13.067455
121,-110.80873,-118.11444,-43.546,-31.53918,-33.203438
122,-122.37381,-114.15206,-49.577614,-24.08799,-33.000576
123,-101.342514,-24.879095,-100.23473,-15.206968,-113.34575
124,-114.42461,-29.532791,-26.088531,-101.62852,-113.8483
125,-114.26343,-113.684555,-34.562702,-22.963861,-122.88881
126,-122.01365,-118.66471,-115.58677,-117.52756,-23.572304
127,-99.47655,-26.319113,-98.18955,-25.323847,-36.643127
128,-111.82721,-102.06705,-112.72537,-28.993736,-35.491356
129,-34.645233,-109.655716,-112.43702,-112.853035,-116.441475
130,-129.53069,-34.601494,-29.186296,-100.139786,-22.638882
131,-29.153225,-109.1065,-107.57698,-20.999004,-115.54039
132,-100.3715,-124.98922,-120.50345,-114.39027,-33.21651
133,-23.579252,-37.952827,-113.9876,-30.32221,-31.986776
134,-116.50887,-16.212044,-105.33237,-110.884575,-125.7576
135,-124.95501,-33.526016,-116.101616,-33.182613,-123.524895
136,-26.043592,-108.06216,-131.44708,-41.572235,-112.917145
137,-23.115347,-18.301397,-105.28385,-31.04385,-35.81213
138,-114.848885,-114.265594,-38.493713,-31.936666,-41.48915
139,-103.38139,-102.48152,-127.61893,-104.4276,-115.09991
140,-33.86598,-27.877018,-119.92284,-30.672699,-115.92204
141,-120.372,-110.27172,-29.490042,-112.59925,-30.846119
142,-105.10102,-104.40614,-31.759495,-104.5715,-112.51559
