,It 0,It 1,It 2,It 3,It 4
0,-41.63701,-104.80687,-105.5911,-19.849747,-47.436268
1,-113.80975,-109.399666,-103.389175,-16.806227,-29.213516
2,-25.037338,-107.05165,-109.54582,-106.61105,-24.045021
3,-110.3343,-116.00023,-132.50221,-106.6298,-22.762012
4,-120.36357,-120.62853,-106.678215,-112.37959,-113.960526
5,-113.61067,-116.57515,-119.61215,-27.619047,-25.882118
6,-116.60989,-108.10752,-112.27446,-110.323975,-115.97866
7,-144.43925,-115.48363,-110.959885,-24.87837,-114.786
8,-108.00304,-115.09323,-117.950775,-116.880196,-115.29392
9,-112.14748,-112.4213,-116.96148,-112.99428,-117.66153
10,-119.964005,-20.13897,-118.42265,-116.58916,-109.94891
11,-115.902596,-105.06099,-118.37752,-114.91545,-114.50618
12,-121.12691,-117.793,-122.96333,-116.318085,-116.92205
13,-115.06718,-116.66792,-109.471466,-114.42816,-114.64409
14,-112.992874,-114.47019,-113.33556,-115.94262,-113.27329
15,-112.184494,-28.988434,-114.26327,-121.20209,-114.89258
16,-113.60663,-116.00748,-25.90153,-120.62939,-114.15338
17,-115.33603,-121.17136,-106.38981,-112.35647,-110.86855
18,-111.171585,-115.9548,-29.210503,-114.242134,-110.106705
19,-24.918903,-120.79345,-111.29176,-17.187887,-106.09829
20,-106.98069,-118.196,-29.91509,-112.944244,-115.57129
21,-108.12159,-111.497795,-110.42296,-103.15465,-18.037136
22,-119.83507,-112.628235,-108.43743,-18.611517,-102.79306
23,-105.86264,-102.671135,-104.89758,-120.48164,-101.947266
24,-125.99023,-22.403988,-116.31804,-114.94508,-115.069115
25,-111.099785,-21.614908,-110.91454,-102.149796,-23.083868
26,-108.47127,-30.821922,-110.939354,-111.364914,-127.77137
27,-26.281157,-105.8743,-108.64827,-22.269678,-98.52145
28,-24.625954,-103.546715,-105.897865,-106.362045,-100.13349
29,-104.84334,-104.042496,-109.64635,-21.09143,-102.540436
30,-26.1498,-105.91234,-29.509016,-106.423706,-119.14797
31,-106.49472,-106.09719,-102.208855,-103.4884,-106.988464
32,-113.005226,-100.76169,-114.39678,-116.57757,-105.53794
33,-13.00885,-23.267757,-108.688416,-106.137505,-101.43898
34,-20.737888,-105.78744,-102.53224,-15.97675,-104.86083
35,-23.83155,-25.21539,-25.960016,-105.0017,-18.04021
36,-23.114449,-101.8563,-27.788195,-18.516388,-26.026937
37,-19.60741,-28.049847,-19.573233,-107.10129,-103.16884
38,-107.88592,-115.616936,-30.55755,-102.030235,-24.794575
39,-20.112633,-112.38558,-109.91949,-100.13558,-115.357254
40,-117.7116,-110.430016,-112.34308,-104.437355,-23.270279
41,-100.07212,-116.38195,-104.663666,-18.058683,-18.332088
42,-17.395416,-98.900505,-28.448723,-105.34027,-104.259125
43,-24.052925,-98.49897,-97.258255,-22.173063,-20.958862
44,-105.18564,-107.18904,-105.14084,-106.21594,-31.522175
45,-20.774393,-30.222157,-23.43241,-105.40325,-100.46469
46,-102.84434,-31.717007,-98.84512,-104.17663,-109.10059
47,-120.30179,-24.570984,-107.833275,-19.82147,-101.02495
48,-25.679863,-116.60635,-112.243515,-14.370793,-103.1967
49,-113.1297,-99.09009,-109.2004,-103.62093,-112.53754
50,-15.105953,-100.466835,-111.62838,-17.207666,-107.68854
51,-102.77912,-102.50006,-109.20927,-18.967505,-112.96687
52,-110.42378,-27.268618,-113.088104,-122.52187,-21.909023
53,-111.74834,-110.72775,-24.920141,-14.017451,-110.44408
54,-103.15679,-103.881546,-106.326065,-24.960625,-17.915747
55,-106.92665,-106.84248,-102.978745,-24.910143,-102.03582
56,-20.498137,-100.9662,-112.453125,-110.07299,-102.47433
57,-97.933105,-99.15348,-102.99909,-117.52446,-106.53808
58,-19.83873,-25.215347,-100.45004,-102.31381,-112.91791
59,-24.629684,-104.02751,-101.440125,-14.619141,-101.3808
60,-115.360214,-109.24709,-20.835882,-23.91507,-100.94809
61,-107.90925,-115.66997,-110.8679,-24.145193,-113.52921
62,-99.19965,-108.900185,-25.480711,-103.19617,-11.209814
63,-20.619467,-115.44517,-111.62896,-102.87471,-111.577225
64,-116.93346,-101.631355,-110.310585,-102.50258,-115.40471
65,-102.883705,-113.67396,-111.207596,-21.080482,-120.89393
66,-22.284561,-112.234665,-111.77581,-12.832635,-102.80171
67,-13.152803,-22.790758,-112.50937,-19.035341,-14.645212
68,-19.795391,-106.077446,-108.172356,-102.228294,-38.64965
69,-105.486015,-22.260147,-118.884995,-99.29322,-14.925137
70,-101.683426,-112.77481,-115.10574,-102.61912,-102.62206
71,-109.0814,-114.58156,-110.39195,-102.42325,-105.02166
72,-101.37864,-99.765495,-36.982727,-104.69964,-95.22007
73,-17.32805,-109.444016,-31.782944,-101.693756,-99.59178
74,-102.068634,-26.754673,-101.37671,-21.33321,-127.26724
75,-29.596003,-109.50951,-100.50661,-23.512419,-17.20372
76,-99.9776,-98.48605,-111.08496,-22.568657,-17.385952
77,-100.65286,-25.553253,-23.448946,-26.35662,-110.01608
78,-23.182844,-98.118935,-108.289116,-102.50816,-23.148705
79,-105.098976,-99.44017,-111.31101,-102.00709,-14.431981
80,-16.95972,-102.12363,-34.863174,-21.652864,-101.55104
81,-105.68774,-32.822342,-32.27848,-17.79655,-15.146809
82,-17.610191,-109.32325,-109.580055,-110.915855,-19.804276
83,-22.265461,-109.93959,-101.763374,-96.41145,-97.1136
84,-112.943695,-106.20039,-110.04877,-30.819004,-102.44544
85,-24.7981,-118.54184,-99.61855,-108.35946,-21.47767
86,-98.153915,-109.29109,-110.37969,-100.23377,-107.58662
87,-110.95529,-113.320755,-19.060572,-95.44102,-10.0254755
88,-114.19023,-103.376526,-106.96762,-19.807909,-22.594671
89,-112.80152,-114.008156,-112.50679,-25.660791,-104.58673
90,-107.68034,-22.38941,-111.73812,-106.53294,-12.340061
91,-21.941584,-99.881096,-109.65503,-16.628819,-112.14205
92,-21.336138,-18.422703,-118.25882,-107.14196,-18.467695
93,-102.6891,-97.21134,-18.943548,-111.87952,-96.219696
94,-118.681816,-120.393936,-98.90738,-117.23078,-115.70303
95,-101.45895,-102.32632,-21.493607,-28.862915,-20.382172
96,-112.69961,-99.6847,-20.6332,-30.027119,-14.512361
97,-17.675396,-120.48038,-103.72882,-31.995579,-21.366594
98,-114.9589,-111.315796,-98.56239,-18.1514,-20.410105
99,-102.93525,-17.12142,-102.595406,-100.971436,-16.885267
100,-34.06975,-106.995285,-97.33036,-11.329688,-16.820448
101,-100.58385,-103.09288,-105.782234,-104.13416,-100.9486
102,-113.57666,-99.13489,-29.202297,-110.69329,-25.827879
103,-106.617805,-105.122406,-108.761566,-15.97855,-24.026485
104,-101.718956,-101.528885,-120.509964,-116.78585,-97.67273
105,-112.6309,-111.88873,-111.50647,-30.301685,-98.72982
106,-11.637399,-100.18117,-115.81062,-113.95077,-99.4337
107,-100.11203,-97.61381,-29.886555,-109.73326,-101.317604
108,-115.34363,-112.2923,-99.758064,-114.01314,-95.448235
109,-20.647957,-106.925186,-102.21329,-122.429565,-105.41925
110,-26.855478,-106.14868,-103.13426,-25.417892,-29.36717
