,It 0,It 1,It 2,It 3,It 4
0,-113.07009,-41.59894,-32.97801,-30.522806,-32.63378
1,-113.69641,-38.165512,-35.677002,-133.37701,-35.781452
2,-111.40413,-113.69744,-39.966198,-115.83922,-39.28083
3,-113.35149,-110.53877,-40.441715,-124.64825,-33.114624
4,-112.29851,-115.79557,-30.52525,-120.68427,-30.520967
5,-117.18671,-120.40776,-40.21394,-117.62888,-33.939163
6,-114.783554,-116.97755,-37.430607,-112.72856,-117.97056
7,-112.90516,-117.88267,-27.475824,-115.540245,-116.74765
8,-116.76995,-112.171524,-31.807434,-107.54242,-118.073235
9,-30.194538,-113.870415,-107.6243,-29.900608,-108.2946
10,-28.28164,-23.88056,-107.34463,-26.76749,-114.38952
11,-108.63689,-109.77313,-117.48365,-25.814627,-107.9798
12,-26.06936,-104.933754,-111.12586,-23.52904,-107.452065
13,-112.89086,-105.47612,-118.43547,-24.33994,-117.592896
14,-102.97044,-128.75365,-117.867805,-24.37757,-111.2911
15,-102.74441,-23.026087,-115.33672,-106.57415,-108.30986
16,-102.98223,-147.30878,-116.30527,-20.848997,-112.52376
17,-105.306145,-17.905853,-114.28138,-110.06399,-118.29539
18,-104.69334,-19.103888,-114.50627,-27.434448,-113.12448
19,-104.19765,-13.274472,-122.28486,-28.883629,-114.865875
20,-109.33411,-122.01121,-114.15101,-22.830824,-107.36794
21,-105.90292,-18.100094,-122.98666,-21.723223,-104.310684
22,-105.79689,-117.786316,-115.78624,-21.087866,-37.42543
23,-120.553894,-19.21275,-114.198074,-25.648983,-34.725727
24,-104.40997,-14.179188,-119.70513,-113.87259,-33.869106
25,-113.46285,-108.124,-114.518364,-115.140396,-39.344982
26,-106.816925,-114.22333,-115.59113,-22.071815,-32.081596
27,-113.84212,-107.197495,-114.72437,-110.12701,-23.013123
28,-21.604507,-115.49457,-106.82789,-106.50246,-106.73595
29,-107.785324,-22.953289,-31.88107,-22.958628,-29.651814
30,-112.90684,-19.364576,-111.44027,-19.628876,-23.484966
31,-105.46436,-15.387466,-99.21326,-111.32079,-23.765684
32,-113.6172,-24.493134,-107.546646,-110.69884,-28.86354
