,It 0,It 1,It 2,It 3,It 4
0,-31.405754,-99.95125,-103.65369,-108.32571,-114.83297
1,-34.771435,-102.06844,-105.7474,-45.774307,-120.49295
2,-26.35596,-104.28588,-120.531784,-112.553246,-120.80622
3,-116.75154,-131.84721,-125.187614,-112.690575,-112.50847
4,-116.820694,-104.41229,-106.76484,-111.32074,-109.561775
5,-114.769714,-108.05766,-104.1183,-110.96791,-116.30444
6,-119.02618,-121.077576,-110.86304,-121.29561,-113.78859
7,-120.749435,-113.217354,-104.79219,-114.28788,-25.027102
8,-114.78191,-125.07265,-104.67837,-103.554756,-107.97376
9,-22.172766,-115.1558,-110.67224,-15.939176,-31.484316
10,-18.766088,-120.643135,-35.70951,-18.590311,-26.484623
11,-108.36834,-24.766907,-22.657791,-103.34167,-30.291836
12,-23.259468,-108.25142,-118.51451,-108.60456,-112.68603
13,-107.68298,-119.37754,-27.552912,-28.338629,-27.296778
14,-123.3778,-19.855019,-26.913542,-111.36242,-115.46428
15,-108.65086,-23.739967,-18.71128,-21.491323,-25.100098
16,-106.90443,-29.764894,-118.23893,-16.903362,-119.953255
17,-24.955252,-40.572872,-28.77626,-23.223438,-22.685213
18,-107.68537,-19.525925,-107.32097,-23.697083,-114.51119
19,-104.43633,-17.508884,-22.222107,-112.42997,-103.02091
20,-21.557022,-11.456138,-37.023636,-105.17511,-102.980515
21,-109.849556,-121.42874,-15.212486,-104.79009,-32.06977
22,-102.699814,-126.359146,-18.456978,-21.780663,-24.344917
23,-106.99127,-106.66097,-29.02473,-101.35673,-23.777868
24,-25.70646,-101.27841,-29.266775,-102.56615,-24.768059
25,-21.64222,-110.00381,-27.570412,-109.23081,-108.652756
26,-104.53198,-25.51113,-24.394085,-105.47958,-24.24716
27,-21.86525,-19.504509,-25.082617,-19.177853,-27.232117
28,-16.081163,-20.445286,-20.075663,-16.080044,-30.508072
29,-101.95692,-8.2710905,-22.786314,-102.69279,-28.420843
30,-21.773224,-122.70935,-20.031158,-102.35247,-108.06397
31,-24.260252,-104.59492,-98.04194,-104.08062,-27.426716
32,-22.27316,-20.681559,-29.044771,-18.541113,-26.012726
33,-24.47971,-107.40919,-27.921783,-114.29346,-18.303305
34,-26.163624,-24.063879,-14.580012,-110.30355,-25.844072
35,-100.65006,-20.215921,-113.90885,-18.135181,-101.89225
36,-102.99404,-106.82124,-26.81816,-18.991339,-114.696045
37,-15.106161,-112.01305,-31.555922,-21.775948,-125.97206
