,It 0,It 1,It 2,It 3,It 4
0,-33.434853,-114.6381,-37.0225,-21.161312,-106.94191
1,-117.689156,-111.08189,-113.93971,-31.554895,-114.422165
2,-129.82008,-116.35507,-113.42236,-31.886496,-116.32116
3,-121.61835,-120.26828,-120.5075,-30.377552,-114.966545
4,-121.67978,-113.97755,-113.34878,-31.60982,-29.67369
5,-122.621315,-29.20484,-114.94734,-32.955032,-41.55769
6,-118.07721,-23.57481,-113.90267,-36.27127,-33.64892
7,-120.90234,-33.198566,-114.526695,-28.836586,-109.78422
8,-13.229675,-111.341064,-113.64283,-35.36274,-32.6751
9,-114.658165,-103.471405,-114.12141,-33.278507,-33.76514
10,-27.556036,-108.37955,-115.52332,-30.105587,-112.0298
11,-35.532536,-106.610054,-113.23388,-33.921646,-26.01823
12,-30.480383,-102.8382,-107.285034,-29.785847,-24.538736
13,-107.20938,-101.24136,-118.89072,-31.729328,-33.023388
14,-47.018867,-102.26603,-112.86171,-30.041246,-35.196182
15,-110.52269,-116.66948,-111.03604,-31.128887,-27.744045
16,-106.26947,-110.79569,-115.42723,-28.111204,-29.014208
17,-110.44937,-33.340702,-114.76332,-29.02451,-35.194553
18,-116.23065,-120.73879,-114.76349,-122.12547,-29.927088
19,-113.99095,-110.42995,-116.26851,-38.36432,-35.771763
20,-24.97035,-41.417435,-114.6712,-30.514067,-29.739801
21,-29.972242,-23.993624,-114.06646,-30.27069,-29.897818
22,-109.56075,-17.371264,-114.74784,-33.067116,-28.165545
23,-124.03194,-31.025705,-106.540634,-34.54777,-19.71362
24,-22.903067,-21.857986,-107.42466,-31.826307,-24.335093
25,-23.189793,-19.76653,-117.2285,-36.13904,-114.81428
26,-106.66113,-117.28443,-114.63346,-35.47682,-111.73287
27,-106.19299,-26.684664,-116.25308,-35.90312,-123.02228
28,-109.28149,-101.516785,-117.41437,-30.338243,-104.14247
29,-109.49143,-19.432533,-114.1104,-32.862896,-107.01845
30,-25.916397,-25.153889,-112.511406,-35.853336,-43.494617
31,-115.44714,-23.675655,-115.0871,-37.20765,-45.834343
32,-21.961899,-24.66109,-114.53475,-121.52788,-42.86232
33,-34.469612,-101.24371,-114.1351,-35.73882,-113.45207
34,-117.457436,-107.54001,-114.72235,-31.600283,-100.278465
35,-115.09558,-32.05157,-114.542816,-35.098183,-36.253593
36,-105.36947,-108.09767,-109.94386,-32.86804,-29.97472
37,-111.68755,-102.86307,-115.530846,-31.464222,-101.237885
38,-109.07481,-121.06468,-112.33066,-33.990646,-99.94002
39,-26.71095,-17.771257,-112.82807,-35.492657,-13.116318
40,-107.81279,-26.364607,-113.63367,-32.20328,-110.06913
41,-127.03239,-103.80037,-110.47693,-34.020016,-27.948364
42,-107.618095,-109.35759,-112.81787,-37.11846,-20.496181
43,-30.154459,-22.203331,-113.096794,-37.445625,-112.87068
44,-104.632965,-110.40216,-114.27044,-36.363968,-113.328926
45,-107.39555,-21.538975,-112.067215,-30.253502,-106.191795
46,-110.92334,-13.350033,-108.8216,-36.560593,-104.9852
47,-108.07739,-20.944557,-116.93615,-28.83901,-102.93875
48,-29.401884,-100.386925,-113.261475,-32.105576,-18.591602
49,-109.04799,-108.96593,-111.91818,-24.51117,-114.84813
50,-105.06592,-100.634155,-115.62418,-35.562286,-107.69694
51,-110.096436,-26.449697,-115.84546,-33.41476,-108.59422
52,-21.841467,-23.298689,-113.668205,-32.28831,-17.568079
53,-115.87226,-118.9017,-114.76557,-34.014164,-119.68761
54,-22.717484,-14.277704,-116.79943,-35.02652,-22.462946
55,-113.04197,-20.932827,-111.675285,-29.542048,-20.434269
56,-115.79362,-102.90923,-113.79961,-35.52086,-27.37844
57,-20.465044,-28.492619,-114.53175,-38.534798,-104.27905
58,-18.446991,-20.814594,-115.103745,-31.734768,-112.35581
59,-109.774704,-18.941122,-114.33415,-33.832024,-105.356766
60,-41.087643,-24.565037,-117.25569,-45.107136,-107.5186
61,-19.494566,-105.16305,-118.49509,-39.719105,-21.044123
62,-30.349384,-23.081015,-116.23199,-35.76296,-23.259478
63,-22.974613,-22.63385,-114.89686,-36.392677,-24.938808
64,-114.52815,-107.82915,-106.742905,-33.285458,-105.73718
65,-15.659629,-24.17021,-115.415146,-35.1072,-18.068365
66,-98.7971,-102.31723,-115.40851,-32.07837,-115.69632
67,-109.93459,-22.539904,-42.369896,-31.175331,-109.65611
68,-32.238483,-18.778963,-38.562172,-39.48112,-106.312225
69,-19.583918,-105.29832,-34.47595,-35.079147,-114.81831
70,-22.136003,-13.054365,-34.27167,-30.941065,-102.86031
71,-24.770935,-107.87511,-32.787647,-44.500195,-102.85079
72,-16.916195,-112.94273,-33.756157,-35.674603,-100.00192
73,-142.09738,-104.462425,-37.917862,-124.83429,-98.6211
74,-31.958242,-24.878952,-116.87369,-37.835346,-124.88138
75,-108.73977,-100.702415,-116.36515,-32.401974,-104.59397
76,-20.091843,-28.676031,-32.873726,-31.214247,-102.0946
77,-102.139946,-108.98392,-119.37415,-33.413876,-101.40683
78,-103.889465,-111.81695,-111.07718,-37.08646,-99.10449
79,-14.720932,-103.23548,-43.29984,-36.7785,-16.182867
80,-24.427908,-106.19564,-124.35246,-36.622906,-115.3809
81,-96.3637,-115.06951,-120.48288,-33.33388,-97.855774
82,-121.48007,-116.61639,-112.775955,-36.869995,-100.89763
83,-113.36425,-112.16914,-124.6199,-32.48096,-105.49273
84,-118.59612,-103.834564,-126.23311,-31.143616,-116.493454
85,-18.482624,-30.378635,-40.46136,-32.7151,-118.69495
86,-103.0134,-102.78396,-31.99137,-32.662174,-101.99848
87,-112.27378,-27.536554,-35.4423,-41.87729,-98.14896
88,-117.18996,-105.90488,-42.06918,-33.777565,-110.205536
89,-20.50533,-101.47642,-122.99292,-32.81201,-105.9351
