,It 0,It 1,It 2,It 3,It 4
0,-89.68769545423919,-78.46817472081237,-78.24485432435448,-66.42111246496991,-150.6886176679111
1,-104.39843665966656,-76.42095349617036,-109.01582619177807,-64.91635644470834,-150.64913445145325
2,-101.08428838752221,-80.79223342771076,-89.2291951972597,-42.354646042318144,-150.77384707355898
3,-110.58970369667865,-66.03834102884171,-80.06542975931508,-47.24877347339895,-150.61483959819986
4,-89.57439904634471,-154.31094861308503,-105.34740656805965,-48.292426767808074,-150.5503975077058
5,-95.28589449066571,-84.79646032117724,-103.28280184464994,-61.90817475746694,-150.55487155625468
6,-89.78002482616218,-153.67543057164582,-108.62326939260409,-54.57490695856665,-150.58679741887104
7,-95.16253618990794,-78.37996009527494,-91.17956780774033,-44.72553647501869,-150.59451400698597
8,-92.58501021802454,-154.2844329328236,-168.19601144008053,-50.7272901853201,-150.5144000458267
9,-101.37723339870047,-154.26990406737573,-84.32225285693767,-30.15674012794261,-150.5508941762341
10,-95.91231775656045,-153.51846161738433,-82.43047477407715,-37.818574495371664,-150.51563489787387
11,-100.56878793000625,-153.58546918357453,-98.24394694715642,-45.735821887761595,-150.58888826657224
12,-104.4450608504616,-153.71880650385253,-76.35193965256393,-67.82193593942368,-150.60723621313696
13,-100.64286870920847,-88.72840208103095,-76.34874202495243,-61.60706985269735,-150.61090266588826
14,-101.86343925440428,-121.8655281564831,-110.13620160773205,-34.336427922579944,-150.55171071086693
15,-102.9255576670986,-89.78812867848545,-89.99474628487663,-103.66552267633192,-150.54499140859764
16,-100.92212457973872,-79.06895237648006,-114.71896762066568,-50.87176166925283,-150.55578988456338
17,-97.89038285591346,-89.86091060596351,-177.79427247352015,-46.10601782633221,-150.51440603986984
18,-92.95256015976298,-89.03896983991633,-89.31075304050022,-41.63968083450403,-150.61363031103716
19,-107.48963417672636,-84.23516191224431,-102.41005041408326,-44.325621328469865,-150.59086271552601
20,-97.91466457902577,-78.4452130883727,-121.2324849182739,-48.72764204444819,-150.54708386294465
21,-97.11315945016223,-89.33903955514306,-114.85442622069824,-36.19878734768183,-150.5868133614904
22,-104.10846044517213,-152.65956592733716,-101.26399391691217,-56.22482224206746,-150.58845474874622
23,-92.58216752212448,-78.8927307575787,-103.64300889663181,-66.25437343805594,-150.55463990381782
24,-95.16207356380143,-87.38178213463361,-92.94482176168374,-47.750324954831285,-150.6098666316593
25,-97.91949760687852,-89.67261280877061,-80.16988227546929,-43.6233686118271,-150.5147713435235
26,-104.6286253112195,-85.81394742962937,-118.30718617189987,-48.30156407353053,-150.61558487884787
27,-89.69953652975252,-88.65861886288398,-110.06867093132047,-48.03192715995068,-150.5547900753897
28,-90.06158773048533,-84.81257817481337,-85.46637452662617,-54.845642710877364,-150.51276474843186
29,-92.10266311201899,-88.79305168533085,-105.16550015872596,-67.11753036858359,-150.52156421122544
30,-103.88214382124178,-88.58556826415881,-108.84539093631113,-47.39385374361249,-150.5904322947572
31,-89.76877429068998,-88.99191187269582,-104.26076974152319,-27.07708658406203,-150.54523032475902
32,-97.82594140989302,-152.6275579638451,-99.15532717333684,-42.52095986740887,-150.5984311949377
33,-98.77741128720415,-154.38432641926732,-103.23997436006172,-32.99036034891124,-150.51766871638984
34,-101.31410239279559,-89.2048562713063,-103.03526242071324,-67.42602065157764,-150.59943401596453
35,-98.40900133770393,-85.1932167265909,-88.94355462154859,-52.86785523601466,-150.60090177837702
36,-100.36830598963118,-85.51071170190231,-76.35259888767217,-48.61150825218431,-150.51514375025567
37,-98.51069002098727,-154.18821147342402,-104.69341185723052,-53.68571614261735,-150.59159405127494
38,-109.40775071692167,-153.6184640545732,-84.67231751278874,-34.43434311983329,-150.56120733532055
39,-89.71052905472312,-73.48783582437126,-81.39536422253053,-49.57119537201831,-150.59157408567503
40,-97.94036088939355,-153.72487023883005,-78.29796255804756,-37.808082235822056,-150.6172948656707
41,-116.5918098748791,-85.34951539850029,-91.70637603103826,-68.1474934253031,-150.5580826876865
42,-92.68580139980885,-78.10889228074274,-102.0719271270824,-31.4199291145556,-150.59419163060977
43,-112.30684495668677,-75.09957590788099,-178.336563921797,-66.37836511568237,-150.7104702666584
44,-105.45781855576794,-88.95498645411845,-114.79333821167737,-53.878954593186585,-150.63065714221736
45,-89.96584683571928,-88.83464707172347,-103.78508561735904,-41.01030385814616,-150.60548786189608
46,-89.7554243195495,-89.05365018833142,-111.87302731008229,-31.90725154986234,-150.52541209940588
47,-97.67995906330833,-84.5737211745233,-83.33556608285505,-49.58932825658239,-150.60466303949212
48,-104.44811474439217,-88.76405152035109,-201.24861597051648,-31.708462651806904,-150.56497331761432
49,-114.40582987740783,-124.75953038543506,-81.46949522829046,-65.75678825075022,-150.55585829233718
50,-101.66607603818079,-84.93751271729094,-117.41156350587217,-41.96647550556998,-150.6414787731935
51,-92.64165613245927,-89.09173055479397,-115.77326593850135,-28.388674505890457,-150.6446217469844
52,-98.22649271474693,-110.61367302144124,-118.50206720542089,-52.06423426246728,-150.56325065673872
53,-89.72357557434651,-73.66491131381369,-108.92095254406475,-64.6993717812739,-150.61348624640783
54,-95.16247019406215,-124.43873269170584,-82.83000001029635,-42.29476722961187,-150.69091605987077
55,-104.44576516288821,-79.16627953891465,-82.21389549894734,-43.13877655040563,-150.56486194452913
