,It 0,It 1,It 2,It 3,It 4
0,-108.80331,-127.28599,-118.559845,-33.19267,-113.7446
1,-36.623043,-102.12722,-114.043396,-32.43069,-108.2539
2,-41.4103,-120.473434,-112.49539,-36.11735,-106.7693
3,-35.11304,-117.6189,-120.52211,-28.066732,-116.254
4,-41.493942,-113.70697,-29.389488,-26.427357,-108.66367
5,-37.97194,-120.97713,-110.51761,-102.81052,-113.86442
6,-116.63846,-132.75389,-113.10006,-118.395676,-116.12417
7,-42.79639,-32.813694,-122.11579,-112.632706,-115.44315
8,-111.59951,-109.428986,-110.74982,-32.695065,-114.776245
9,-108.05194,-27.436,-40.45534,-117.34453,-113.76535
10,-39.096684,-31.324926,-102.15773,-115.11775,-108.93081
11,-107.95407,-33.682774,-29.617256,-101.96833,-110.58155
12,-32.783936,-114.97047,-23.774023,-15.286288,-112.87384
13,-115.97601,-115.95209,-23.284883,-106.84259,-109.27443
14,-107.82294,-109.49152,-106.99152,-112.25774,-112.84943
15,-28.159851,-118.682816,-29.833147,-21.940834,-114.384445
16,-105.341896,-104.99728,-28.422539,-106.88598,-113.26444
17,-23.746307,-20.240036,-33.080536,-17.617907,-114.103745
18,-25.192245,-115.32191,-115.36497,-121.4142,-114.31206
19,-25.601797,-108.55528,-113.34695,-105.14626,-113.45606
20,-28.918373,-113.31293,-33.068375,-24.864199,-115.07372
21,-98.73312,-26.302755,-27.343206,-113.49123,-119.2231
22,-104.275986,-22.380432,-21.949911,-21.368963,-113.78447
23,-98.99493,-32.403603,-119.93451,-110.60728,-113.226974
24,-32.230335,-32.305386,-18.16191,-101.91739,-108.69183
25,-24.510313,-16.830395,-116.50263,-18.035938,-116.659424
26,-101.843124,-14.175008,-116.42421,-101.95737,-114.964905
27,-101.69287,-15.0655575,-112.631584,-113.68377,-112.86267
28,-35.962997,-107.24075,-116.53828,-115.48616,-110.08377
29,-25.451954,-104.939125,-108.25664,-101.38876,-107.29339
30,-108.7118,-24.644983,-101.00696,-28.103767,-113.45804
31,-19.655489,-18.558659,-26.898726,-25.045368,-115.22835
32,-18.929953,-17.97297,-121.403366,-31.870153,-115.189644
33,-112.85604,-21.077816,-105.1818,-113.082855,-107.58418
34,-25.59113,-31.822323,-112.59746,-100.52234,-114.59135
35,-22.686749,-19.480507,-15.596437,-110.32093,-120.55004
36,-13.649889,-111.0535,-106.63232,-106.30832,-111.38645
37,-24.192133,-25.14711,-109.65782,-17.703081,-106.68656
38,-111.70131,-18.315943,-19.280823,-109.33344,-114.96684
39,-20.616648,-25.50185,-100.011635,-101.59267,-112.0222
40,-18.41328,-16.84319,-16.870127,-100.61265,-114.66598
41,-107.48725,-33.291527,-97.136604,-22.062153,-114.357185
42,-27.049988,-101.560295,-22.509747,-101.94443,-115.0158
43,-22.308546,-29.0432,-100.01403,-102.577835,-121.23525
44,-104.4129,-18.205791,-16.60726,-114.158394,-116.68445
45,-22.667118,-18.79425,-31.985287,-104.77052,-117.56227
46,-126.59828,-22.863499,-107.74552,-110.425446,-109.43931
47,-21.526125,-18.97666,-108.40428,-99.37814,-114.698074
48,-106.5534,-17.821888,-20.424622,-121.53276,-114.44658
49,-27.226284,-102.319824,-116.12236,-21.304876,-115.27382
50,-113.73085,-101.39391,-23.187681,-103.17309,-113.301544
51,-99.35765,-19.53176,-108.99498,-22.224298,-114.773865
52,-21.104244,-20.480806,-97.99499,-21.133,-107.378845
53,-26.760475,-104.327675,-25.806768,-111.97988,-116.5193
54,-22.80728,-19.947397,-97.88027,-22.132977,-111.928825
55,-27.1692,-104.40227,-98.165886,-17.177723,-117.92503
56,-24.925686,-23.19685,-113.69565,-121.09548,-114.03725
57,-110.463554,-101.69365,-105.818306,-99.27348,-115.98239
58,-113.07158,-97.38697,-111.10796,-109.630684,-113.97231
59,-22.675362,-118.200485,-120.138916,-101.76651,-113.55319
60,-26.328667,-22.941624,-24.675213,-113.08039,-115.70125
61,-29.599771,-24.434292,-25.874723,-28.057964,-114.32316
62,-105.63581,-105.56601,-110.86583,-112.02809,-116.115555
63,-29.429222,-105.09123,-31.349476,-24.130234,-113.492
64,-26.87215,-27.280046,-25.573624,-109.21813,-120.01024
65,-26.529621,-19.732529,-89.940895,-34.898293,-114.935555
66,-16.07894,-22.732317,-27.060272,-27.202188,-114.15164
67,-17.384674,-98.78772,-18.692823,-103.363914,-115.15284
68,-18.150303,-32.2874,-110.99746,-35.7898,-111.805534
69,-27.329193,-110.674545,-106.0436,-29.685076,-116.26584
70,-20.706585,-103.46904,-101.28434,-27.566774,-114.02041
71,-102.82122,-35.58137,-109.61539,-102.36255,-115.202545
72,-99.98053,-103.50387,-99.26888,-103.70305,-116.40862
73,-109.372894,-17.342232,-100.00564,-15.475055,-117.065956
74,-21.181625,-22.904327,-101.524605,-16.43625,-115.04122
75,-26.020704,-26.189594,-98.414536,-104.46916,-116.24545
76,-19.857319,-105.54515,-18.375162,-99.71713,-120.68787
77,-33.441975,-106.31861,-100.82941,-104.21113,-115.09355
78,-104.56672,-107.58785,-98.516304,-104.090004,-115.38125
79,-24.276518,-100.94226,-120.425186,-103.039406,-116.68383
80,-16.406145,-20.77594,-27.628284,-101.75738,-115.98263
81,-107.09348,-113.240456,-26.608019,-34.644844,-114.69255
82,-21.985485,-29.805506,-22.72708,-119.00272,-117.55441
83,-102.35674,-110.48278,-97.22512,-106.122215,-114.19078
84,-106.585556,-103.18341,-28.580805,-108.09749,-115.41295
85,-24.31026,-21.300463,-98.96291,-110.39607,-116.36739
86,-27.232552,-19.31966,-106.34284,-110.929115,-116.04822
87,-19.81421,-112.08804,-36.02802,-112.6263,-116.3469
88,-28.138544,-100.48468,-111.71192,-21.36522,-116.07382
89,-22.004581,-118.129036,-97.52865,-110.88426,-116.384155
90,-21.565668,-19.149357,-104.86459,-103.16176,-113.88023
91,-17.580753,-26.403484,-114.965225,-103.179115,-113.03458
92,-20.161575,-30.190327,-103.02681,-104.99126,-116.746475
93,-31.295116,-24.925926,-117.59075,-28.248442,-117.16346
94,-102.588936,-99.747665,-29.099718,-101.55278,-116.35849
95,-27.042118,-105.01707,-19.654894,-102.583046,-115.545364
96,-28.52263,-105.9491,-97.06329,-105.96023,-116.21528
97,-29.31758,-35.859657,-106.15294,-106.038635,-116.11394
98,-23.278297,-100.63576,-25.810326,-104.34876,-116.57382
99,-28.942749,-100.200485,-100.46117,-20.41603,-115.07181
100,-107.02511,-17.549366,-20.469116,-15.53828,-116.326904
101,-29.798798,-102.70833,-112.22125,-16.485588,-115.518425
102,-13.990214,-23.00138,-19.028341,-111.87336,-115.36574
103,-16.110678,-29.839073,-105.12515,-102.3443,-116.25079
104,-22.360817,-24.239725,-102.850296,-102.55725,-113.59485
105,-26.463905,-101.05313,-105.16069,-103.96494,-116.32931
106,-103.10267,-27.220886,-106.997955,-121.09044,-115.493
107,-101.14046,-104.9234,-103.18219,-103.48407,-116.37742
108,-102.57384,-31.536108,-108.06589,-100.89373,-115.31423
109,-26.96893,-30.758596,-99.82531,-39.60828,-115.75748
110,-25.078325,-30.817057,-97.54029,-131.24861,-115.14898
111,-24.957958,-106.08704,-110.53285,-119.8289,-116.42856
112,-27.857693,-103.961494,-96.656265,-105.71472,-117.45794
113,-22.944828,-21.124126,-23.444786,-104.237,-113.976555
114,-112.430504,-28.707655,-25.730112,-22.042463,-116.84563
115,-32.821205,-14.219632,-25.878725,-104.37814,-117.217316
116,-22.595423,-15.36848,-105.473785,-111.121735,-119.92338
117,-27.53866,-23.573988,-110.016846,-103.57087,-110.23319
118,-105.30296,-101.75937,-104.20235,-22.776459,-115.7074
119,-100.88135,-100.06637,-104.487686,-102.04959,-115.94238
120,-26.357067,-102.66577,-101.35326,-104.79777,-117.031296
121,-109.637245,-100.0622,-107.4103,-100.285225,-116.20536
122,-104.234604,-98.106865,-111.22034,-104.57702,-116.164444
