,It 0,It 1,It 2,It 3,It 4
0,-107.488594,-23.634771,-107.23955,-117.95685,-138.0665
1,-113.038734,-119.40275,-118.20973,-114.90975,-108.66206
2,-117.1938,-118.70509,-108.58589,-118.780655,-114.97101
3,-116.1622,-114.54439,-116.110855,-114.811676,-114.108444
4,-114.11084,-119.142426,-124.58736,-115.35884,-115.18647
5,-109.13674,-112.611755,-107.027504,-120.50481,-108.162575
6,-27.20952,-110.69838,-17.64411,-119.998024,-117.188675
7,-28.047375,-108.4116,-106.91172,-106.80841,-115.38172
8,-121.94609,-107.92986,-122.51178,-106.628456,-116.22433
9,-28.963924,-115.705864,-104.61872,-109.402466,-29.76871
10,-25.205206,-109.62499,-101.2341,-13.571037,-115.53433
11,-33.890747,-110.36393,-26.488375,-108.33535,-108.468475
12,-27.026268,-120.221756,-111.946846,-98.571106,-102.96883
13,-31.94032,-104.91361,-106.43045,-103.71304,-109.40318
14,-15.949633,-118.71918,-106.50545,-104.39618,-24.988283
15,-110.194756,-17.905947,-109.6008,-111.127014,-104.94626
16,-32.28108,-19.233366,-21.712967,-106.09354,-102.368706
17,-107.34717,-106.232834,-104.455444,-102.4043,-100.791695
18,-108.57002,-112.331436,-105.767166,-15.202277,-104.02692
19,-105.622444,-115.520195,-128.66069,-102.06395,-21.638113
20,-110.346794,-28.457903,-121.56427,-113.95375,-22.743227
21,-105.09811,-109.940834,-101.676346,-103.29199,-22.75339
22,-108.540085,-110.2352,-101.78776,-101.002106,-17.198833
23,-21.20636,-103.28292,-33.01914,-101.41197,-24.417522
24,-103.30776,-33.11902,-119.8288,-112.108025,-111.028275
25,-15.0911045,-33.754726,-102.44053,-11.067117,-13.635777
26,-116.09618,-21.010235,-101.240326,-131.90135,-16.784742
27,-104.55321,-110.7719,-28.013348,-113.358536,-112.07088
28,-110.15633,-100.03818,-99.33517,-105.73529,-18.7097
29,-24.412077,-104.652885,-19.87623,-117.34384,-23.456223
30,-105.301,-18.967543,-24.339651,-29.426731,-26.242563
31,-31.846537,-100.23604,-113.33493,-104.46057,-102.72746
32,-31.263136,-109.159004,-101.65106,-105.39695,-112.1272
33,-15.623017,-31.383125,-21.00601,-24.640854,-14.587367
34,-26.632372,-23.684338,-99.0315,-99.56576,-24.918077
35,-122.57022,-36.464314,-124.061356,-97.440094,-103.652245
36,-107.54898,-119.07176,-25.344181,-110.49933,-123.74516
37,-111.35321,-101.20438,-106.2381,-99.8539,-104.96946
38,-98.70992,-105.64464,-18.02996,-98.93828,-24.773804
39,-13.7961645,-22.54542,-26.683514,-112.17976,-22.148157
40,-25.810392,-19.390675,-17.520212,-111.14655,-18.006304
41,-114.671364,-17.423187,-24.400877,-126.87703,-104.403244
42,-105.45984,-22.654938,-102.979744,-101.69574,-108.18789
43,-35.975758,-109.47384,-35.25157,-112.873634,-20.614124
44,-20.497824,-105.48157,-110.91103,-110.11485,-13.830738
45,-108.39552,-106.68805,-113.803024,-106.68636,-16.520075
46,-106.92716,-103.661705,-14.088258,-105.496635,-22.094036
