,It 0,It 1,It 2,It 3,It 4
0,-105.76500558306216,-133.5262305197524,-93.81546404112953,-246.49049396635183,-128.80018825149497
1,-46.13645030491664,-131.57674405744578,-93.58649169360656,-102.88420802127467,-112.60608157554874
2,-94.84135908449832,-134.79540046151016,-93.30491189850557,-196.89839313217396,-116.80086010238135
3,-62.30440580417437,-129.4150748381298,-93.29755372955327,-178.31608307808293,-103.94940159112043
4,-109.31674714678483,-129.98068827989758,-93.72555466075855,-178.35247844223463,-92.93454761186055
5,-112.68271584682083,-129.9684138665072,-93.63696721961986,-154.11801400757895,-139.3462641408477
6,-37.43149337038542,-132.46557138147483,-93.59362890444976,-88.17348670116037,-134.63867233991843
7,-97.52450943339169,-130.54281958590713,-93.0072455094541,-155.21450299941378,-110.02067926837249
8,-39.641258375869135,-140.21127170017417,-93.80124962250454,-156.2717031919178,-129.13110744627346
9,-93.50631236968356,-130.7520509077589,-93.30885121982901,-164.53975559820913,-109.88283835190096
10,-34.030859070190026,-131.7394382051931,-93.17252459581506,-152.00628889793342,-120.24015914437379
11,-81.68316048941007,-129.88006305741362,-93.83005723172833,-68.2720615301215,-82.26660064678475
12,-49.58083705412757,-132.6738468608493,-93.56866365392588,-157.37768759281437,-131.86031523654404
13,-88.67801614341907,-130.1469288158322,-93.34494127182663,-248.98819836065758,-102.83645108374641
14,-58.25891908793684,-131.38072535582845,-93.70797763874707,-167.6044566115514,-131.65189857083163
15,-61.57593686531102,-132.8416931837426,-93.71629289645566,-149.6430895747437,-112.97482673570593
16,-76.05036893519616,-132.86581644619883,-93.7924239581788,-158.33184740435155,-123.74475967160586
17,-109.046619456626,-130.00047538261242,-93.28529172703868,-163.624182552964,-128.58319470913776
18,-32.898711798918164,-134.93782728154287,-93.85180860601474,-105.48196178325495,-94.11230128018386
19,-38.70521094215309,-129.94296725474436,-93.74692489061998,-85.83247129488772,-90.31496980361345
20,-87.91809374795189,-130.38936460705673,-93.76369053701133,-139.92160315790161,-157.09582488678484
