,It 0,It 1,It 2,It 3,It 4
0,-83.36018164316526,-134.22962125990702,-40.009014835233515,-167.75471232721765,-104.71119164013966
1,-69.28217094174734,-134.76468556443479,-82.41805703462872,-183.681632233357,-124.43219347030747
2,-96.9945412035012,-111.6357137285256,-33.06729880649057,-120.77969033153232,-126.47613288735002
3,-81.28341764332478,-111.7700690510616,-100.2081769007022,-129.5592051469797,-89.20900882994312
4,-73.84504314303173,-131.43809274411544,-102.86029917273885,-124.66623377431867,-127.62693529310427
5,-76.32168169216521,-134.4284005946967,-59.70763493025768,-163.30502955832372,-121.14349922961942
6,-71.03854208187859,-132.30444094371703,-32.901632873917826,-133.54582238229185,-126.80419339710248
7,-83.67235670899566,-124.6189625332957,-41.72572145836802,-173.89572774267435,-125.70012828983756
8,-82.43593169512617,-132.40061214542203,-89.00703551478875,-166.88255518249377,-123.4940817520591
9,-83.04459449135855,-132.50391693164687,-34.76265035436098,-131.80390330736046,-131.42671846909244
10,-91.53375201648221,-117.55648076916083,-76.63625918492122,-128.58064918836803,-100.27934409133421
11,-82.95053669940877,-131.5994081859809,-65.650023898502,-147.99405162751282,-127.18249516278563
12,-83.5626308775282,-137.37288641166342,-34.556705002745005,-168.21392540800113,-125.75864253908401
13,-94.36226837477386,-135.3351182112829,-84.12657809240737,-123.06902469644729,-145.72934584325915
14,-72.8470084128275,-131.2308448266834,-69.70299637909362,-162.97594295950037,-100.05508236351486
15,-73.02495808244903,-129.70169680699658,-103.18609246854803,-134.7401767055979,-140.65728427252458
16,-80.529694184825,-123.68525266629807,-69.84717958263435,-121.22298246658347,-122.00827500544048
17,-72.278712621252,-126.74223244616792,-35.861781176857725,-164.28675475129612,-94.4916739463847
18,-73.67377894268279,-135.74116145336814,-33.89567145090479,-141.8741778548061,-122.89466424794989
19,-73.71162568052327,-127.36988858735252,-38.87091680821295,-138.27421694239519,-121.5903116114038
20,-80.45674763570334,-96.41110540092593,-77.11024462838894,-137.4062802843902,-144.0373781036268
21,-77.231318359097,-130.8661671643413,-83.17417603106243,-128.9326002998551,-127.89597893942856
22,-85.05423172492314,-125.8601696464289,-34.807806993393584,-163.71137780525163,-119.80422671647501
23,-82.74132058612743,-133.6599592932475,-60.2967577033162,-163.86840728954857,-122.76271787532494
24,-75.61003416287332,-134.63848077310683,-100.80010027934621,-173.84852456504842,-88.51337061494229
25,-83.3816485543347,-125.01270810266041,-97.56527371241683,-147.17006643664672,-123.17910641306207
26,-82.73635623686113,-130.37559124041007,-38.75689210725665,-220.39606054902055,-123.86578829439681
27,-75.76351920018853,-110.82587453468703,-79.37422536214144,-123.64176011027399,-150.3145395377547
28,-81.15632898644958,-133.77013855158694,-81.30452794274879,-125.66435762890924,-124.31042681174699
29,-77.37619201120017,-133.46685150656057,-70.34215548667022,-150.0988536307002,-119.77249341376881
30,-73.58933101331743,-128.51920965567138,-37.49153386757206,-167.70700068086444,-143.2888315699563
31,-81.64490256038017,-129.42843389921745,-34.68798484953794,-138.3773448984305,-123.30226433417
