,It 0,It 1,It 2,It 3,It 4
0,-112.20237043985891,-54.50086876068344,-60.07557683496643,-59.704280049996164,-28.27002866346199
1,-100.31316235869191,-45.075947222328125,-54.904468394195185,-62.394206884898175,-19.528647818798326
2,-112.04509964597699,-35.607589092773864,-53.49058971331043,-15.156151758222276,-20.51355492605057
3,-99.24871276244552,-32.82542831940739,-63.085840725368925,-60.605205309675455,-28.117667879043
4,-97.04435158664143,-46.05045079449959,-60.342729247197816,-59.94509318569654,-6.020291207900193
5,-99.87268013623341,-50.22164135421994,-58.95016078898763,-60.679563271348925,-21.68161570083989
6,-98.30700639734228,-42.05646611904026,-60.07448721203984,-60.00932630555257,-25.849481209158515
7,-112.42579653735373,-38.78737228297333,-60.77174769556435,-60.84630104573931,-20.450473212275103
8,-98.81505801733435,-47.39733036440443,-57.06156603107721,-60.7486797657053,-12.400246756076116
9,-98.6458825987501,-49.9823430466111,-60.31690421716441,-60.85430128463607,-20.944013735788737
10,-97.16358454048921,-44.09536972519782,-56.57310791739272,-36.06759736808454,-18.700279690800325
11,-112.09265355284965,-44.43376027580526,-54.26646303091402,-30.993994009279508,-11.657994565922357
12,-96.92367560529566,-51.892506408797615,-63.21450973037224,-59.850398320341675,-20.204237774821898
13,-98.96277467039394,-27.54452338865855,-61.9740857703223,-30.488561772570957,-16.84722865115001
14,-96.81524342514591,-46.05005941981576,-92.25455205066781,-60.641386935928125,-23.326780786099988
15,-96.91085851331219,-40.40469175543163,-53.81278482505604,-60.63966111240943,-24.980492395348314
16,-98.31887065404696,-28.515528989244704,-60.55339701522578,-60.32974319555026,-23.802654234979475
17,-112.06780168826823,-47.370781909725814,-65.23124611512068,-60.34874376717897,-16.635510965937026
18,-112.22894996153191,-46.77469352318994,-66.28792731254131,-61.920182166572005,-22.13586178109439
19,-97.39045576659555,-34.719236875301185,-56.60723199328613,-61.811493661278746,-22.253727960069742
20,-97.73638061989577,-44.51778538805772,-70.98131324885848,-60.56282471961257,-24.62658841980449
21,-97.30806640375405,-53.75542494864424,-60.002553627387265,-61.058276741941576,-20.82477943621155
22,-112.24586674121663,-47.15956177388229,-73.09951783245192,-60.060910859257234,-19.12919201237746
23,-112.31925407232833,-50.36980466246422,-63.44294012759543,-60.67961104547914,-29.45063537996221
24,-112.53538998071089,-47.22498289591535,-67.49087224590724,-59.96365704026326,-21.24968022453411
25,-112.11196356822542,-48.88654319253707,-65.93388527972171,-60.660410261812466,-19.535310096319176
26,-99.18695662793078,-29.6915798048164,-58.29573753881669,-30.19770404752038,-21.903425810403657
27,-99.69512752241347,-50.77212521460403,-54.17708668477662,-27.549378399574493,-20.393996276438504
28,-98.850208413328,-50.5299824100752,-63.087018468448775,-60.920128640061186,-22.462720736404133
29,-98.3555322966243,-56.64731322707492,-67.37300211765346,-37.11800746983801,-18.301960097941723
30,-99.69027358519034,-54.80330233853279,-60.03754150606165,-60.43987103955078,-22.79775278539593
31,-112.5623196843029,-50.51710060718004,-56.32631699092246,-60.46273664673521,-24.047441385459916
32,-112.30307195188296,-47.42832097719927,-67.06281497840254,-36.91530883801014,-19.956019658239466
33,-112.10668139395405,-60.024359822312746,-68.83938486633072,-60.79355571727933,-23.465700001069024
34,-98.72671443208885,-47.79738202359686,-53.36017728454942,-23.220401180361716,-19.688403333960224
35,-112.185197707444,-36.54108851680548,-64.84304839626385,-60.129553922996166,-23.197416633551896
36,-112.33111383563669,-45.42467378771194,-60.32139437403388,-60.94779880273719,-22.783242005324574
37,-99.71163190006286,-43.648342717048024,-68.12459187151188,-60.39536639358304,-24.88434033421826
38,-112.1680493532082,-37.72656124541042,-56.61481385030448,-61.49248981482063,-17.905047393551477
39,-98.77364854196378,-50.72203104765068,-58.271632109034115,-61.30149419619554,-21.39514076259628
40,-98.51576029158423,-44.83368457167176,-67.48273479216179,-61.29244923821472,-27.71510927110758
41,-112.37111560180841,-36.083989260786886,-55.04086077000362,-39.0102563610007,-22.875253539461532
42,-96.67125846936212,-48.75029528992241,-58.737316067389386,-60.143854949367366,-18.964354854143302
43,-99.42140034335681,-44.73419094407114,-57.90969145482135,-59.78778328126508,-24.02271554900133
44,-112.30918041187726,-34.895326817305225,-53.40977940542783,-30.597406544571246,-21.973698786002117
45,-98.9827005108657,-46.46890794831964,-67.02574668846054,-29.91161833993188,-22.789888297848147
46,-99.25206044050442,-45.487931171534875,-76.18254510862023,-61.53597647394011,-21.091543433108484
47,-97.97030613096919,-37.92685737127286,-61.70546842647225,-61.95446163288735,-43.71744616572158
48,-112.15890441611742,-42.246809752826046,-53.71912583516208,-60.11000878390762,-22.236452111676865
49,-100.17072377475793,-34.34861195621991,-56.499394570092655,-61.539249709319854,-22.714374219744396
50,-98.66864772502177,-27.696365902045162,-57.32690861962004,-37.53121095900902,-24.11218070277734
51,-96.9695546400235,-34.505639587823616,-67.45804556607281,-62.19651276421995,-13.31001436368724
52,-99.67664126323024,-51.929364170563474,-88.36118310203396,-17.598051740950932,-23.75675756801988
53,-97.05817639575021,-39.22310306264216,-67.51677836008275,-31.282521415677056,-19.952987502812668
54,-98.92617204839371,-37.357236369184854,-67.37530606321184,-60.52717295973399,-21.978854190918845
55,-112.15785877379903,-46.079074431215396,-59.0320960545218,-61.150630276329416,-17.042662645119375
56,-98.83450573417745,-50.813226927912126,-65.5292264802913,-16.47991244402044,-21.660317443386116
57,-112.28655295797755,-54.84131378818405,-75.99509407486957,-61.05219461577671,-26.353596723525442
58,-98.97864297485638,-36.27468727479763,-67.06496485311632,-38.011676164745424,-21.443450681026192
59,-99.90040019027404,-43.94645089723528,-67.49781031980775,-37.81839673629436,-21.318710460869877
60,-112.36038040183671,-30.480608271903307,-65.67648425265621,-61.03489669597278,-21.054391024252244
61,-112.25548004101528,-33.686826383606274,-58.511729627834434,-60.14557536066485,-27.26032886683027
62,-99.7334411169837,-31.262938226267387,-55.847601546455984,-60.712693131372085,-17.677606077226585
63,-112.35026161442433,-50.27273408328277,-71.50799124937363,-60.6107675464798,-16.04188937612486
64,-112.13276986301656,-43.56319564082571,-71.93563511685304,-61.63587563199806,-16.372477746147066
65,-100.03022494822811,-34.692474170244395,-68.51736230257885,-61.16197767187748,-21.04495274015215
66,-99.33081415311445,-39.987884521942235,-56.51319148976531,-59.630295287935986,-27.092183938012365
67,-100.29345042291547,-51.80972777068597,-64.15658129620176,-59.788997819509106,-17.943371349622698
68,-112.21929480943471,-52.43059917230747,-62.29864969031834,-17.062271054006086,-25.831588572226103
69,-99.11892934939809,-38.3888115611498,-52.87347427217722,-61.965704331035056,-24.420897962671866
70,-99.23432442288373,-53.23484411845456,-58.2699342279495,-59.57402483097502,-21.64661665396198
71,-100.21170035485271,-44.428555485253995,-63.673709356836696,-35.92873544924743,-25.18343552143833
72,-112.43797753266013,-45.76786984462477,-58.4417956823942,-60.54324851788502,-22.03079007548554
73,-112.36119389032957,-23.23266490201155,-54.43862454981087,-60.878086665975125,-17.3403218120461
74,-97.76048395918248,-50.54155215425867,-66.32636493037683,-60.36133079475742,-20.789087947345184
75,-99.20712101743743,-43.72827810561793,-102.24168787686449,-60.99206199461683,-26.42602398575801
76,-100.11148396888267,-41.836964013442376,-53.92987622411492,-60.623324143113464,-23.59007949504362
77,-98.63591670819031,-52.97065008017551,-38.67421538652002,-60.64556712602668,-20.70831747361869
78,-99.2414130096439,-48.579227471184325,-59.41723959753333,-63.60999635964715,-24.945106920450073
79,-98.11658443477545,-39.05385824566005,-63.54537599024905,-60.11224729032157,-21.386857257831906
