,It 0,It 1,It 2,It 3,It 4
0,-62.934506866668336,-26.91213342883832,-59.047491084957414,-92.73273954822872,-23.192960926254248
1,-62.9814235212067,-53.266090267186904,-128.85705827787734,-95.43234110070426,-22.57793664829327
2,-44.97039273065215,-39.33145514717001,-60.56797241450774,-98.36001156627806,-18.158168496839473
3,-62.989284977642605,-55.00353298379493,-124.76343956542341,-97.02681878412338,-46.41699956048909
4,-62.30797680782748,-38.40859249363749,-59.433074028003986,-97.18971740114941,-25.136044909025436
5,-62.99736250353199,-38.017042112099915,-128.13570280199667,-86.03722112026725,-24.774738570827026
6,-62.52187779012838,-50.85516704363545,-58.801681818019844,-97.32771576807687,-20.62339801822093
7,-62.302233135248336,-43.23510264385959,-60.25281263112052,-97.69662135128753,-23.74989274775196
8,-62.51027527478151,-63.51214218684558,-34.75624577008123,-99.10987775756486,-21.49284958613538
9,-62.99757482274753,-35.668584451487064,-55.91012755424914,-98.59876972781473,-24.006930319738043
10,-62.67812801046519,-54.54886406270714,-59.25765410151263,-96.98303787830189,-22.925130353201666
11,-63.177846832618016,-125.46550368390226,-41.852275991067614,-97.76937839703047,-25.224158546353028
12,-62.95286273270237,-54.598422142959166,-60.109808401147,-96.1834030716778,-21.572840452233528
13,-62.51953088004505,-55.11428238690402,-59.75790738515137,-96.21353246698023,-24.11672780247392
14,-62.51939293611895,-24.240657196528574,-126.67850210153932,-97.3889324180776,-22.979171568197277
15,-62.52063292390361,-118.57224268833752,-53.25671715954142,-100.54772523140562,-24.94164185002746
16,-62.848416809263284,-54.2221702242078,-59.872463773068205,-95.33242964541319,-22.464017476456274
17,-62.98024459394719,-42.482175096272016,-129.256019876052,-98.54362553133562,-20.585029818416036
18,-62.98144990169829,-113.59554696478288,-58.82519497183656,-99.77557416777337,-22.796731205130577
19,-62.50875831778887,-38.21309794576126,-36.95030268391858,-100.08812276863027,-22.8843648675381
20,-62.962756117399,-48.80356274648464,-124.6161170286128,-103.13536384544318,-23.345357194654394
21,-62.50941946526309,-31.3575904229659,-59.278086285814396,-98.55979935345934,-29.569331709834493
22,-62.94902767833536,-32.632510119464385,-58.600757602974035,-97.13328953092832,-23.5747780239104
23,-62.670438839502594,-39.10321068918407,-61.165950755329185,-92.72262062520196,-46.022131704167776
24,-63.07777335303223,-42.700045082017,-59.1145815311276,-95.17520656930397,-25.63088731572184
25,-62.521788304132755,-64.85756963768198,-54.84540986436495,-97.33220169981188,-22.467608690695556
26,-62.50844294008049,-52.115851337935204,-128.97307176824341,-101.42433299290725,-21.801856023851546
27,-63.17431784086864,-35.09966763408602,-129.57747646250948,-98.80507175562262,-20.863760251993803
28,-62.892392165551804,-43.585701965324894,-41.82658954773837,-97.40770577608087,-24.329247712127124
29,-63.373904923695946,-46.03223884675043,-124.3179211380041,-65.05914587915098,-23.824072889549583
30,-62.89607454597709,-16.727460887828563,-125.94321302158866,-98.87977306081208,-24.999382853525805
31,-62.18707373474,-50.21044963725829,-43.01652997913858,-96.97012333117799,-39.07632072236053
32,-62.50895553269889,-46.14296089905993,-129.15291995026973,-87.67945223284076,-26.003460771725436
33,-63.063414236580435,-50.66516055903524,-129.65309849471598,-96.49060897739555,-21.961966102764016
34,-62.98794176671099,-50.619789827853985,-127.94528613984397,-100.16750770302616,-19.491736534332826
35,-62.522977202481904,-44.141502313503885,-36.782382832426386,-80.53461434146885,-23.35004587370527
36,-62.522211415688886,-53.73230426531521,-59.94303084531331,-97.6672380893379,-16.73163536955644
37,-62.510495657508976,-25.55628806571461,-128.1392009699379,-98.3365818548447,-23.286021452714127
38,-62.979508425532536,-33.57230824252742,-39.48836287467856,-101.14024311532076,-23.691250475801855
39,-62.5088437258075,-101.33719696898416,-129.93678947968564,-96.35489060992754,-27.896744404612917
40,-62.33216032202758,-28.66109997125778,-62.1068570673727,-96.10668283673347,-24.543389625328643
41,-62.52103601976889,-44.95608553548877,-128.78356632712982,-97.77479305152941,-23.7953398696445
42,-62.71285636277026,-54.67233828198216,-58.53184906226521,-92.29409599782488,-20.282534048159658
43,-73.93447200696917,-20.322944293436862,-105.3033092015273,-67.0243104579807,-23.121446920573124
44,-62.50227860782909,-48.75066622745709,-59.42950757626532,-98.07891791016962,-23.38238597290948
45,-62.949306280122556,-139.93634535696313,-39.662873067157626,-98.00533800361944,-24.40013689864395
46,-62.511371278164326,-37.02669072648102,-37.95548213931231,-103.18727363870147,-32.04117998007649
47,-62.322342820361236,-30.248630856894405,-129.00288909049237,-97.01152517208841,-19.242779430539397
48,-63.17673408853464,-40.01416630620138,-58.886093550054035,-89.80548518432475,-23.098825493769812
49,-62.37866473382422,-29.08905311189384,-127.94058997218653,-103.71006081774314,-22.40744129527602
50,-62.96718819008359,-38.181725655642,-124.61929450679601,-98.15244961356744,-18.932761174550535
51,-62.10937393291842,-38.96395658696498,-129.1881866639809,-96.81737901841281,-21.550346577729925
52,-62.333625179334355,-59.766489312559614,-60.59899171977418,-95.33598074390736,-20.807417884014395
53,-63.23638142783927,-64.17492895675649,-46.801811800732814,-102.42301244189636,-21.540444189725775
54,-62.5205481105701,-40.631710069644626,-59.87876031764842,-97.2677321773016,-17.77434840311281
55,-62.87477391779228,-51.47458039670004,-42.1938723198745,-96.72949808424363,-16.77196088571981
56,-62.51159783561095,-55.85955381493179,-128.9452594466644,-90.6531554146097,-17.768572534288882
57,-62.516903575363784,-50.970738642347676,-59.261551962108825,-78.37293082082611,-22.143052698649388
58,-62.5056505487112,-36.70993435909042,-39.53521277045583,-89.29398914033256,-19.913981006484512
59,-63.370401807184265,-108.2381416777168,-128.80198659786302,-98.1269432651781,-23.871605554962624
60,-62.88073354034015,-44.19139515169,-128.0125752835561,-85.0953305168569,-21.56881314841491
61,-62.8943652123096,-49.698537199056325,-60.041401718657376,-100.47548608308541,-23.799898769002798
62,-62.35096446924217,-44.07848229681501,-56.49112745490417,-90.81587575238109,-24.024308042676452
63,-62.84282794880432,-49.63471349222653,-128.09042759887237,-100.16555917243656,-21.998168332957217
64,-63.17884797523709,-38.422352358982835,-60.20892024378049,-99.58637633498552,-19.256979832756286
65,-62.9376072906271,-31.330248761253124,-59.860709485684275,-95.21774450918583,-19.921981921317535
66,-62.519604651659925,-48.207957439742955,-59.28072871616055,-96.95485666489803,-23.43372168301954
67,-44.924666631637656,-32.45195795878035,-61.73960699396823,-93.42860792778053,-22.99506502962524
