,It 0,It 1,It 2,It 3,It 4
0,-110.15082,-116.29307,-23.210075,-108.84764,-19.688915
1,-115.54184,-117.80582,-33.303967,-115.71177,-30.257374
2,-116.73596,-115.61575,-126.73992,-112.53912,-114.81416
3,-122.121086,-121.2952,-117.74493,-113.85745,-107.47654
4,-123.552216,-123.05473,-37.14924,-126.28023,-103.89674
5,-119.95813,-119.03534,-116.453384,-116.07713,-119.071526
6,-112.827484,-115.8611,-31.92113,-115.330414,-29.204174
7,-114.97978,-121.58253,-120.45209,-114.38998,-112.332214
8,-110.67831,-115.21604,-114.55991,-30.155762,-115.9834
9,-109.07147,-37.30702,-102.865166,-34.49119,-23.411034
10,-107.348465,-108.8246,-102.387215,-31.76393,-27.693302
11,-107.77753,-22.725449,-102.70786,-150.53415,-113.06359
12,-113.37285,-22.631733,-27.597584,-108.51954,-104.78339
13,-105.0906,-109.59361,-22.737272,-28.722036,-103.06936
14,-106.20181,-113.329926,-27.788452,-106.571236,-105.19963
15,-120.5354,-113.659424,-27.747248,-22.963947,-110.08932
16,-112.55825,-23.97585,-21.337257,-102.621765,-104.77641
17,-34.348385,-107.68795,-17.619184,-105.1485,-115.94961
18,-112.43697,-105.165726,-110.59254,-98.106865,-106.45601
19,-23.901789,-103.87917,-110.87393,-106.51468,-106.517944
20,-24.137022,-119.382416,-110.748726,-101.76652,-108.02988
21,-110.23616,-99.927574,-20.356981,-106.08963,-101.28782
22,-108.40083,-20.958588,-29.733124,-20.580334,-13.993576
23,-20.577389,-105.63544,-123.78594,-17.04631,-101.258896
24,-13.136595,-119.041046,-109.1338,-113.73911,-100.61797
25,-107.03515,-106.157845,-112.47133,-20.489317,-104.91215
26,-113.244125,-110.09667,-21.251207,-101.265526,-97.23661
27,-121.26923,-102.534035,-110.37872,-102.56252,-100.01692
28,-23.565994,-102.95981,-113.105896,-20.386765,-104.30432
29,-26.227667,-102.06797,-102.966805,-27.811232,-118.33743
30,-24.533556,-104.466415,-119.25958,-17.563585,-104.1563
31,-129.6836,-28.408184,-109.575584,-102.60215,-109.607796
32,-103.09396,-101.86779,-20.429518,-16.118837,-100.5099
33,-35.32621,-109.74313,-108.392044,-104.76886,-99.29903
34,-112.23101,-20.78331,-124.57816,-101.91588,-100.96975
35,-102.740456,-98.09536,-22.259039,-102.56911,-104.47521
36,-98.90486,-18.09354,-116.80225,-18.59999,-108.55703
37,-26.23672,-107.335,-21.932177,-101.73828,-18.044548
38,-100.94378,-25.857853,-21.698431,-100.52388,-98.50903
39,-118.994125,-110.78784,-108.46892,-108.991005,-124.1003
40,-102.770065,-23.164627,-102.52198,-108.351875,-24.217665
41,-27.18361,-104.99093,-113.60104,-99.879364,-24.30659
42,-101.314186,-101.868286,-115.716515,-104.492516,-24.24796
43,-30.293507,-101.42649,-104.05875,-122.49591,-102.895485
44,-109.52538,-110.75299,-15.782063,-113.32718,-103.00602
45,-20.687744,-106.341484,-104.29603,-115.28053,-18.650387
46,-114.78665,-100.297516,-108.11599,-115.581024,-103.735085
47,-105.208176,-100.196465,-25.067194,-107.20022,-104.44741
48,-108.02105,-103.088875,-18.208067,-97.60235,-112.70135
49,-103.79969,-102.82689,-105.20055,-101.32034,-99.82158
50,-101.93472,-102.25169,-100.20769,-101.83382,-114.40953
51,-111.21409,-105.46886,-13.676184,-27.805647,-99.81856
52,-23.034132,-24.883003,-20.986567,-103.741356,-99.17334
53,-105.01242,-116.92397,-112.0255,-104.98527,-22.564497
54,-117.22276,-34.550575,-22.570166,-99.98352,-105.66433
55,-14.44438,-105.65108,-102.69335,-102.71584,-98.41536
56,-106.33073,-28.806427,-18.025711,-104.7018,-18.425493
57,-105.90533,-104.87734,-102.80092,-109.72257,-98.141075
58,-106.42647,-104.02722,-19.500765,-30.064695,-98.81203
59,-106.159,-26.021742,-20.996922,-21.294144,-103.088234
60,-106.21009,-107.485985,-100.69863,-101.70911,-102.749344
