,It 0,It 1,It 2,It 3,It 4
0,-110.78095898512204,-17.01842988710824,-95.55541148322402,-93.11816097118458,-93.14758212509821
1,-111.11064568699148,-17.064682316724014,-108.2086588867602,-93.06532556603973,-92.85707487247814
2,-110.98366895953868,-17.05702078481001,-106.28709096547178,-93.14226400666033,-92.8298235609966
3,-110.85230182897217,-16.632234352671006,-103.44375947310861,-92.97956117183311,-93.26279152197066
4,-110.8396626637153,-16.94916030073748,-106.1565918122365,-92.96076935532223,-92.83904715873643
5,-110.98599316950848,-16.58332140594713,-110.69389587853135,-92.99200761202226,-92.89870241694292
6,-111.09476636866759,-17.018382783513804,-74.93487045879259,-93.0554268888322,-93.17280593341543
7,-110.86702090909324,-17.50757982253588,-30.426970030025018,-93.0341022454699,-92.87773512572643
8,-111.207103827877,-17.01933639272462,-30.945788822054098,-93.01240630392668,-92.84435281382504
9,-111.03094113615651,-16.945120830536098,-97.91884473522116,-93.04118836085871,-92.97347043288957
10,-110.79900998938355,-17.458576589499458,-116.16631626743238,-92.99846961177917,-92.8506755408231
11,-110.84642569592513,-17.066936776080514,-97.47744671142016,-93.1247124690814,-92.83726578840046
12,-111.02304183722319,-17.0779778057925,-106.30054135710009,-93.03113875881365,-93.01192784078671
13,-111.03999163908814,-17.01734150799269,-93.22582284418242,-93.01130995127497,-93.01723766681074
14,-111.04479340307736,-16.966846490778174,-115.23297535171056,-93.01012614225223,-92.96045356244846
15,-111.05101090025056,-17.059318569744278,-106.77390611815468,-93.12418607142381,-92.9253250797945
16,-111.04336611694656,-16.531119284331442,-95.84675696983433,-93.05292223545723,-92.96000335204667
17,-111.16560475599273,-17.073164956882334,-107.85084244727891,-93.08536691947903,-92.93061510355165
18,-110.85571383471282,-17.029685956106256,-30.352247622217106,-93.09913361751816,-93.2763055507354
19,-110.84171697555897,-16.983472217566927,-119.91737022561261,-93.03074675182285,-93.00368136442755
20,-110.85625355278228,-16.959105269986118,-93.09215575377826,-93.09942726904029,-92.83566385650663
21,-110.75454479801108,-17.507303105546793,-102.7082041746161,-92.97650177733351,-93.18562252560149
22,-111.80852699975118,-16.538757881876382,-99.24560739649165,-93.11933007935961,-93.03308637756201
23,-111.5198610869369,-17.034896095365326,-98.99326347877287,-93.15976967300134,-93.14217401158034
24,-112.0540115464317,-16.653532839435066,-98.98657743048187,-93.1259503849096,-93.20086682227254
25,-111.7142879874898,-16.492093488852444,-98.99240510454534,-93.08295302504209,-93.23689231444561
26,-111.1790890600334,-17.062510342747537,-104.13366104876455,-93.11480022989649,-93.1851329239416
27,-110.90331688982819,-17.105859235547573,-93.35993735315434,-93.11862935363439,-92.7902447358505
28,-110.80257728813902,-17.050114651440865,-114.83589519902257,-93.12346952005973,-93.27031585653327
29,-110.85996476077734,-17.01481546404755,-107.8821225523013,-93.02238763919473,-93.33681035439056
30,-110.8731055734548,-17.528124238683716,-30.17446722322016,-93.1362167834208,-93.0193788595299
31,-111.09242043845605,-17.008122936709697,-103.70578984956198,-93.01740889541804,-92.956509418078
32,-110.85926177278793,-17.077538525783996,-105.42707641253453,-93.01314409926223,-93.25797122044668
33,-111.20453395248208,-16.435372078977142,-102.23899524380813,-93.11334503712163,-92.96176509488738
34,-110.99755025620728,-16.997226692268182,-114.64435217844043,-93.10133181030179,-93.33173477955411
35,-111.09929057509514,-17.03723822933619,-99.07135667388785,-93.01260586894738,-93.01496070391661
36,-111.0641293264993,-17.057222110179485,-97.84871373248326,-93.08697311140752,-93.28249263897682
37,-111.1298391025929,-16.960162346273002,-93.4494168425332,-93.07320430630072,-93.3567957199621
38,-111.06111819116616,-17.018246374793332,-105.84741247251858,-93.01960628512563,-92.7798124921058
39,-110.81301016922423,-17.039484691555284,-38.40771697357721,-93.01160777206346,-93.02063227071497
40,-111.0206899057248,-16.5723267042529,-115.67899489031018,-93.02934160716521,-93.01709483461458
41,-110.95961138351875,-17.47801362085812,-30.32861136685095,-93.03667538492878,-92.79902629010208
42,-110.88873617212187,-17.045616364221342,-106.00168401800995,-93.01469443897251,-92.9738219766561
43,-111.20569697953361,-17.055666967928648,-105.51550297803145,-93.00361818034047,-93.01288811561221
44,-111.08096739441137,-17.515932919118256,-103.61603421000197,-93.03581415757755,-92.88470438204888
45,-111.05926862055479,-16.58233981138611,-106.67571828791306,-93.08612179910267,-93.23916681292327
46,-110.83941719148548,-17.502245452706326,-98.04672635006439,-93.01541088660589,-93.33511338509312
47,-111.06427557264175,-16.937093723525457,-105.39272926912852,-93.01582143481386,-92.8743995475851
48,-111.15952685627819,-16.570248308891355,-97.24316258612485,-92.99006290087414,-93.21474841864912
49,-110.75895728674791,-16.35458440765674,-110.75935373880415,-93.04106875910921,-93.02313756326097
50,-110.98852665347258,-17.113434729413434,-110.84724636179011,-93.10334488475664,-92.79498304360884
51,-111.06491460133212,-16.565764138498782,-128.787671317883,-93.11982826721109,-92.7844806354208
52,-110.84388508867733,-16.935779798137865,-115.00259282038074,-93.10557228828036,-92.94952785993635
53,-111.18466277698595,-16.934315402619163,-106.92084110494497,-93.01743929099136,-92.85359971475745
54,-111.05064621791516,-17.485452566871135,-107.18193365304774,-93.06114524623317,-92.86311593194081
55,-111.06178751714458,-17.033176031034067,-114.89356506110565,-93.0869080036503,-92.98088856032346
56,-111.15325584362816,-16.46505951771261,-115.02860385579694,-93.03987783413939,-92.7992755088831
57,-110.88693585870769,-16.996855166131585,-91.0393650037397,-93.0347145229221,-92.9717453777901
58,-110.87208263230657,-16.960093787730315,-108.06331043320813,-93.04406618873496,-93.23258380285526
59,-110.8490188179838,-16.942482762172965,-107.98462623394944,-93.07233282726754,-93.24761686349048
60,-110.77734699718262,-16.550337959363034,-95.88999010319425,-93.0436216191252,-92.85333492920567
61,-110.82186186322542,-17.467130761705047,-90.75285468512789,-93.13079673402416,-92.9263126755824
62,-111.74308051264504,-16.717681574936236,-99.23627375043742,-93.12759943188385,-93.13917315559586
63,-112.02337448573357,-17.034947008299373,-99.38549993179801,-93.15673789035746,-93.08805668309518
64,-111.8666959513356,-17.489906847549705,-99.24120732741585,-93.17343376852541,-93.01124132267168
65,-111.09146172320168,-16.708951565818108,-99.24935162600309,-93.14368323763925,-93.14883700566533
66,-111.77771240149714,-17.048050131222535,-98.7746234445398,-93.16083463332026,-93.19394320829927
67,-110.81472910667235,-16.99788971763381,-127.86490708171328,-93.05470079162934,-92.83218912001074
68,-110.84382790864387,-17.518989419884367,-105.11882376636362,-93.01998181998637,-93.25709188795508
69,-110.83800211757558,-17.008401770755167,-108.10114406444335,-93.01904165747483,-92.84531157617081
70,-111.15916823062996,-16.53401582684477,-30.40639333108699,-93.03878263192873,-92.83588300893844
71,-111.05360513074056,-17.044571179365253,-90.4257470605097,-93.12042290434056,-92.79934850591134
72,-111.18551473435491,-16.5195073740259,-103.83544055315724,-92.96016716604059,-92.79571471018035
73,-111.06887857605952,-16.543113082963064,-90.3179832783804,-93.03481436703665,-93.1794084486051
74,-111.08631151747436,-17.047552484235997,-106.447986018086,-92.99556626680618,-92.9614159192836
75,-110.82442292428163,-17.014543722832556,-94.94872733640749,-93.03902214400719,-92.83287009344774
76,-111.07309216880674,-17.023045735901217,-101.58190299525617,-93.12354356152689,-93.17574495950156
77,-111.02136518121976,-17.052521469644788,-110.09147596752675,-93.09547595450313,-92.78977936473667
78,-110.85400779425551,-17.035532548714006,-99.4215013650496,-93.00515551882579,-92.76535060091281
79,-111.04792517747202,-16.565981620357316,-105.24795949676653,-93.03861163345911,-92.80055532537972
80,-111.10881198492254,-17.02008508649867,-109.20861046998901,-93.06040838844329,-92.79460148582314
81,-110.81017097133216,-16.9273056379838,-95.18873459138953,-92.97500224595797,-92.96366961914829
82,-110.75279884610741,-17.079739065860828,-109.77357272236142,-93.0415827138275,-92.81728702695388
83,-111.09481563592807,-16.959644001635645,-119.78824095420391,-92.99920601841714,-92.86296407735682
84,-111.0372510075882,-16.54287687954936,-96.89437373688654,-93.02712309208015,-93.2647951411431
85,-110.8455016837411,-17.080021290158406,-123.22498687220178,-93.01312333613572,-93.28264769746549
86,-110.76214284754246,-17.045392152000698,-29.500838758315613,-93.03010075480616,-93.27065870069868
87,-110.97959905664646,-17.506703455141633,-106.31877952795413,-93.05844965514788,-92.97199124134646
88,-110.8423197132334,-16.547428932114247,-90.42728080411256,-93.10161978866688,-92.85214629475827
89,-110.94919045785932,-17.00519648372906,-108.26492677501078,-93.04882246936236,-92.81650658452422
90,-110.81770248549412,-17.059498057482134,-104.41574734507229,-93.06840868687475,-92.95517995284936
91,-110.97713563790009,-17.48673435826783,-98.73100393592209,-93.00288826639577,-93.00261100349785
92,-110.84263164657676,-16.933581893665306,-104.47528546603388,-93.12257191210178,-93.32158853065091
93,-111.15856030434226,-17.02349032569697,-93.30541408383269,-93.0224416051212,-92.97531899292834
94,-110.81168047985221,-16.606269390984924,-106.07910745936512,-93.01615919792621,-92.78321541881138
95,-111.20523886513404,-16.53206123222653,-104.94477859106823,-92.9634731893707,-93.14069930613506
96,-111.03686060375223,-16.50273231018199,-114.66319684095959,-93.04620561208358,-92.95023156034765
97,-110.97240685238378,-16.64002418984608,-103.86602835338182,-92.96757854522671,-93.26389753295744
